,sex,age,race,priors_count,c_charge_degree,score_text,two_year_recid
2086,1,42,0,1,0,1,1
2960,1,64,0,20,0,2,0
6570,1,24,1,0,0,1,0
1437,0,60,1,2,0,1,0
1598,1,31,0,5,0,2,1
1913,1,43,1,0,1,1,0
559,1,38,0,0,0,1,0
1660,1,20,0,0,0,2,1
114,1,42,1,1,0,1,1
4196,1,53,1,1,0,1,0
5250,1,27,0,1,1,2,0
2332,1,20,0,1,0,2,1
2129,1,55,0,21,0,2,1
1451,1,69,0,3,1,1,0
6608,1,37,0,2,1,1,0
5527,0,31,1,2,0,0,1
5602,0,44,1,10,0,2,1
5252,1,23,1,0,1,1,0
5249,1,25,0,2,0,0,0
3448,1,42,1,0,0,1,0
338,1,24,0,0,0,1,0
7201,1,30,0,19,0,0,1
4650,1,33,0,15,1,2,1
4324,1,24,0,0,1,2,0
6,1,41,1,14,0,2,1
5367,1,53,1,3,0,1,1
4275,1,28,1,0,0,1,0
588,1,21,0,4,0,2,1
3536,1,41,0,5,1,2,0
1357,1,19,0,2,0,0,1
5795,1,21,0,1,0,2,1
738,1,50,0,11,0,0,0
4018,1,44,0,0,1,1,0
6238,1,30,0,2,0,2,1
1541,1,41,1,5,0,1,0
6543,1,37,0,5,1,2,1
1867,0,58,0,3,1,1,0
6474,1,39,1,2,0,2,0
3427,1,23,0,0,0,0,1
6778,1,29,0,3,1,0,1
619,1,55,0,9,1,1,1
290,1,54,1,6,0,1,1
2286,0,27,0,2,1,1,1
5688,0,31,1,2,1,2,0
7090,0,36,1,5,0,1,1
7186,1,36,0,9,0,1,0
1483,1,25,1,5,1,0,1
6817,1,30,0,0,1,1,0
2671,1,26,1,0,1,1,0
2812,0,51,1,14,0,0,0
1474,0,50,0,1,0,1,0
4181,1,55,1,0,1,1,1
3299,1,21,0,1,0,2,1
570,1,42,1,0,1,1,0
629,1,26,1,3,0,2,1
6073,0,57,1,4,0,1,0
6657,0,27,0,10,0,0,1
2580,1,38,0,1,0,1,1
6448,1,29,0,2,1,2,0
6642,1,21,0,1,0,0,0
1743,1,66,1,1,0,1,0
1007,1,28,0,6,0,0,1
6302,1,48,1,18,0,2,1
2268,1,45,0,15,0,1,1
5727,1,39,1,0,0,1,1
1070,1,26,1,0,0,1,0
4662,1,36,1,4,1,1,1
4883,1,34,0,5,0,2,0
5211,1,24,1,0,0,1,0
4513,1,29,0,2,1,2,0
1013,1,27,0,5,0,2,1
1026,1,24,0,1,1,2,0
3731,1,44,1,4,1,2,1
6792,1,36,1,1,0,1,0
4606,1,22,0,0,0,2,1
5023,1,25,0,8,0,0,1
4845,1,56,1,1,0,1,1
6234,1,32,0,7,0,1,0
6630,1,35,0,5,0,1,0
4876,1,27,0,8,1,0,0
1489,1,25,0,8,1,0,1
5455,1,27,0,6,0,2,1
7188,1,36,1,0,1,1,0
4072,1,53,0,15,0,1,1
666,1,37,0,11,0,1,0
6800,0,26,1,0,0,1,0
1495,1,32,0,1,0,1,1
1979,1,21,0,1,0,2,0
6636,0,27,1,2,1,1,0
2759,0,38,1,0,0,1,1
2007,1,28,0,4,0,1,0
5937,1,29,1,2,1,2,0
4827,0,35,1,2,1,1,0
4718,1,30,1,3,1,1,0
1568,1,46,0,15,0,2,1
4571,1,32,1,0,0,1,1
6083,0,59,1,1,0,1,0
189,1,45,1,8,1,1,1
7120,0,43,1,0,1,1,0
4222,1,31,1,0,1,1,1
3983,0,28,1,0,0,1,0
1368,0,33,0,1,0,1,0
1927,1,23,0,0,0,1,1
1462,0,30,1,7,1,2,0
1237,1,34,0,2,1,1,1
4992,1,31,0,11,0,2,1
632,1,23,1,3,0,2,1
1217,1,36,1,0,0,1,0
4318,1,21,0,1,0,0,1
3841,1,50,0,13,0,1,1
4052,1,26,0,2,0,1,0
5728,1,32,0,2,1,2,0
7076,0,46,1,7,0,2,1
6106,1,56,0,22,0,0,1
4501,0,35,0,2,0,1,0
1496,1,72,1,1,1,1,0
6882,1,58,1,12,0,1,1
5947,1,23,1,10,0,2,0
1567,1,29,0,2,1,1,0
7148,1,21,0,0,0,2,1
6398,1,49,1,0,0,2,0
2333,1,28,1,0,1,1,0
1426,1,41,0,0,1,1,0
4178,1,28,0,3,0,2,0
7044,1,63,0,1,0,1,0
903,1,26,1,4,1,1,0
5702,1,32,1,1,1,1,0
6002,1,22,0,0,0,1,0
62,1,38,1,4,1,1,1
1466,1,21,0,1,0,0,0
2170,0,40,1,0,0,1,0
2374,1,22,0,1,0,2,1
5746,1,21,0,8,0,0,1
4148,1,51,0,0,0,1,1
2429,1,74,1,0,1,1,0
63,1,22,0,1,0,1,1
4428,0,39,1,0,1,1,1
4267,1,29,0,1,1,2,1
1898,1,32,1,5,0,2,1
4672,1,41,1,1,0,1,0
120,1,31,1,13,0,0,1
2201,1,31,0,15,0,0,1
1511,1,53,1,0,1,1,0
2103,1,25,0,0,0,2,1
5077,1,34,0,8,0,0,1
3552,0,43,1,3,1,1,1
5988,1,23,0,1,1,1,1
3444,1,24,0,3,0,0,1
3362,1,27,1,0,1,1,1
3460,1,67,1,0,1,1,0
3825,0,34,1,0,1,1,0
2578,1,26,0,3,0,0,1
4146,0,68,0,5,0,1,0
4384,1,42,1,0,0,1,0
4592,1,28,1,2,0,2,0
4195,1,30,0,0,0,1,1
1239,1,27,0,0,1,1,1
3922,0,44,1,1,1,1,1
3310,0,24,0,2,0,2,1
2403,1,33,0,8,0,2,0
433,1,24,1,3,0,0,1
78,0,26,0,1,0,1,1
5998,1,25,0,5,1,0,0
2604,1,43,0,4,1,2,1
6718,1,25,0,7,0,0,0
3694,1,23,0,6,0,2,1
4799,1,25,0,3,0,1,0
739,1,34,0,10,0,2,1
3887,0,28,1,1,0,2,0
6739,0,44,0,1,1,1,0
5013,1,32,0,0,0,1,0
4402,0,41,1,1,1,1,0
3433,1,21,1,1,0,1,0
4176,1,41,0,16,0,2,1
6936,1,32,0,5,1,1,0
1878,0,25,0,1,1,1,1
1390,1,36,0,0,0,0,0
2460,1,27,1,2,0,2,1
6516,1,28,0,5,0,2,1
4837,1,57,0,8,1,2,0
2410,0,32,0,0,0,1,0
3613,1,40,0,0,1,1,0
282,0,41,0,2,1,1,0
6137,1,22,1,0,1,1,0
220,1,51,1,0,1,1,0
2976,1,27,0,2,1,2,1
1561,1,22,0,0,0,1,0
3966,1,58,1,2,0,2,0
6940,1,24,0,12,1,0,0
3951,1,30,0,3,0,1,0
2081,1,41,0,4,0,2,0
2786,1,46,0,12,1,2,0
4261,1,27,0,8,1,2,1
2817,1,22,0,3,0,0,1
