,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
0,47.0,1.0,19.0,1.0,3,116.0,2.0,40.0,1,1,1
1,44.0,1.0,21.0,1.0,4,116.0,0.0,22.0,0,1,1
2,61.0,1.0,18.0,5.0,0,49.0,9.0,25.0,0,1,0
3,47.0,1.0,19.0,1.0,3,238.0,1.0,45.0,1,1,1
4,37.0,3.0,16.0,1.0,2,34.0,0.0,45.0,0,1,1
5,32.0,3.0,20.0,5.0,3,49.0,0.0,30.0,0,1,0
6,41.0,1.0,7.0,1.0,3,49.0,2.0,22.0,0,1,1
7,35.0,4.0,18.0,3.0,0,238.0,0.0,4.0,0,1,0
8,49.0,4.0,12.0,1.0,-1,116.0,0.0,45.0,0,0,0
9,40.0,1.0,21.0,3.0,1,49.0,1.0,75.0,1,1,1
10,22.0,1.0,21.0,1.0,0,209.0,2.0,25.0,1,1,1
11,81.0,1.0,21.0,1.0,3,45.0,0.0,45.0,1,1,1
12,52.0,1.0,21.0,1.0,2,49.0,1.0,22.0,1,1,1
13,22.0,6.0,21.0,1.0,0,45.0,0.0,1.0,0,1,0
14,41.0,1.0,21.0,1.0,1,49.0,2.0,75.0,1,1,1
15,44.0,3.0,16.0,1.0,3,49.0,1.0,4.0,0,1,0
16,49.0,1.0,13.0,1.0,3,49.0,1.0,4.0,0,1,0
17,33.0,7.0,7.0,5.0,2,49.0,1.0,75.0,1,1,0
18,52.0,1.0,16.0,3.0,0,49.0,2.0,9.0,1,1,1
19,44.0,1.0,22.0,3.0,-1,34.0,1.0,40.0,0,0,0
20,24.0,1.0,21.0,5.0,4,116.0,0.0,40.0,0,0,0
21,26.0,4.0,16.0,5.0,0,238.0,1.0,40.0,0,1,0
22,37.0,1.0,16.0,1.0,3,34.0,7.0,49.0,1,1,0
23,34.0,1.0,19.0,5.0,2,238.0,2.0,49.0,0,1,0
24,69.0,6.0,18.0,5.0,2,49.0,1.0,4.0,0,0,0
25,39.0,1.0,21.0,3.0,0,49.0,1.0,45.0,0,1,1
26,22.0,3.0,21.0,1.0,0,238.0,2.0,40.0,0,1,1
27,37.0,1.0,12.0,3.0,1,45.0,0.0,45.0,0,1,0
28,26.0,1.0,22.0,1.0,3,45.0,0.0,40.0,1,1,1
29,58.0,2.0,20.0,1.0,2,49.0,7.0,40.0,1,0,0
30,17.0,1.0,16.0,1.0,2,49.0,2.0,22.0,1,1,0
31,26.0,1.0,18.0,3.0,1,49.0,0.0,4.0,0,1,0
32,21.0,1.0,21.0,1.0,0,49.0,0.0,9.0,1,1,1
33,21.0,2.0,20.0,1.0,1,34.0,0.0,49.0,0,1,1
34,22.0,5.0,21.0,1.0,2,116.0,0.0,4.0,0,1,0
35,70.0,1.0,18.0,1.0,0,49.0,2.0,9.0,0,1,0
36,41.0,1.0,21.0,1.0,0,34.0,0.0,75.0,0,1,0
37,56.0,1.0,16.0,3.0,1,49.0,0.0,45.0,1,1,0
38,26.0,1.0,21.0,1.0,2,49.0,1.0,30.0,1,1,1
39,48.0,1.0,21.0,1.0,3,34.0,2.0,75.0,1,1,0
40,63.0,4.0,19.0,1.0,1,49.0,1.0,4.0,0,1,0
41,17.0,4.0,8.0,5.0,1,45.0,0.0,22.0,0,0,0
42,41.0,1.0,16.0,1.0,1,45.0,0.0,25.0,0,0,0
43,49.0,1.0,19.0,1.0,1,45.0,1.0,45.0,0,1,1
44,32.0,6.0,18.0,1.0,3,34.0,4.0,22.0,1,1,1
45,52.0,1.0,13.0,5.0,0,45.0,0.0,40.0,0,1,0
46,32.0,1.0,19.0,1.0,0,209.0,11.0,4.0,1,1,1
47,50.0,4.0,21.0,3.0,1,49.0,0.0,25.0,0,1,0
48,32.0,1.0,21.0,3.0,1,45.0,0.0,49.0,1,1,1
49,35.0,4.0,12.0,1.0,4,45.0,0.0,45.0,0,1,0
50,21.0,1.0,14.0,1.0,0,238.0,4.0,40.0,0,1,0
51,26.0,1.0,21.0,1.0,0,49.0,1.0,22.0,1,1,1
52,37.0,2.0,16.0,4.0,1,49.0,0.0,22.0,0,0,1
53,49.0,1.0,21.0,1.0,3,45.0,0.0,9.0,0,1,0
54,59.0,1.0,16.0,1.0,3,45.0,1.0,45.0,0,1,1
55,63.0,1.0,21.0,5.0,0,49.0,1.0,4.0,1,1,0
56,82.0,1.0,20.0,1.0,0,49.0,0.0,4.0,1,1,1
57,59.0,1.0,21.0,1.0,0,49.0,0.0,40.0,0,1,0
58,34.0,1.0,19.0,1.0,2,34.0,1.0,4.0,0,0,0
59,72.0,3.0,16.0,1.0,0,49.0,1.0,4.0,0,1,0
60,56.0,6.0,21.0,1.0,1,49.0,1.0,45.0,0,1,0
61,31.0,1.0,18.0,5.0,0,45.0,2.0,45.0,1,1,0
62,63.0,1.0,19.0,1.0,0,49.0,0.0,25.0,1,1,1
63,81.0,2.0,18.0,5.0,2,49.0,9.0,49.0,1,0,1
64,19.0,1.0,20.0,1.0,0,49.0,0.0,4.0,1,1,1
65,21.0,1.0,18.0,4.0,2,49.0,1.0,75.0,0,1,0
66,24.0,6.0,21.0,5.0,4,34.0,0.0,9.0,0,1,0
67,61.0,3.0,7.0,1.0,1,45.0,1.0,40.0,0,1,1
68,17.0,1.0,7.0,1.0,0,49.0,1.0,75.0,1,1,0
69,44.0,7.0,19.0,1.0,4,34.0,1.0,9.0,1,1,0
70,31.0,6.0,21.0,5.0,0,34.0,0.0,9.0,0,1,0
71,56.0,1.0,20.0,1.0,2,45.0,1.0,49.0,1,1,0
72,70.0,4.0,19.0,1.0,0,45.0,1.0,40.0,1,1,1
73,37.0,1.0,20.0,5.0,2,34.0,1.0,4.0,0,1,0
