,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
0,39.0,2.0,19.0,1.0,1,8.0,0.0,50.0,1,1,0
1,32.0,1.0,15.0,1.0,2,49.0,1.0,40.0,0,1,0
2,47.0,1.0,21.0,1.0,0,6.0,0.0,30.0,1,1,0
3,70.0,3.0,21.0,1.0,1,49.0,1.0,40.0,1,1,1
4,35.0,4.0,16.0,3.0,1,49.0,0.0,3.0,0,1,0
5,33.0,1.0,23.0,1.0,0,49.0,0.0,40.0,0,1,1
6,36.0,1.0,21.0,1.0,2,49.0,1.0,37.0,0,1,0
7,57.0,3.0,24.0,1.0,0,49.0,1.0,45.0,1,1,1
8,63.0,6.0,19.0,1.0,1,49.0,0.0,40.0,0,1,0
9,28.0,7.0,16.0,1.0,3,26.0,0.0,40.0,1,1,0
10,19.0,1.0,16.0,5.0,2,49.0,12.0,25.0,0,1,0
11,62.0,1.0,18.0,1.0,1,6.0,0.0,29.0,0,1,0
12,52.0,6.0,16.0,1.0,2,49.0,0.0,30.0,0,1,0
13,19.0,1.0,18.0,5.0,2,49.0,17.0,20.0,0,1,0
14,40.0,2.0,22.0,1.0,0,49.0,1.0,40.0,1,1,0
15,43.0,1.0,12.0,1.0,4,6.0,1.0,30.0,0,1,0
16,51.0,5.0,19.0,1.0,2,49.0,1.0,20.0,0,1,0
17,21.0,1.0,18.0,5.0,4,554.0,2.0,40.0,0,1,0
18,23.0,3.0,21.0,1.0,0,53.0,9.0,40.0,1,1,0
19,20.0,1.0,19.0,5.0,2,49.0,2.0,32.0,0,1,0
20,26.0,1.0,11.0,5.0,3,49.0,0.0,3.0,0,1,0
21,44.0,1.0,16.0,1.0,3,39.0,0.0,20.0,0,1,0
22,36.0,1.0,16.0,1.0,1,49.0,1.0,15.0,0,1,0
23,48.0,1.0,22.0,1.0,0,49.0,1.0,36.0,0,1,1
24,50.0,2.0,19.0,1.0,1,139.0,1.0,40.0,0,1,1
25,33.0,1.0,16.0,5.0,0,49.0,11.0,38.0,0,1,0
26,51.0,1.0,19.0,1.0,0,49.0,0.0,40.0,1,1,1
27,20.0,1.0,16.0,5.0,4,49.0,12.0,5.0,1,0,0
28,66.0,2.0,16.0,3.0,0,32.0,0.0,36.0,0,1,1
29,25.0,1.0,22.0,1.0,0,16.0,1.0,10.0,0,1,0
30,27.0,1.0,18.0,1.0,4,42.0,0.0,38.0,1,1,1
31,28.0,1.0,18.0,1.0,4,49.0,0.0,18.0,0,1,0
32,58.0,4.0,16.0,1.0,1,49.0,1.0,6.0,0,0,0
33,17.0,2.0,21.0,5.0,4,49.0,2.0,30.0,0,0,0
34,40.0,1.0,19.0,1.0,0,49.0,0.0,40.0,1,1,1
35,21.0,1.0,23.0,5.0,0,49.0,12.0,32.0,1,1,0
36,45.0,1.0,16.0,1.0,3,53.0,0.0,40.0,1,1,1
37,32.0,1.0,21.0,1.0,0,37.0,1.0,60.0,1,1,1
38,39.0,1.0,16.0,1.0,3,26.0,0.0,60.0,1,1,1
39,18.0,1.0,16.0,5.0,4,49.0,17.0,3.0,0,1,0
40,63.0,1.0,16.0,1.0,0,49.0,0.0,2.0,1,1,0
41,21.0,1.0,16.0,5.0,0,39.0,2.0,40.0,0,1,0
42,21.0,6.0,16.0,1.0,1,49.0,1.0,32.0,0,1,0
43,50.0,1.0,19.0,3.0,2,49.0,17.0,29.0,0,1,0
44,55.0,5.0,16.0,1.0,3,24.0,0.0,40.0,1,1,1
45,17.0,4.0,18.0,1.0,1,6.0,1.0,50.0,0,0,0
46,63.0,1.0,21.0,3.0,0,23.0,0.0,50.0,0,1,1
47,79.0,1.0,19.0,5.0,2,303.0,0.0,25.0,0,1,0
48,22.0,1.0,19.0,5.0,1,16.0,2.0,40.0,1,1,0
49,44.0,4.0,20.0,1.0,1,364.0,1.0,20.0,0,0,0
50,48.0,1.0,16.0,1.0,2,49.0,0.0,40.0,0,1,0
51,79.0,1.0,17.0,1.0,4,49.0,1.0,40.0,1,1,1
52,39.0,1.0,19.0,1.0,0,231.0,1.0,40.0,1,0,1
53,38.0,1.0,21.0,1.0,0,16.0,0.0,50.0,1,1,1
54,27.0,6.0,16.0,1.0,1,16.0,1.0,20.0,1,1,0
55,61.0,7.0,18.0,1.0,4,49.0,0.0,15.0,1,1,1
56,40.0,4.0,19.0,1.0,0,49.0,16.0,40.0,1,1,1
57,71.0,1.0,22.0,3.0,0,15.0,0.0,40.0,0,1,1
58,42.0,1.0,21.0,1.0,0,49.0,0.0,45.0,1,1,1
59,45.0,1.0,22.0,1.0,0,49.0,1.0,50.0,0,0,1
60,60.0,6.0,18.0,1.0,3,49.0,1.0,40.0,1,1,1
61,70.0,2.0,19.0,1.0,0,49.0,0.0,40.0,1,1,1
62,19.0,1.0,16.0,5.0,1,36.0,0.0,8.0,0,1,0
63,34.0,2.0,16.0,1.0,0,49.0,1.0,40.0,1,1,1
64,39.0,1.0,19.0,1.0,3,53.0,0.0,50.0,1,1,1
65,42.0,7.0,21.0,1.0,0,49.0,0.0,40.0,0,1,1
66,62.0,1.0,17.0,3.0,0,49.0,0.0,36.0,0,1,1
67,25.0,3.0,20.0,1.0,0,363.0,0.0,40.0,0,0,1
68,34.0,1.0,21.0,1.0,0,6.0,1.0,42.0,1,1,1
69,46.0,1.0,22.0,1.0,1,51.0,0.0,40.0,0,0,0
70,58.0,2.0,22.0,1.0,0,49.0,1.0,22.0,0,1,0
71,27.0,1.0,22.0,1.0,0,36.0,0.0,72.0,1,1,1
72,64.0,1.0,19.0,1.0,3,55.0,0.0,40.0,1,1,1
73,50.0,2.0,22.0,1.0,0,49.0,1.0,40.0,0,1,0
74,48.0,1.0,22.0,1.0,0,49.0,1.0,40.0,0,1,1
75,33.0,6.0,20.0,1.0,0,47.0,1.0,35.0,0,1,0
76,44.0,1.0,20.0,1.0,4,53.0,0.0,20.0,1,1,0
77,31.0,3.0,18.0,1.0,0,119.0,0.0,50.0,1,1,0
78,34.0,6.0,21.0,1.0,0,41.0,1.0,20.0,0,1,0
79,56.0,1.0,21.0,1.0,0,12.0,1.0,30.0,0,1,0
80,44.0,1.0,18.0,1.0,2,9.0,1.0,40.0,0,1,0
81,44.0,5.0,16.0,1.0,0,49.0,1.0,45.0,1,1,1
82,21.0,2.0,19.0,5.0,0,53.0,4.0,20.0,1,1,0
83,18.0,1.0,23.0,5.0,0,49.0,2.0,40.0,1,1,0
84,56.0,3.0,19.0,1.0,3,49.0,1.0,40.0,0,1,1
85,62.0,3.0,16.0,1.0,4,417.0,1.0,15.0,0,1,0
86,27.0,1.0,16.0,5.0,4,49.0,0.0,55.0,1,1,1
87,31.0,1.0,19.0,5.0,2,49.0,15.0,40.0,1,1,0
88,44.0,1.0,19.0,1.0,1,49.0,0.0,9.0,1,1,0
89,31.0,1.0,20.0,5.0,3,16.0,2.0,40.0,1,1,1
90,26.0,1.0,15.0,5.0,4,49.0,2.0,40.0,1,1,0
91,55.0,1.0,19.0,1.0,2,303.0,0.0,25.0,0,0,1
92,25.0,1.0,15.0,1.0,4,49.0,0.0,40.0,1,1,1
93,27.0,1.0,22.0,1.0,0,16.0,1.0,10.0,0,1,0
94,54.0,1.0,23.0,5.0,0,56.0,3.0,40.0,0,1,1
95,46.0,2.0,19.0,1.0,0,49.0,0.0,40.0,0,1,0
96,25.0,1.0,16.0,1.0,1,49.0,1.0,17.0,0,1,0
97,41.0,1.0,18.0,3.0,1,18.0,0.0,40.0,0,1,1
98,57.0,1.0,20.0,1.0,1,31.0,1.0,40.0,1,1,0
99,18.0,1.0,18.0,5.0,0,49.0,12.0,40.0,1,1,0
100,21.0,1.0,21.0,5.0,0,49.0,0.0,50.0,1,1,1
101,38.0,1.0,19.0,1.0,4,6.0,1.0,15.0,1,1,0
102,25.0,1.0,16.0,1.0,3,523.0,0.0,40.0,1,1,1
103,18.0,1.0,16.0,5.0,1,36.0,5.0,15.0,0,1,0
104,26.0,4.0,18.0,1.0,4,6.0,1.0,45.0,1,1,1
105,17.0,1.0,21.0,5.0,0,303.0,12.0,40.0,1,1,0
106,28.0,2.0,16.0,5.0,0,16.0,13.0,50.0,1,1,0
107,27.0,1.0,18.0,5.0,4,6.0,12.0,10.0,0,1,0
108,53.0,1.0,20.0,1.0,0,49.0,1.0,40.0,0,1,0
109,27.0,1.0,19.0,1.0,1,49.0,1.0,34.0,0,1,1
110,22.0,1.0,19.0,5.0,0,47.0,2.0,25.0,0,1,0
111,40.0,1.0,22.0,3.0,0,20.0,0.0,40.0,1,1,1
112,36.0,1.0,17.0,1.0,0,6.0,1.0,50.0,1,1,1
113,22.0,1.0,19.0,5.0,1,49.0,12.0,40.0,0,1,0
114,58.0,7.0,24.0,1.0,0,26.0,1.0,60.0,1,1,1
115,48.0,1.0,23.0,1.0,0,49.0,0.0,40.0,1,1,1
116,70.0,1.0,16.0,1.0,1,16.0,1.0,40.0,0,1,1
117,20.0,1.0,19.0,5.0,4,49.0,2.0,42.0,1,1,0
118,27.0,1.0,16.0,1.0,4,139.0,16.0,40.0,1,1,0
119,23.0,1.0,14.0,5.0,1,207.0,2.0,50.0,1,0,0
120,45.0,1.0,1.0,1.0,2,49.0,1.0,40.0,1,1,1
