,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
14606,54.0,4.0,20.0,3.0,0,49.0,0.0,40.0,0,1,1
3393,35.0,3.0,21.0,1.0,0,207.0,1.0,30.0,0,0,1
1305,42.0,1.0,22.0,1.0,0,42.0,0.0,45.0,1,1,1
15608,52.0,1.0,16.0,1.0,2,48.0,0.0,60.0,1,0,1
5101,26.0,1.0,16.0,1.0,2,49.0,0.0,40.0,1,1,0
10122,20.0,1.0,16.0,5.0,1,49.0,2.0,36.0,1,1,0
15506,23.0,1.0,17.0,5.0,3,50.0,2.0,50.0,1,1,1
15276,53.0,1.0,1.0,3.0,4,448.0,0.0,30.0,0,0,0
8391,31.0,5.0,18.0,5.0,2,49.0,10.0,40.0,1,1,1
13845,43.0,1.0,22.0,1.0,0,49.0,0.0,47.0,1,1,1
1304,27.0,1.0,20.0,1.0,0,12.0,15.0,45.0,0,1,1
8314,56.0,1.0,16.0,1.0,2,49.0,0.0,10.0,0,1,0
911,45.0,1.0,22.0,1.0,0,49.0,0.0,40.0,1,1,1
8046,31.0,1.0,21.0,5.0,0,49.0,0.0,45.0,1,1,1
2406,57.0,1.0,19.0,1.0,3,49.0,0.0,40.0,1,1,1
10249,37.0,1.0,19.0,3.0,2,49.0,2.0,20.0,0,1,0
8959,23.0,1.0,19.0,5.0,1,104.0,3.0,35.0,1,1,0
9675,69.0,7.0,21.0,1.0,0,16.0,0.0,40.0,1,1,1
587,21.0,4.0,19.0,5.0,0,49.0,17.0,15.0,1,1,0
1494,39.0,1.0,16.0,1.0,2,49.0,1.0,40.0,0,1,0
7861,22.0,5.0,16.0,1.0,4,48.0,0.0,40.0,1,1,0
4852,42.0,1.0,16.0,3.0,3,16.0,0.0,40.0,1,1,1
1519,26.0,4.0,22.0,3.0,0,49.0,0.0,40.0,0,1,1
1221,19.0,1.0,16.0,5.0,1,8.0,2.0,15.0,0,1,0
9383,59.0,1.0,21.0,1.0,-1,8.0,1.0,25.0,1,1,1
10438,46.0,1.0,21.0,1.0,0,49.0,0.0,40.0,1,1,1
1384,19.0,1.0,18.0,5.0,2,49.0,2.0,40.0,1,1,0
5980,32.0,4.0,19.0,1.0,0,49.0,0.0,40.0,1,1,1
12741,40.0,3.0,16.0,3.0,3,49.0,0.0,40.0,1,1,1
3333,22.0,1.0,20.0,5.0,2,49.0,2.0,16.0,0,0,1
3876,23.0,1.0,19.0,1.0,1,30.0,0.0,30.0,1,1,0
3081,31.0,1.0,15.0,5.0,4,4.0,13.0,40.0,1,0,0
553,23.0,1.0,19.0,5.0,3,49.0,17.0,20.0,1,1,0
6501,66.0,1.0,16.0,3.0,2,49.0,0.0,56.0,1,1,1
7040,26.0,1.0,19.0,1.0,4,49.0,2.0,50.0,1,1,0
9226,29.0,1.0,19.0,1.0,0,370.0,0.0,40.0,1,1,1
27,21.0,4.0,19.0,5.0,0,53.0,17.0,25.0,0,1,0
4568,38.0,2.0,21.0,1.0,0,49.0,0.0,36.0,0,0,1
15109,35.0,5.0,22.0,1.0,0,49.0,0.0,40.0,0,1,1
15883,42.0,1.0,21.0,1.0,4,49.0,1.0,16.0,0,1,0
950,32.0,1.0,22.0,1.0,0,6.0,0.0,10.0,0,1,0
11875,23.0,1.0,19.0,5.0,2,49.0,0.0,14.0,0,0,0
7524,20.0,1.0,16.0,5.0,4,49.0,2.0,40.0,1,1,0
9309,61.0,1.0,21.0,1.0,2,54.0,0.0,47.0,1,1,1
6142,22.0,1.0,18.0,5.0,4,49.0,2.0,20.0,1,1,0
6004,59.0,1.0,21.0,3.0,-1,26.0,0.0,50.0,1,1,1
15069,48.0,4.0,22.0,1.0,0,49.0,1.0,50.0,0,1,1
8358,33.0,4.0,21.0,1.0,0,229.0,0.0,30.0,1,0,1
5971,18.0,1.0,16.0,5.0,0,49.0,5.0,30.0,1,1,0
13118,26.0,1.0,19.0,1.0,0,49.0,1.0,40.0,1,1,1
7492,32.0,1.0,23.0,5.0,0,6.0,0.0,99.0,1,0,1
4784,49.0,1.0,22.0,1.0,0,49.0,1.0,40.0,1,1,1
4356,26.0,1.0,21.0,5.0,0,53.0,10.0,40.0,1,1,0
1713,37.0,7.0,18.0,1.0,2,49.0,0.0,45.0,1,1,1
2849,17.0,1.0,14.0,5.0,1,49.0,2.0,8.0,1,1,0
5697,43.0,1.0,19.0,1.0,0,48.0,1.0,70.0,1,1,1
6733,33.0,2.0,21.0,1.0,0,49.0,1.0,50.0,0,1,1
12761,21.0,1.0,16.0,5.0,4,49.0,2.0,40.0,1,1,0
15967,50.0,1.0,19.0,3.0,2,16.0,0.0,40.0,1,1,0
5806,64.0,1.0,14.0,1.0,3,49.0,1.0,70.0,1,1,0
15766,46.0,5.0,20.0,1.0,0,49.0,0.0,50.0,1,1,1
13585,54.0,1.0,22.0,1.0,-1,49.0,1.0,40.0,1,1,1
4473,45.0,1.0,22.0,1.0,0,6.0,1.0,40.0,0,1,1
4204,37.0,4.0,21.0,1.0,0,49.0,0.0,30.0,0,1,1
8612,42.0,1.0,16.0,3.0,2,6.0,0.0,40.0,0,1,0
3661,58.0,6.0,19.0,1.0,0,49.0,0.0,35.0,1,1,1
8156,19.0,1.0,17.0,5.0,4,8.0,2.0,40.0,1,1,0
7407,22.0,1.0,19.0,1.0,4,8.0,10.0,32.0,1,1,0
8329,38.0,1.0,16.0,3.0,0,49.0,0.0,25.0,0,1,0
12166,21.0,1.0,18.0,5.0,2,49.0,2.0,35.0,0,1,0
7340,39.0,1.0,16.0,3.0,1,49.0,0.0,40.0,0,1,0
1751,42.0,1.0,22.0,1.0,0,8.0,0.0,45.0,1,1,1
3671,58.0,1.0,16.0,1.0,0,49.0,1.0,60.0,0,1,1
8073,45.0,1.0,20.0,1.0,1,6.0,0.0,45.0,1,1,0
3383,43.0,2.0,22.0,1.0,0,49.0,0.0,50.0,0,1,1
3385,18.0,1.0,16.0,5.0,2,49.0,2.0,18.0,1,1,0
5297,21.0,1.0,19.0,5.0,0,16.0,12.0,18.0,1,0,0
2992,24.0,1.0,20.0,5.0,2,8.0,2.0,40.0,0,1,0
784,61.0,1.0,16.0,1.0,4,8.0,1.0,50.0,0,1,1
8168,34.0,4.0,21.0,1.0,0,49.0,0.0,40.0,0,1,1
10733,51.0,7.0,21.0,1.0,0,49.0,0.0,45.0,1,1,1
14507,42.0,1.0,18.0,1.0,0,49.0,0.0,40.0,1,1,1
10185,42.0,1.0,19.0,1.0,3,49.0,1.0,40.0,1,1,1
13177,47.0,1.0,21.0,1.0,4,49.0,0.0,50.0,1,1,0
1212,34.0,2.0,22.0,1.0,0,49.0,1.0,40.0,1,1,1
2385,17.0,1.0,18.0,5.0,2,49.0,12.0,30.0,0,1,0
10470,58.0,1.0,16.0,1.0,0,30.0,1.0,36.0,0,1,1
8764,49.0,6.0,16.0,1.0,2,49.0,1.0,40.0,0,1,0
2691,57.0,6.0,19.0,1.0,3,134.0,1.0,40.0,1,1,1
10566,66.0,1.0,21.0,1.0,4,41.0,1.0,50.0,1,1,1
13700,33.0,7.0,19.0,1.0,0,49.0,1.0,50.0,1,1,1
14945,25.0,1.0,18.0,1.0,1,49.0,0.0,38.0,0,1,0
3970,77.0,1.0,23.0,1.0,2,16.0,1.0,35.0,0,1,0
6569,47.0,1.0,20.0,5.0,0,49.0,0.0,45.0,1,1,1
15984,20.0,1.0,16.0,5.0,4,303.0,10.0,40.0,1,1,0
5465,46.0,1.0,16.0,1.0,3,360.0,0.0,65.0,1,1,1
11911,42.0,1.0,21.0,3.0,0,40.0,0.0,40.0,0,1,1
8304,46.0,1.0,12.0,5.0,3,303.0,0.0,40.0,1,1,0
15225,28.0,6.0,21.0,5.0,1,16.0,0.0,40.0,0,1,0
11610,39.0,5.0,21.0,1.0,4,49.0,1.0,40.0,1,1,1
13989,26.0,2.0,16.0,1.0,0,49.0,0.0,30.0,0,1,0
