,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
1496,21.0,1.0,19.0,1.0,2,49.0,1.0,50.0,0,1,1
12530,81.0,4.0,16.0,1.0,0,49.0,1.0,35.0,0,1,1
6064,35.0,1.0,20.0,5.0,1,49.0,0.0,88.0,1,1,0
13056,39.0,1.0,21.0,1.0,0,200.0,0.0,20.0,1,1,1
6085,21.0,1.0,21.0,1.0,0,49.0,1.0,20.0,0,1,0
7653,41.0,1.0,15.0,3.0,3,105.0,0.0,36.0,1,1,1
6793,25.0,4.0,19.0,5.0,2,49.0,2.0,40.0,0,0,0
1346,17.0,1.0,16.0,5.0,0,49.0,13.0,45.0,1,1,1
7744,83.0,8.0,19.0,1.0,0,49.0,1.0,40.0,0,1,0
8442,45.0,1.0,21.0,1.0,0,30.0,1.0,8.0,1,1,1
3224,27.0,1.0,16.0,5.0,4,44.0,0.0,12.0,1,1,1
8056,36.0,2.0,16.0,5.0,4,200.0,2.0,40.0,1,1,1
7106,55.0,2.0,23.0,1.0,0,49.0,0.0,66.0,0,1,1
2654,23.0,1.0,21.0,5.0,0,49.0,0.0,40.0,0,1,1
9080,22.0,3.0,16.0,5.0,0,49.0,12.0,40.0,0,1,0
10061,39.0,1.0,20.0,1.0,0,6.0,0.0,55.0,0,1,0
3979,17.0,3.0,21.0,1.0,2,17.0,2.0,15.0,0,0,0
10224,41.0,4.0,21.0,1.0,0,200.0,1.0,45.0,1,0,1
6416,25.0,1.0,19.0,5.0,1,6.0,17.0,42.0,0,1,0
7090,32.0,1.0,24.0,1.0,2,49.0,0.0,40.0,1,1,1
3630,62.0,1.0,14.0,5.0,0,49.0,0.0,60.0,1,1,0
5983,25.0,1.0,16.0,1.0,2,132.0,0.0,60.0,1,1,0
11818,60.0,1.0,18.0,1.0,0,109.0,0.0,50.0,1,1,1
4323,44.0,1.0,20.0,5.0,0,49.0,2.0,48.0,0,1,0
3736,62.0,1.0,19.0,1.0,0,362.0,0.0,50.0,1,1,0
