,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
12628,40.0,1.0,17.0,5.0,0,312.0,0.0,38.0,0,1,0
3947,52.0,1.0,20.0,1.0,1,49.0,2.0,20.0,0,1,0
5097,87.0,4.0,21.0,1.0,0,6.0,0.0,40.0,0,1,1
8586,24.0,3.0,18.0,1.0,3,49.0,0.0,25.0,1,1,1
6245,21.0,1.0,17.0,5.0,1,49.0,2.0,40.0,0,1,0
73,31.0,7.0,21.0,1.0,0,49.0,1.0,40.0,0,1,1
337,58.0,1.0,18.0,1.0,1,49.0,0.0,45.0,0,1,0
5767,68.0,1.0,23.0,1.0,0,211.0,0.0,20.0,1,1,1
2827,49.0,1.0,13.0,1.0,0,49.0,1.0,45.0,1,1,1
1592,42.0,1.0,21.0,1.0,0,467.0,0.0,70.0,1,1,1
1786,53.0,3.0,21.0,2.0,0,372.0,0.0,72.0,0,1,0
3879,41.0,4.0,19.0,1.0,0,49.0,0.0,45.0,1,1,1
6790,26.0,1.0,16.0,5.0,0,49.0,0.0,50.0,1,1,1
9339,36.0,4.0,18.0,5.0,2,49.0,12.0,50.0,0,1,0
2599,24.0,1.0,20.0,3.0,0,6.0,1.0,40.0,0,1,0
2426,45.0,1.0,16.0,1.0,2,49.0,0.0,40.0,0,1,0
2913,58.0,1.0,19.0,1.0,3,301.0,1.0,48.0,1,1,0
6746,71.0,1.0,19.0,1.0,3,49.0,1.0,40.0,1,1,0
2411,45.0,3.0,22.0,1.0,1,49.0,1.0,42.0,0,1,0
1192,56.0,6.0,11.0,1.0,0,49.0,2.0,40.0,0,1,0
1184,63.0,1.0,16.0,1.0,2,48.0,1.0,10.0,0,1,0
6490,46.0,5.0,16.0,1.0,0,49.0,1.0,40.0,1,1,1
520,31.0,1.0,18.0,5.0,3,49.0,0.0,32.0,1,1,0
13001,74.0,4.0,14.0,1.0,0,49.0,1.0,42.0,0,1,1
3030,53.0,4.0,22.0,1.0,2,32.0,0.0,40.0,1,1,1
10521,85.0,1.0,16.0,5.0,2,217.0,0.0,48.0,0,1,0
9091,58.0,1.0,19.0,1.0,2,28.0,1.0,40.0,0,1,0
7686,58.0,1.0,18.0,3.0,-1,361.0,12.0,20.0,1,1,0
4480,20.0,1.0,21.0,1.0,0,49.0,4.0,70.0,0,1,0
638,74.0,4.0,19.0,1.0,0,16.0,1.0,50.0,1,1,1
12787,20.0,1.0,18.0,1.0,0,149.0,0.0,50.0,0,1,1
3459,21.0,1.0,23.0,1.0,0,467.0,1.0,36.0,1,1,1
2402,74.0,1.0,16.0,5.0,3,49.0,2.0,50.0,1,0,0
10206,25.0,1.0,19.0,1.0,1,49.0,1.0,40.0,0,1,0
3925,28.0,1.0,19.0,2.0,0,13.0,0.0,40.0,0,1,1
3708,24.0,1.0,18.0,1.0,2,49.0,0.0,40.0,1,1,1
1404,43.0,6.0,21.0,1.0,0,49.0,0.0,40.0,0,1,1
2767,53.0,1.0,21.0,5.0,2,49.0,0.0,40.0,1,1,1
2769,66.0,1.0,4.0,5.0,0,467.0,2.0,40.0,1,1,0
10312,32.0,1.0,17.0,1.0,2,49.0,0.0,50.0,0,0,0
5519,20.0,1.0,16.0,5.0,0,48.0,2.0,91.0,0,1,0
972,47.0,1.0,18.0,1.0,0,160.0,0.0,50.0,1,1,1
9573,76.0,1.0,21.0,1.0,2,49.0,1.0,25.0,0,1,0
10001,18.0,1.0,22.0,1.0,0,49.0,0.0,50.0,1,1,1
2321,28.0,1.0,20.0,1.0,0,49.0,1.0,40.0,0,1,0
526,31.0,1.0,20.0,5.0,2,49.0,2.0,45.0,0,1,0
5822,41.0,1.0,23.0,1.0,1,36.0,0.0,60.0,0,1,1
7471,84.0,4.0,20.0,1.0,3,49.0,0.0,30.0,1,1,1
6525,74.0,1.0,18.0,1.0,2,6.0,1.0,35.0,0,1,0
3039,17.0,2.0,22.0,1.0,0,49.0,0.0,40.0,0,1,1
7309,25.0,6.0,21.0,1.0,2,49.0,0.0,60.0,0,1,1
11860,27.0,1.0,21.0,1.0,0,49.0,1.0,40.0,1,1,1
665,53.0,1.0,19.0,1.0,0,316.0,0.0,40.0,1,1,1
7066,87.0,1.0,16.0,1.0,3,49.0,11.0,40.0,1,1,1
