,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
6605,56.0,5.0,22.0,3.0,0,49.0,0.0,60.0,1,1,1
3761,44.0,1.0,16.0,1.0,0,303.0,0.0,50.0,1,1,1
10892,30.0,1.0,18.0,1.0,2,49.0,0.0,40.0,1,1,1
12844,53.0,4.0,21.0,1.0,0,49.0,1.0,40.0,0,1,1
7981,59.0,1.0,17.0,1.0,2,41.0,1.0,30.0,0,1,0
10297,22.0,1.0,16.0,5.0,2,48.0,0.0,17.0,0,1,0
6441,23.0,3.0,20.0,5.0,4,12.0,2.0,40.0,1,1,0
8012,49.0,6.0,21.0,1.0,2,49.0,1.0,45.0,0,1,1
9960,45.0,5.0,19.0,1.0,2,49.0,1.0,40.0,0,1,1
4929,34.0,1.0,20.0,5.0,0,49.0,2.0,20.0,0,1,0
5198,42.0,1.0,19.0,3.0,0,49.0,0.0,60.0,1,1,1
11155,36.0,1.0,21.0,1.0,4,49.0,0.0,99.0,1,1,1
10737,66.0,1.0,20.0,1.0,4,42.0,12.0,50.0,1,1,1
2535,61.0,3.0,22.0,1.0,0,314.0,0.0,45.0,1,1,1
5600,46.0,1.0,23.0,1.0,0,311.0,1.0,6.0,0,1,0
7063,48.0,1.0,16.0,1.0,2,6.0,1.0,50.0,1,1,1
6618,43.0,1.0,21.0,5.0,1,16.0,13.0,40.0,0,1,1
6061,34.0,1.0,22.0,1.0,0,17.0,1.0,40.0,1,1,1
11441,30.0,4.0,21.0,5.0,0,49.0,0.0,50.0,1,1,1
12239,57.0,1.0,16.0,1.0,3,18.0,0.0,40.0,1,1,1
7871,20.0,1.0,19.0,5.0,0,6.0,0.0,4.0,0,1,0
5021,54.0,1.0,19.0,1.0,2,4.0,1.0,20.0,0,1,0
834,21.0,1.0,19.0,1.0,0,6.0,1.0,40.0,1,1,0
10046,56.0,1.0,20.0,1.0,2,49.0,1.0,30.0,0,1,0
10375,37.0,1.0,21.0,3.0,2,49.0,0.0,40.0,1,1,1
5723,34.0,2.0,21.0,5.0,2,24.0,2.0,36.0,0,1,0
789,24.0,1.0,16.0,1.0,2,49.0,1.0,30.0,0,1,0
3625,47.0,1.0,19.0,1.0,1,49.0,0.0,50.0,1,1,1
7277,52.0,1.0,18.0,3.0,2,49.0,0.0,40.0,0,1,1
1,20.0,1.0,20.0,1.0,3,30.0,0.0,40.0,1,1,0
6909,22.0,1.0,16.0,5.0,3,49.0,0.0,34.0,1,1,0
4059,36.0,3.0,12.0,1.0,1,49.0,0.0,20.0,0,1,0
5222,58.0,7.0,18.0,1.0,0,4.0,0.0,40.0,1,1,1
609,60.0,2.0,22.0,1.0,0,49.0,1.0,45.0,0,1,1
7225,19.0,1.0,19.0,5.0,1,49.0,2.0,55.0,1,1,0
5524,40.0,1.0,18.0,5.0,2,49.0,15.0,40.0,1,1,1
5033,22.0,1.0,19.0,1.0,0,8.0,0.0,40.0,1,1,0
2300,33.0,1.0,21.0,1.0,0,6.0,0.0,55.0,1,1,1
11020,57.0,5.0,20.0,1.0,4,51.0,0.0,40.0,1,0,1
6162,42.0,3.0,17.0,1.0,1,49.0,0.0,35.0,0,1,0
8589,55.0,2.0,19.0,1.0,2,39.0,0.0,55.0,1,1,1
7996,35.0,1.0,20.0,1.0,0,49.0,1.0,32.0,0,1,1
