,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
13023,27.0,3.0,21.0,1.0,0,303.0,0.0,10.0,0,1,0
12102,19.0,1.0,21.0,5.0,0,49.0,6.0,28.0,0,1,0
12764,31.0,1.0,16.0,1.0,3,39.0,1.0,55.0,1,1,1
13006,19.0,1.0,16.0,5.0,0,49.0,2.0,17.0,1,1,0
9798,18.0,1.0,21.0,5.0,0,49.0,10.0,50.0,0,1,0
4075,34.0,1.0,17.0,1.0,2,303.0,2.0,40.0,1,1,0
7052,63.0,1.0,21.0,1.0,0,49.0,1.0,50.0,0,1,1
567,27.0,1.0,19.0,1.0,1,49.0,0.0,28.0,0,1,0
6466,23.0,6.0,16.0,5.0,4,49.0,11.0,16.0,0,0,0
10065,53.0,4.0,19.0,1.0,0,49.0,0.0,40.0,1,0,1
11290,36.0,6.0,10.0,2.0,0,49.0,0.0,23.0,0,1,0
2305,17.0,1.0,16.0,5.0,2,49.0,17.0,50.0,0,1,0
1340,38.0,1.0,20.0,1.0,0,49.0,0.0,45.0,0,1,1
2811,51.0,1.0,19.0,1.0,0,49.0,0.0,45.0,0,1,1
939,39.0,1.0,21.0,1.0,0,49.0,9.0,50.0,1,1,0
3702,29.0,1.0,21.0,1.0,0,8.0,1.0,40.0,1,1,1
8250,51.0,1.0,16.0,1.0,4,49.0,1.0,40.0,1,1,1
4378,21.0,7.0,21.0,1.0,0,6.0,0.0,60.0,1,1,1
2677,46.0,4.0,16.0,1.0,1,110.0,0.0,40.0,1,1,1
6134,49.0,1.0,21.0,1.0,0,6.0,0.0,40.0,0,1,0
4502,58.0,1.0,16.0,1.0,1,49.0,0.0,30.0,0,1,1
7650,49.0,3.0,21.0,1.0,0,6.0,1.0,40.0,0,1,1
10207,49.0,2.0,19.0,5.0,0,303.0,0.0,60.0,1,1,1
8486,26.0,2.0,22.0,1.0,0,53.0,1.0,5.0,0,1,0
7018,31.0,1.0,21.0,1.0,3,53.0,0.0,15.0,1,1,0
11561,37.0,1.0,22.0,1.0,2,49.0,1.0,40.0,1,1,1
5144,41.0,2.0,21.0,1.0,0,56.0,1.0,20.0,0,1,0
821,31.0,1.0,16.0,5.0,4,49.0,2.0,43.0,1,1,1
12226,69.0,1.0,18.0,1.0,4,49.0,0.0,40.0,1,1,1
10260,19.0,3.0,21.0,5.0,0,49.0,11.0,20.0,0,1,0
11125,26.0,1.0,19.0,1.0,2,26.0,0.0,20.0,0,1,0
3829,56.0,1.0,18.0,1.0,0,49.0,1.0,25.0,0,1,1
9158,47.0,1.0,19.0,1.0,2,6.0,0.0,12.0,0,1,0
3613,64.0,1.0,16.0,1.0,0,8.0,0.0,52.0,1,1,1
12885,26.0,3.0,23.0,1.0,0,39.0,16.0,40.0,1,1,0
7315,74.0,1.0,16.0,1.0,2,49.0,1.0,33.0,0,1,0
4720,23.0,1.0,13.0,5.0,2,49.0,0.0,52.0,0,1,0
3554,60.0,1.0,21.0,1.0,2,363.0,1.0,50.0,1,1,0
4433,60.0,1.0,19.0,1.0,0,49.0,1.0,40.0,1,1,1
8587,39.0,7.0,20.0,1.0,2,49.0,1.0,40.0,1,1,1
2268,52.0,1.0,19.0,1.0,2,49.0,1.0,40.0,1,1,1
1888,34.0,2.0,21.0,1.0,0,49.0,0.0,40.0,1,1,1
4617,56.0,1.0,16.0,3.0,2,6.0,0.0,5.0,1,1,0
10692,21.0,1.0,21.0,5.0,2,49.0,4.0,40.0,0,1,0
6231,27.0,7.0,16.0,1.0,1,209.0,1.0,40.0,0,1,0
4723,30.0,1.0,16.0,5.0,4,49.0,2.0,40.0,0,1,0
12350,39.0,7.0,18.0,1.0,0,49.0,0.0,50.0,1,1,0
6125,18.0,1.0,14.0,5.0,2,6.0,15.0,56.0,0,1,0
8632,48.0,1.0,21.0,1.0,0,49.0,0.0,45.0,1,1,1
3720,21.0,1.0,19.0,5.0,4,56.0,2.0,40.0,1,1,0
11370,55.0,1.0,22.0,1.0,0,49.0,0.0,50.0,1,1,1
7155,35.0,1.0,21.0,1.0,2,370.0,1.0,30.0,0,0,0
12463,26.0,4.0,14.0,5.0,1,49.0,17.0,20.0,1,1,0
5073,28.0,7.0,19.0,1.0,0,9.0,1.0,38.0,0,1,1
9612,20.0,1.0,18.0,5.0,2,303.0,7.0,8.0,1,0,0
9703,64.0,1.0,20.0,1.0,0,15.0,0.0,40.0,1,1,1
7909,18.0,1.0,20.0,5.0,0,49.0,12.0,50.0,0,1,0
6639,30.0,3.0,21.0,5.0,1,49.0,0.0,52.0,0,1,1
2628,17.0,1.0,16.0,5.0,2,49.0,2.0,30.0,0,1,0
10041,18.0,1.0,19.0,5.0,0,39.0,0.0,35.0,0,1,0
394,58.0,1.0,21.0,1.0,0,49.0,0.0,40.0,0,1,1
4258,43.0,1.0,19.0,1.0,0,49.0,1.0,45.0,1,0,1
4809,42.0,1.0,22.0,1.0,1,223.0,0.0,40.0,1,1,1
12135,49.0,1.0,18.0,1.0,1,39.0,0.0,45.0,1,1,1
8516,33.0,1.0,21.0,1.0,0,6.0,1.0,15.0,0,1,0
7380,58.0,1.0,16.0,1.0,2,49.0,1.0,38.0,0,1,1
12957,22.0,1.0,19.0,5.0,1,49.0,2.0,25.0,1,1,0
3441,33.0,1.0,18.0,5.0,1,49.0,0.0,30.0,0,1,0
4571,52.0,3.0,19.0,1.0,0,35.0,1.0,40.0,0,1,1
2503,53.0,1.0,20.0,1.0,1,49.0,1.0,58.0,0,1,1
7657,31.0,5.0,22.0,1.0,0,35.0,0.0,40.0,1,1,1
6291,49.0,1.0,19.0,1.0,0,56.0,0.0,60.0,1,1,0
1045,28.0,4.0,20.0,1.0,0,49.0,0.0,15.0,0,1,0
10992,52.0,1.0,17.0,3.0,4,49.0,0.0,52.0,1,1,1
2525,61.0,1.0,20.0,1.0,1,49.0,0.0,30.0,0,1,0
8868,32.0,1.0,22.0,5.0,2,6.0,17.0,15.0,0,1,0
12206,61.0,7.0,21.0,1.0,0,49.0,0.0,50.0,1,1,1
5422,45.0,1.0,16.0,1.0,3,49.0,1.0,40.0,1,1,1
11526,30.0,1.0,19.0,5.0,1,49.0,17.0,50.0,1,1,0
1358,42.0,1.0,16.0,1.0,3,49.0,0.0,40.0,1,1,1
2216,62.0,3.0,16.0,1.0,3,6.0,1.0,40.0,1,1,0
1741,49.0,1.0,19.0,1.0,1,49.0,1.0,10.0,1,1,0
8931,39.0,1.0,18.0,1.0,3,373.0,1.0,40.0,1,0,0
758,34.0,6.0,16.0,1.0,0,25.0,1.0,40.0,0,1,0
8327,36.0,1.0,22.0,2.0,0,303.0,0.0,40.0,0,0,1
7995,20.0,1.0,17.0,5.0,4,15.0,2.0,9.0,1,0,0
664,35.0,1.0,23.0,1.0,0,49.0,0.0,45.0,1,1,1
1780,64.0,1.0,13.0,2.0,0,53.0,0.0,40.0,0,1,1
3561,37.0,6.0,19.0,1.0,3,49.0,0.0,80.0,1,1,1
5366,19.0,1.0,19.0,5.0,1,49.0,17.0,30.0,0,1,0
4447,34.0,1.0,15.0,1.0,1,49.0,1.0,36.0,0,1,0
4055,55.0,1.0,16.0,5.0,2,49.0,2.0,50.0,1,1,0
1348,71.0,1.0,21.0,5.0,0,4.0,2.0,40.0,1,1,1
6197,21.0,1.0,17.0,5.0,2,373.0,4.0,3.0,1,0,0
8042,22.0,1.0,18.0,5.0,2,6.0,12.0,40.0,0,0,0
12525,31.0,1.0,21.0,3.0,0,49.0,3.0,60.0,1,1,0
1667,26.0,1.0,22.0,1.0,0,49.0,0.0,40.0,0,1,0
5380,29.0,5.0,19.0,3.0,1,48.0,10.0,38.0,0,1,0
1374,38.0,1.0,19.0,1.0,2,49.0,10.0,20.0,0,1,0
12430,38.0,7.0,21.0,5.0,0,49.0,0.0,40.0,1,1,1
10393,21.0,1.0,17.0,5.0,1,6.0,17.0,40.0,1,1,0
11519,43.0,4.0,20.0,1.0,0,49.0,1.0,40.0,0,1,1
2770,43.0,1.0,16.0,1.0,3,49.0,0.0,40.0,1,1,0
9392,24.0,7.0,16.0,1.0,3,49.0,0.0,40.0,1,1,1
5515,22.0,4.0,21.0,5.0,0,49.0,0.0,20.0,0,1,1
10639,59.0,7.0,22.0,2.0,0,49.0,0.0,40.0,0,1,1
10678,31.0,4.0,21.0,1.0,0,17.0,1.0,45.0,1,1,1
2779,74.0,1.0,18.0,1.0,2,16.0,0.0,15.0,0,1,0
6162,67.0,2.0,21.0,1.0,0,40.0,1.0,40.0,0,1,1
10215,68.0,7.0,21.0,1.0,0,49.0,0.0,45.0,1,1,1
8000,25.0,1.0,19.0,1.0,4,49.0,0.0,40.0,1,1,0
12121,31.0,2.0,19.0,1.0,0,49.0,0.0,10.0,0,1,0
4739,29.0,1.0,19.0,5.0,3,34.0,0.0,40.0,1,1,1
10083,29.0,1.0,24.0,1.0,0,56.0,0.0,40.0,1,1,1
2449,21.0,1.0,15.0,5.0,4,49.0,15.0,40.0,1,1,0
12019,56.0,5.0,17.0,1.0,2,49.0,1.0,40.0,0,1,1
4611,42.0,1.0,22.0,1.0,-1,35.0,0.0,40.0,1,1,1
1717,20.0,1.0,18.0,5.0,0,49.0,4.0,40.0,0,1,0
1308,33.0,1.0,16.0,1.0,4,49.0,1.0,40.0,1,1,0
4946,32.0,2.0,20.0,1.0,2,49.0,2.0,40.0,0,1,0
11259,55.0,5.0,18.0,1.0,3,49.0,0.0,40.0,1,1,1
5591,58.0,1.0,21.0,1.0,3,4.0,0.0,60.0,1,1,1
8022,26.0,1.0,16.0,5.0,1,18.0,17.0,40.0,1,0,0
12440,23.0,1.0,19.0,5.0,2,49.0,17.0,20.0,0,1,0
3556,25.0,1.0,18.0,5.0,1,224.0,0.0,48.0,1,1,1
2534,42.0,1.0,22.0,1.0,0,49.0,1.0,36.0,0,1,1
8592,58.0,1.0,23.0,1.0,2,49.0,1.0,42.0,0,1,1
8663,29.0,1.0,19.0,1.0,2,49.0,0.0,50.0,1,1,1
6206,51.0,2.0,21.0,1.0,0,49.0,0.0,50.0,1,1,1
11585,22.0,1.0,16.0,5.0,4,217.0,2.0,48.0,1,0,0
