,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
3525,47.0,1.0,21.0,1.0,0,30.0,0.0,50.0,1,1,1
11622,21.0,1.0,18.0,5.0,4,6.0,3.0,40.0,1,1,0
950,32.0,1.0,22.0,1.0,0,6.0,0.0,10.0,0,1,0
14038,51.0,1.0,16.0,1.0,0,49.0,0.0,40.0,0,1,1
11433,29.0,5.0,19.0,1.0,0,56.0,1.0,40.0,1,1,1
5542,31.0,2.0,24.0,1.0,0,27.0,1.0,55.0,0,1,0
8468,18.0,1.0,16.0,5.0,0,49.0,15.0,40.0,1,1,0
13367,20.0,1.0,18.0,5.0,2,49.0,2.0,20.0,1,1,0
10270,62.0,6.0,16.0,1.0,4,49.0,0.0,40.0,1,1,1
10655,43.0,7.0,23.0,1.0,0,66.0,1.0,40.0,1,1,0
15804,32.0,1.0,16.0,1.0,3,49.0,1.0,60.0,1,1,1
2836,55.0,1.0,21.0,1.0,0,49.0,0.0,49.0,1,1,1
12942,27.0,1.0,16.0,1.0,2,49.0,0.0,45.0,0,1,0
1094,37.0,7.0,22.0,1.0,2,49.0,1.0,55.0,1,1,1
11012,67.0,7.0,19.0,1.0,3,49.0,0.0,30.0,1,1,1
13653,58.0,1.0,19.0,1.0,2,49.0,1.0,60.0,0,1,1
7704,26.0,1.0,19.0,1.0,0,49.0,0.0,40.0,0,1,1
11572,44.0,1.0,22.0,1.0,0,56.0,0.0,30.0,1,1,1
3118,40.0,6.0,16.0,5.0,1,49.0,0.0,50.0,0,1,0
2347,31.0,2.0,21.0,5.0,1,8.0,0.0,35.0,1,1,0
9712,47.0,2.0,21.0,1.0,0,49.0,0.0,45.0,1,1,0
14745,27.0,4.0,22.0,5.0,0,207.0,0.0,42.0,1,0,1
7822,58.0,1.0,18.0,1.0,0,49.0,0.0,45.0,1,1,1
944,42.0,3.0,20.0,3.0,1,16.0,2.0,40.0,1,0,0
9381,43.0,7.0,18.0,1.0,2,49.0,0.0,45.0,1,1,1
8164,23.0,1.0,19.0,5.0,0,49.0,0.0,25.0,1,1,0
9270,39.0,2.0,22.0,1.0,0,6.0,0.0,20.0,0,1,0
8945,56.0,7.0,16.0,1.0,0,27.0,0.0,30.0,0,1,1
1676,53.0,1.0,21.0,1.0,0,49.0,0.0,40.0,0,1,1
7217,64.0,1.0,20.0,1.0,4,49.0,0.0,36.0,1,1,1
5525,47.0,1.0,19.0,1.0,0,49.0,0.0,60.0,1,1,1
4103,30.0,1.0,22.0,1.0,0,24.0,0.0,45.0,1,1,1
7697,68.0,1.0,19.0,3.0,4,49.0,0.0,24.0,1,1,1
9745,27.0,1.0,19.0,5.0,2,32.0,13.0,36.0,1,1,0
15395,65.0,1.0,21.0,1.0,0,6.0,0.0,40.0,1,1,1
4728,37.0,1.0,9.0,1.0,1,303.0,1.0,40.0,0,0,0
6090,51.0,1.0,18.0,1.0,4,42.0,1.0,70.0,0,1,1
