,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
0,22.0,1.0,22.0,2.0,0,126.0,2.0,61.0,1,0,0
1,47.0,1.0,16.0,1.0,-1,427.0,9.0,23.0,0,1,1
2,25.0,5.0,8.0,3.0,4,222.0,10.0,75.0,0,1,0
3,36.0,1.0,8.0,1.0,3,38.0,3.0,67.0,1,1,1
4,38.0,1.0,18.0,1.0,0,417.0,8.0,67.0,0,0,0
5,27.0,2.0,15.0,3.0,-1,34.0,16.0,91.0,1,0,1
6,83.0,1.0,4.0,2.0,-1,132.0,5.0,17.0,0,1,1
7,19.0,2.0,8.0,3.0,4,515.0,10.0,14.0,1,1,0
8,73.0,4.0,6.0,1.0,0,116.0,2.0,65.0,1,1,0
9,75.0,1.0,23.0,1.0,0,102.0,14.0,20.0,1,0,1
10,19.0,1.0,23.0,2.0,5,11.0,7.0,60.0,1,1,0
11,39.0,1.0,17.0,1.0,-1,56.0,9.0,33.0,1,1,1
12,74.0,3.0,17.0,1.0,2,527.0,1.0,54.0,0,1,1
13,25.0,2.0,5.0,2.0,2,66.0,6.0,31.0,1,1,0
14,48.0,2.0,17.0,1.0,4,42.0,4.0,99.0,1,1,0
15,56.0,5.0,23.0,4.0,-1,128.0,7.0,32.0,1,1,0
16,25.0,3.0,8.0,3.0,1,214.0,10.0,66.0,0,1,0
17,75.0,1.0,14.0,1.0,5,162.0,14.0,39.0,0,0,1
18,19.0,2.0,24.0,5.0,0,160.0,6.0,4.0,0,1,0
19,32.0,4.0,24.0,1.0,-1,19.0,5.0,91.0,1,1,0
20,92.0,7.0,12.0,4.0,-1,110.0,4.0,21.0,1,1,0
21,43.0,4.0,18.0,4.0,0,554.0,0.0,23.0,0,1,1
22,60.0,7.0,22.0,2.0,0,31.0,12.0,10.0,0,1,0
23,82.0,6.0,14.0,3.0,4,41.0,17.0,42.0,1,1,0
24,61.0,7.0,14.0,4.0,0,51.0,17.0,23.0,1,0,1
25,30.0,2.0,7.0,1.0,1,20.0,11.0,14.0,0,1,0
26,43.0,2.0,23.0,4.0,1,223.0,2.0,28.0,0,1,1
27,30.0,5.0,12.0,1.0,0,11.0,5.0,85.0,1,1,0
28,67.0,6.0,19.0,1.0,2,301.0,1.0,26.0,1,1,1
29,42.0,3.0,13.0,2.0,0,128.0,13.0,78.0,0,0,1
30,65.0,5.0,17.0,1.0,0,512.0,13.0,40.0,1,1,0
31,40.0,8.0,15.0,4.0,0,365.0,14.0,24.0,1,1,0
32,85.0,2.0,17.0,1.0,0,120.0,7.0,3.0,1,1,1
33,44.0,2.0,24.0,3.0,5,238.0,11.0,20.0,1,1,0
34,86.0,7.0,14.0,2.0,2,117.0,5.0,70.0,0,1,0
35,58.0,4.0,23.0,1.0,-1,412.0,12.0,10.0,1,0,0
36,83.0,8.0,15.0,4.0,2,164.0,8.0,17.0,0,0,0
37,62.0,2.0,4.0,3.0,0,9.0,10.0,58.0,0,1,0
38,35.0,5.0,12.0,2.0,2,303.0,16.0,84.0,1,1,0
39,84.0,2.0,16.0,3.0,5,39.0,15.0,25.0,0,1,0
40,86.0,1.0,17.0,4.0,2,209.0,13.0,23.0,1,1,1
41,54.0,2.0,22.0,4.0,4,127.0,14.0,72.0,1,1,0
42,70.0,3.0,23.0,2.0,2,440.0,2.0,11.0,0,1,0
43,43.0,7.0,18.0,2.0,3,249.0,10.0,33.0,1,1,0
44,21.0,8.0,15.0,1.0,-1,29.0,16.0,15.0,0,1,0
45,57.0,5.0,4.0,1.0,0,160.0,10.0,80.0,1,0,0
46,58.0,2.0,15.0,4.0,-1,10.0,10.0,39.0,0,0,1
47,43.0,5.0,13.0,5.0,2,158.0,17.0,38.0,0,0,1
48,32.0,2.0,8.0,2.0,0,11.0,2.0,75.0,0,1,1
49,65.0,8.0,4.0,1.0,0,231.0,3.0,75.0,0,1,0
50,49.0,4.0,22.0,4.0,0,329.0,11.0,19.0,1,1,0
51,35.0,5.0,23.0,5.0,2,39.0,10.0,55.0,0,1,1
52,25.0,4.0,15.0,3.0,2,162.0,5.0,1.0,1,0,0
53,65.0,1.0,18.0,1.0,0,203.0,6.0,96.0,0,1,1
54,64.0,1.0,16.0,4.0,0,213.0,4.0,45.0,1,0,0
55,22.0,7.0,3.0,5.0,-1,229.0,3.0,9.0,0,1,1
56,81.0,2.0,10.0,2.0,0,368.0,1.0,85.0,1,1,0
57,34.0,5.0,12.0,4.0,0,212.0,0.0,43.0,1,1,1
58,83.0,1.0,20.0,4.0,0,47.0,2.0,44.0,1,1,0
59,75.0,1.0,4.0,2.0,2,5.0,11.0,36.0,1,1,1
60,36.0,2.0,12.0,5.0,3,129.0,8.0,3.0,0,1,0
61,86.0,5.0,4.0,1.0,1,17.0,14.0,2.0,1,1,1
62,75.0,7.0,3.0,1.0,0,126.0,16.0,20.0,1,1,1
63,81.0,2.0,1.0,1.0,0,10.0,10.0,39.0,1,0,1
64,56.0,1.0,9.0,1.0,2,449.0,10.0,26.0,1,0,0
65,36.0,2.0,23.0,1.0,5,421.0,13.0,41.0,1,1,0
66,33.0,6.0,12.0,3.0,0,362.0,12.0,30.0,0,1,1
67,40.0,5.0,22.0,5.0,3,362.0,12.0,10.0,0,1,0
68,70.0,5.0,10.0,1.0,2,147.0,10.0,15.0,1,1,1
69,21.0,7.0,1.0,2.0,0,54.0,10.0,49.0,0,1,1
70,40.0,1.0,17.0,5.0,2,102.0,13.0,56.0,1,0,0
71,54.0,2.0,18.0,3.0,2,469.0,1.0,13.0,0,0,1
72,55.0,1.0,10.0,4.0,4,364.0,9.0,62.0,1,1,1
73,64.0,4.0,10.0,1.0,2,33.0,16.0,28.0,0,1,1
74,22.0,3.0,23.0,5.0,0,416.0,10.0,99.0,1,0,0
75,87.0,3.0,13.0,2.0,0,242.0,11.0,2.0,0,1,1
76,25.0,2.0,17.0,3.0,0,47.0,2.0,80.0,0,1,0
77,34.0,5.0,4.0,2.0,2,243.0,12.0,3.0,1,1,0
78,44.0,3.0,14.0,4.0,-1,312.0,2.0,40.0,0,1,1
79,65.0,5.0,24.0,2.0,2,327.0,9.0,10.0,0,0,1
80,85.0,7.0,12.0,3.0,-1,5.0,13.0,21.0,1,1,0
81,26.0,3.0,14.0,5.0,4,31.0,1.0,55.0,1,1,0
82,65.0,3.0,19.0,2.0,0,363.0,9.0,90.0,1,0,1
83,55.0,7.0,18.0,3.0,3,370.0,6.0,38.0,1,0,0
84,74.0,1.0,15.0,5.0,0,134.0,16.0,13.0,0,1,1
85,30.0,2.0,1.0,1.0,5,10.0,3.0,75.0,0,0,0
86,65.0,1.0,18.0,1.0,2,162.0,11.0,65.0,1,1,0
87,50.0,1.0,23.0,1.0,5,231.0,1.0,62.0,1,1,0
88,84.0,2.0,16.0,1.0,4,360.0,6.0,45.0,0,0,0
89,83.0,4.0,14.0,5.0,2,129.0,2.0,32.0,0,1,1
90,92.0,1.0,14.0,4.0,3,31.0,0.0,56.0,0,1,0
91,38.0,4.0,24.0,4.0,0,23.0,14.0,52.0,1,0,1
92,42.0,1.0,19.0,1.0,0,45.0,16.0,65.0,1,1,1
93,69.0,2.0,5.0,1.0,0,412.0,3.0,4.0,0,1,0
94,61.0,6.0,15.0,4.0,-1,23.0,7.0,35.0,1,0,0
95,47.0,7.0,17.0,5.0,2,164.0,2.0,19.0,1,0,0
96,36.0,5.0,20.0,1.0,2,210.0,9.0,5.0,1,1,1
97,82.0,3.0,22.0,3.0,4,323.0,6.0,15.0,0,1,0
98,78.0,2.0,24.0,4.0,-1,436.0,14.0,19.0,0,0,1
99,36.0,7.0,10.0,1.0,2,120.0,14.0,36.0,0,1,0
100,71.0,8.0,23.0,5.0,-1,158.0,0.0,42.0,0,0,0
101,57.0,2.0,8.0,1.0,4,233.0,16.0,3.0,1,0,1
102,71.0,7.0,5.0,2.0,-1,33.0,11.0,27.0,1,1,1
103,42.0,1.0,19.0,3.0,1,38.0,9.0,58.0,0,0,1
104,43.0,2.0,18.0,1.0,4,162.0,2.0,99.0,0,0,1
105,41.0,1.0,1.0,5.0,-1,60.0,14.0,43.0,0,1,0
106,66.0,7.0,12.0,1.0,2,372.0,11.0,99.0,0,1,0
107,74.0,7.0,14.0,1.0,0,231.0,10.0,23.0,0,1,1
108,25.0,3.0,4.0,2.0,0,51.0,9.0,61.0,0,1,0
