,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
0,31.0,4.0,21.0,1.0,1,18.0,2.0,40.0,0,1,0
1,17.0,7.0,21.0,5.0,0,18.0,1.0,40.0,1,1,0
2,31.0,7.0,21.0,1.0,2,54.0,1.0,40.0,0,1,0
3,38.0,1.0,24.0,5.0,4,18.0,17.0,2.0,0,1,0
4,39.0,7.0,16.0,1.0,2,53.0,1.0,40.0,0,1,0
5,51.0,5.0,21.0,1.0,2,245.0,1.0,35.0,0,1,0
6,40.0,1.0,21.0,1.0,0,49.0,2.0,40.0,0,1,0
7,51.0,4.0,21.0,5.0,4,245.0,2.0,40.0,0,1,1
8,31.0,4.0,21.0,1.0,4,242.0,2.0,40.0,0,1,0
9,30.0,4.0,21.0,1.0,1,245.0,2.0,40.0,0,1,0
10,31.0,7.0,20.0,1.0,0,49.0,2.0,40.0,0,1,0
11,38.0,7.0,21.0,5.0,0,54.0,1.0,40.0,0,1,0
12,55.0,4.0,21.0,1.0,0,364.0,0.0,40.0,0,1,0
13,31.0,7.0,21.0,1.0,0,6.0,2.0,35.0,0,1,0
14,30.0,7.0,16.0,5.0,0,49.0,2.0,40.0,1,1,0
15,55.0,7.0,21.0,3.0,2,54.0,12.0,40.0,0,1,0
16,38.0,1.0,21.0,1.0,4,6.0,2.0,40.0,0,1,0
17,31.0,7.0,21.0,1.0,-1,467.0,5.0,40.0,0,1,0
18,55.0,4.0,21.0,5.0,1,54.0,1.0,35.0,0,1,0
19,28.0,7.0,19.0,1.0,0,442.0,2.0,35.0,0,1,0
20,28.0,7.0,21.0,1.0,1,6.0,2.0,40.0,0,1,0
21,48.0,1.0,21.0,1.0,2,49.0,2.0,40.0,1,1,1
22,31.0,4.0,21.0,1.0,1,245.0,12.0,40.0,0,1,0
23,48.0,4.0,21.0,1.0,0,18.0,1.0,40.0,0,1,0
24,71.0,5.0,21.0,1.0,1,18.0,1.0,35.0,0,1,0
25,48.0,1.0,21.0,1.0,2,245.0,2.0,40.0,0,1,0
26,55.0,4.0,19.0,5.0,4,245.0,2.0,35.0,0,1,0
27,31.0,1.0,21.0,1.0,0,245.0,2.0,40.0,0,1,0
28,30.0,4.0,24.0,5.0,1,18.0,2.0,40.0,0,1,0
29,38.0,4.0,21.0,5.0,2,49.0,2.0,35.0,0,1,0
30,47.0,4.0,16.0,1.0,1,54.0,1.0,40.0,0,1,0
31,31.0,4.0,21.0,1.0,1,245.0,2.0,40.0,0,1,0
32,30.0,7.0,24.0,1.0,2,49.0,1.0,40.0,0,1,0
33,30.0,4.0,22.0,1.0,1,6.0,12.0,40.0,0,1,0
34,40.0,1.0,21.0,1.0,2,49.0,2.0,20.0,0,1,0
35,55.0,4.0,21.0,5.0,0,54.0,0.0,35.0,0,1,0
36,30.0,4.0,21.0,5.0,4,42.0,2.0,40.0,0,1,0
37,31.0,4.0,19.0,1.0,2,6.0,0.0,2.0,0,1,0
38,30.0,1.0,19.0,1.0,1,301.0,1.0,40.0,0,1,0
39,38.0,1.0,21.0,1.0,4,364.0,2.0,40.0,0,1,0
40,31.0,7.0,16.0,5.0,2,54.0,1.0,40.0,0,1,0
41,70.0,4.0,21.0,5.0,2,249.0,1.0,40.0,0,1,0
42,30.0,7.0,21.0,5.0,1,245.0,0.0,40.0,0,1,0
43,30.0,4.0,16.0,1.0,1,6.0,1.0,35.0,0,1,0
44,30.0,4.0,5.0,1.0,2,364.0,2.0,35.0,0,1,0
45,43.0,3.0,21.0,5.0,2,18.0,2.0,40.0,0,1,0
46,31.0,3.0,21.0,5.0,2,6.0,2.0,40.0,0,1,0
47,30.0,3.0,21.0,1.0,0,6.0,2.0,40.0,0,1,0
48,55.0,1.0,24.0,1.0,1,54.0,17.0,40.0,0,1,0
49,38.0,4.0,21.0,1.0,4,6.0,2.0,40.0,0,1,0
50,17.0,4.0,21.0,5.0,1,49.0,2.0,25.0,0,1,0
51,28.0,1.0,19.0,5.0,2,54.0,2.0,50.0,0,1,0
52,17.0,7.0,21.0,1.0,2,106.0,2.0,40.0,0,1,0
53,31.0,1.0,24.0,1.0,1,6.0,2.0,40.0,0,1,0
54,55.0,1.0,21.0,1.0,2,6.0,2.0,40.0,0,1,0
55,17.0,1.0,19.0,1.0,2,54.0,2.0,35.0,0,1,0
56,28.0,7.0,24.0,1.0,1,6.0,2.0,27.0,0,1,0
57,28.0,1.0,24.0,1.0,1,49.0,2.0,35.0,0,1,0
58,38.0,3.0,21.0,5.0,2,245.0,1.0,40.0,0,1,0
59,30.0,1.0,21.0,1.0,1,49.0,2.0,40.0,0,1,0
60,55.0,4.0,21.0,1.0,1,54.0,1.0,35.0,0,1,0
61,31.0,3.0,21.0,1.0,2,18.0,2.0,40.0,0,1,1
62,38.0,1.0,21.0,1.0,0,6.0,2.0,40.0,0,1,0
63,38.0,4.0,24.0,1.0,1,40.0,0.0,40.0,0,1,0
64,31.0,1.0,21.0,1.0,2,54.0,0.0,40.0,0,1,0
65,38.0,4.0,19.0,1.0,2,6.0,2.0,40.0,0,1,0
66,31.0,4.0,21.0,1.0,2,54.0,2.0,40.0,0,1,0
67,27.0,1.0,22.0,1.0,2,40.0,0.0,40.0,0,1,1
68,31.0,4.0,16.0,1.0,1,245.0,2.0,40.0,1,1,0
69,17.0,3.0,21.0,1.0,2,54.0,2.0,35.0,0,1,0
70,55.0,7.0,21.0,1.0,2,245.0,1.0,40.0,0,1,0
71,48.0,7.0,21.0,1.0,2,245.0,2.0,40.0,0,1,0
72,31.0,4.0,21.0,1.0,2,49.0,2.0,40.0,1,1,0
73,31.0,7.0,21.0,1.0,0,6.0,1.0,40.0,0,1,0
74,38.0,1.0,16.0,5.0,4,364.0,1.0,40.0,0,1,0
75,48.0,1.0,22.0,1.0,2,6.0,2.0,40.0,0,1,0
76,31.0,4.0,21.0,1.0,1,245.0,12.0,40.0,0,1,0
77,31.0,4.0,24.0,5.0,0,54.0,2.0,40.0,1,1,0
78,38.0,7.0,21.0,1.0,0,6.0,2.0,40.0,0,0,0
79,38.0,3.0,21.0,5.0,0,364.0,2.0,45.0,0,1,0
80,31.0,3.0,21.0,5.0,1,245.0,12.0,40.0,0,1,0
81,17.0,4.0,22.0,1.0,2,6.0,1.0,40.0,1,1,0
82,31.0,4.0,21.0,1.0,2,6.0,2.0,40.0,0,1,0
83,47.0,3.0,21.0,1.0,1,54.0,2.0,40.0,0,1,0
84,28.0,1.0,21.0,1.0,0,245.0,12.0,35.0,0,1,0
85,31.0,1.0,21.0,1.0,1,6.0,1.0,40.0,0,1,0
86,38.0,7.0,21.0,1.0,2,49.0,2.0,40.0,0,1,0
87,27.0,7.0,21.0,1.0,2,6.0,0.0,40.0,0,1,0
88,17.0,3.0,16.0,5.0,2,245.0,4.0,40.0,0,1,0
89,31.0,4.0,21.0,5.0,1,245.0,2.0,40.0,0,1,0
90,24.0,7.0,16.0,1.0,4,245.0,2.0,40.0,0,1,0
91,36.0,3.0,21.0,2.0,1,102.0,1.0,40.0,0,1,0
92,38.0,7.0,17.0,1.0,1,54.0,1.0,40.0,0,1,0
93,55.0,1.0,21.0,1.0,2,54.0,2.0,40.0,0,1,0
94,28.0,1.0,16.0,1.0,1,54.0,1.0,40.0,0,1,0
95,38.0,7.0,21.0,1.0,2,49.0,0.0,35.0,0,1,0
96,30.0,1.0,17.0,1.0,1,54.0,2.0,35.0,0,1,0
97,51.0,3.0,22.0,1.0,0,6.0,2.0,20.0,0,1,0
98,31.0,3.0,24.0,5.0,1,364.0,1.0,40.0,0,1,0
99,40.0,4.0,24.0,1.0,2,6.0,1.0,40.0,0,1,0
100,40.0,4.0,16.0,1.0,2,54.0,2.0,40.0,0,1,0
101,40.0,7.0,21.0,1.0,2,6.0,2.0,40.0,0,1,0
102,17.0,1.0,21.0,5.0,0,245.0,2.0,40.0,0,1,0
103,31.0,1.0,21.0,1.0,1,364.0,2.0,40.0,0,1,0
104,30.0,7.0,16.0,1.0,4,49.0,1.0,35.0,0,1,0
105,30.0,4.0,21.0,1.0,0,6.0,12.0,40.0,0,1,0
106,31.0,4.0,21.0,1.0,2,6.0,2.0,40.0,0,1,0
107,40.0,7.0,21.0,1.0,2,54.0,0.0,40.0,0,1,0
108,31.0,4.0,24.0,5.0,2,6.0,0.0,20.0,0,1,1
109,38.0,1.0,21.0,5.0,2,54.0,2.0,40.0,0,1,0
110,38.0,1.0,16.0,1.0,3,54.0,2.0,40.0,0,0,0
111,30.0,1.0,16.0,1.0,0,6.0,1.0,40.0,0,1,0
112,38.0,1.0,21.0,1.0,2,6.0,1.0,35.0,0,1,0
113,31.0,7.0,21.0,1.0,2,245.0,1.0,40.0,0,1,1
114,28.0,7.0,19.0,1.0,2,6.0,2.0,40.0,0,1,0
115,51.0,3.0,22.0,1.0,2,54.0,2.0,40.0,0,1,0
116,30.0,7.0,16.0,1.0,2,54.0,1.0,40.0,0,1,0
117,40.0,5.0,19.0,1.0,0,49.0,12.0,35.0,0,1,0
118,30.0,4.0,21.0,1.0,0,245.0,2.0,40.0,0,1,0
119,30.0,7.0,21.0,1.0,1,6.0,0.0,40.0,0,1,0
120,38.0,4.0,24.0,1.0,4,18.0,2.0,40.0,0,1,0
121,30.0,3.0,21.0,1.0,2,49.0,0.0,40.0,0,1,0
122,31.0,7.0,14.0,5.0,2,54.0,2.0,40.0,1,1,0
123,40.0,1.0,21.0,1.0,1,54.0,1.0,5.0,0,1,0
124,31.0,4.0,19.0,5.0,2,49.0,2.0,50.0,0,1,0
125,55.0,3.0,21.0,1.0,4,54.0,1.0,40.0,0,1,1
126,30.0,3.0,21.0,1.0,2,6.0,2.0,40.0,0,1,0
127,55.0,1.0,21.0,1.0,2,54.0,1.0,40.0,0,1,0
128,30.0,7.0,21.0,1.0,1,54.0,12.0,40.0,0,1,0
129,30.0,7.0,16.0,1.0,2,6.0,1.0,40.0,0,1,0
130,30.0,3.0,19.0,5.0,1,54.0,1.0,40.0,0,1,0
131,48.0,1.0,21.0,1.0,2,54.0,2.0,40.0,0,1,0
132,77.0,1.0,19.0,1.0,2,18.0,12.0,40.0,0,1,0
133,17.0,7.0,21.0,5.0,1,214.0,17.0,40.0,0,1,0
134,31.0,1.0,21.0,5.0,0,235.0,1.0,40.0,0,0,0
135,47.0,4.0,21.0,1.0,1,49.0,12.0,40.0,0,1,0
