,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
4445,52.0,5.0,21.0,1.0,1,6.0,0.0,50.0,1,1,1
4426,26.0,1.0,19.0,1.0,0,49.0,1.0,40.0,1,1,1
10483,38.0,1.0,20.0,1.0,4,46.0,1.0,40.0,1,1,1
7993,25.0,1.0,19.0,5.0,0,49.0,0.0,50.0,1,1,1
13732,58.0,1.0,21.0,1.0,2,231.0,6.0,40.0,1,0,0
6319,39.0,7.0,19.0,1.0,0,49.0,0.0,50.0,1,1,0
7932,50.0,2.0,21.0,1.0,0,49.0,0.0,40.0,1,1,1
9284,22.0,1.0,19.0,1.0,0,49.0,1.0,20.0,0,1,0
6188,32.0,1.0,15.0,5.0,4,6.0,15.0,50.0,1,1,1
15352,33.0,1.0,21.0,5.0,0,37.0,12.0,35.0,0,1,0
11024,53.0,1.0,19.0,1.0,2,6.0,1.0,40.0,0,1,0
3335,37.0,1.0,20.0,5.0,2,247.0,10.0,40.0,1,0,0
3943,42.0,1.0,1.0,1.0,3,303.0,0.0,40.0,1,1,0
11041,18.0,1.0,16.0,5.0,2,49.0,2.0,15.0,0,1,0
9244,47.0,1.0,16.0,1.0,3,19.0,0.0,84.0,1,1,1
13689,41.0,7.0,20.0,3.0,1,19.0,13.0,40.0,0,1,0
13235,67.0,1.0,21.0,5.0,0,16.0,10.0,35.0,0,1,1
1138,40.0,1.0,19.0,1.0,2,49.0,0.0,40.0,0,1,1
14969,52.0,1.0,20.0,1.0,0,4.0,0.0,40.0,0,0,1
6390,47.0,7.0,19.0,1.0,3,49.0,1.0,50.0,1,1,1
285,18.0,1.0,13.0,5.0,2,26.0,16.0,20.0,0,1,0
416,20.0,1.0,18.0,5.0,2,49.0,17.0,40.0,0,1,0
5396,32.0,2.0,22.0,1.0,0,49.0,0.0,44.0,1,1,1
5891,44.0,7.0,16.0,1.0,3,49.0,0.0,45.0,1,1,0
9859,47.0,1.0,16.0,1.0,2,6.0,0.0,40.0,0,1,1
1547,38.0,2.0,23.0,1.0,0,49.0,0.0,45.0,1,1,1
9937,26.0,1.0,21.0,5.0,0,53.0,0.0,40.0,1,1,1
9713,40.0,1.0,16.0,1.0,1,49.0,1.0,60.0,0,1,1
9530,49.0,6.0,19.0,1.0,2,49.0,0.0,32.0,0,1,0
840,35.0,1.0,21.0,1.0,0,49.0,1.0,35.0,1,1,1
14761,38.0,1.0,23.0,1.0,0,49.0,1.0,60.0,1,1,1
9932,40.0,2.0,9.0,5.0,3,303.0,0.0,40.0,1,0,1
3902,57.0,1.0,18.0,1.0,0,49.0,1.0,25.0,0,1,0
5990,37.0,2.0,21.0,5.0,0,137.0,12.0,36.0,0,1,1
9917,32.0,7.0,19.0,1.0,0,49.0,1.0,50.0,1,1,1
6131,45.0,4.0,18.0,1.0,1,49.0,0.0,45.0,1,1,1
12087,21.0,1.0,16.0,5.0,4,32.0,7.0,40.0,1,1,0
8798,21.0,1.0,18.0,5.0,4,49.0,10.0,32.0,1,1,0
320,40.0,1.0,16.0,4.0,3,49.0,16.0,50.0,1,1,1
7709,42.0,1.0,22.0,3.0,0,49.0,2.0,40.0,1,1,1
15332,67.0,1.0,21.0,1.0,2,6.0,0.0,45.0,1,1,1
3684,22.0,1.0,17.0,5.0,1,49.0,13.0,30.0,0,1,1
8145,40.0,6.0,19.0,3.0,1,49.0,0.0,5.0,0,1,0
7190,61.0,7.0,22.0,1.0,0,42.0,0.0,40.0,0,1,1
9173,29.0,1.0,21.0,1.0,0,2.0,0.0,45.0,1,1,1
10532,53.0,1.0,18.0,1.0,3,49.0,0.0,45.0,1,1,1
7087,50.0,1.0,22.0,1.0,0,49.0,0.0,8.0,0,1,0
5333,36.0,1.0,18.0,1.0,2,16.0,1.0,45.0,0,1,1
10582,38.0,1.0,21.0,1.0,0,414.0,0.0,40.0,1,1,1
10132,51.0,7.0,16.0,1.0,1,36.0,1.0,60.0,0,1,1
1955,29.0,1.0,21.0,1.0,0,48.0,1.0,60.0,0,1,1
11104,41.0,1.0,22.0,1.0,0,49.0,0.0,50.0,1,1,1
7557,58.0,1.0,17.0,3.0,0,49.0,0.0,45.0,0,1,1
16125,57.0,1.0,19.0,1.0,1,49.0,1.0,40.0,0,1,1
6077,49.0,3.0,22.0,1.0,0,49.0,1.0,25.0,0,1,0
3772,42.0,1.0,21.0,5.0,1,49.0,0.0,40.0,0,1,1
5037,38.0,1.0,19.0,3.0,0,217.0,13.0,38.0,0,0,1
15365,75.0,5.0,19.0,2.0,4,49.0,0.0,42.0,1,1,0
8374,34.0,1.0,16.0,1.0,3,6.0,0.0,45.0,0,1,1
801,73.0,3.0,16.0,1.0,3,49.0,0.0,6.0,1,1,0
1680,29.0,1.0,16.0,1.0,4,213.0,0.0,40.0,1,1,0
