,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
0,42.0,1.0,19.0,1.0,1,469.0,1.0,40.0,0,1,1
1,36.0,1.0,22.0,1.0,0,440.0,0.0,40.0,0,1,1
2,87.0,7.0,21.0,1.0,0,126.0,1.0,40.0,0,1,1
3,67.0,1.0,21.0,1.0,0,49.0,0.0,40.0,0,1,1
4,39.0,1.0,16.0,1.0,4,49.0,2.0,61.0,0,0,0
5,55.0,1.0,20.0,1.0,0,49.0,1.0,42.0,1,1,1
6,82.0,1.0,5.0,5.0,0,17.0,0.0,59.0,0,1,1
7,50.0,1.0,21.0,1.0,0,6.0,0.0,5.0,0,1,1
8,17.0,1.0,16.0,1.0,2,228.0,2.0,40.0,1,1,1
9,38.0,1.0,16.0,1.0,5,49.0,1.0,82.0,1,1,0
10,56.0,3.0,22.0,1.0,2,49.0,0.0,22.0,1,1,0
11,34.0,1.0,22.0,5.0,0,49.0,10.0,27.0,1,1,1
12,85.0,2.0,19.0,5.0,-1,449.0,0.0,15.0,1,1,1
13,21.0,1.0,19.0,1.0,0,49.0,1.0,40.0,0,1,1
14,21.0,8.0,16.0,1.0,4,49.0,0.0,84.0,1,0,0
15,25.0,1.0,18.0,5.0,1,38.0,11.0,40.0,1,1,0
16,54.0,1.0,16.0,1.0,4,231.0,1.0,40.0,1,0,1
17,22.0,3.0,16.0,4.0,2,416.0,0.0,59.0,0,0,0
18,57.0,1.0,20.0,5.0,2,49.0,9.0,40.0,0,1,0
19,74.0,1.0,19.0,1.0,2,49.0,1.0,5.0,0,1,0
20,92.0,7.0,16.0,1.0,2,60.0,0.0,49.0,0,1,1
21,88.0,1.0,21.0,1.0,0,49.0,1.0,40.0,1,1,0
22,87.0,1.0,19.0,5.0,2,329.0,2.0,40.0,0,1,0
23,47.0,1.0,6.0,5.0,0,49.0,8.0,2.0,1,1,0
24,39.0,1.0,21.0,5.0,0,49.0,5.0,52.0,0,1,0
25,56.0,4.0,19.0,1.0,5,29.0,0.0,35.0,1,0,1
26,48.0,8.0,20.0,1.0,2,49.0,0.0,40.0,0,1,1
27,42.0,1.0,16.0,1.0,3,49.0,1.0,75.0,0,1,1
28,21.0,1.0,7.0,1.0,4,49.0,0.0,49.0,1,0,0
29,63.0,4.0,18.0,1.0,2,6.0,2.0,27.0,0,0,0
30,65.0,1.0,22.0,1.0,0,49.0,1.0,40.0,0,0,1
31,22.0,1.0,16.0,1.0,2,501.0,1.0,40.0,0,1,1
32,19.0,1.0,21.0,3.0,3,49.0,0.0,40.0,1,1,1
33,20.0,4.0,21.0,1.0,0,6.0,1.0,61.0,1,1,0
34,35.0,1.0,16.0,4.0,2,21.0,0.0,39.0,0,1,0
35,17.0,1.0,19.0,1.0,5,19.0,1.0,40.0,1,1,1
36,21.0,1.0,21.0,1.0,0,49.0,0.0,39.0,0,1,1
37,48.0,6.0,20.0,1.0,2,16.0,0.0,40.0,1,1,1
38,81.0,4.0,16.0,1.0,1,2.0,0.0,40.0,0,0,0
39,60.0,1.0,20.0,1.0,1,49.0,2.0,42.0,0,1,0
40,28.0,8.0,19.0,5.0,0,228.0,0.0,40.0,0,1,0
41,19.0,5.0,13.0,4.0,4,49.0,0.0,40.0,1,1,1
42,24.0,8.0,16.0,1.0,2,10.0,14.0,40.0,0,1,0
43,60.0,1.0,21.0,1.0,2,49.0,13.0,40.0,0,1,1
44,80.0,1.0,18.0,1.0,1,314.0,1.0,40.0,0,1,0
45,67.0,1.0,22.0,1.0,0,303.0,0.0,40.0,1,0,1
46,60.0,1.0,18.0,5.0,2,72.0,15.0,19.0,1,0,0
47,28.0,5.0,16.0,1.0,4,49.0,1.0,40.0,1,1,0
48,44.0,2.0,19.0,5.0,0,49.0,2.0,61.0,0,1,0
49,84.0,1.0,19.0,2.0,1,361.0,0.0,40.0,0,0,0
50,72.0,4.0,21.0,1.0,0,6.0,1.0,35.0,0,1,1
51,75.0,4.0,21.0,5.0,0,416.0,0.0,22.0,0,0,1
52,48.0,1.0,21.0,3.0,0,49.0,0.0,32.0,0,1,1
53,79.0,1.0,22.0,1.0,0,49.0,1.0,40.0,0,1,1
54,78.0,1.0,18.0,1.0,1,40.0,1.0,40.0,0,1,0
55,73.0,1.0,20.0,1.0,2,49.0,0.0,20.0,0,1,1
56,65.0,1.0,16.0,5.0,2,365.0,2.0,40.0,1,1,0
57,66.0,8.0,21.0,1.0,0,16.0,0.0,40.0,1,1,1
58,43.0,6.0,19.0,1.0,0,49.0,1.0,40.0,0,1,1
59,19.0,8.0,21.0,5.0,0,6.0,8.0,42.0,0,0,0
60,25.0,1.0,19.0,1.0,1,49.0,1.0,59.0,0,1,0
61,47.0,1.0,10.0,1.0,0,49.0,0.0,40.0,1,1,0
62,23.0,1.0,21.0,1.0,0,49.0,2.0,54.0,1,1,1
63,20.0,1.0,19.0,1.0,5,49.0,1.0,40.0,1,1,0
64,31.0,4.0,21.0,1.0,-1,49.0,6.0,40.0,1,1,0
65,85.0,5.0,16.0,1.0,4,149.0,0.0,40.0,1,1,1
66,61.0,1.0,19.0,1.0,-1,49.0,1.0,40.0,1,1,1
67,35.0,3.0,18.0,5.0,4,48.0,10.0,40.0,1,1,0
68,86.0,1.0,7.0,1.0,2,49.0,0.0,40.0,1,1,0
69,48.0,1.0,16.0,1.0,1,132.0,0.0,33.0,1,1,0
70,55.0,8.0,16.0,5.0,-1,49.0,2.0,8.0,1,1,1
