,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
0,22.0,1.0,24.0,1.0,0,49.0,1.0,50.0,0,1,0
1,23.0,1.0,19.0,1.0,0,49.0,1.0,20.0,0,1,0
2,57.0,5.0,13.0,1.0,2,49.0,0.0,45.0,1,1,1
3,17.0,2.0,14.0,5.0,0,49.0,0.0,16.0,0,1,0
4,19.0,1.0,16.0,5.0,0,49.0,5.0,40.0,0,1,0
5,62.0,1.0,13.0,1.0,2,49.0,1.0,2.0,0,1,0
6,53.0,1.0,19.0,1.0,3,49.0,1.0,42.0,1,1,1
7,22.0,1.0,19.0,5.0,0,233.0,2.0,3.0,1,1,0
8,23.0,1.0,19.0,1.0,4,49.0,1.0,20.0,0,1,0
9,23.0,6.0,16.0,1.0,3,49.0,1.0,20.0,0,1,0
10,26.0,1.0,21.0,1.0,0,49.0,1.0,40.0,1,1,1
11,60.0,3.0,22.0,3.0,0,49.0,0.0,40.0,1,1,1
12,26.0,7.0,14.0,1.0,4,49.0,0.0,40.0,1,1,0
13,40.0,1.0,20.0,1.0,3,49.0,9.0,25.0,1,0,0
14,26.0,1.0,6.0,5.0,4,6.0,2.0,50.0,0,1,0
15,52.0,2.0,19.0,1.0,2,49.0,1.0,40.0,1,1,1
16,63.0,3.0,18.0,1.0,0,49.0,1.0,25.0,1,1,0
17,49.0,1.0,22.0,3.0,0,12.0,0.0,50.0,1,1,1
18,43.0,4.0,18.0,1.0,0,49.0,1.0,20.0,1,1,1
19,19.0,1.0,14.0,5.0,4,16.0,0.0,40.0,0,1,0
20,19.0,1.0,19.0,5.0,4,6.0,15.0,25.0,1,1,0
21,38.0,1.0,20.0,1.0,1,49.0,1.0,40.0,1,1,1
22,30.0,4.0,22.0,1.0,0,49.0,0.0,50.0,0,1,1
23,43.0,1.0,20.0,1.0,4,49.0,0.0,40.0,0,1,0
24,64.0,1.0,18.0,1.0,1,49.0,1.0,40.0,0,1,1
25,27.0,1.0,19.0,5.0,4,8.0,2.0,12.0,1,1,0
26,46.0,1.0,19.0,5.0,2,41.0,13.0,60.0,1,1,1
27,50.0,1.0,19.0,5.0,2,27.0,0.0,36.0,1,1,1
28,26.0,6.0,5.0,1.0,3,373.0,0.0,38.0,1,0,0
29,30.0,5.0,20.0,1.0,0,11.0,0.0,40.0,0,1,0
30,64.0,1.0,19.0,1.0,2,6.0,2.0,80.0,1,1,1
31,27.0,1.0,21.0,5.0,0,149.0,2.0,60.0,1,1,1
32,22.0,1.0,19.0,5.0,2,4.0,2.0,60.0,1,1,0
33,20.0,1.0,16.0,1.0,3,49.0,1.0,20.0,1,0,0
34,19.0,1.0,19.0,1.0,2,49.0,0.0,25.0,0,1,0
35,27.0,1.0,16.0,1.0,2,49.0,1.0,35.0,0,1,0
36,23.0,1.0,20.0,5.0,3,49.0,5.0,40.0,0,1,0
37,37.0,1.0,22.0,1.0,0,49.0,1.0,43.0,1,1,0
38,26.0,1.0,18.0,5.0,4,49.0,0.0,40.0,0,1,0
39,51.0,1.0,19.0,3.0,0,49.0,2.0,40.0,0,1,1
40,42.0,1.0,21.0,3.0,2,49.0,13.0,25.0,1,1,0
41,63.0,1.0,16.0,1.0,1,49.0,1.0,40.0,1,1,1
42,45.0,7.0,21.0,1.0,0,16.0,0.0,5.0,0,1,0
43,22.0,6.0,16.0,5.0,2,49.0,0.0,50.0,0,1,0
44,37.0,2.0,16.0,1.0,1,49.0,1.0,40.0,1,1,1
45,30.0,1.0,18.0,1.0,4,49.0,1.0,40.0,1,1,1
46,55.0,1.0,20.0,1.0,4,49.0,1.0,45.0,1,1,1
47,46.0,6.0,16.0,5.0,1,49.0,12.0,40.0,1,1,1
48,37.0,1.0,21.0,1.0,1,49.0,0.0,50.0,0,1,1
49,35.0,1.0,19.0,1.0,0,49.0,1.0,40.0,0,0,1
50,63.0,1.0,16.0,1.0,4,12.0,1.0,40.0,1,0,1
51,18.0,2.0,19.0,5.0,0,51.0,2.0,40.0,1,1,0
52,50.0,5.0,19.0,1.0,0,26.0,1.0,40.0,1,0,1
53,41.0,1.0,19.0,1.0,2,8.0,0.0,40.0,0,1,1
54,24.0,1.0,16.0,1.0,4,49.0,0.0,60.0,1,1,1
55,19.0,4.0,19.0,5.0,0,32.0,0.0,40.0,0,1,0
56,35.0,5.0,20.0,1.0,0,8.0,0.0,65.0,1,1,1
57,31.0,1.0,18.0,1.0,4,49.0,0.0,15.0,0,1,0
58,19.0,1.0,19.0,5.0,0,49.0,2.0,25.0,1,1,0
59,32.0,1.0,16.0,1.0,4,17.0,0.0,38.0,1,1,0
60,57.0,6.0,13.0,1.0,4,49.0,0.0,45.0,1,1,1
61,39.0,6.0,16.0,1.0,1,49.0,1.0,40.0,1,0,1
62,53.0,2.0,23.0,1.0,0,49.0,0.0,30.0,1,1,1
63,60.0,1.0,19.0,1.0,2,6.0,0.0,45.0,1,1,1
64,48.0,1.0,17.0,1.0,2,6.0,1.0,45.0,1,1,0
65,24.0,1.0,16.0,1.0,1,6.0,0.0,16.0,1,1,0
66,58.0,1.0,19.0,1.0,1,303.0,0.0,40.0,1,0,1
67,22.0,1.0,19.0,5.0,0,49.0,2.0,26.0,1,1,1
68,30.0,1.0,20.0,5.0,2,49.0,0.0,40.0,0,1,0
69,63.0,2.0,20.0,2.0,0,12.0,0.0,50.0,0,1,0
70,42.0,2.0,16.0,1.0,0,49.0,0.0,40.0,1,0,0
71,42.0,1.0,18.0,1.0,4,303.0,0.0,40.0,1,1,1
72,20.0,1.0,17.0,5.0,4,49.0,12.0,40.0,0,1,0
73,18.0,1.0,16.0,5.0,1,49.0,10.0,40.0,1,1,0
74,60.0,1.0,19.0,1.0,2,49.0,1.0,40.0,0,1,0
75,70.0,1.0,17.0,2.0,2,6.0,0.0,5.0,1,1,0
76,20.0,1.0,17.0,5.0,4,49.0,0.0,18.0,0,1,0
77,24.0,1.0,16.0,5.0,3,6.0,12.0,40.0,0,1,0
78,45.0,1.0,18.0,3.0,4,39.0,2.0,40.0,1,1,1
79,34.0,2.0,22.0,1.0,0,49.0,1.0,40.0,1,1,1
80,40.0,1.0,16.0,1.0,3,6.0,0.0,45.0,1,1,1
81,23.0,1.0,21.0,5.0,0,42.0,2.0,40.0,0,1,0
82,26.0,1.0,3.0,5.0,4,49.0,0.0,40.0,1,1,1
83,30.0,1.0,21.0,1.0,0,41.0,0.0,2.0,0,1,0
84,18.0,6.0,20.0,5.0,3,48.0,12.0,40.0,1,1,0
85,20.0,1.0,16.0,1.0,2,49.0,0.0,12.0,0,1,0
86,57.0,1.0,18.0,3.0,0,16.0,10.0,50.0,0,1,1
87,39.0,4.0,21.0,1.0,0,51.0,1.0,20.0,1,1,0
88,73.0,1.0,21.0,1.0,0,105.0,0.0,55.0,0,0,0
89,29.0,1.0,18.0,5.0,2,49.0,15.0,8.0,1,1,0
90,21.0,1.0,18.0,5.0,3,17.0,2.0,45.0,0,1,0
91,37.0,1.0,21.0,1.0,4,56.0,0.0,15.0,0,0,0
92,33.0,6.0,19.0,3.0,3,49.0,13.0,40.0,1,1,1
93,53.0,1.0,16.0,1.0,2,31.0,1.0,55.0,1,1,1
94,73.0,2.0,19.0,1.0,1,148.0,0.0,4.0,0,1,0
95,36.0,2.0,22.0,5.0,0,42.0,10.0,30.0,0,1,0
96,55.0,4.0,19.0,1.0,2,49.0,1.0,40.0,0,1,1
97,56.0,1.0,17.0,3.0,4,48.0,11.0,15.0,0,1,0
98,62.0,1.0,16.0,3.0,0,414.0,0.0,35.0,0,0,0
99,38.0,1.0,21.0,1.0,2,49.0,0.0,42.0,1,1,1
100,56.0,1.0,18.0,1.0,4,2.0,1.0,40.0,1,1,0
101,23.0,1.0,21.0,5.0,0,49.0,2.0,32.0,1,1,0
102,33.0,1.0,17.0,1.0,3,26.0,1.0,40.0,1,1,1
103,52.0,2.0,22.0,1.0,0,49.0,9.0,40.0,1,1,0
104,40.0,7.0,21.0,1.0,-1,49.0,3.0,40.0,1,1,1
105,20.0,4.0,19.0,5.0,1,6.0,15.0,40.0,0,1,0
106,30.0,1.0,20.0,1.0,3,49.0,1.0,20.0,0,1,0
107,26.0,7.0,21.0,1.0,0,16.0,0.0,40.0,1,1,0
108,24.0,3.0,21.0,1.0,2,49.0,0.0,10.0,0,1,0
109,44.0,6.0,21.0,1.0,2,49.0,0.0,40.0,1,1,1
110,61.0,1.0,19.0,1.0,2,49.0,0.0,40.0,1,1,1
111,44.0,7.0,22.0,1.0,0,49.0,0.0,40.0,0,1,1
112,20.0,1.0,19.0,5.0,0,4.0,17.0,25.0,0,0,0
113,41.0,1.0,17.0,1.0,0,49.0,1.0,42.0,0,1,1
114,61.0,1.0,18.0,1.0,2,49.0,0.0,37.0,0,1,1
115,32.0,1.0,19.0,5.0,4,35.0,17.0,20.0,1,1,1
116,46.0,1.0,16.0,1.0,0,6.0,0.0,16.0,0,1,0
117,22.0,1.0,19.0,1.0,2,49.0,1.0,40.0,1,1,0
118,61.0,1.0,21.0,1.0,0,49.0,1.0,30.0,1,1,1
119,35.0,1.0,22.0,1.0,0,49.0,1.0,10.0,1,1,0
120,18.0,1.0,16.0,5.0,1,6.0,3.0,35.0,1,1,0
121,43.0,1.0,16.0,5.0,2,49.0,0.0,40.0,0,1,0
122,22.0,1.0,20.0,5.0,2,48.0,0.0,20.0,0,1,0
123,28.0,1.0,16.0,1.0,2,49.0,0.0,41.0,0,1,1
124,54.0,7.0,19.0,1.0,1,49.0,0.0,40.0,1,1,1
125,19.0,1.0,16.0,5.0,4,49.0,2.0,24.0,0,1,0
126,52.0,1.0,21.0,4.0,2,49.0,17.0,20.0,0,1,0
127,23.0,1.0,19.0,5.0,1,49.0,17.0,40.0,0,1,0
128,51.0,1.0,3.0,5.0,2,32.0,12.0,80.0,1,1,1
129,59.0,5.0,19.0,1.0,2,48.0,0.0,40.0,1,1,1
130,43.0,1.0,21.0,1.0,0,49.0,2.0,40.0,1,1,1
131,25.0,4.0,20.0,1.0,0,240.0,0.0,45.0,1,1,1
132,52.0,1.0,21.0,3.0,3,49.0,0.0,40.0,1,1,0
133,31.0,1.0,16.0,1.0,4,49.0,1.0,30.0,1,1,0
134,21.0,1.0,14.0,1.0,4,49.0,1.0,40.0,1,1,0
135,41.0,1.0,6.0,1.0,4,49.0,0.0,50.0,1,0,1
136,58.0,4.0,21.0,1.0,0,303.0,1.0,40.0,0,0,1
137,58.0,1.0,17.0,1.0,2,25.0,0.0,30.0,0,1,0
138,45.0,1.0,21.0,5.0,2,49.0,15.0,20.0,1,1,0
139,47.0,1.0,16.0,1.0,4,49.0,1.0,45.0,0,1,1
140,62.0,3.0,16.0,1.0,0,41.0,1.0,40.0,0,1,1
141,32.0,4.0,20.0,1.0,1,10.0,1.0,20.0,0,1,1
142,45.0,5.0,18.0,1.0,0,49.0,1.0,40.0,0,1,1
143,23.0,1.0,6.0,5.0,1,42.0,2.0,50.0,1,1,0
144,28.0,1.0,21.0,5.0,2,6.0,2.0,55.0,1,1,1
145,26.0,1.0,3.0,1.0,4,42.0,0.0,40.0,0,1,1
146,33.0,2.0,16.0,3.0,4,49.0,0.0,40.0,1,1,1
147,39.0,1.0,19.0,1.0,4,6.0,1.0,40.0,1,0,0
148,21.0,1.0,20.0,5.0,2,49.0,2.0,35.0,0,0,0
149,28.0,1.0,21.0,1.0,0,4.0,0.0,40.0,1,1,1
150,20.0,1.0,19.0,5.0,2,16.0,5.0,40.0,1,1,0
151,60.0,6.0,16.0,1.0,0,30.0,17.0,25.0,1,1,1
152,43.0,4.0,19.0,1.0,0,49.0,6.0,40.0,1,1,1
153,58.0,3.0,19.0,1.0,4,56.0,1.0,50.0,1,1,1
154,19.0,5.0,18.0,5.0,3,16.0,2.0,30.0,0,1,0
155,34.0,6.0,21.0,5.0,0,49.0,2.0,40.0,0,1,1
156,50.0,4.0,21.0,3.0,0,27.0,0.0,40.0,1,1,1
157,64.0,1.0,19.0,3.0,1,49.0,12.0,60.0,0,1,0
158,29.0,1.0,16.0,4.0,4,36.0,2.0,40.0,0,1,1
159,54.0,3.0,22.0,1.0,-1,49.0,0.0,50.0,1,1,1
160,17.0,1.0,14.0,5.0,1,56.0,11.0,15.0,0,1,0
161,36.0,5.0,21.0,1.0,0,6.0,0.0,40.0,0,1,0
162,41.0,3.0,16.0,3.0,0,56.0,0.0,50.0,1,1,1
163,61.0,1.0,18.0,1.0,0,49.0,1.0,45.0,0,1,1
164,63.0,3.0,19.0,4.0,0,27.0,0.0,20.0,1,1,0
165,62.0,1.0,21.0,1.0,0,41.0,0.0,55.0,1,1,1
166,51.0,1.0,16.0,1.0,1,49.0,1.0,46.0,1,0,1
167,54.0,1.0,18.0,1.0,1,207.0,1.0,45.0,0,1,1
168,39.0,4.0,21.0,1.0,0,6.0,1.0,50.0,1,1,1
169,54.0,2.0,18.0,1.0,0,329.0,1.0,50.0,0,1,1
170,59.0,1.0,16.0,1.0,2,17.0,1.0,7.0,1,1,1
171,70.0,6.0,19.0,2.0,2,49.0,0.0,40.0,0,1,0
172,60.0,1.0,9.0,1.0,1,49.0,9.0,45.0,0,1,0
173,17.0,7.0,15.0,5.0,-1,217.0,17.0,30.0,0,0,0
174,25.0,2.0,19.0,5.0,0,49.0,2.0,40.0,1,1,0
175,64.0,1.0,22.0,1.0,0,53.0,1.0,30.0,1,1,1
176,28.0,1.0,24.0,1.0,-1,4.0,1.0,10.0,0,1,0
177,53.0,1.0,16.0,1.0,2,49.0,1.0,40.0,1,1,1
178,48.0,1.0,18.0,1.0,2,48.0,0.0,50.0,1,1,1
