,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
12288,31.0,1.0,21.0,1.0,0,6.0,0.0,40.0,1,1,1
3775,43.0,1.0,18.0,3.0,1,49.0,0.0,60.0,0,1,1
6752,40.0,1.0,14.0,5.0,1,303.0,5.0,40.0,0,1,0
2676,31.0,1.0,21.0,5.0,0,49.0,0.0,36.0,0,1,1
15816,65.0,4.0,21.0,1.0,4,49.0,0.0,40.0,1,1,1
9251,63.0,2.0,20.0,1.0,2,49.0,0.0,17.0,0,1,0
3918,17.0,1.0,14.0,5.0,0,6.0,7.0,5.0,1,1,0
11628,39.0,3.0,18.0,1.0,0,6.0,1.0,16.0,1,1,0
4223,46.0,2.0,16.0,1.0,3,41.0,0.0,40.0,1,1,1
741,41.0,1.0,15.0,1.0,2,49.0,1.0,40.0,0,1,0
13168,25.0,6.0,19.0,5.0,1,55.0,0.0,30.0,0,1,0
5909,74.0,6.0,17.0,1.0,2,6.0,0.0,5.0,1,1,1
3865,58.0,1.0,16.0,3.0,0,301.0,0.0,45.0,1,1,1
14355,29.0,1.0,21.0,1.0,2,48.0,0.0,38.0,1,1,0
5330,69.0,7.0,20.0,1.0,3,49.0,0.0,40.0,1,1,1
1629,38.0,1.0,21.0,1.0,0,49.0,1.0,24.0,0,1,0
10037,32.0,5.0,20.0,1.0,5,39.0,1.0,50.0,1,1,1
13322,51.0,1.0,16.0,1.0,4,6.0,0.0,40.0,0,1,0
6687,62.0,1.0,16.0,1.0,3,56.0,0.0,40.0,1,1,1
16036,39.0,4.0,21.0,4.0,0,49.0,0.0,50.0,0,1,1
13279,35.0,2.0,19.0,5.0,4,49.0,0.0,40.0,0,1,0
13443,41.0,1.0,18.0,1.0,2,49.0,0.0,40.0,1,1,1
13102,45.0,1.0,16.0,5.0,1,49.0,5.0,40.0,1,1,0
15566,24.0,5.0,19.0,1.0,4,13.0,1.0,40.0,1,0,0
6785,36.0,1.0,16.0,1.0,4,49.0,1.0,40.0,1,1,1
7755,57.0,1.0,22.0,1.0,0,49.0,0.0,55.0,1,1,1
13936,23.0,1.0,21.0,1.0,0,301.0,7.0,30.0,0,1,0
9191,24.0,2.0,21.0,1.0,0,49.0,2.0,40.0,1,1,1
960,18.0,1.0,18.0,5.0,2,6.0,2.0,45.0,0,1,0
10400,38.0,1.0,15.0,1.0,3,49.0,1.0,40.0,1,1,1
4349,58.0,1.0,20.0,1.0,4,6.0,1.0,40.0,1,1,0
14363,27.0,1.0,22.0,5.0,4,49.0,2.0,80.0,1,1,0
2891,48.0,1.0,19.0,1.0,3,49.0,0.0,50.0,1,1,1
7966,28.0,1.0,21.0,1.0,0,53.0,0.0,80.0,1,1,1
9644,47.0,1.0,21.0,1.0,0,49.0,1.0,45.0,1,1,1
155,21.0,1.0,19.0,5.0,4,56.0,17.0,30.0,1,1,0
2982,59.0,6.0,20.0,5.0,0,49.0,0.0,50.0,1,1,0
2570,21.0,1.0,16.0,1.0,3,49.0,9.0,35.0,1,1,1
7310,22.0,1.0,18.0,1.0,2,49.0,1.0,35.0,0,1,0
5978,47.0,2.0,22.0,3.0,0,16.0,0.0,25.0,0,1,0
10403,20.0,2.0,19.0,5.0,0,17.0,2.0,8.0,1,1,0
10949,49.0,1.0,18.0,1.0,4,25.0,0.0,60.0,1,1,1
16030,26.0,7.0,21.0,1.0,0,53.0,1.0,25.0,0,1,0
3066,41.0,1.0,19.0,1.0,2,49.0,5.0,20.0,0,1,0
2122,51.0,7.0,16.0,1.0,0,41.0,1.0,84.0,1,1,0
10382,21.0,1.0,15.0,5.0,0,49.0,2.0,50.0,1,1,0
14282,57.0,5.0,21.0,1.0,2,49.0,0.0,45.0,1,1,1
1980,31.0,1.0,16.0,1.0,4,6.0,0.0,27.0,0,1,0
