,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
0,74.0,1.0,19.0,5.0,2,49.0,4.0,40.0,0,1,1
1,19.0,1.0,11.0,1.0,0,49.0,0.0,11.0,0,1,1
2,42.0,1.0,16.0,1.0,2,49.0,17.0,38.0,0,1,0
3,34.0,1.0,8.0,5.0,0,6.0,2.0,40.0,1,1,0
4,68.0,1.0,12.0,1.0,0,49.0,1.0,45.0,0,1,0
5,53.0,1.0,17.0,3.0,1,49.0,0.0,11.0,1,1,1
6,30.0,1.0,19.0,1.0,1,49.0,1.0,40.0,0,1,0
7,45.0,4.0,15.0,1.0,0,49.0,1.0,40.0,0,1,0
8,23.0,1.0,3.0,5.0,3,421.0,0.0,21.0,1,0,1
9,25.0,1.0,9.0,1.0,1,117.0,1.0,40.0,1,1,1
10,83.0,1.0,21.0,5.0,1,49.0,12.0,24.0,0,1,0
11,61.0,1.0,16.0,5.0,2,49.0,2.0,24.0,1,1,0
12,49.0,1.0,19.0,1.0,0,468.0,1.0,50.0,0,1,0
13,82.0,1.0,9.0,1.0,-1,369.0,1.0,55.0,1,0,1
14,72.0,1.0,3.0,5.0,1,21.0,17.0,40.0,0,1,0
15,37.0,2.0,4.0,3.0,1,49.0,4.0,40.0,1,1,1
16,30.0,1.0,19.0,5.0,2,49.0,15.0,40.0,0,1,0
17,70.0,1.0,13.0,5.0,1,372.0,10.0,85.0,1,1,1
18,24.0,1.0,18.0,1.0,4,440.0,1.0,40.0,0,1,1
19,77.0,1.0,19.0,1.0,0,321.0,0.0,40.0,1,1,1
20,47.0,3.0,16.0,3.0,5,49.0,0.0,40.0,1,1,0
21,19.0,1.0,11.0,5.0,0,6.0,2.0,50.0,0,1,0
22,55.0,1.0,21.0,5.0,2,49.0,0.0,40.0,1,1,1
23,85.0,1.0,6.0,1.0,0,6.0,1.0,60.0,0,1,1
24,38.0,1.0,16.0,1.0,2,6.0,0.0,84.0,0,1,1
25,83.0,1.0,20.0,3.0,4,49.0,2.0,6.0,1,1,0
26,68.0,4.0,18.0,1.0,5,49.0,0.0,40.0,0,1,1
27,41.0,1.0,16.0,3.0,4,49.0,2.0,65.0,0,1,0
28,75.0,1.0,16.0,1.0,0,49.0,0.0,45.0,1,1,1
29,80.0,1.0,11.0,1.0,0,6.0,0.0,6.0,0,1,0
30,82.0,1.0,16.0,1.0,0,6.0,1.0,40.0,1,1,1
31,74.0,1.0,20.0,1.0,1,24.0,1.0,31.0,0,1,1
32,29.0,1.0,10.0,5.0,1,49.0,4.0,40.0,0,1,0
33,65.0,1.0,16.0,1.0,2,49.0,0.0,40.0,1,1,1
34,35.0,1.0,21.0,1.0,1,369.0,0.0,52.0,1,1,0
35,76.0,1.0,19.0,1.0,1,49.0,0.0,40.0,0,1,0
36,77.0,7.0,21.0,1.0,5,213.0,1.0,40.0,0,1,0
37,70.0,1.0,16.0,1.0,2,49.0,0.0,40.0,0,1,1
38,51.0,3.0,19.0,1.0,2,49.0,1.0,40.0,1,1,1
39,71.0,1.0,19.0,5.0,1,49.0,8.0,56.0,1,1,1
40,23.0,1.0,11.0,1.0,0,6.0,0.0,52.0,1,1,0
41,56.0,1.0,10.0,1.0,3,49.0,1.0,40.0,0,1,1
42,34.0,3.0,19.0,5.0,0,49.0,0.0,90.0,0,0,0
43,55.0,4.0,18.0,1.0,5,49.0,0.0,37.0,0,1,0
44,85.0,1.0,11.0,1.0,0,49.0,0.0,5.0,1,1,1
45,24.0,1.0,21.0,5.0,0,440.0,16.0,24.0,0,1,1
46,29.0,1.0,19.0,5.0,2,49.0,0.0,6.0,1,1,1
47,70.0,1.0,18.0,1.0,1,49.0,1.0,40.0,1,1,1
48,65.0,6.0,21.0,1.0,0,49.0,0.0,7.0,1,1,0
49,29.0,5.0,21.0,1.0,0,49.0,1.0,40.0,0,1,0
50,37.0,1.0,4.0,5.0,5,30.0,2.0,51.0,0,1,0
51,71.0,4.0,10.0,1.0,0,49.0,0.0,3.0,0,1,1
52,73.0,1.0,21.0,3.0,5,49.0,0.0,40.0,1,1,1
53,47.0,1.0,21.0,5.0,0,49.0,16.0,37.0,1,1,0
54,62.0,1.0,16.0,5.0,2,119.0,3.0,40.0,0,1,0
55,86.0,6.0,19.0,5.0,0,228.0,14.0,40.0,1,1,1
56,47.0,1.0,19.0,5.0,2,49.0,4.0,45.0,0,1,0
57,77.0,2.0,21.0,1.0,2,105.0,1.0,40.0,1,0,0
58,47.0,7.0,19.0,1.0,0,469.0,0.0,40.0,0,1,1
59,32.0,8.0,18.0,1.0,0,49.0,1.0,20.0,0,1,0
60,23.0,6.0,21.0,1.0,0,34.0,1.0,12.0,1,1,0
61,39.0,1.0,14.0,1.0,0,421.0,0.0,38.0,0,1,0
62,83.0,1.0,16.0,5.0,2,49.0,0.0,45.0,0,1,1
63,28.0,1.0,16.0,1.0,2,49.0,1.0,22.0,0,1,0
64,55.0,1.0,21.0,5.0,2,164.0,2.0,75.0,0,1,0
65,60.0,1.0,5.0,3.0,3,49.0,12.0,45.0,0,1,1
66,42.0,1.0,18.0,1.0,0,6.0,2.0,25.0,1,1,0
67,82.0,1.0,21.0,1.0,0,12.0,1.0,27.0,1,0,0
68,68.0,1.0,3.0,1.0,0,49.0,0.0,40.0,0,1,1
69,79.0,1.0,21.0,3.0,0,31.0,2.0,40.0,1,1,0
70,23.0,1.0,21.0,3.0,1,329.0,0.0,57.0,1,1,1
71,18.0,1.0,16.0,5.0,2,49.0,0.0,5.0,0,0,0
72,34.0,1.0,16.0,1.0,1,49.0,0.0,46.0,0,1,0
73,18.0,1.0,21.0,1.0,0,49.0,0.0,40.0,0,1,1
74,34.0,1.0,19.0,1.0,1,120.0,1.0,26.0,0,1,0
75,72.0,1.0,13.0,5.0,1,6.0,4.0,40.0,0,1,0
76,51.0,1.0,21.0,1.0,4,207.0,1.0,70.0,0,1,0
