,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
0,87.0,1.0,19.0,5.0,0,49.0,0.0,20.0,0,1,0
1,41.0,4.0,17.0,5.0,2,49.0,4.0,40.0,1,1,1
2,28.0,1.0,22.0,5.0,0,49.0,12.0,50.0,1,1,1
3,29.0,4.0,22.0,1.0,0,49.0,1.0,67.0,1,1,0
4,26.0,1.0,21.0,1.0,0,49.0,1.0,40.0,1,1,0
5,59.0,1.0,16.0,1.0,2,49.0,1.0,50.0,0,1,1
6,38.0,1.0,22.0,1.0,4,303.0,0.0,80.0,1,1,1
7,48.0,1.0,21.0,1.0,0,128.0,1.0,6.0,1,1,1
8,22.0,2.0,21.0,1.0,0,214.0,2.0,61.0,1,1,0
9,52.0,1.0,17.0,1.0,4,49.0,0.0,60.0,1,1,1
10,40.0,1.0,18.0,1.0,0,49.0,1.0,50.0,1,1,1
11,58.0,7.0,24.0,1.0,-1,49.0,0.0,40.0,0,1,1
12,41.0,1.0,16.0,1.0,3,311.0,1.0,55.0,1,1,1
13,36.0,6.0,21.0,3.0,0,361.0,0.0,10.0,0,0,0
14,32.0,1.0,16.0,1.0,1,49.0,1.0,30.0,0,1,1
15,42.0,3.0,21.0,1.0,2,49.0,1.0,50.0,1,1,1
16,52.0,7.0,18.0,1.0,4,39.0,0.0,60.0,1,0,1
17,48.0,7.0,20.0,1.0,0,49.0,0.0,30.0,1,1,0
18,58.0,1.0,16.0,1.0,0,311.0,0.0,50.0,1,1,1
19,24.0,1.0,19.0,2.0,1,49.0,0.0,40.0,1,1,1
20,59.0,6.0,19.0,1.0,0,49.0,1.0,45.0,1,1,1
21,50.0,3.0,16.0,3.0,2,116.0,0.0,40.0,0,0,1
22,29.0,1.0,19.0,1.0,0,49.0,0.0,40.0,0,1,1
23,60.0,1.0,18.0,1.0,3,49.0,0.0,40.0,0,1,0
24,64.0,1.0,16.0,1.0,4,49.0,1.0,30.0,1,1,0
25,60.0,4.0,22.0,1.0,0,49.0,0.0,21.0,1,1,1
26,34.0,5.0,21.0,1.0,0,49.0,1.0,45.0,1,1,1
27,22.0,3.0,16.0,5.0,0,6.0,12.0,40.0,0,1,1
28,33.0,1.0,22.0,1.0,2,6.0,0.0,30.0,0,1,0
29,28.0,1.0,14.0,1.0,1,49.0,1.0,40.0,0,1,1
30,54.0,1.0,16.0,3.0,3,56.0,17.0,40.0,1,0,1
31,40.0,1.0,16.0,1.0,2,49.0,1.0,50.0,1,1,1
32,26.0,2.0,19.0,5.0,1,49.0,17.0,9.0,0,1,0
33,33.0,5.0,19.0,1.0,0,49.0,0.0,40.0,0,1,0
34,18.0,1.0,14.0,5.0,3,49.0,2.0,32.0,1,1,0
35,19.0,1.0,19.0,5.0,0,17.0,2.0,35.0,0,1,0
36,21.0,1.0,16.0,1.0,1,49.0,0.0,35.0,0,1,0
37,44.0,1.0,20.0,5.0,1,53.0,5.0,66.0,1,1,1
38,23.0,1.0,20.0,3.0,2,49.0,0.0,40.0,0,1,0
39,27.0,1.0,20.0,5.0,1,12.0,3.0,35.0,0,1,0
40,33.0,1.0,18.0,1.0,2,56.0,0.0,40.0,1,0,1
41,36.0,6.0,19.0,1.0,1,49.0,1.0,35.0,0,1,0
42,28.0,1.0,21.0,5.0,0,49.0,12.0,40.0,0,1,1
43,21.0,1.0,19.0,5.0,2,32.0,17.0,30.0,1,0,0
44,43.0,7.0,21.0,1.0,2,6.0,0.0,40.0,1,1,1
45,55.0,1.0,21.0,1.0,2,49.0,0.0,40.0,0,1,0
46,43.0,1.0,21.0,1.0,0,6.0,1.0,45.0,0,1,1
47,55.0,1.0,19.0,1.0,0,364.0,1.0,10.0,0,1,0
48,60.0,1.0,20.0,1.0,0,137.0,0.0,40.0,0,1,1
49,28.0,2.0,21.0,1.0,0,49.0,0.0,24.0,0,1,1
50,39.0,3.0,16.0,1.0,0,49.0,1.0,50.0,0,1,1
51,17.0,1.0,21.0,5.0,2,49.0,17.0,14.0,1,0,1
52,30.0,2.0,22.0,1.0,0,49.0,1.0,40.0,0,0,0
53,40.0,1.0,18.0,1.0,1,6.0,1.0,35.0,0,1,1
54,29.0,1.0,19.0,1.0,4,6.0,1.0,20.0,1,1,0
55,52.0,4.0,22.0,1.0,0,158.0,1.0,32.0,0,0,0
56,19.0,1.0,19.0,5.0,1,49.0,2.0,40.0,1,1,1
57,18.0,1.0,14.0,1.0,4,4.0,1.0,25.0,0,1,0
58,67.0,3.0,18.0,1.0,2,48.0,0.0,50.0,1,1,1
59,40.0,1.0,18.0,1.0,2,17.0,1.0,35.0,1,1,0
60,29.0,4.0,16.0,1.0,4,6.0,0.0,40.0,0,1,0
61,26.0,6.0,21.0,5.0,0,49.0,2.0,40.0,0,1,1
62,28.0,1.0,21.0,1.0,0,49.0,0.0,55.0,1,1,1
63,23.0,1.0,20.0,5.0,3,49.0,2.0,20.0,0,1,0
64,36.0,1.0,16.0,1.0,2,363.0,0.0,24.0,1,1,0
