,age,workclass,education,marital-status,occupation,relationship,race,sex,hours-per-week,native-country,income
0,3,4,15,2,14,0,1,1,2,2,0
1,11,4,14,2,14,5,0,0,2,2,1
2,8,4,14,2,4,0,1,1,2,1,1
3,11,4,10,2,10,5,1,0,2,2,1
4,6,0,11,4,1,1,1,0,2,2,0
5,5,4,9,2,10,0,1,1,2,2,1
6,7,4,9,0,0,1,1,1,1,2,0
7,5,4,2,4,1,1,1,0,2,2,0
8,6,4,15,2,10,5,1,0,1,2,1
9,8,0,8,4,13,1,1,0,2,2,0
10,12,6,9,2,10,5,0,0,2,2,1
11,7,6,11,2,0,0,1,1,3,2,0
12,10,2,15,5,14,1,1,1,2,2,0
13,4,2,15,4,3,3,0,1,0,2,0
14,8,4,11,2,12,4,1,0,2,2,0
15,6,4,15,2,12,0,0,1,2,2,0
16,6,1,11,2,9,0,1,1,2,2,1
17,3,4,11,4,8,3,1,1,1,2,0
18,4,2,11,4,7,1,1,1,2,2,0
19,5,7,15,2,5,0,1,1,3,2,0
20,4,6,11,4,7,1,1,1,2,2,0
21,8,4,6,5,3,1,1,1,2,2,0
22,4,4,1,4,13,2,1,0,1,2,0
23,4,4,15,4,13,3,1,0,2,2,0
24,6,4,15,0,10,1,1,0,2,2,0
25,8,7,11,0,12,4,1,0,2,2,0
26,4,4,11,2,4,0,1,1,2,2,0
27,5,4,11,2,8,0,1,1,2,2,0
28,3,2,15,4,1,1,1,0,2,2,0
29,8,4,11,4,8,1,0,0,2,2,0
30,5,4,15,4,11,3,1,1,1,2,0
31,6,7,9,2,9,5,1,0,2,2,1
32,7,6,8,2,6,0,1,1,2,2,0
33,10,1,10,2,4,0,1,1,3,2,1
34,7,4,11,4,4,3,0,0,0,2,0
35,9,4,14,2,10,0,1,1,1,2,1
36,11,0,11,5,1,1,1,1,2,2,0
37,4,4,11,4,6,3,1,1,2,2,0
38,6,4,9,2,8,0,1,1,0,2,0
39,5,4,11,0,3,1,1,1,2,2,1
40,14,4,9,2,3,0,1,1,2,2,1
41,10,1,9,5,5,3,1,1,1,2,0
42,5,4,8,4,13,3,0,1,2,2,0
43,13,4,2,2,0,0,1,1,3,2,0
44,5,4,12,2,10,0,1,1,2,4,0
45,5,4,0,4,10,3,1,1,1,2,0
46,7,4,9,2,3,0,1,1,2,2,0
47,8,7,8,4,0,3,1,1,1,2,0
48,6,4,11,4,3,3,1,1,2,2,1
49,6,4,14,2,10,0,1,1,2,2,1
50,9,4,12,0,1,1,0,0,2,2,0
51,10,4,11,2,10,0,1,1,2,2,1
52,6,2,11,0,3,4,0,0,2,2,0
53,8,4,0,4,10,2,1,0,0,2,0
