,age,workclass,education,marital-status,occupation,relationship,race,sex,hours-per-week,native-country,income
0,9,4,5,2,7,0,1,1,2,2,0
1,6,4,1,4,8,3,1,0,1,2,0
2,3,4,11,4,8,3,1,1,0,2,0
3,5,4,11,2,12,0,1,1,2,2,0
4,13,5,10,2,10,0,1,1,3,2,0
5,5,4,8,2,6,0,1,1,2,2,1
6,12,1,11,2,14,0,1,1,1,2,0
7,7,4,15,4,10,1,1,0,2,2,0
8,12,1,11,2,3,0,0,1,2,2,1
9,9,4,12,2,4,0,1,1,2,2,1
10,4,4,11,4,1,4,1,0,1,2,0
11,3,4,0,4,8,3,1,0,0,2,0
12,7,4,9,4,11,1,1,1,2,2,0
13,8,4,11,0,4,4,1,0,2,2,0
14,7,4,15,0,1,4,1,0,2,2,0
15,5,6,1,4,3,1,1,1,2,4,0
16,10,4,3,0,7,4,1,0,1,2,0
17,6,4,9,2,12,0,1,1,3,2,0
18,11,4,15,2,4,0,1,1,2,2,1
19,4,4,15,4,6,3,1,0,1,2,0
20,14,4,15,2,14,0,1,1,2,2,0
21,4,4,8,4,12,1,1,0,1,2,0
22,7,4,11,4,3,3,1,0,2,2,0
23,8,4,8,0,8,1,0,0,1,2,0
24,8,4,11,2,4,0,1,1,2,2,1
25,4,4,15,2,5,0,1,1,0,2,0
26,5,4,11,2,10,0,0,1,2,2,0
27,12,5,15,2,4,0,1,1,2,2,0
28,13,4,11,6,1,1,1,1,1,2,0
29,6,2,9,2,10,5,1,0,1,2,0
30,9,4,9,2,4,0,1,1,3,2,1
31,9,4,15,2,4,0,1,1,2,1,1
32,7,4,11,4,8,3,0,1,2,2,0
33,3,0,15,4,0,3,1,1,0,2,0
34,6,4,7,4,4,1,1,1,2,2,0
35,11,4,9,0,10,4,1,0,2,2,1
36,8,6,9,2,10,0,1,1,2,2,1
37,3,4,2,4,8,1,1,0,1,2,0
38,12,4,15,6,8,1,0,0,2,2,0
39,11,4,5,6,8,5,0,0,0,2,0
40,8,1,9,2,10,0,0,1,2,2,1
41,5,4,9,4,6,1,1,1,2,2,0
42,10,7,12,4,4,1,1,0,2,2,0
43,5,4,11,4,1,1,1,0,2,2,0
44,9,1,9,2,10,0,1,1,2,2,1
45,5,4,9,2,10,0,1,1,1,2,0
46,8,4,11,0,7,4,1,0,2,2,0
47,7,4,15,2,14,0,1,1,1,2,1
48,11,2,12,0,10,1,1,0,2,2,1
49,7,4,11,2,4,0,1,1,2,2,1
50,8,4,7,0,4,4,1,0,1,2,0
51,5,4,15,4,6,3,1,1,2,2,0
52,5,4,15,0,1,1,1,0,2,2,0
53,13,7,10,2,10,0,1,1,3,2,1
54,5,4,12,4,10,1,1,1,2,2,0
55,11,4,11,6,8,1,1,0,1,2,0
56,6,4,11,2,3,0,1,1,2,2,0
57,6,4,11,2,7,0,1,1,2,2,0
58,14,4,14,2,12,0,1,1,3,2,1
59,9,6,12,4,10,1,0,0,1,2,0
60,9,4,4,2,7,0,1,1,2,2,0
61,5,4,15,2,8,2,0,1,2,2,0
62,9,4,7,0,8,1,1,0,2,2,0
63,3,4,15,4,3,3,0,1,1,2,0
64,5,4,8,4,3,1,1,1,2,2,0
65,10,4,15,0,7,1,0,1,2,2,1
66,5,4,8,4,1,1,1,0,2,2,0
67,9,4,15,4,1,4,1,0,2,2,0
68,4,2,7,4,10,3,1,0,2,2,0
69,4,4,15,4,13,2,1,0,1,2,0
70,8,1,11,0,1,4,1,0,2,2,0
71,6,4,15,0,1,4,1,0,2,2,0
72,9,4,15,2,12,0,1,1,2,2,0
73,6,4,9,0,12,1,1,0,3,2,0
74,3,4,15,4,13,3,1,1,1,2,0
75,9,4,2,5,3,2,0,1,2,2,0
76,9,4,11,2,6,0,1,1,2,2,1
77,4,4,1,4,6,3,1,1,2,2,0
78,4,4,11,4,6,1,1,1,2,2,0
79,5,4,9,4,10,4,0,1,1,2,0
80,5,1,1,4,6,1,0,0,1,2,0
81,6,6,9,2,5,5,1,0,2,2,0
82,6,2,9,0,10,1,1,1,1,2,1
83,11,4,0,0,8,1,1,1,2,2,0
84,5,4,4,4,7,4,1,1,2,2,0
85,10,4,7,5,1,4,1,0,2,2,0
86,4,4,11,4,6,3,1,1,2,2,0
87,10,0,11,0,0,1,1,0,1,2,0
88,5,4,9,2,12,0,1,1,2,2,0
89,4,4,8,4,8,4,0,0,1,2,0
90,9,7,9,0,13,1,1,1,2,2,0
91,9,4,15,0,9,1,1,0,0,2,0
92,4,4,11,4,6,3,1,1,2,2,0
93,10,4,15,2,12,0,1,1,3,2,1
94,7,4,12,2,4,0,1,1,2,2,0
95,11,6,11,0,3,1,1,0,3,2,0
96,9,4,9,2,4,0,1,1,2,2,1
97,6,4,11,5,7,4,0,0,2,2,0
98,5,2,12,4,10,1,1,0,2,2,0
99,7,4,7,4,13,1,1,0,2,2,0
100,6,4,11,2,3,0,1,1,2,2,0
101,7,7,11,0,8,3,1,0,2,2,0
102,8,6,11,2,12,5,1,0,1,2,0
103,5,4,0,0,1,4,0,0,2,2,0
104,10,4,11,2,3,0,1,1,2,2,0
105,5,4,11,4,1,1,1,0,2,2,0
106,9,4,11,2,12,0,1,1,2,2,1
107,6,4,9,4,3,1,1,1,2,2,0
108,14,4,11,4,13,1,1,0,2,2,0
109,5,4,9,4,3,3,0,1,2,2,0
110,7,4,2,4,3,1,0,1,2,3,0
111,10,4,11,2,12,0,1,1,2,2,0
112,5,4,11,5,14,1,1,1,2,2,0
113,6,4,15,4,8,1,0,0,2,2,0
114,6,4,9,2,10,0,1,1,4,2,0
115,8,4,8,0,1,1,1,0,2,2,0
116,9,7,10,2,10,5,1,0,1,4,1
117,5,4,9,4,4,3,0,1,3,0,1
118,9,8,9,2,5,0,0,1,3,0,0
119,5,4,12,2,10,0,1,1,2,2,1
120,10,4,11,2,3,0,0,1,2,2,0
121,4,4,11,2,7,0,1,1,2,2,0
122,11,2,11,2,3,0,1,1,2,2,0
123,8,4,11,0,12,1,1,0,2,2,0
124,9,4,0,2,3,0,1,1,2,2,0
125,12,1,9,2,1,0,1,1,2,2,1
126,5,4,11,5,1,4,0,0,1,2,0
127,6,4,15,4,8,1,0,0,2,2,0
128,9,6,11,4,4,1,1,1,3,2,1
129,6,4,9,2,4,0,1,1,2,2,1
130,12,2,9,2,1,0,1,1,0,2,0
