,age,workclass,education,marital-status,occupation,relationship,race,sex,hours-per-week,native-country,income
25234,5,4,11,4,5,3,1,1,2,2,0
29819,10,0,11,2,0,0,1,1,1,2,0
9893,6,4,11,2,3,0,1,1,2,2,0
35932,5,4,9,2,12,0,1,1,2,2,1
23358,7,4,9,2,3,0,1,1,2,2,1
39439,7,6,15,0,5,4,1,1,2,2,0
20976,5,4,9,4,13,1,1,0,2,2,0
36341,8,4,15,2,10,0,1,1,2,2,0
45457,6,4,11,2,3,0,1,1,2,2,1
23535,11,0,9,2,0,0,1,1,2,2,1
3895,12,0,15,2,0,5,1,0,2,2,1
46487,11,4,9,2,12,0,1,1,3,2,1
15782,3,0,15,4,0,3,1,0,2,2,0
15684,12,6,11,5,8,1,0,1,2,2,0
17283,11,7,15,2,4,0,1,1,2,2,0
39869,11,2,12,2,4,0,0,1,2,2,1
45553,11,4,1,2,14,0,0,1,3,2,0
9995,7,4,15,2,12,0,1,1,3,2,1
11356,6,4,15,5,4,4,1,0,2,2,0
10203,11,5,15,2,12,0,1,1,2,2,1
19059,10,4,11,0,7,1,1,0,2,1,0
30249,11,7,15,2,4,0,1,1,2,2,1
15307,7,4,11,0,7,4,1,1,2,2,0
9383,5,4,9,4,12,4,1,1,3,2,0
41921,3,4,1,4,8,3,1,0,0,2,0
36717,5,4,1,4,8,1,0,1,2,2,0
14547,7,6,11,4,12,2,1,0,0,2,0
46061,11,6,11,2,1,5,1,0,0,2,0
18822,7,4,9,4,1,1,1,0,2,2,0
34842,5,7,11,2,8,0,1,1,2,2,0
45921,9,4,11,0,8,3,0,0,2,2,0
33818,7,4,12,2,4,0,1,1,2,2,1
11063,4,4,15,4,5,3,1,1,1,2,0
45079,7,6,9,0,8,4,1,0,2,2,0
40315,4,4,11,4,1,3,1,0,2,2,0
41093,3,4,2,4,6,3,1,1,1,2,0
41984,7,2,9,4,4,1,1,1,2,2,0
1363,10,4,15,0,12,4,1,0,2,1,0
9483,6,4,15,0,1,4,1,0,2,2,0
25970,6,4,15,2,3,0,1,1,2,2,0
32330,4,4,2,2,7,0,1,1,2,2,0
34207,9,4,9,4,4,1,1,0,1,2,0
36464,4,4,15,4,1,3,1,1,1,2,0
23761,9,4,11,2,5,0,1,1,2,2,0
27557,7,4,11,4,14,2,1,1,2,2,0
8683,11,4,11,6,1,1,1,0,1,2,0
5381,5,4,9,4,1,1,1,0,1,2,0
47347,3,4,1,4,12,3,1,0,1,2,0
879,3,4,11,4,1,1,1,0,1,2,0
31399,5,2,11,4,1,2,1,1,1,2,0
10192,11,4,15,2,10,0,1,1,1,2,1
27747,14,8,11,2,8,0,1,1,2,2,0
29113,8,4,9,2,7,0,1,1,2,2,1
19091,3,4,2,4,1,3,1,0,1,2,0
11257,7,4,12,0,10,4,1,1,2,2,0
11217,6,0,7,4,0,4,1,1,1,2,0
45634,5,4,15,4,1,4,0,0,2,2,0
23987,8,4,9,2,4,0,1,1,2,2,1
28165,7,4,11,2,7,0,1,1,2,2,0
31331,9,2,7,2,11,0,1,1,2,2,1
42914,7,2,15,4,3,1,1,1,2,2,0
14340,4,4,2,4,1,2,0,1,2,4,0
4233,6,4,9,4,10,1,1,0,3,2,0
32716,3,4,11,4,6,4,1,1,1,2,0
4763,6,1,9,0,11,1,1,1,2,2,1
37966,6,4,15,4,12,1,1,1,2,2,0
2778,7,4,11,5,1,1,1,0,2,2,0
28418,6,1,11,4,1,1,1,1,2,2,0
31291,5,4,15,2,8,5,1,0,3,2,0
35710,4,4,15,4,8,3,1,0,0,2,0
21614,12,4,9,2,10,0,1,1,2,2,1
7560,3,0,15,4,0,3,1,0,2,2,0
15328,8,6,11,0,3,4,1,1,1,2,0
4454,4,4,11,4,12,2,1,1,2,2,0
5238,7,1,9,2,11,0,1,1,3,2,1
25899,10,4,9,5,10,4,0,0,2,0,0
15861,4,4,11,4,12,3,1,0,1,2,0
42949,10,4,15,2,12,0,1,1,3,2,0
46627,8,2,0,2,8,0,1,1,2,2,0
47607,11,4,11,5,9,1,1,0,1,2,0
3473,3,4,15,4,8,3,1,1,1,2,0
45652,10,5,11,2,4,0,1,1,2,2,1
6304,11,7,12,2,10,0,1,1,2,2,1
