,age,workclass,education,marital-status,occupation,relationship,race,sex,hours-per-week,native-country,income
35910,8,4,15,0,1,4,1,0,1,2,0
44994,12,4,11,0,13,1,1,0,2,2,0
12684,4,4,9,4,4,3,0,1,2,2,0
18807,4,4,11,4,1,3,1,0,2,2,0
8970,5,4,15,4,12,1,1,1,2,2,0
8383,6,7,7,4,1,1,1,0,1,2,0
37829,6,2,11,0,1,1,1,0,0,2,0
39838,8,6,15,2,7,0,1,1,1,2,0
10583,8,4,9,2,4,0,1,1,2,2,1
23611,10,4,11,0,7,3,1,1,2,2,0
47223,9,4,8,2,6,0,1,1,2,2,1
41329,7,4,15,0,12,1,1,1,2,2,0
189,11,7,10,2,10,0,1,1,0,2,1
5097,5,4,7,2,12,0,1,1,3,2,0
2492,5,4,11,4,6,3,1,0,2,2,0
39716,8,2,11,5,8,1,0,0,2,2,0
18446,5,2,7,0,8,4,1,0,0,2,0
29443,11,4,1,0,3,1,1,1,2,2,0
40992,7,4,15,2,3,0,1,1,2,2,1
15418,9,4,9,2,4,0,1,1,2,2,1
29840,8,5,9,2,12,0,1,1,2,2,1
12352,10,4,6,6,8,1,1,0,1,2,0
6809,8,4,15,0,4,2,0,0,2,2,0
14522,7,4,8,4,5,1,1,1,3,2,0
11522,6,4,15,4,8,1,0,1,2,2,0
11228,6,0,15,5,0,1,1,1,3,2,0
41474,6,4,11,4,7,1,1,0,2,2,0
5134,10,4,1,2,8,0,1,1,2,2,0
4940,7,4,11,2,7,0,1,1,2,2,1
35854,5,4,15,2,1,3,0,0,2,2,0
4821,9,4,9,0,12,4,1,0,2,2,0
17213,11,4,12,0,10,1,1,1,1,2,0
5718,7,5,15,2,5,0,1,1,3,2,0
3055,6,6,11,2,7,0,1,1,2,2,0
14668,6,4,9,2,10,0,1,1,2,2,1
17864,5,4,2,2,5,0,0,1,3,2,0
47071,12,4,15,6,4,1,1,0,2,2,0
22155,5,4,8,0,8,4,1,0,2,3,0
5656,7,4,11,4,8,3,1,0,1,2,0
13603,3,6,11,4,12,3,1,1,2,4,0
46022,6,4,11,2,12,0,1,1,2,2,0
34569,5,4,15,4,12,3,1,1,2,2,0
7462,5,2,11,2,8,5,1,0,2,2,0
1093,6,4,11,0,3,1,1,1,2,2,0
33326,10,4,12,2,4,0,1,1,2,2,1
36441,6,4,11,2,12,5,0,0,2,2,0
19634,6,4,0,0,8,4,1,0,2,2,0
33057,3,4,1,4,8,3,1,1,1,2,0
16140,6,4,11,2,7,2,0,0,1,3,0
25660,8,5,9,2,12,0,1,1,3,2,1
9094,4,2,0,4,8,1,1,1,2,2,0
3398,6,4,9,2,4,0,1,1,2,2,1
2212,8,4,11,2,6,0,1,1,2,2,0
13206,7,2,12,2,10,5,1,0,3,2,1
17294,8,4,11,2,7,0,1,1,2,2,0
5759,9,4,8,0,13,2,1,0,1,2,0
40450,5,5,11,4,4,1,0,0,0,2,0
33033,4,4,15,4,8,3,1,0,0,2,0
39433,7,4,9,2,4,0,1,1,2,2,1
33827,5,2,0,4,6,3,0,1,2,2,0
20771,4,4,11,4,1,3,1,1,2,2,0
17201,8,2,12,0,10,4,1,0,0,4,0
5284,8,4,15,4,12,3,1,1,2,2,0
46420,4,4,7,4,5,1,0,0,2,2,0
5692,6,4,11,4,8,3,1,0,1,2,0
22550,8,4,11,5,8,4,1,0,1,2,0
40771,3,4,11,4,12,2,0,0,3,2,0
17903,11,7,11,0,1,4,1,0,2,2,0
37684,8,4,11,2,11,0,1,1,2,2,0
39400,5,4,7,4,3,3,1,1,2,2,0
13735,6,6,11,2,4,0,1,1,2,2,0
18210,6,4,15,2,3,0,1,1,2,2,1
2411,7,2,15,0,1,4,1,0,3,2,0
47012,5,4,11,0,7,4,1,0,2,2,0
33713,5,4,9,4,12,3,1,1,0,2,0
4065,13,4,11,2,12,0,1,1,2,2,0
34649,4,4,11,4,8,3,1,0,1,2,0
21959,8,4,11,2,8,5,0,0,2,0,0
42308,9,4,0,0,13,4,0,0,1,2,0
8411,8,4,11,0,1,2,0,1,1,2,0
12122,5,4,15,4,1,1,1,0,2,2,0
9873,9,2,12,2,4,0,1,1,2,2,1
32276,5,2,15,4,11,3,1,1,2,2,0
23539,5,4,11,5,8,1,1,0,2,2,0
2037,10,4,0,2,3,0,1,1,1,2,0
30458,10,4,11,2,3,0,1,1,2,2,0
18351,3,4,15,4,1,1,1,1,2,2,0
37862,9,6,7,2,4,0,1,1,1,2,0
8502,3,4,11,4,6,3,1,1,1,2,0
3703,4,0,15,2,0,0,1,1,2,2,0
1411,8,5,11,2,8,0,0,1,3,0,0
30082,12,2,11,6,1,1,1,0,1,2,0
5658,7,4,7,2,4,5,1,0,2,2,1
7199,9,4,11,0,1,1,1,0,1,2,1
18520,6,4,7,2,4,0,1,1,2,2,0
18263,4,4,9,4,4,3,1,0,2,2,0
4761,6,1,9,2,10,0,1,1,2,2,1
549,5,4,15,4,3,4,1,1,2,2,0
10025,9,2,9,2,10,0,1,1,1,2,0
33386,14,4,11,2,3,0,1,1,2,2,0
2196,9,4,15,2,3,0,1,1,2,2,1
6072,9,4,15,0,1,1,1,0,3,2,0
46053,7,4,15,4,1,2,0,0,2,2,0
40919,16,4,14,2,12,0,1,1,2,2,1
13110,4,0,15,4,0,3,1,0,1,2,0
22868,10,4,11,2,3,0,1,1,2,2,1
36505,7,4,15,5,13,4,0,0,2,2,0
45140,7,4,11,2,14,0,0,1,2,2,1
29969,9,4,11,4,8,1,1,0,1,3,0
4759,15,4,0,6,12,4,0,0,0,2,0
25484,5,7,9,4,4,1,1,1,2,2,0
38373,5,4,9,4,4,1,0,0,2,2,0
28581,3,4,11,4,8,3,0,0,2,2,0
46733,5,4,15,4,1,4,0,0,2,1,0
42475,10,4,11,4,1,2,1,0,2,2,0
14263,6,4,15,2,4,0,1,1,2,2,1
41605,10,4,14,4,10,1,1,1,2,2,1
46939,5,4,4,4,6,1,1,1,2,2,0
23819,11,6,11,2,5,0,1,1,3,2,0
4321,6,4,11,2,1,0,1,1,2,2,0
902,4,4,11,4,6,3,1,0,2,2,0
5876,7,6,12,4,12,1,1,1,2,2,1
1944,3,2,1,4,1,2,1,0,1,2,0
21661,4,4,11,4,12,3,1,0,2,2,0
21886,8,4,15,0,1,1,0,0,2,2,0
27047,7,4,15,2,4,0,1,1,2,2,1
30841,7,4,3,2,14,0,1,1,2,2,0
28274,4,4,9,4,12,3,1,1,2,2,0
47291,4,4,15,4,12,3,0,0,0,0,0
22269,8,4,9,2,10,5,1,0,2,2,0
26141,5,4,11,2,8,0,1,1,1,2,0
36548,12,4,11,6,1,4,1,0,2,2,0
46777,7,7,15,4,10,3,1,1,1,2,0
8639,6,4,11,0,1,1,1,0,2,1,0
13469,8,4,15,2,3,0,1,1,2,2,0
38743,9,4,15,2,8,0,1,1,2,2,0
26784,5,4,11,4,8,1,1,0,2,2,0
45223,5,4,11,4,1,1,0,1,2,2,0
15825,6,4,2,2,7,0,1,1,2,2,0
30470,7,5,15,2,12,0,1,1,2,2,1
18916,6,5,9,2,4,0,1,1,2,2,1
45132,6,4,11,2,3,0,1,1,2,2,1
46799,14,5,4,2,4,0,0,1,1,0,0
13877,8,4,15,2,1,0,1,1,2,1,0
30153,6,4,11,2,8,5,1,0,1,2,0
31109,5,4,11,4,8,3,0,0,2,2,0
12454,8,4,12,0,10,1,1,0,0,2,0
41766,5,4,7,2,3,0,1,1,2,2,0
29169,8,4,11,2,3,0,1,1,1,2,1
39169,7,4,11,0,8,4,1,0,1,2,0
35295,3,4,15,4,4,1,1,0,1,2,0
36840,11,2,12,5,10,3,0,0,1,2,0
13486,8,4,15,2,3,0,1,1,2,2,0
29063,9,6,11,2,3,0,1,1,3,2,0
11853,10,4,15,2,13,0,0,1,2,2,1
24754,4,6,15,4,5,3,1,1,2,2,0
29949,7,5,11,2,4,0,1,1,2,2,1
30304,8,4,11,0,7,1,0,1,2,2,0
36567,4,4,11,4,12,1,1,0,2,2,0
27177,7,4,15,5,8,2,0,0,2,2,0
32751,14,2,11,2,4,0,1,1,1,2,0
22538,6,4,11,2,7,0,1,1,2,2,0
19988,7,5,9,2,12,0,1,1,2,2,1
28004,7,4,11,4,1,1,1,1,2,2,0
2117,9,2,12,0,10,1,1,0,1,2,0
18240,11,4,12,4,1,1,1,0,1,2,1
