,age,workclass,education,marital-status,occupation,relationship,race,sex,hours-per-week,native-country,income
35307,7,6,9,4,6,1,1,1,2,2,0
30772,8,4,15,2,10,0,1,1,2,2,1
32886,5,1,2,2,3,0,1,1,2,2,0
18707,6,5,11,2,6,0,1,1,0,2,0
11673,8,4,9,4,10,3,1,0,2,2,0
4579,8,2,15,2,4,0,1,1,2,2,1
28480,7,4,12,2,3,0,1,1,2,2,1
2737,7,4,1,2,8,0,0,1,2,2,0
6156,9,2,11,4,8,1,1,1,2,2,0
24709,5,2,11,4,11,4,1,1,2,2,0
17974,5,4,5,2,10,0,1,1,2,2,0
1693,6,4,9,6,1,1,1,0,0,2,0
13235,7,4,15,0,1,3,1,1,2,2,0
21782,9,4,9,4,11,1,1,1,2,2,0
32258,7,2,2,4,13,3,1,0,1,2,0
24289,3,4,11,2,4,5,1,1,3,0,0
12670,6,2,15,2,8,0,1,1,1,2,0
20610,9,4,1,4,10,1,0,0,4,2,0
23490,8,7,9,0,10,1,1,0,2,2,1
37905,9,2,11,2,8,0,1,1,2,2,0
27472,9,6,12,2,4,0,1,1,1,2,1
15614,5,4,8,2,11,0,1,1,3,2,0
20366,11,4,15,4,11,3,0,1,2,2,0
30722,8,4,11,0,12,1,1,0,2,2,1
22780,9,0,11,2,4,0,0,1,3,0,1
2729,4,4,11,4,1,3,0,0,2,2,0
20975,12,4,15,4,1,3,0,0,1,2,0
19519,7,4,11,4,12,3,1,0,1,2,0
24745,9,4,9,0,4,4,1,0,2,2,1
5992,5,4,15,4,3,3,1,1,2,2,0
28310,15,4,9,2,1,5,1,0,2,4,1
26713,6,4,9,0,8,1,1,0,2,2,0
10128,7,4,15,2,8,5,1,0,2,2,0
32030,12,4,11,2,8,0,1,1,2,2,0
26191,6,5,11,0,12,4,1,0,2,2,0
32300,7,1,9,2,8,0,0,1,2,2,1
6238,9,4,11,2,1,0,1,1,1,2,0
19911,8,4,15,2,4,0,1,1,2,2,1
4625,10,4,9,2,10,0,1,1,2,2,1
21156,4,4,11,0,7,1,1,1,2,2,0
11255,13,4,11,2,14,0,1,1,2,2,1
15297,11,0,11,2,3,0,0,1,2,2,0
37067,8,4,15,4,13,3,1,1,2,2,0
35316,8,4,15,2,3,0,0,1,2,2,0
2550,5,4,11,5,0,4,1,0,2,2,0
26356,4,4,9,4,1,1,0,1,3,2,0
14199,7,4,8,4,8,3,1,1,2,2,0
31324,6,4,15,0,10,4,1,0,2,2,0
16671,9,2,0,2,4,0,1,1,2,2,1
11159,7,1,11,2,6,0,0,1,2,2,0
20255,5,4,11,4,12,1,1,1,3,2,0
2137,6,4,11,2,8,0,1,1,2,2,1
9381,5,4,15,4,8,4,1,0,0,2,0
5792,9,7,9,2,4,0,1,1,2,2,1
7032,7,0,11,4,12,1,0,0,2,2,0
21890,6,6,11,4,6,3,1,1,2,2,0
18480,5,4,8,2,10,0,1,1,3,2,1
4702,7,4,9,4,8,1,1,0,2,2,1
8255,4,0,11,0,12,1,0,0,2,2,0
