,age,workclass,education,marital-status,occupation,relationship,race,sex,hours-per-week,native-country,income
24920,3,4,7,4,9,3,1,0,0,2,0
24652,7,4,12,2,10,0,0,1,2,2,1
36279,6,4,11,2,6,0,1,1,2,2,0
30133,9,4,11,2,14,0,1,1,2,2,0
6356,11,4,15,2,12,0,1,1,2,2,0
13186,5,4,0,4,8,3,1,1,2,2,0
16855,11,6,11,2,3,0,1,1,2,2,0
29590,4,8,15,4,4,3,1,0,1,2,1
7429,9,6,8,2,8,0,0,1,1,0,0
20213,5,4,11,5,8,4,0,0,2,2,0
30414,9,4,15,0,12,1,1,0,2,2,0
34290,5,2,9,2,13,5,1,0,2,2,1
28964,5,4,11,2,3,0,1,1,3,2,0
13806,10,2,7,4,11,1,1,0,2,2,0
18731,11,4,11,2,3,0,1,1,2,2,0
20826,8,4,14,2,10,0,1,1,2,2,1
22836,8,1,9,2,4,0,1,1,2,2,1
24817,4,4,9,4,1,1,1,0,2,2,0
30469,6,4,11,4,12,3,1,0,1,2,0
17921,9,4,11,2,3,0,1,1,2,2,0
36620,4,4,7,4,10,3,1,0,1,2,0
19627,6,4,11,0,1,4,1,0,1,2,0
780,4,2,1,4,1,1,1,1,2,2,0
13945,10,4,11,2,5,0,1,1,2,2,1
22123,4,4,9,4,4,1,1,1,2,2,0
33240,4,4,8,4,3,3,0,1,2,2,0
35011,10,6,11,2,5,0,1,1,2,2,0
1673,11,4,11,2,3,0,1,1,2,2,0
24609,12,4,11,6,9,1,0,0,4,2,0
5862,9,4,9,0,10,3,1,1,2,2,0
36319,5,2,11,4,8,1,1,1,2,2,0
15949,18,2,9,2,8,5,1,0,0,2,0
37309,13,6,9,2,4,0,1,1,2,2,1
21660,8,6,15,2,3,0,1,1,2,2,1
26507,9,4,14,2,10,0,1,1,2,2,1
24546,7,8,11,0,0,1,1,0,3,2,0
414,17,0,1,4,0,3,1,1,2,2,0
18320,4,8,8,4,4,3,1,0,1,2,0
4803,7,7,8,0,13,4,1,0,2,2,0
753,7,4,9,2,10,5,1,0,1,2,0
34529,8,0,5,4,0,1,1,1,3,2,0
15276,9,4,14,2,6,0,1,1,2,2,0
6622,10,4,15,2,8,0,1,1,1,2,0
31394,5,4,15,2,14,0,1,1,2,2,1
31240,4,2,6,4,10,3,1,0,2,2,0
10756,9,4,15,4,12,1,1,0,1,2,0
36951,6,4,9,4,10,1,1,1,2,2,0
3548,8,4,15,2,10,0,1,1,2,2,1
10099,9,4,11,6,7,4,0,0,2,2,0
19933,12,2,11,2,14,0,1,1,1,2,0
6113,12,6,14,2,10,0,1,1,2,2,1
21683,5,7,15,2,4,0,1,1,2,2,0
35033,7,4,11,2,3,0,1,1,2,2,1
2240,5,4,1,4,12,1,1,1,2,2,0
26562,10,4,5,2,3,0,1,1,2,2,1
30044,4,4,15,2,4,0,1,1,1,2,0
21510,7,4,15,2,8,0,1,1,1,4,0
19061,7,2,2,2,11,0,1,1,2,2,1
8899,4,4,6,0,8,1,1,0,1,2,0
31935,8,1,6,0,8,1,1,1,2,2,0
19696,3,0,1,4,6,3,1,1,1,2,0
27122,15,6,9,2,10,0,1,1,4,1,0
693,8,4,9,2,3,0,1,1,2,2,1
4069,12,4,9,2,4,0,1,1,3,2,0
25217,5,4,11,4,12,1,1,0,2,2,0
28017,14,7,12,2,10,0,1,1,2,2,1
14932,3,0,11,4,0,3,1,0,0,2,0
14348,6,4,11,2,3,0,1,1,2,2,1
25125,5,4,15,4,8,1,1,1,2,2,0
9148,12,4,15,2,12,0,1,1,2,2,0
27328,13,6,0,5,12,2,0,0,1,2,0
3629,11,2,14,2,10,0,1,1,2,2,1
17685,14,4,11,2,7,5,1,0,2,2,0
17677,3,0,15,4,0,3,1,1,2,2,0
1319,5,4,15,4,5,3,1,1,3,2,0
26829,11,4,7,2,12,0,1,1,2,2,0
17292,4,4,15,4,12,1,1,0,1,2,0
14633,13,4,15,2,12,5,1,0,0,2,0
10389,8,4,11,2,3,0,1,1,2,2,0
27329,10,4,11,2,11,0,1,1,0,2,1
3289,8,7,9,5,10,5,1,0,1,2,0
3250,6,4,6,4,14,1,0,1,2,2,0
828,10,4,9,0,12,1,1,1,1,2,0
34473,5,4,11,0,4,1,1,1,2,2,1
18852,6,1,11,5,8,4,1,0,2,2,0
29503,9,4,12,0,4,1,1,0,2,2,1
34398,15,2,11,6,12,3,0,1,1,2,0
2162,7,4,15,4,8,3,0,0,1,0,0
34942,8,4,9,2,4,0,1,1,2,2,1
23616,7,4,11,2,7,0,0,1,2,2,0
8440,11,5,9,0,10,1,1,1,2,2,0
8070,3,4,15,4,12,3,1,0,1,2,0
29730,9,4,10,2,10,0,1,1,2,2,1
5003,5,4,6,2,3,0,1,1,2,2,0
31926,7,4,11,2,14,0,0,1,3,2,1
37597,5,4,12,2,10,0,1,1,2,2,0
4925,7,4,11,0,12,4,1,0,1,2,0
18132,7,5,8,2,4,0,1,1,2,2,1
34559,6,6,7,2,4,5,1,0,1,2,0
31774,8,4,11,5,10,5,0,0,2,2,0
177,5,7,11,4,11,1,0,1,2,0,0
4725,5,4,0,2,3,0,1,1,2,2,0
1581,5,4,11,2,12,0,1,1,3,2,1
32301,4,0,9,4,0,3,1,0,0,2,0
24806,11,5,15,6,12,4,1,0,2,2,0
23351,17,3,15,4,4,3,1,1,2,2,0
28033,4,4,9,5,12,1,0,0,1,4,0
25877,5,4,11,4,1,4,1,0,2,2,0
32719,6,4,11,2,7,0,1,1,2,2,0
34233,9,2,9,2,10,0,1,1,2,1,1
27433,5,4,12,2,12,0,1,1,2,2,0
12130,6,4,9,2,12,0,1,1,2,2,1
15476,10,4,15,2,8,0,1,1,2,2,0
7414,4,4,9,4,1,1,1,0,2,2,0
33443,5,4,12,0,8,1,1,0,2,2,0
25858,15,4,9,2,12,0,1,1,1,2,0
20253,7,1,11,4,3,4,1,0,2,2,0
10983,10,4,15,2,4,0,1,1,2,2,1
18892,9,4,9,2,12,0,1,1,1,2,1
9579,8,4,11,4,14,4,1,1,2,2,0
32356,4,7,11,0,4,4,1,0,2,2,0
37599,8,4,8,4,10,1,1,0,2,2,0
2764,4,4,7,4,6,3,1,1,1,2,0
34545,13,4,15,2,3,0,1,1,0,2,0
18054,4,4,9,4,8,3,0,1,1,0,0
21472,12,4,14,2,2,0,1,0,4,2,0
8706,3,4,11,2,8,5,0,0,1,2,0
31567,13,3,15,2,13,0,1,1,4,2,0
37742,7,0,2,2,0,0,1,1,1,2,0
985,10,4,12,5,12,4,0,0,2,2,0
