,age,workclass,education,marital-status,occupation,relationship,race,sex,hours-per-week,native-country,income
0,8,1,9,2,10,0,0,1,2,2,0
1,6,4,11,2,9,0,1,0,2,2,0
2,4,4,4,4,5,3,1,1,2,2,0
3,8,4,11,2,3,0,1,1,2,2,0
4,3,4,11,4,12,3,0,0,2,2,0
5,6,1,15,4,0,1,1,1,2,2,0
6,10,4,9,2,12,0,1,1,2,2,1
7,5,4,15,4,8,3,1,0,0,2,0
8,7,4,15,2,12,0,1,1,2,2,1
9,7,4,2,2,14,0,1,1,2,2,0
10,9,4,9,2,12,5,1,0,2,2,1
11,8,4,9,2,12,0,1,1,2,2,1
12,4,4,15,3,4,1,0,0,2,2,0
13,7,4,9,2,13,0,1,1,2,2,1
14,8,1,14,2,10,0,1,1,2,2,0
15,9,4,8,2,11,0,1,1,2,2,0
16,4,4,11,4,7,1,1,1,2,2,0
17,4,4,11,4,6,1,1,1,1,2,0
18,7,2,9,0,10,1,1,0,2,2,0
19,7,6,15,2,4,0,1,1,3,2,0
20,8,4,9,0,10,4,1,0,2,2,0
21,5,4,15,2,3,0,1,1,2,2,0
22,10,4,11,2,3,0,1,1,2,2,0
23,3,4,15,4,14,3,0,1,1,2,0
24,10,4,15,0,3,0,1,1,2,2,0
25,6,4,15,4,12,1,1,0,1,2,0
26,3,4,0,4,6,3,0,1,1,2,0
27,8,7,0,0,8,4,1,0,1,2,0
28,12,4,11,2,6,0,1,1,2,2,0
29,11,6,7,0,5,1,1,0,2,2,0
30,8,4,12,2,10,5,1,0,2,2,0
31,9,4,12,4,7,1,1,1,2,2,0
32,12,4,6,2,8,0,1,1,0,2,0
33,6,4,11,4,12,1,0,1,2,0,0
34,5,4,11,0,12,4,1,0,1,2,0
35,5,4,4,2,6,0,1,1,2,2,0
36,4,4,0,4,8,3,1,0,2,2,0
37,7,0,6,0,0,3,1,1,2,2,0
38,10,4,11,2,12,0,1,1,2,2,1
39,11,4,10,2,11,0,0,1,4,2,1
40,13,4,4,2,7,5,1,0,2,2,0
41,8,4,8,2,10,0,1,1,2,2,1
42,4,4,15,4,8,1,1,0,1,2,0
43,9,4,11,0,8,4,1,0,2,2,0
44,6,4,11,2,1,2,1,0,2,2,0
45,3,4,5,4,13,2,1,1,2,2,0
46,7,4,15,0,1,4,1,0,2,2,0
47,7,2,9,4,8,1,1,0,2,2,0
48,3,2,12,2,10,0,0,1,0,2,1
49,9,1,10,4,10,1,1,0,1,2,1
50,5,4,11,4,8,5,1,0,1,2,0
51,8,4,11,0,1,1,1,0,2,2,0
52,9,4,15,4,10,1,1,0,2,2,0
53,12,4,12,2,10,0,1,1,1,2,1
54,10,4,15,4,7,4,0,0,2,2,0
55,7,2,11,2,3,0,1,1,2,2,1
56,8,5,10,2,11,0,1,1,0,2,1
57,11,4,15,4,14,1,1,1,2,2,0
58,11,4,9,4,8,1,1,0,1,2,0
59,5,5,11,4,13,1,1,1,2,2,0
60,8,4,11,2,3,0,1,1,1,2,1
61,10,5,15,2,4,0,0,1,2,2,1
62,11,4,11,2,12,0,1,1,2,2,0
63,7,2,10,2,10,0,1,1,3,2,1
64,5,0,1,0,0,3,1,1,2,2,0
65,17,2,7,5,10,5,1,0,1,2,0
66,3,4,1,4,8,3,1,1,1,2,0
67,11,4,11,5,1,4,1,0,2,2,0
68,6,2,9,4,10,1,1,0,2,2,1
69,5,4,15,4,1,1,1,1,2,2,0
70,13,4,15,6,13,1,1,0,2,2,0
71,5,4,1,2,12,0,1,1,2,2,0
