,age,workclass,education,marital-status,occupation,relationship,race,sex,hours-per-week,native-country,income
0,6,4,11,0,14,1,0,1,3,2,0
1,7,4,11,2,7,0,1,1,2,2,0
2,6,6,11,2,1,0,1,1,2,2,1
3,8,4,11,0,1,1,1,0,2,2,0
4,7,4,11,0,7,1,1,0,2,2,0
5,10,2,7,5,10,1,1,0,2,2,1
6,18,0,14,4,0,1,0,0,1,0,0
7,5,4,8,4,10,1,1,0,2,2,1
8,9,4,15,2,7,0,1,1,2,2,0
9,10,6,15,2,3,0,1,1,3,2,1
10,3,4,11,2,1,5,0,0,2,2,1
11,6,4,11,4,8,4,1,0,2,2,0
12,4,4,9,4,10,1,1,0,2,2,0
13,11,4,11,2,14,0,1,1,2,2,1
14,5,4,15,4,1,1,1,1,2,2,0
15,9,4,11,2,8,3,1,0,1,2,0
16,6,2,2,2,14,0,1,1,3,2,0
17,10,4,11,2,3,0,1,1,2,2,1
18,11,4,5,6,8,1,1,0,2,2,0
19,9,4,9,0,12,1,1,0,2,2,0
20,5,4,11,2,7,0,0,1,2,2,0
21,6,7,11,4,8,4,1,0,1,2,0
22,7,4,11,2,1,5,1,0,2,2,0
23,8,4,7,2,4,0,0,1,3,2,1
24,10,2,10,5,4,4,0,0,1,0,0
25,5,4,15,4,8,1,0,1,2,0,0
26,6,6,11,0,3,4,1,0,2,2,1
27,12,6,11,2,12,0,1,1,1,2,1
28,7,4,11,4,7,1,1,0,2,2,0
29,7,4,11,2,7,0,1,1,2,2,0
30,4,7,15,4,11,1,0,1,1,2,0
31,6,4,7,4,6,1,1,1,2,2,0
32,9,2,9,0,1,4,1,1,3,2,0
33,8,5,14,2,4,0,1,1,3,2,1
34,10,4,9,2,10,0,1,1,4,2,1
35,12,4,1,2,7,0,1,1,2,2,0
36,9,4,11,3,7,4,1,0,2,2,0
37,8,4,12,2,12,0,1,1,4,2,1
38,3,4,15,4,8,3,0,1,2,2,0
39,10,4,11,2,3,0,1,1,2,2,0
40,4,4,15,4,7,3,1,0,1,2,0
41,10,2,9,2,11,0,0,1,2,2,1
42,9,4,11,0,3,1,1,1,2,2,0
43,5,4,11,4,7,3,1,1,2,2,0
44,9,4,15,2,3,0,1,1,2,2,0
45,10,4,11,2,8,0,1,1,0,2,0
46,7,1,11,2,4,0,1,1,2,2,1
47,4,4,15,4,13,1,1,0,1,2,0
48,8,7,9,0,1,4,0,0,2,2,0
49,5,4,11,4,3,2,1,1,2,2,0
50,5,4,2,4,7,1,0,1,2,2,0
51,5,4,9,2,12,0,1,1,2,2,1
52,4,4,11,2,12,5,1,0,1,2,0
53,6,4,8,2,13,0,1,1,2,2,1
54,10,1,11,2,11,0,0,1,3,2,1
55,4,4,15,4,7,3,1,1,1,2,0
56,10,1,9,4,10,1,1,0,2,2,0
57,5,4,9,4,7,1,1,0,2,1,0
58,14,1,11,6,1,2,1,0,1,2,0
59,8,2,12,2,10,0,1,1,2,2,1
60,8,6,11,2,3,0,1,1,2,2,0
61,11,4,11,4,3,3,1,1,2,2,0
62,8,4,11,2,3,0,1,1,2,2,0
63,4,4,11,2,11,0,1,1,2,2,0
64,6,4,15,2,4,0,1,1,2,2,0
65,7,1,15,2,1,0,1,1,2,2,0
66,7,5,15,2,12,0,1,1,2,2,1
67,13,4,15,0,12,1,1,0,1,2,0
68,9,4,8,2,10,0,1,1,2,2,0
69,8,6,6,2,5,0,1,1,1,2,0
70,6,4,14,2,10,0,1,1,2,2,1
71,9,5,9,2,4,0,1,1,2,2,1
72,9,7,9,2,4,0,1,1,3,2,1
73,10,4,11,2,14,0,1,1,2,2,1
74,11,6,15,3,10,1,1,1,3,2,0
75,15,4,10,0,4,1,1,1,1,2,0
76,13,4,11,6,8,2,1,1,1,2,0
77,12,4,15,2,8,5,1,0,1,2,0
78,4,4,15,4,8,3,1,1,2,2,0
79,7,2,9,2,11,0,1,1,3,2,1
80,5,4,11,4,1,3,1,1,2,1,0
81,4,4,15,4,4,1,1,0,2,2,0
82,5,4,9,5,8,1,1,0,2,2,0
83,7,6,11,2,4,0,1,1,1,2,0
84,3,4,15,4,6,3,1,1,1,2,0
85,10,5,9,2,4,0,1,1,2,2,1
86,3,4,11,4,1,3,1,0,1,2,0
87,3,0,11,4,0,3,0,0,1,2,0
88,14,0,14,2,0,0,1,1,0,2,1
89,4,4,8,4,8,1,1,0,3,1,0
90,12,4,6,2,14,0,1,1,1,2,0
91,3,4,2,4,8,2,1,1,1,2,0
92,11,4,11,2,10,0,1,1,2,2,0
93,11,4,12,3,1,1,1,0,2,2,0
94,4,4,15,4,12,4,1,0,2,2,0
95,5,4,9,0,10,3,1,0,1,2,0
96,8,4,11,2,12,0,1,1,2,2,1
97,7,4,9,2,12,0,1,1,2,2,0
98,8,4,11,5,6,2,1,0,2,2,0
99,8,4,2,0,1,1,1,0,1,2,0
100,12,2,15,2,11,0,1,1,3,2,1
101,9,4,0,2,6,0,0,1,2,2,0
102,7,1,9,2,1,0,1,1,2,4,1
103,5,4,11,4,8,3,1,0,2,2,0
104,6,4,15,0,12,1,1,1,2,2,0
105,3,4,15,4,1,3,1,0,1,2,0
106,6,0,4,4,0,2,0,1,1,2,0
107,9,4,15,0,5,1,1,1,1,2,0
108,6,4,1,4,13,4,1,0,2,2,0
109,11,1,15,6,1,1,1,0,1,2,0
110,3,4,1,4,6,3,1,1,2,2,0
111,12,5,15,2,4,0,1,1,2,2,1
112,5,4,15,4,8,1,1,1,2,2,1
113,3,4,0,4,8,3,1,0,1,2,0
114,12,6,11,2,3,0,0,1,1,2,0
115,7,4,9,2,7,0,1,1,2,2,1
116,7,4,15,2,3,0,1,1,2,2,0
117,7,1,11,4,12,4,1,0,2,2,0
118,6,4,15,2,3,0,0,1,2,2,1
119,4,6,15,5,4,1,1,0,2,2,0
120,8,1,15,4,1,1,0,0,2,2,0
121,11,6,7,5,8,4,1,1,3,2,0
122,13,4,9,5,8,1,1,0,0,2,0
123,6,4,11,4,12,3,1,0,0,2,0
124,4,4,15,3,8,4,1,0,2,2,0
125,8,4,9,4,10,1,1,1,2,2,1
126,6,5,9,2,12,0,1,1,2,2,0
127,8,4,11,2,8,0,1,1,2,2,1
128,3,4,1,3,12,3,1,0,1,2,0
129,7,4,15,2,14,0,1,1,2,2,1
130,6,4,11,2,11,0,1,1,2,2,0
131,5,6,8,2,5,0,1,1,2,2,0
132,9,6,15,2,4,0,1,1,3,2,0
133,9,4,4,4,8,1,0,1,2,0,0
134,7,5,11,0,4,4,1,0,2,2,0
135,5,4,15,4,6,3,1,1,2,2,0
136,6,4,11,2,3,0,1,1,2,2,0
137,4,4,9,3,12,1,1,1,2,2,0
138,3,4,15,4,1,3,1,0,1,2,0
139,9,4,12,2,4,0,1,1,2,2,1
140,9,2,11,2,11,0,1,1,2,2,1
141,3,4,2,4,8,3,1,0,1,2,0
142,4,4,11,2,1,5,1,0,0,2,0
143,7,4,8,6,10,4,0,0,2,2,1
144,5,4,15,0,3,1,1,1,2,2,0
145,4,4,11,4,8,1,1,1,3,4,0
146,5,4,11,4,7,3,1,0,2,2,0
147,8,4,5,3,5,1,1,1,2,2,0
148,6,4,11,2,4,0,1,1,3,2,1
149,11,4,11,0,7,4,1,0,2,2,0
150,12,6,14,2,10,0,1,1,2,2,0
151,7,4,11,0,4,4,1,0,2,2,1
152,9,4,11,2,11,0,1,1,2,2,0
153,14,4,15,2,4,0,1,1,2,2,0
154,12,4,9,0,4,1,0,1,2,2,0
155,7,4,14,2,10,0,1,1,3,2,1
156,13,6,9,4,12,1,1,0,2,2,0
157,5,4,8,4,10,3,1,0,1,2,0
158,3,2,11,4,6,3,1,1,2,2,0
159,8,4,11,2,14,0,1,1,2,2,0
160,6,7,9,2,11,0,1,1,3,2,0
161,7,4,15,2,12,0,1,1,2,2,0
162,6,4,8,4,13,4,0,1,0,2,0
163,9,4,9,2,4,0,1,1,2,2,1
164,4,4,15,4,1,3,1,0,1,2,0
165,9,4,11,2,8,0,1,1,1,2,0
166,8,4,11,4,14,4,1,0,2,2,0
167,7,4,7,2,4,0,1,1,2,2,0
168,5,4,11,4,9,4,1,0,1,2,0
169,5,4,11,4,8,4,0,1,2,2,0
170,6,4,9,4,1,3,1,0,2,2,0
171,3,4,1,4,8,2,1,0,0,2,0
172,6,4,11,4,1,3,1,0,3,2,0
173,6,4,9,4,10,1,1,0,2,0,0
174,8,4,15,2,14,0,1,1,2,2,0
175,7,1,15,5,10,1,1,0,2,2,0
176,4,6,15,4,12,3,1,0,2,2,0
177,7,6,5,2,3,0,1,1,0,2,0
178,12,5,8,2,4,0,1,1,3,1,1
179,10,4,15,2,4,0,1,1,2,2,1
180,3,4,1,4,12,3,1,1,1,2,0
181,8,2,11,6,1,4,1,0,2,2,0
182,10,4,1,2,1,0,0,1,2,2,0
183,8,7,9,2,4,0,1,1,2,3,1
184,6,4,9,2,4,0,1,1,3,2,0
185,12,4,14,2,10,0,1,1,3,4,1
186,9,2,9,2,10,0,1,1,2,2,1
187,10,4,11,2,3,0,1,1,2,2,0
188,5,4,0,4,3,3,0,1,2,0,0
189,11,1,9,2,1,0,1,1,2,2,0
190,7,4,14,2,10,0,1,1,2,2,0
191,8,4,15,0,12,1,1,1,2,2,0
192,4,0,15,4,0,3,1,0,2,2,0
193,4,4,11,4,8,1,1,0,1,2,0
194,15,6,11,2,12,0,1,1,0,2,0
195,9,4,15,0,4,4,1,0,2,1,0
196,5,4,11,4,4,3,1,0,2,2,0
197,3,4,15,4,1,3,1,0,0,4,0
198,4,4,8,4,1,3,1,1,2,1,0
199,5,4,15,4,1,3,1,1,2,2,0
200,10,4,11,2,7,5,1,0,1,2,0
201,3,0,15,4,0,3,1,0,1,2,0
202,11,6,9,2,4,0,1,1,2,2,1
203,6,4,9,2,4,0,1,1,2,2,1
