,age,workclass,education,marital-status,occupation,relationship,race,sex,hours-per-week,native-country,income
7883,8,4,15,2,7,0,1,1,2,2,0
30975,4,4,11,2,7,0,1,1,2,2,0
13849,13,2,7,2,10,0,1,1,2,2,1
36080,11,0,15,2,0,0,1,1,2,2,0
11162,5,0,9,2,0,3,1,1,1,2,0
34830,16,4,3,4,3,1,1,1,0,2,0
33827,6,4,11,4,14,3,1,1,1,2,0
11632,7,4,9,2,4,0,1,1,2,2,1
10126,5,2,9,4,10,1,1,0,1,2,0
5,6,4,8,2,4,0,1,1,2,2,1
37521,4,4,15,4,10,3,1,0,1,2,0
12744,8,2,11,5,11,4,0,0,1,2,0
35233,8,4,15,2,3,0,1,1,2,2,1
34748,3,7,15,4,1,3,1,0,0,2,0
24521,4,4,11,4,7,3,1,1,2,2,0
14116,6,4,11,2,5,0,1,1,1,2,0
10215,9,1,15,6,8,1,1,0,1,2,0
19586,9,4,8,0,4,1,1,0,2,2,0
840,8,2,14,2,10,0,1,1,2,2,1
27893,8,4,8,2,8,0,1,1,2,2,0
6239,8,4,11,2,7,0,1,1,2,2,0
8319,6,6,15,2,3,0,1,1,3,2,0
14552,11,4,11,2,3,0,0,1,2,0,0
24060,6,4,9,4,3,1,1,1,2,2,0
20608,5,4,2,4,3,2,1,1,2,2,0
17270,4,0,11,4,0,3,1,0,1,2,0
3381,8,4,6,2,8,0,1,1,2,2,0
19115,4,4,11,2,12,5,1,0,1,2,0
13770,3,4,0,4,5,1,1,1,0,2,0
21944,7,4,15,3,8,1,1,1,2,2,0
29625,11,2,9,0,4,1,1,0,1,2,0
2049,10,1,15,2,1,0,1,1,2,2,1
9961,6,4,11,0,3,4,1,1,2,2,0
7163,6,4,0,4,8,4,0,0,2,2,0
36253,7,4,15,4,12,1,1,1,2,2,0
26294,6,4,15,0,12,1,0,1,2,2,0
13154,10,4,11,0,12,1,1,0,2,1,0
11215,8,4,15,2,7,0,1,1,2,2,0
