,age,workclass,education,marital-status,occupation,relationship,race,sex,hours-per-week,native-country,income
24547,6,4,1,2,4,5,1,0,2,2,1
3600,5,4,9,4,12,1,1,1,1,2,0
32286,12,2,11,2,14,0,1,1,2,2,0
26816,4,4,15,4,12,1,1,1,2,2,0
34445,9,4,9,0,4,4,1,0,2,2,0
27276,9,2,9,0,10,1,1,1,2,2,1
26054,9,4,9,4,3,1,1,1,2,2,0
14118,5,4,15,4,14,3,1,0,2,2,0
5690,3,6,0,4,8,3,1,1,0,2,0
3777,7,4,9,4,5,3,1,1,0,2,0
20762,3,4,0,4,8,3,1,1,0,2,0
19835,7,4,11,0,5,4,1,0,2,2,0
22143,8,1,10,2,10,0,0,1,2,2,1
16823,11,4,9,2,4,0,1,1,2,2,1
19878,3,4,1,4,5,1,1,1,1,2,0
22462,4,4,8,4,8,3,1,1,1,1,0
35812,6,4,1,2,3,0,1,1,2,2,0
808,4,4,11,2,5,0,1,1,2,2,0
36795,5,4,12,4,10,3,1,1,2,2,0
18843,4,4,11,4,6,3,0,1,2,2,0
2536,4,4,15,4,13,4,1,0,1,2,0
20356,9,4,11,2,7,0,1,1,2,2,0
15548,4,0,9,4,0,3,1,1,2,2,0
3609,8,4,12,4,7,1,1,1,2,2,0
37992,8,4,9,2,4,0,1,1,2,2,1
5522,7,6,11,2,12,0,1,1,3,2,0
17360,3,7,11,4,11,2,1,1,2,2,0
9371,10,6,11,2,3,5,1,0,1,2,0
15695,4,4,6,4,8,2,1,1,1,2,0
27020,8,4,9,0,12,1,1,0,2,2,0
1,8,4,9,2,14,0,1,1,2,2,1
28275,9,4,11,2,7,0,1,1,2,2,0
8464,4,4,15,4,1,1,1,0,2,2,0
15808,12,2,12,2,10,5,1,0,1,2,1
4911,5,4,12,5,12,4,1,0,2,2,1
6734,11,6,11,2,5,0,1,1,2,2,1
985,5,4,9,2,4,0,1,1,2,2,0
24591,5,4,11,4,6,1,1,1,1,2,0
31456,7,4,15,4,7,1,1,1,2,2,0
1872,4,4,15,4,13,4,1,0,2,2,0
2147,9,4,1,2,1,0,1,1,2,2,0
10763,8,4,11,0,14,1,1,1,2,2,0
13927,6,4,15,4,10,1,1,0,2,2,0
9998,5,4,0,3,8,1,0,0,1,2,0
31398,5,4,9,4,7,1,1,1,2,2,1
2635,5,4,11,4,4,1,1,0,2,2,0
6321,4,4,12,4,1,1,1,0,2,2,0
27786,7,4,15,0,1,1,1,0,2,2,0
12490,6,4,9,4,4,3,1,1,2,2,0
4866,8,1,9,0,1,1,1,0,2,2,0
4966,11,5,6,0,12,3,1,0,1,2,0
22234,6,4,1,0,8,4,0,0,1,2,0
23289,9,4,10,2,10,0,1,1,3,2,1
4661,8,4,11,0,3,1,1,1,2,2,0
33921,5,2,9,2,10,5,0,0,2,2,1
28247,7,4,15,0,4,4,1,0,2,2,0
2978,3,4,1,4,9,3,1,0,0,2,0
5441,13,4,11,2,12,0,1,1,2,2,0
10978,8,1,11,0,1,4,1,0,2,2,0
10223,4,4,11,4,1,1,1,0,2,2,0
24063,16,4,14,2,10,0,1,1,0,2,0
731,11,4,11,5,14,4,1,1,2,2,0
21438,4,4,15,5,12,1,1,1,2,2,0
29731,3,4,0,4,5,3,1,1,1,2,0
11628,6,4,15,2,3,0,1,1,2,2,1
24046,6,5,9,4,9,4,0,0,2,2,0
13595,9,4,8,0,1,4,0,1,2,0,0
7425,5,4,9,5,10,4,0,0,2,2,0
4377,5,4,8,2,10,0,1,1,2,2,0
32468,8,4,15,2,7,0,1,1,2,2,0
737,6,4,11,2,3,0,0,1,2,2,0
35352,8,4,15,2,3,0,1,1,2,2,0
25752,11,4,15,2,5,0,1,1,2,2,0
1682,6,4,11,5,3,4,1,1,2,2,0
16797,7,4,12,2,3,0,1,1,2,2,1
3155,10,6,10,2,10,0,1,1,2,2,1
8303,7,4,11,2,4,0,1,1,2,2,0
36894,7,4,11,4,14,1,0,0,2,2,0
24792,6,4,11,4,12,3,1,0,1,2,0
22567,4,4,0,4,3,3,1,1,2,2,0
24025,5,2,11,2,11,0,1,1,3,2,0
2494,5,4,11,4,6,4,1,0,2,2,0
4502,5,5,12,4,4,1,1,0,1,2,0
19790,11,2,9,2,5,0,1,1,2,2,0
3994,10,4,9,2,1,5,1,0,1,2,0
24832,6,4,12,2,4,5,1,0,2,2,1
19619,10,1,8,2,14,0,1,1,2,2,0
16596,3,4,1,4,6,3,1,1,2,2,0
15818,8,4,0,2,12,0,1,1,2,1,0
26216,7,4,15,5,6,2,1,1,2,2,0
3572,9,1,12,2,4,0,1,1,2,2,1
33731,6,4,8,2,12,0,1,1,2,2,0
12001,3,4,15,4,1,3,1,0,1,2,0
16890,8,4,9,2,10,0,1,1,2,2,1
27711,5,0,9,2,0,0,0,1,2,0,0
25945,13,6,9,2,3,0,1,1,2,2,0
33412,9,4,11,2,13,0,1,1,2,2,1
5081,6,4,11,2,3,0,1,1,2,2,1
15164,5,4,9,2,4,0,1,1,2,2,0
7542,7,7,11,0,14,4,0,0,2,2,0
9226,9,4,9,0,10,1,1,0,2,2,0
24274,4,4,11,2,4,0,1,1,2,2,0
13345,4,4,15,2,4,0,0,1,3,0,0
20375,18,4,8,2,8,0,1,1,2,2,1
2060,12,4,11,0,4,1,1,0,2,2,0
27598,12,0,15,2,0,0,1,1,1,2,1
21937,6,4,15,4,3,3,1,1,2,2,0
4598,7,4,15,2,12,0,1,1,2,2,1
23062,5,2,15,2,10,0,1,1,2,2,0
35520,7,4,11,2,13,0,1,1,2,1,1
19752,8,4,15,2,3,0,1,1,2,2,0
27533,13,4,11,6,7,1,1,0,1,2,0
33215,9,4,11,2,4,0,1,1,2,2,0
19689,12,4,10,2,10,0,1,1,2,2,1
10282,6,6,9,5,10,1,1,0,2,2,0
7794,3,0,11,4,0,3,1,1,1,2,0
32426,9,4,14,2,10,0,1,1,3,2,1
4270,6,4,8,2,3,0,1,1,2,2,0
1854,9,6,10,2,10,0,1,1,2,2,1
10755,8,4,8,0,1,4,0,0,0,4,0
7508,7,4,15,0,4,1,1,0,2,2,0
3951,7,5,11,2,3,0,1,1,2,2,0
2072,12,2,12,0,10,1,1,0,3,2,0
30835,9,4,11,0,1,1,1,0,2,2,0
9812,8,2,9,2,11,0,1,1,2,2,0
29961,5,4,11,4,3,4,1,1,2,2,0
34698,4,4,9,4,1,3,1,1,2,2,0
6644,7,4,15,4,14,1,0,0,2,2,0
31587,6,4,12,2,10,0,1,1,2,2,1
25415,6,4,11,2,10,5,1,0,3,2,0
11038,11,4,6,0,3,2,1,1,1,2,0
35091,6,4,3,2,8,0,1,1,1,2,0
7310,5,6,9,4,10,1,1,0,2,2,0
26928,13,6,9,2,10,0,1,1,0,2,0
23749,5,4,8,2,3,0,1,1,1,2,0
4431,7,4,11,2,1,0,1,1,2,2,0
36114,10,2,11,2,1,5,0,0,2,2,1
19607,5,4,9,4,13,2,1,1,2,2,0
23001,5,4,15,2,1,5,1,0,2,2,0
5109,4,0,11,4,0,4,1,0,1,2,0
24137,8,4,11,2,8,5,1,0,1,2,0
4197,11,1,9,2,10,0,1,1,2,2,1
27925,3,4,2,4,3,3,1,1,1,2,0
1141,5,1,12,4,1,1,1,1,1,2,0
4660,5,2,9,2,10,0,1,1,2,2,0
14278,7,4,11,0,8,1,1,1,2,2,1
21851,4,4,11,4,6,3,1,1,2,2,0
1008,11,2,12,2,10,0,1,1,2,2,1
27165,5,6,11,2,3,0,1,1,2,2,0
16748,5,6,0,5,3,4,1,1,2,2,0
73,4,7,7,4,10,1,1,0,1,2,0
13708,8,4,15,4,8,1,1,0,2,2,0
3778,6,1,9,0,4,1,1,1,3,2,1
36680,8,4,11,2,3,0,1,1,2,2,0
22864,6,6,15,4,10,3,1,0,3,2,0
2349,4,4,11,4,8,3,1,1,0,2,0
10065,4,4,5,4,6,3,1,1,1,2,0
35870,11,1,12,6,10,1,1,0,1,2,0
20034,12,2,9,2,10,0,1,1,2,2,0
22542,8,7,9,2,13,0,1,1,0,2,0
30401,5,4,11,4,6,3,1,1,2,2,0
30029,9,4,13,4,3,2,1,1,1,2,0
14531,6,4,15,2,3,0,1,1,2,2,0
23231,8,6,15,2,5,0,1,1,2,2,0
18980,5,4,9,4,1,1,1,1,2,2,0
25740,8,4,12,2,10,5,1,0,1,2,1
29664,4,4,15,4,12,3,1,0,1,2,0
31813,5,4,9,4,12,2,0,1,1,2,0
30519,5,4,11,3,6,1,1,1,2,2,0
10748,9,6,7,2,10,0,1,1,3,2,1
25101,9,6,15,2,12,0,1,1,4,2,1
10382,10,1,12,2,4,0,1,1,2,2,1
29757,7,4,15,2,1,0,1,1,2,2,0
25416,6,5,9,2,7,0,1,1,2,2,0
4592,6,6,1,5,6,1,0,1,1,2,0
16028,13,4,11,2,14,0,1,1,2,2,0
20735,13,7,12,2,10,0,1,1,3,2,1
24652,9,5,9,2,4,0,1,1,2,2,1
34290,5,4,8,2,7,5,1,0,2,2,0
17600,5,4,11,4,8,1,1,0,2,2,0
22009,4,4,11,4,8,3,1,0,0,2,0
29412,10,6,11,2,5,0,1,1,3,2,1
19240,10,4,11,2,7,0,1,1,2,2,1
25600,4,4,11,4,3,2,1,0,2,2,0
10378,7,7,9,2,4,0,1,1,2,1,1
8359,8,4,11,4,8,2,0,0,2,0,0
28441,4,0,15,4,0,1,1,1,2,2,0
31561,6,4,10,4,10,1,1,0,3,2,1
35937,7,4,11,2,7,0,1,1,2,2,0
116,8,6,9,2,4,0,1,1,2,2,1
34380,10,4,8,2,6,0,1,1,2,2,0
36,7,7,15,2,4,0,1,1,3,2,0
1160,13,7,11,6,8,1,1,0,1,2,0
14351,4,4,15,4,8,3,1,0,1,4,0
34814,4,4,9,2,12,3,1,1,2,2,0
22408,8,4,14,2,10,0,1,1,2,2,1
6217,7,4,15,2,7,0,1,1,2,2,0
35026,9,4,11,2,7,0,1,1,2,2,0
20645,4,4,15,4,8,3,1,0,0,2,0
15459,6,4,11,6,12,4,1,0,2,2,0
7996,6,4,11,2,7,0,1,1,2,2,0
23098,4,0,15,4,0,3,1,1,2,2,0
26277,10,4,10,2,10,0,1,1,2,2,1
442,5,4,15,2,3,0,1,1,2,2,0
32812,10,1,15,3,8,4,0,0,1,0,0
21467,7,4,7,0,12,1,1,0,2,2,0
29263,5,4,9,4,1,1,1,0,2,2,0
15109,4,4,9,2,6,3,1,0,1,2,0
7283,4,0,11,2,0,5,1,0,1,2,0
1658,12,4,15,2,8,0,1,1,2,2,0
29398,12,4,9,2,1,0,1,1,1,2,0
1384,5,4,9,4,4,1,1,1,2,2,0
26094,8,4,11,2,4,0,1,1,2,2,1
32778,6,4,12,2,4,0,1,1,2,2,0
37538,4,2,15,5,8,4,0,1,1,2,0
23844,10,4,11,6,7,4,1,1,2,2,0
2331,6,4,14,0,10,4,1,0,2,2,0
10545,9,6,15,2,3,0,0,1,2,0,0
3519,8,4,9,2,4,0,1,1,2,2,1
4535,7,6,9,0,10,1,1,1,2,2,1
11892,5,4,14,4,10,1,1,1,2,2,0
264,8,4,11,2,3,0,1,1,2,2,1
1194,7,4,9,2,4,0,1,1,2,4,1
36474,9,4,11,0,8,2,0,1,2,2,0
3965,6,4,11,2,14,0,0,1,2,2,0
18642,6,4,15,0,6,1,1,0,2,2,0
33689,11,6,5,2,8,0,1,1,2,2,0
23527,5,4,15,4,6,3,1,1,2,2,0
7710,6,6,1,2,5,0,1,1,3,2,0
36061,6,4,11,4,14,1,0,1,2,2,0
25449,9,4,6,4,14,1,0,1,2,2,0
23646,4,4,15,4,1,3,1,0,1,2,0
258,6,2,9,2,10,0,1,1,2,2,1
14877,5,7,9,4,11,1,1,1,2,2,0
6636,5,2,9,5,10,1,1,1,2,2,1
11383,11,4,11,2,14,0,1,1,2,2,1
28946,9,4,9,2,4,0,1,1,2,2,1
11378,8,6,11,4,13,1,0,0,2,2,0
28387,8,6,15,2,5,0,1,1,3,2,1
30507,4,0,9,4,0,1,1,0,1,2,0
25377,6,4,8,4,4,4,0,0,2,0,1
5659,5,4,15,4,12,1,1,0,2,2,0
29528,13,2,11,2,10,0,1,1,2,2,0
18949,7,4,15,4,6,1,1,1,2,2,0
5925,8,4,12,2,4,0,1,1,2,2,1
1775,5,4,9,2,10,0,1,1,2,2,1
5046,5,4,15,4,1,3,1,1,2,2,0
2294,4,2,11,4,14,2,1,1,2,2,0
33594,7,0,15,2,0,0,1,1,2,2,0
6429,12,4,6,5,12,1,0,0,1,2,0
8507,14,4,11,2,12,0,1,1,2,2,1
2504,6,4,8,2,10,5,1,0,3,2,1
30838,4,0,11,2,0,5,1,0,2,2,0
9591,6,0,12,2,0,0,1,1,2,2,0
9139,10,6,9,2,4,0,1,1,2,2,1
35726,3,4,15,4,12,3,1,1,1,2,0
3205,4,0,11,4,0,3,0,0,1,2,0
4172,13,2,12,4,10,1,1,1,2,2,0
19965,12,5,10,2,10,0,1,1,2,4,1
37554,7,4,12,2,13,0,0,1,2,0,0
35283,7,4,8,2,3,0,1,1,2,2,0
