,age,workclass,education,marital-status,occupation,relationship,race,sex,hours-per-week,native-country,income
33021,6,6,15,2,3,0,1,1,2,2,1
39772,5,6,15,5,1,4,1,0,2,2,0
39161,4,4,15,4,8,3,1,0,1,2,0
32579,5,4,9,4,10,1,1,1,2,3,0
9029,9,4,15,2,4,0,1,1,2,2,1
7746,10,0,11,0,0,2,1,1,2,2,0
26383,10,6,11,0,12,1,1,0,2,2,0
38837,8,4,15,2,12,0,1,1,2,2,1
4627,11,0,5,2,0,0,1,1,1,2,0
37231,9,4,7,2,12,0,1,1,2,2,1
35155,12,1,11,6,1,1,1,0,2,2,0
28036,6,6,9,0,3,1,1,1,3,2,0
31214,4,4,15,4,12,2,0,0,1,2,0
31885,7,0,15,4,0,1,0,1,1,2,0
16491,5,4,9,4,6,3,1,1,2,2,0
34255,8,4,11,4,7,4,0,0,2,2,0
3867,13,4,11,2,6,0,1,1,2,2,1
21184,5,2,15,4,1,3,0,0,1,2,0
26226,7,4,9,4,4,1,1,0,2,2,0
42889,11,4,5,0,5,2,1,1,2,2,0
6979,12,4,15,2,3,0,1,1,2,2,0
28700,8,4,8,2,1,0,1,1,2,2,1
46087,11,4,1,2,1,0,1,1,2,2,1
10170,4,4,9,2,10,0,1,1,2,2,0
24474,7,4,11,0,3,4,1,1,2,2,0
32914,10,4,11,6,1,4,0,0,1,2,0
19681,6,4,9,2,3,0,1,1,2,2,0
21571,4,4,11,4,6,3,1,1,2,2,0
14085,7,4,2,3,14,1,0,1,2,4,0
33329,12,4,2,2,4,0,1,1,1,2,0
11596,10,1,9,2,4,0,1,1,2,2,1
34312,4,4,15,4,8,3,1,1,1,2,0
22788,4,4,15,4,8,3,1,0,1,4,0
37442,9,4,15,2,3,0,1,1,2,2,1
7107,6,4,12,4,4,1,1,0,2,2,0
20711,7,4,11,3,3,4,1,0,2,2,0
39260,7,4,9,0,1,4,1,0,2,2,0
14068,11,4,11,2,8,5,1,0,0,2,0
33440,6,4,11,5,3,4,1,1,2,2,0
23612,3,4,11,2,4,5,1,0,2,2,0
10360,8,6,12,0,6,4,1,1,2,3,0
45976,13,4,12,5,4,1,0,1,1,2,0
25850,9,2,9,2,5,0,0,1,2,2,1
45256,9,2,11,2,8,0,0,1,2,2,0
43132,8,6,11,4,5,1,1,1,2,2,0
16023,6,4,11,4,1,1,0,1,2,2,0
27919,8,4,11,2,1,3,1,1,2,2,0
10856,4,0,15,4,0,1,1,1,2,2,0
5860,5,4,11,2,6,0,1,1,2,2,0
17428,4,4,11,3,12,3,1,0,1,2,0
38211,4,4,15,2,4,5,1,0,2,2,0
14585,4,4,15,4,8,3,1,1,0,2,0
26451,8,4,15,2,3,0,0,1,2,2,0
35458,11,6,11,2,12,0,1,1,4,2,0
6904,7,4,11,2,14,0,1,1,2,2,1
1174,9,4,11,2,8,0,1,1,2,2,0
751,4,4,9,4,10,4,1,1,1,2,0
32721,12,4,2,2,4,0,1,1,3,2,0
34749,14,4,3,2,8,0,0,1,1,2,0
12699,7,4,15,2,8,5,1,0,1,2,0
8611,9,4,11,2,3,0,1,1,2,2,0
30101,6,4,0,0,7,1,0,1,3,2,0
9888,4,4,1,4,12,1,1,0,2,2,0
33856,13,6,15,2,14,0,0,1,3,2,0
31225,3,4,11,4,14,1,0,1,1,2,0
10783,3,4,0,4,8,2,0,0,1,2,0
35445,3,4,2,4,12,3,1,0,1,2,0
46661,3,4,15,4,8,3,1,0,0,2,0
35208,12,7,11,6,1,1,1,0,2,2,0
34248,4,4,11,4,12,4,1,0,3,2,0
17486,3,4,0,4,12,3,1,1,1,2,0
45698,7,4,9,2,6,0,1,1,2,2,0
45784,11,4,11,2,3,0,1,1,2,2,0
15737,5,5,11,2,12,0,0,1,2,2,1
39547,10,4,9,2,12,0,1,1,2,2,1
11058,4,4,11,4,8,1,1,1,1,2,0
2554,7,4,11,2,4,0,1,1,2,2,0
22827,8,1,9,2,10,0,1,1,2,0,1
31703,6,4,11,2,14,0,1,1,3,2,1
3729,5,2,11,4,4,4,0,0,1,2,0
43272,5,4,9,4,4,1,1,0,2,2,0
47530,6,4,9,2,12,0,1,1,3,2,1
46528,10,4,5,4,8,3,1,1,2,2,0
47239,7,4,14,2,10,0,1,1,2,2,1
7148,9,4,15,0,4,1,1,1,2,2,0
