,age,workclass,education,marital-status,occupation,relationship,race,sex,hours-per-week,native-country,income
37246,10,6,15,0,10,1,1,0,1,2,0
15379,5,4,11,4,8,4,1,1,2,2,0
33944,9,4,11,3,3,1,1,1,2,1,0
36507,6,4,8,5,10,1,1,1,2,2,0
3390,9,4,10,6,10,4,1,1,2,0,1
31081,10,4,4,3,8,4,1,0,1,2,0
26286,10,4,15,4,8,1,1,1,1,2,0
14828,4,4,11,2,12,0,1,1,2,2,0
5142,5,4,9,4,8,1,0,0,1,2,0
27109,8,2,11,2,5,0,1,1,2,2,0
47258,12,4,11,6,14,1,1,1,1,2,0
41361,8,6,12,2,10,0,1,1,1,2,1
13248,13,4,13,4,7,1,1,1,0,2,0
15912,5,4,11,0,3,1,1,1,2,2,0
29249,6,4,8,2,13,0,1,1,2,2,1
19073,9,0,5,0,0,1,0,1,2,2,0
31685,12,4,11,2,1,0,1,1,2,2,0
30235,8,4,12,2,10,0,1,1,2,2,1
13610,8,6,11,2,14,0,1,1,3,2,1
10855,9,2,15,2,11,0,1,1,2,2,1
44369,9,4,9,4,12,3,1,1,2,2,0
44146,10,2,6,2,14,0,1,1,2,2,0
48411,3,4,11,4,6,1,0,1,1,2,0
5920,4,4,0,5,8,4,1,0,2,2,0
31905,3,4,2,4,8,3,1,1,1,2,0
48129,7,5,15,4,12,1,1,1,2,2,0
10741,5,4,8,2,3,0,1,1,2,2,0
20175,5,4,9,4,1,1,1,1,2,1,0
16953,8,4,7,2,12,0,1,1,2,2,1
34318,9,4,12,0,10,1,1,1,3,2,0
11242,10,2,15,2,5,0,1,1,2,2,0
31704,9,4,11,2,3,0,1,1,2,2,0
10517,7,4,4,5,7,1,1,0,2,2,0
14913,12,4,4,2,5,2,1,0,2,2,0
32366,8,4,11,4,12,4,1,0,2,2,0
6552,7,4,11,2,14,0,1,1,2,2,0
31112,6,4,11,0,4,1,1,1,3,2,0
8963,18,0,11,6,0,1,1,0,2,2,0
5492,11,0,11,0,0,1,1,0,2,1,0
45112,7,1,11,4,1,1,1,1,2,2,1
43013,5,4,7,2,13,0,1,1,2,2,1
4976,9,6,12,2,3,0,1,1,2,2,1
41830,6,4,15,4,1,1,1,0,2,2,0
27301,7,4,8,4,3,3,0,1,2,2,0
41320,7,4,9,2,4,0,1,1,2,2,1
15646,6,4,11,4,3,1,0,0,2,2,0
29536,8,4,15,2,7,0,1,1,3,2,0
30258,10,4,15,2,12,0,1,1,2,2,1
22501,4,4,6,4,7,3,1,1,2,2,0
26255,4,4,11,4,8,3,1,0,2,2,0
39453,4,4,15,4,10,1,0,0,1,2,0
27712,8,6,11,0,5,2,1,1,1,2,0
48103,7,4,15,0,8,4,1,0,1,2,0
20602,8,4,9,2,1,5,1,0,2,2,1
6278,10,2,11,2,3,0,1,1,2,2,0
39717,6,4,9,6,12,4,1,0,2,2,0
4350,4,4,11,4,6,3,1,1,1,2,0
43202,4,4,11,4,6,3,1,1,2,2,0
24092,5,4,9,2,12,0,1,1,2,2,0
24960,4,4,11,4,7,1,0,1,2,4,0
47127,4,4,1,2,11,0,1,1,2,2,0
37277,7,1,15,2,4,0,0,1,2,2,1
44586,10,4,15,2,3,0,1,1,2,2,1
47535,4,4,7,4,5,1,0,0,2,2,0
8068,9,4,8,2,10,0,1,1,2,1,1
22940,5,4,13,4,5,1,1,1,1,2,0
45605,10,4,11,2,1,0,1,1,2,2,0
23537,5,4,15,2,12,0,1,1,2,2,0
34306,9,5,15,2,12,0,1,1,2,2,0
26931,5,4,11,2,1,0,0,1,2,2,0
11328,3,0,15,4,0,3,1,1,2,2,0
8449,13,4,11,0,7,1,1,1,0,2,0
20942,8,4,15,5,10,4,0,0,2,2,0
23672,8,4,9,2,10,0,1,1,2,2,1
43553,12,4,11,0,1,4,0,0,2,2,0
11408,8,4,9,2,10,0,1,1,2,2,1
4330,10,2,11,2,11,0,1,1,2,2,1
33849,5,4,8,2,3,0,1,1,2,2,0
14028,8,6,9,4,12,1,1,1,2,2,0
37641,8,6,4,2,5,0,1,1,4,2,1
24718,10,4,11,0,12,1,1,0,2,2,0
40856,9,4,15,6,1,4,1,0,2,2,1
28566,6,4,15,2,3,0,1,1,2,2,0
32943,11,6,10,1,4,5,1,0,1,2,1
5006,3,4,1,4,8,1,1,1,2,2,0
24423,11,7,7,0,1,3,0,1,2,2,0
9891,6,4,15,2,7,0,1,1,2,2,0
36115,7,4,9,2,4,0,1,1,2,2,0
7857,6,2,12,4,10,1,1,0,2,2,0
24885,7,4,9,4,10,1,1,0,2,2,0
239,4,4,11,4,14,3,1,1,2,2,0
10425,12,0,9,2,0,0,0,1,2,2,0
38361,10,7,11,2,8,0,1,1,2,2,1
20712,8,4,9,0,10,1,1,0,2,2,0
26073,10,6,11,2,12,0,1,1,2,2,1
4392,6,4,11,2,8,0,1,1,1,2,0
22255,5,4,11,4,1,1,1,0,2,2,0
40532,8,4,11,2,14,0,1,1,2,2,1
31560,8,4,11,3,1,4,1,0,2,2,0
26199,8,2,9,2,10,0,1,1,2,2,1
40530,11,4,9,3,10,2,0,0,1,2,0
17318,10,2,14,2,10,0,1,1,2,2,1
21223,9,6,11,2,12,3,1,0,2,2,1
222,18,4,11,4,8,1,0,1,2,2,0
17894,5,4,15,2,12,0,1,1,2,4,0
35945,10,4,11,0,8,1,1,0,2,2,0
30663,5,4,11,2,6,0,1,1,2,2,0
22106,4,7,15,2,8,0,0,1,1,4,0
42070,4,4,9,4,13,1,1,1,0,2,0
17070,6,7,8,4,10,1,1,0,2,2,0
37774,6,4,9,2,13,0,1,1,2,2,0
28784,9,6,0,4,3,1,0,1,1,2,0
15439,6,4,8,0,1,1,1,1,2,2,0
29681,9,4,12,2,4,0,1,1,2,2,1
20576,13,0,10,2,0,0,1,1,3,2,0
44703,10,4,11,0,3,1,1,1,3,2,0
29705,5,4,11,4,1,1,1,0,2,2,0
6901,7,4,9,2,4,0,1,1,3,2,0
12611,7,4,15,5,1,4,0,0,2,2,0
7011,4,0,9,4,0,3,1,1,2,2,0
34870,7,4,11,2,12,0,1,1,2,2,0
18770,6,4,1,4,8,1,1,1,2,2,0
9756,7,4,6,0,1,4,1,0,2,2,0
45278,7,1,9,4,4,1,1,0,2,2,0
22976,11,0,4,2,0,0,1,1,2,2,0
26707,10,4,15,2,14,0,1,1,2,2,1
35215,15,6,5,2,14,0,1,1,1,2,0
1669,9,4,14,2,10,0,1,1,3,2,1
14903,15,5,11,2,4,0,1,1,2,2,1
28857,9,4,11,5,3,4,0,1,2,2,0
1023,6,4,15,2,8,0,1,1,2,2,0
11138,5,5,9,2,4,0,1,1,2,2,0
17313,6,2,15,2,11,0,1,1,2,2,0
20670,8,1,11,2,1,0,1,1,2,2,0
20795,9,7,9,2,4,0,1,1,2,2,1
22101,4,0,15,2,0,5,1,0,2,2,0
45879,6,4,9,2,3,0,0,1,2,0,0
48750,4,4,15,4,12,1,1,1,1,2,0
39595,10,4,11,2,1,0,1,1,2,2,1
38392,7,4,15,2,4,0,1,1,2,2,1
12212,9,2,9,0,11,1,1,1,2,2,1
16350,13,4,12,2,12,0,1,1,2,2,0
24863,12,4,2,3,10,1,1,1,2,2,0
37715,7,5,12,0,4,1,0,1,3,2,1
30929,4,4,8,2,7,3,1,0,1,2,0
12881,3,4,0,4,8,3,1,1,0,2,0
29707,7,4,8,2,3,0,1,1,2,2,0
24921,11,4,11,0,8,4,1,0,2,2,0
39281,10,4,0,6,8,1,1,0,2,2,0
25701,6,4,15,2,1,5,0,0,2,2,0
4003,4,0,15,4,0,1,1,1,2,2,0
11462,5,4,11,4,3,1,1,0,2,2,0
22336,5,4,1,0,1,3,1,0,2,2,0
23933,14,4,8,4,1,1,1,0,2,2,0
30435,9,4,11,5,4,4,1,0,1,2,0
34712,10,2,15,2,1,0,1,1,2,2,1
47092,11,4,11,2,8,0,1,1,0,2,0
25514,11,4,15,2,1,0,0,1,1,2,0
42909,11,4,11,0,1,1,1,0,2,2,0
16443,7,7,12,4,10,3,1,0,1,2,0
29254,11,4,11,2,12,0,1,1,2,2,0
7305,9,4,8,2,4,5,1,0,2,2,1
21212,4,4,9,4,1,3,1,0,1,2,0
4126,11,6,11,2,4,0,0,1,2,2,0
6960,6,4,11,2,12,0,1,1,2,2,1
5173,7,4,9,2,4,0,1,1,2,2,1
42287,10,4,9,2,12,0,1,1,3,2,0
45352,6,4,11,4,8,1,1,1,2,2,0
14772,3,3,0,4,0,3,1,1,1,2,0
13021,4,4,11,4,7,3,1,1,2,2,0
13006,5,6,11,0,4,1,1,0,2,2,0
45758,8,4,15,0,7,4,1,0,2,2,0
16568,5,4,11,5,3,1,1,1,2,2,0
919,4,4,15,4,8,3,1,1,1,2,0
41154,8,4,11,0,1,4,1,0,1,2,0
26816,10,4,15,2,12,0,1,1,2,2,1
43037,9,6,11,2,10,0,1,1,2,2,1
21552,4,4,15,4,12,3,1,0,1,2,0
8898,8,5,15,2,4,0,0,1,3,0,0
44090,5,4,15,2,3,0,1,1,2,2,0
4775,7,6,9,4,3,3,1,1,2,2,0
4297,6,2,12,2,4,0,1,1,2,2,1
7030,4,4,9,4,12,1,1,1,2,2,0
25103,7,2,7,4,14,1,1,1,2,2,0
3561,9,5,11,2,5,0,1,1,2,2,1
9807,11,4,9,4,3,1,1,1,2,2,0
1492,9,4,11,2,1,0,1,1,2,2,1
35304,4,4,11,4,6,1,1,1,2,2,0
21848,3,4,15,4,5,1,1,0,0,2,0
33482,7,4,14,2,4,0,1,1,2,2,1
9778,13,0,6,2,0,0,1,1,0,2,0
30123,12,6,5,2,5,0,1,1,3,2,1
46168,4,5,6,4,3,4,1,1,2,2,0
28658,9,4,9,2,12,0,1,1,3,2,1
1352,8,4,11,5,12,3,1,0,2,2,0
19471,4,4,11,2,3,0,1,1,1,2,0
12211,4,4,15,4,1,3,1,1,0,2,0
27033,7,4,9,4,12,1,0,0,2,0,0
34124,7,4,9,2,3,0,0,1,2,2,1
