,age,workclass,education,marital-status,occupation,relationship,race,sex,hours-per-week,native-country,income
1893,6,4,12,2,10,0,1,1,2,2,1
5488,11,4,8,2,3,0,1,1,2,2,1
24821,4,0,15,4,0,3,1,0,2,2,0
21451,10,5,12,2,12,0,1,1,3,2,1
20612,3,0,11,4,0,2,1,1,2,2,0
9730,9,5,9,2,4,0,1,1,2,2,1
20354,4,7,15,4,1,3,1,0,1,2,0
39787,6,2,9,2,10,0,1,1,2,2,0
13916,13,2,0,2,14,0,1,1,1,2,0
36924,8,4,11,5,1,4,1,0,2,2,0
19251,9,4,15,0,4,1,1,0,2,2,0
8340,9,2,15,2,11,0,1,1,1,2,1
5864,9,4,15,0,14,1,1,1,2,2,0
40870,11,4,11,2,8,0,0,1,1,2,0
15679,9,2,12,2,10,0,1,1,2,2,1
12551,5,4,9,4,1,3,1,0,2,2,0
34893,5,4,15,4,12,1,1,1,2,2,0
7266,9,4,9,2,10,0,1,1,2,2,1
25774,6,5,9,2,12,0,1,1,2,2,0
17768,7,4,9,4,10,1,1,0,2,2,0
14709,6,4,11,2,3,0,1,1,2,2,0
36985,5,4,9,2,13,5,1,0,0,2,0
43604,6,1,15,5,10,1,1,0,2,2,0
8015,6,4,11,2,3,0,1,1,2,2,1
14374,6,4,11,4,7,3,0,1,2,0,0
12792,11,4,5,2,3,0,1,1,2,2,0
31459,3,4,1,4,12,3,1,1,1,2,0
44689,11,6,1,2,5,0,1,1,4,2,0
151,6,4,11,4,1,1,1,0,2,2,0
28090,9,4,11,6,3,4,0,0,2,2,0
14854,6,4,0,2,4,5,1,0,1,2,0
29170,7,4,11,4,7,1,1,0,2,2,0
16818,11,7,11,2,13,5,1,0,2,2,1
26118,7,7,9,4,10,1,1,1,2,2,1
5665,14,4,3,0,8,1,0,1,2,2,0
36817,5,4,9,2,10,0,1,1,2,2,1
8004,6,4,1,2,1,0,1,1,2,2,0
39379,4,4,2,4,8,1,1,1,3,2,0
43305,4,4,15,2,1,2,1,0,2,2,0
45812,8,6,14,2,10,0,1,1,2,2,1
2137,8,1,15,0,1,2,1,0,2,2,0
30832,8,2,12,0,10,4,1,0,2,2,0
27973,10,4,9,2,13,0,1,1,1,2,1
20102,7,4,5,4,8,3,1,1,1,2,0
18750,3,0,15,4,0,3,1,1,1,2,0
47949,5,4,11,2,1,0,1,1,2,2,0
12997,4,4,15,4,3,3,1,1,2,2,0
3996,10,7,11,4,8,1,0,0,1,2,0
44511,5,4,11,2,12,0,1,1,1,2,0
48126,10,6,0,0,8,3,1,0,1,2,0
1189,5,2,9,4,10,3,1,1,1,2,0
16167,9,4,11,2,12,0,1,1,2,2,1
6044,4,4,15,4,1,2,0,0,1,2,0
2651,8,4,12,3,4,1,1,1,2,2,0
25395,13,4,15,2,4,0,1,1,2,2,0
16705,11,6,11,0,10,1,1,1,1,1,0
7060,9,1,9,2,10,0,0,1,2,2,1
33064,8,4,9,0,1,4,1,0,1,2,0
7855,10,7,15,2,5,0,1,1,2,2,0
16114,12,4,5,2,3,0,1,1,2,2,0
10055,7,7,9,2,10,0,1,1,2,2,0
31424,5,4,11,2,13,5,1,0,2,2,0
4293,6,4,15,0,10,1,1,1,2,2,0
28997,10,4,12,2,4,0,0,1,2,2,1
9622,4,7,9,4,1,1,0,0,1,2,0
7220,5,4,10,4,1,3,1,0,2,2,0
39866,7,4,12,2,10,0,1,1,2,2,0
13260,6,6,15,2,3,0,1,1,2,2,1
2850,7,4,7,2,5,0,1,1,2,2,0
5261,5,4,11,4,3,1,1,1,2,2,0
38572,7,4,8,0,13,1,1,0,2,2,0
28385,7,4,11,2,4,0,1,1,2,2,0
15002,10,4,8,2,3,0,1,1,2,2,0
6582,7,6,15,2,3,0,0,1,3,2,0
16362,11,2,11,5,11,2,0,0,2,2,0
15719,11,6,11,2,8,0,1,1,2,2,0
15963,7,4,5,2,5,0,1,1,2,2,0
22183,11,4,6,2,7,0,1,1,2,2,0
22128,11,6,12,2,10,0,1,1,2,2,1
24622,3,4,0,4,8,3,1,1,0,2,0
10444,12,5,9,2,5,0,1,1,2,2,1
9550,8,6,11,2,3,0,0,1,3,0,0
776,7,4,15,0,1,4,1,0,2,2,0
24772,7,4,15,4,8,1,1,0,2,2,0
14199,11,4,15,0,7,1,1,0,2,2,0
34706,4,4,9,4,12,4,1,0,1,2,0
7077,4,4,11,4,7,3,1,1,2,2,0
30502,12,4,11,2,10,0,1,1,1,2,0
31416,8,4,7,5,1,4,0,0,2,2,0
48753,5,4,9,4,10,3,0,1,2,2,0
6219,9,4,7,2,1,0,0,1,2,0,0
17057,9,4,1,6,8,4,1,0,2,2,0
43773,5,4,9,4,1,1,1,0,2,2,0
43055,3,4,15,4,1,3,1,0,0,2,0
29670,6,4,15,0,10,4,1,0,0,2,0
15355,8,4,15,4,7,1,1,1,2,2,0
11941,11,5,11,2,4,0,1,1,2,2,0
15358,5,4,11,4,8,1,0,0,2,2,0
42509,8,4,12,2,4,0,1,1,2,2,1
29116,4,4,8,4,4,3,1,1,2,2,0
45204,14,4,11,6,12,1,1,0,0,2,0
48713,9,2,11,2,4,0,1,1,2,2,0
44864,8,4,11,4,3,4,1,1,2,2,0
45703,10,7,11,2,3,0,1,1,2,2,0
22433,9,4,11,2,7,0,0,1,2,2,0
13942,8,4,15,2,6,0,1,1,2,2,0
91,7,4,15,0,3,4,1,0,2,2,0
11275,5,4,11,2,4,0,1,1,2,2,1
38596,6,2,11,5,8,4,1,1,2,2,1
25929,8,0,2,5,0,1,1,0,1,2,0
1997,15,6,12,3,10,1,1,0,2,2,0
27023,11,4,8,2,3,0,1,1,2,2,1
17443,12,4,15,6,12,1,1,0,2,2,0
11874,6,4,3,2,3,0,1,1,1,2,0
45832,8,4,10,2,10,0,1,1,1,2,0
37067,4,4,11,4,5,1,1,1,2,2,0
18668,4,4,11,2,1,2,1,0,1,2,0
25773,4,4,11,4,12,1,1,1,2,2,0
9582,9,0,9,2,0,0,1,1,4,2,1
38867,7,4,11,0,12,4,1,1,2,2,0
38487,5,7,11,5,11,1,1,1,2,2,0
21018,4,4,11,4,1,1,1,0,2,2,0
25041,8,2,12,2,10,0,1,1,2,2,0
24572,5,4,2,2,10,0,1,1,2,4,0
8698,8,6,12,2,5,0,1,1,2,2,1
14458,5,4,9,4,4,3,1,1,2,2,0
12592,10,4,11,0,8,2,0,1,1,2,0
13675,11,6,7,2,4,0,1,1,2,2,1
13741,12,6,5,6,5,4,1,0,0,2,0
21920,12,6,5,2,3,0,1,1,2,2,0
34044,5,4,8,4,4,1,1,1,3,2,1
37037,7,7,11,0,8,4,1,0,2,2,0
48298,8,4,15,2,8,5,1,0,2,2,0
39168,9,4,11,0,7,1,1,1,2,2,0
4951,8,4,11,2,12,0,1,1,3,2,1
801,4,4,11,4,8,3,0,1,1,2,0
14057,4,4,11,2,12,5,1,0,2,2,1
4003,4,0,15,4,0,1,1,1,2,2,0
37220,10,2,12,0,10,4,0,0,1,2,1
31173,6,4,11,4,14,3,0,1,2,2,0
15607,4,4,11,4,1,4,1,0,2,2,0
18133,6,4,11,4,12,1,1,0,2,2,0
48148,7,6,9,2,4,0,1,1,2,2,1
37989,6,4,11,0,3,4,1,1,4,2,0
5580,8,4,12,2,13,0,1,1,1,2,1
35495,10,4,8,6,8,4,1,0,0,2,0
10687,6,4,15,2,10,0,1,1,2,2,0
11757,12,7,0,4,8,1,0,0,1,2,0
29126,4,7,15,4,4,3,1,0,1,2,0
40575,9,5,9,0,12,1,1,0,2,2,0
47084,6,4,0,2,1,5,1,0,2,2,0
34515,4,6,9,4,10,3,1,1,1,2,0
29475,6,4,11,4,8,3,0,1,2,2,0
40104,4,4,15,2,1,0,1,1,2,2,1
44797,5,4,9,2,10,5,1,0,1,2,1
4341,7,4,11,2,3,0,1,1,2,2,1
3844,7,5,9,4,4,3,1,1,2,2,0
38290,7,4,11,0,7,4,1,0,2,2,0
17151,9,4,1,2,6,0,1,1,3,2,0
27025,7,4,11,2,3,0,0,1,1,2,0
7418,9,5,12,2,4,0,1,1,2,2,1
27488,5,4,4,4,8,1,1,1,3,2,0
11072,9,5,11,0,4,1,1,0,2,2,0
40369,7,4,11,2,3,0,1,1,3,2,1
10263,8,4,15,5,4,1,1,1,2,1,0
14088,13,4,4,5,8,1,1,1,0,1,0
28121,5,4,11,4,1,1,1,1,2,2,0
14494,6,4,11,2,7,0,1,1,2,2,1
5258,4,4,11,4,1,3,1,1,2,2,0
42219,9,4,4,2,6,0,1,1,2,2,0
45055,8,4,10,2,10,0,0,1,2,0,1
21023,6,4,9,0,11,1,0,1,3,2,1
39159,5,4,1,2,1,3,1,0,2,2,0
44775,8,4,15,0,7,1,1,1,2,2,0
21324,4,7,15,4,6,1,1,1,0,2,0
40117,4,4,15,4,8,1,1,0,1,2,0
33873,12,4,1,4,7,2,1,1,2,2,0
10369,7,4,11,2,11,3,1,1,2,2,0
10194,3,4,11,4,6,3,1,1,0,2,0
48104,10,4,9,0,3,1,0,0,2,0,0
23160,8,4,11,0,11,1,0,0,2,2,0
2312,5,4,9,2,12,5,1,0,2,2,1
38698,5,4,8,2,6,0,1,1,2,2,0
1903,5,4,11,4,1,1,1,0,2,2,0
3613,4,2,9,4,1,3,0,0,1,2,0
13783,9,4,15,0,1,2,1,0,2,2,0
15399,4,4,15,4,5,1,1,1,3,2,0
26299,3,4,2,4,8,3,1,1,1,2,0
41869,3,4,15,4,1,4,0,0,2,2,0
37452,9,4,11,2,4,0,1,1,2,2,1
32014,5,4,9,4,10,3,1,0,2,2,0
48408,13,4,1,2,8,0,1,1,2,2,1
21013,7,4,12,2,10,0,1,1,2,2,1
3983,12,7,0,2,4,0,1,1,2,2,1
24919,7,4,15,2,12,5,1,0,2,2,1
25450,5,4,0,4,6,1,1,1,2,2,0
38039,3,4,1,4,8,3,1,1,2,2,0
48530,11,4,11,2,1,5,1,0,2,2,0
4936,9,1,1,6,1,1,1,0,2,2,0
22192,3,4,1,4,6,3,1,1,0,2,0
43220,7,4,11,2,3,0,1,1,2,2,0
31164,9,4,15,2,4,0,1,1,2,2,1
13571,6,4,11,2,6,0,1,1,3,2,0
42179,8,4,11,2,12,5,1,0,1,2,0
1449,8,5,15,2,4,0,1,1,2,2,1
46195,7,4,15,2,12,5,1,0,2,2,0
28062,7,4,9,2,4,0,1,1,2,2,1
42332,7,4,0,2,14,0,1,1,3,2,0
16788,12,5,10,2,4,0,1,1,3,2,1
46410,3,4,11,4,1,3,1,0,1,2,0
12678,3,4,2,4,12,3,1,1,1,2,0
44013,6,4,4,2,3,0,0,1,2,2,0
20446,6,4,15,4,6,2,1,1,1,2,0
42958,13,6,7,2,12,0,1,1,0,2,1
3631,12,0,11,2,0,0,1,1,2,2,0
1975,8,4,9,3,10,1,0,1,2,0,1
18870,5,4,11,4,12,2,0,0,1,2,0
39471,6,4,15,2,12,0,1,1,2,2,1
7649,8,4,15,2,12,0,1,1,2,2,1
12053,7,4,15,0,1,1,1,1,2,2,0
2214,12,6,11,4,8,1,1,1,2,2,0
984,9,2,11,6,11,1,1,1,2,2,1
27397,6,2,9,0,10,4,1,0,1,2,0
20981,8,2,8,0,10,4,1,0,2,2,0
38705,8,2,15,2,11,0,0,1,3,2,1
44493,10,4,11,2,10,0,1,1,2,2,0
45848,8,4,12,0,4,1,1,0,2,2,0
11308,11,2,14,0,10,1,1,0,1,2,0
3320,9,4,15,4,1,3,1,0,2,2,0
4364,5,4,8,4,4,4,1,0,2,2,0
11128,9,2,12,2,4,0,0,1,2,2,1
38631,8,6,7,2,1,5,1,0,2,2,0
22904,7,4,11,4,3,3,0,1,2,2,0
25330,8,4,12,4,10,1,1,0,1,2,0
2275,4,4,15,2,7,0,1,1,2,2,0
39568,9,6,9,4,10,1,1,1,1,2,1
15009,5,4,9,4,13,1,1,1,2,2,0
11335,10,4,9,2,4,0,1,1,2,2,1
34257,11,4,11,2,1,5,1,0,0,2,0
47185,9,6,10,2,10,0,1,1,3,2,1
47486,7,4,9,4,1,1,1,1,2,2,0
12251,8,4,14,2,10,0,1,1,2,2,1
43647,12,4,15,2,8,0,1,1,1,2,0
24018,10,6,15,2,13,0,1,1,3,2,1
14096,10,4,12,2,4,0,1,1,2,2,1
9450,5,6,11,4,5,1,1,1,2,2,0
36810,6,4,7,2,8,5,0,0,1,2,0
1607,9,4,11,5,3,3,1,1,2,2,0
31098,4,4,2,4,3,1,1,1,2,2,0
36840,8,4,12,2,10,0,1,1,2,2,1
12022,7,4,9,2,4,0,1,1,2,2,1
25334,3,4,0,4,8,3,0,1,0,2,0
3999,5,4,5,2,3,0,1,1,1,2,0
42917,4,2,15,4,6,1,1,1,2,2,0
35866,4,4,15,2,12,0,1,1,2,2,0
3487,8,4,11,4,7,1,1,0,2,2,0
3427,10,4,12,2,12,0,1,1,2,2,0
35422,5,4,11,2,12,0,1,1,1,2,0
27066,6,4,7,4,10,4,0,0,1,2,0
14196,4,4,15,4,7,3,1,1,2,2,0
38445,3,4,2,4,8,3,0,0,1,2,0
21923,8,4,1,0,8,2,1,0,1,2,0
38485,3,7,15,4,8,3,1,1,1,2,0
40605,9,4,11,2,12,0,1,1,2,2,1
41592,6,4,11,0,6,2,1,1,2,2,0
16504,6,4,9,4,10,2,1,0,2,2,0
20284,6,4,9,4,12,4,0,1,2,4,0
23321,4,4,15,4,12,3,1,1,1,0,0
22762,6,4,14,0,10,1,1,0,2,2,1
30061,6,0,1,4,0,1,1,0,2,2,0
11418,7,4,9,0,12,4,1,0,2,2,0
19524,4,4,15,4,12,3,1,1,1,2,0
13316,7,4,7,0,10,4,1,1,1,2,0
43996,7,4,7,2,12,5,1,0,2,2,0
25166,5,4,9,2,12,0,1,1,2,2,0
47726,8,4,2,2,3,0,1,1,2,2,1
2387,7,4,9,2,5,0,1,1,2,2,0
27030,4,4,15,4,12,4,1,1,2,2,0
12784,3,0,15,4,0,3,1,1,2,2,0
33196,8,7,9,2,4,0,1,1,2,2,1
20256,6,4,11,2,4,0,1,1,2,2,0
47797,7,4,9,2,10,0,1,1,3,2,0
34715,11,4,11,0,12,4,1,0,2,2,0
47537,11,4,15,6,4,1,1,0,2,2,0
24167,4,4,15,4,6,3,0,1,2,2,0
31636,8,4,9,2,4,5,1,0,2,2,0
17222,10,4,11,2,14,0,1,1,2,2,0
41560,7,4,8,2,1,0,1,1,2,1,1
29513,7,4,11,2,6,0,1,1,2,2,0
29486,6,4,11,4,8,1,0,1,1,2,0
21230,3,4,11,4,1,3,1,0,2,2,0
45598,12,5,0,2,4,0,1,1,2,2,1
40437,3,6,15,4,1,3,1,0,2,2,0
10838,5,4,4,4,8,1,1,1,3,2,0
15872,9,7,9,0,10,1,1,1,2,2,0
33193,8,4,9,0,10,1,0,1,2,2,0
27404,12,4,11,4,7,1,0,0,2,2,0
2426,11,5,14,2,10,0,1,1,1,1,1
14252,4,4,9,4,10,3,0,0,1,2,0
30326,11,1,15,2,1,0,0,1,2,0,0
37704,8,4,9,2,10,0,1,1,1,2,1
12563,10,6,12,2,4,0,0,1,2,0,0
47148,13,5,9,2,4,0,1,1,2,2,1
6302,6,4,15,2,7,0,1,1,1,2,0
23113,7,2,9,2,10,0,1,1,1,2,0
17716,5,2,11,4,8,4,1,0,2,2,0
32365,8,4,12,2,10,0,1,1,2,2,1
19091,3,4,2,4,1,3,1,0,1,2,0
48313,6,4,15,0,10,1,1,0,2,2,0
7800,9,6,9,2,10,0,0,1,2,0,0
31356,11,4,12,6,12,1,1,0,1,2,0
41780,9,4,11,5,12,1,1,0,2,2,0
2816,7,4,1,2,3,0,1,1,2,2,0
17515,8,4,11,0,3,1,1,1,2,2,0
28054,6,4,9,4,12,1,1,1,2,2,1
30786,8,4,7,4,1,1,1,0,1,2,0
13165,5,4,8,2,1,0,1,1,2,2,0
27602,15,5,11,6,12,2,0,1,1,2,1
14189,9,4,11,6,1,4,1,0,1,2,0
23011,9,5,14,4,8,1,1,1,3,2,1
27881,9,4,15,2,5,0,1,1,2,2,0
44370,6,4,11,4,3,1,1,1,2,2,0
17619,6,4,5,0,8,4,1,0,2,2,0
47157,9,6,11,2,8,0,1,1,2,2,0
21056,12,2,11,2,3,0,1,1,4,2,0
