,age,workclass,education,marital-status,occupation,relationship,race,sex,hours-per-week,native-country,income
0,10,4,11,0,10,4,1,0,2,2,0
1,9,4,9,4,12,0,1,1,2,2,0
2,10,4,9,2,12,0,1,0,2,2,0
3,8,4,11,1,12,0,1,0,2,2,0
4,10,4,11,4,12,4,1,0,2,2,0
5,10,4,9,4,10,0,1,1,2,2,0
6,10,4,9,0,12,0,1,1,2,2,0
7,10,4,9,1,12,0,1,0,2,2,1
8,8,4,11,1,10,0,1,1,2,2,0
9,6,4,9,1,10,0,1,0,2,2,0
10,11,4,9,0,12,0,1,0,2,2,0
11,9,4,11,6,12,0,0,0,2,2,1
12,9,4,11,0,7,1,1,0,2,2,0
13,10,4,9,4,12,0,1,1,2,2,0
14,3,4,9,4,12,0,1,0,2,2,0
15,8,4,9,4,12,0,1,0,2,2,0
16,8,4,9,0,10,0,1,1,2,2,0
17,12,4,9,4,12,4,1,1,2,2,0
18,10,4,9,4,7,0,1,0,2,2,0
19,8,4,9,4,10,0,1,0,2,2,0
20,7,4,9,0,12,0,0,0,2,2,0
21,15,4,11,4,12,0,1,0,2,2,0
22,11,2,11,4,12,0,1,0,2,2,0
23,8,4,9,4,5,0,1,1,2,2,0
24,10,2,9,4,10,0,1,1,2,2,0
25,8,4,11,4,7,0,1,0,2,2,0
26,10,4,9,0,12,3,1,0,2,2,0
27,8,4,11,0,4,0,1,1,2,2,0
28,10,4,9,4,7,0,1,0,2,2,0
29,10,4,9,0,4,0,1,1,2,2,0
30,7,4,9,2,12,0,1,1,2,2,0
31,10,4,9,4,5,0,1,0,2,2,0
32,12,4,9,4,12,0,1,1,2,2,0
33,7,4,9,0,12,0,1,1,1,2,0
34,10,4,11,1,12,0,1,1,2,2,0
35,10,4,11,0,12,0,1,0,2,2,0
36,10,4,11,2,10,0,1,0,2,2,0
37,11,4,11,0,12,0,1,1,2,2,0
38,10,4,9,0,12,0,1,1,2,2,0
39,15,4,11,4,7,0,1,0,2,2,0
40,11,4,11,4,7,0,1,0,1,2,0
41,8,4,9,0,10,0,1,0,2,2,0
42,11,4,11,1,10,1,1,0,1,2,0
43,11,4,11,4,12,0,0,1,2,2,0
44,8,4,9,1,12,0,1,0,2,2,0
45,11,4,9,4,12,0,1,0,2,2,0
46,8,4,9,1,4,0,1,1,2,2,0
47,7,4,9,4,12,0,1,0,2,2,0
48,18,4,9,2,12,1,1,1,2,2,0
49,10,4,11,0,10,0,1,1,2,2,1
50,11,4,11,1,12,0,1,1,2,2,0
51,8,4,9,0,12,0,1,0,2,2,0
52,10,4,9,4,7,0,1,1,1,2,0
53,10,4,9,5,12,0,1,0,2,2,0
54,10,4,9,0,12,0,1,0,2,2,0
55,10,4,11,4,4,0,1,0,2,2,0
56,8,4,9,1,12,0,1,1,2,2,0
57,8,2,9,0,12,0,0,0,2,2,0
58,10,4,11,4,12,0,0,0,2,2,1
59,10,4,9,1,12,0,1,1,2,2,0
60,10,4,9,0,12,0,1,0,2,2,0
61,8,4,9,4,12,0,1,1,2,2,0
62,10,4,9,4,12,0,1,0,2,2,0
63,10,4,11,1,10,0,0,0,2,2,0
64,12,4,9,2,11,0,1,0,2,2,0
65,12,4,9,1,12,0,0,1,2,2,0
66,10,4,9,1,12,3,1,0,2,2,0
67,10,4,11,4,10,0,1,0,2,2,0
68,9,4,9,1,12,0,1,0,2,2,0
69,10,4,15,0,10,0,1,1,1,2,0
70,8,4,9,0,12,0,1,0,2,2,0
71,11,4,11,4,10,0,1,1,1,2,0
72,12,4,9,0,10,5,0,1,2,2,0
73,5,4,9,4,10,0,1,0,2,2,0
74,11,4,9,1,10,0,1,0,2,2,0
75,10,0,9,1,7,1,1,1,2,2,0
76,10,4,9,1,12,0,1,0,2,2,0
77,12,4,9,2,12,0,1,1,2,2,0
78,11,4,9,4,12,0,1,1,2,2,0
79,8,4,9,1,12,0,1,0,1,2,0
80,8,2,9,4,4,0,1,1,2,2,0
81,10,4,11,0,12,0,1,1,2,2,0
82,8,4,9,1,10,0,1,0,2,2,0
83,12,4,9,1,12,0,1,0,2,2,0
84,9,4,11,4,10,0,1,0,2,2,0
85,11,4,11,4,12,0,1,0,2,2,0
86,11,4,9,1,4,0,1,1,2,2,1
87,10,4,9,5,12,0,1,0,2,2,0
88,8,4,9,0,12,0,1,0,2,2,0
89,9,4,9,0,12,0,1,1,2,2,0
90,4,4,11,1,10,0,1,1,2,2,0
91,10,4,9,0,12,1,1,1,2,2,0
92,8,4,9,0,12,0,1,1,2,2,0
93,8,4,9,5,10,0,1,1,1,2,0
94,8,4,9,0,12,0,1,0,2,2,0
95,10,4,9,2,12,0,0,0,2,2,0
96,8,4,11,0,12,0,1,0,2,2,0
97,8,4,9,3,10,0,1,1,2,2,0
98,8,4,9,4,12,0,1,0,2,2,0
99,8,4,9,0,12,0,1,1,2,2,1
100,6,4,9,4,12,0,1,1,2,2,0
101,8,4,9,4,12,0,1,1,2,2,0
102,8,4,9,0,7,0,1,1,2,2,0
103,12,4,11,0,10,0,1,1,2,2,0
104,5,4,9,1,12,0,1,0,2,2,0
105,8,4,9,4,10,0,1,0,2,2,0
106,10,4,11,4,7,0,1,1,2,2,0
107,10,4,11,6,12,0,1,1,2,2,0
108,11,4,9,5,12,0,1,1,2,2,0
109,8,4,9,6,12,0,1,0,2,2,0
110,16,4,9,2,12,0,1,0,2,2,0
111,11,4,9,1,12,0,1,1,2,2,0
112,10,4,11,0,12,0,1,0,2,2,0
113,11,4,9,0,12,0,1,0,2,2,0
114,10,4,9,1,12,0,1,0,2,2,0
