,age,workclass,education,marital-status,occupation,relationship,race,sex,hours-per-week,native-country,income
0,9,4,9,5,12,0,0,1,1,2,0
1,11,4,9,2,10,0,1,1,1,2,1
2,11,4,9,2,7,0,1,1,1,2,0
3,4,4,9,2,7,0,1,0,1,2,1
4,4,4,9,2,12,0,1,1,1,2,1
5,3,4,9,4,12,0,1,0,1,2,0
6,4,4,9,2,7,0,1,1,1,2,0
7,11,4,11,5,7,3,0,1,1,2,0
8,11,4,9,2,7,0,0,1,1,2,1
9,3,4,9,5,10,0,0,1,2,2,1
10,5,4,9,2,7,0,1,1,1,2,0
11,9,4,9,2,10,0,1,0,1,2,0
12,8,4,9,4,7,0,1,0,1,2,0
13,9,4,9,0,7,4,1,1,1,2,1
14,12,4,3,2,7,0,0,1,1,2,0
15,11,4,9,2,7,0,1,0,2,2,0
16,9,4,9,2,12,0,1,1,1,2,0
17,12,4,9,5,7,0,0,1,1,2,0
18,5,4,9,2,12,0,1,1,1,2,1
19,8,4,9,0,7,0,0,0,1,2,1
20,11,4,9,5,10,0,1,1,1,2,0
21,3,4,15,2,10,0,1,1,1,2,0
22,11,4,9,2,12,0,1,1,1,2,0
23,5,4,9,5,7,3,1,1,1,2,1
24,5,4,9,0,7,0,1,1,2,2,1
25,4,4,9,2,10,0,1,1,1,2,0
26,4,4,15,2,10,0,1,1,1,2,1
27,3,4,9,2,7,0,1,1,2,2,0
28,10,0,9,2,7,0,1,1,1,2,1
29,10,4,9,2,7,0,1,1,1,2,0
30,8,4,9,0,12,0,1,0,1,2,0
31,4,4,9,2,7,0,0,0,1,2,0
32,9,4,9,0,12,0,0,1,1,2,0
33,4,2,9,5,7,0,1,0,1,2,0
34,8,4,9,0,12,3,0,0,1,2,0
35,12,4,9,2,12,0,1,1,1,2,1
36,4,4,9,2,12,0,1,0,1,2,0
37,4,4,9,0,10,0,0,0,2,2,0
38,11,4,9,2,7,0,0,1,2,2,0
39,9,4,9,5,10,3,1,1,1,2,0
40,11,4,9,5,12,0,1,0,1,2,0
41,12,4,9,4,7,3,0,0,1,2,0
42,4,2,9,5,7,4,0,1,1,2,0
43,5,4,9,5,10,0,0,1,1,2,0
44,9,4,9,2,7,0,0,1,2,2,0
45,4,4,9,5,7,0,0,1,1,2,0
46,11,4,11,2,7,0,1,1,1,2,0
47,8,4,9,2,10,0,1,0,1,2,0
48,4,4,9,4,7,0,1,0,1,2,1
49,9,4,9,2,10,0,1,1,1,2,1
50,11,4,9,4,12,0,1,1,2,2,0
51,9,4,11,2,10,0,1,0,1,2,1
52,11,4,9,2,12,0,0,0,1,2,1
53,4,4,9,0,7,0,1,1,1,2,1
54,8,4,9,2,14,0,1,1,1,2,0
55,11,0,11,0,7,0,0,0,2,2,1
56,3,8,9,2,10,0,0,1,1,2,0
57,3,0,9,2,4,0,1,1,1,2,1
58,11,4,9,2,10,0,1,1,1,2,0
59,11,4,9,2,10,0,0,1,2,2,0
60,3,4,9,2,7,1,1,1,1,2,1
61,9,4,9,2,10,0,0,0,2,2,0
62,4,4,9,2,7,3,0,0,1,2,0
63,4,4,9,0,7,3,0,1,2,2,0
64,4,4,1,0,7,0,1,1,1,2,0
65,9,4,9,0,7,0,1,1,2,2,0
66,9,4,9,2,7,0,0,0,1,2,0
67,11,4,9,2,10,3,1,1,1,2,0
68,4,4,9,2,7,1,1,1,1,2,1
69,9,4,9,2,7,0,0,1,1,2,0
70,9,4,11,0,10,0,0,0,1,2,1
71,3,0,9,5,12,0,0,0,1,2,1
72,11,4,9,2,10,3,0,1,1,2,0
73,9,4,9,0,7,0,1,1,1,2,0
74,11,4,9,2,7,0,1,0,1,2,1
75,8,4,9,0,7,0,1,0,1,2,1
76,9,4,9,2,12,0,1,1,1,2,1
77,9,4,9,0,12,0,1,0,1,2,0
78,11,4,9,4,5,3,0,1,1,2,1
79,9,4,9,2,12,0,1,0,2,2,0
80,12,4,9,2,12,0,0,1,1,2,0
81,5,4,9,0,7,0,1,1,1,2,0
82,11,7,9,2,7,0,1,1,2,2,1
83,11,4,9,2,12,0,0,1,2,2,1
84,11,4,9,2,12,0,0,0,1,2,0
85,11,4,9,2,10,0,0,0,1,2,1
86,11,4,9,5,7,0,0,1,1,2,0
87,4,4,9,5,12,0,0,0,1,2,1
88,9,4,9,2,10,0,1,0,1,2,0
89,5,4,9,2,12,0,1,1,2,2,1
90,11,4,9,2,12,0,1,1,2,2,0
91,11,4,9,5,10,0,1,1,1,2,0
92,4,4,9,5,10,0,1,1,1,2,1
93,11,4,9,2,4,0,0,0,1,2,0
94,4,4,9,2,10,0,1,0,1,2,0
95,4,4,9,2,7,0,1,1,1,2,0
96,5,8,9,2,7,3,0,0,1,2,0
97,9,4,9,5,12,0,1,1,1,2,0
98,9,4,9,2,7,0,0,1,1,2,0
99,9,4,9,2,12,4,1,0,1,2,1
100,11,4,5,2,3,3,1,1,1,2,1
101,11,4,9,2,12,0,1,0,1,2,1
102,11,4,15,2,12,0,0,1,1,2,0
103,8,4,9,2,7,0,1,1,1,2,0
104,11,4,9,2,7,1,0,1,1,2,1
105,8,4,9,2,12,3,0,1,1,2,0
106,11,4,9,5,10,0,1,0,1,2,1
107,5,4,9,2,12,0,0,1,1,2,1
108,4,4,9,0,12,0,1,0,1,2,1
109,4,6,9,5,12,4,0,1,1,2,0
110,9,4,9,4,7,0,1,1,1,2,0
111,9,4,9,2,7,0,1,0,1,2,0
112,11,4,9,0,12,0,1,1,1,2,0
113,3,4,9,0,10,0,1,0,1,2,1
114,10,0,9,2,12,0,0,0,1,2,1
115,9,0,9,2,7,0,0,1,1,2,0
116,9,4,9,2,7,0,1,1,2,2,0
117,9,6,9,2,7,0,1,0,1,2,0
118,11,4,9,2,10,0,0,1,1,2,0
119,4,4,9,0,7,0,1,1,1,2,0
120,11,4,9,2,7,0,1,1,1,2,0
121,4,2,9,5,10,0,1,1,1,2,0
122,8,4,9,2,14,3,1,0,1,2,1
123,11,2,11,2,7,0,0,1,1,2,1
124,3,4,11,2,7,0,0,0,1,2,1
125,12,0,9,2,10,0,1,0,1,2,1
126,9,4,11,2,7,0,0,0,1,2,0
127,3,4,13,0,7,0,0,0,1,2,1
128,8,6,9,2,7,0,1,0,2,2,1
129,11,4,9,5,7,0,1,1,1,2,0
130,4,4,9,0,10,0,1,1,2,2,0
131,5,4,9,2,12,0,0,1,2,2,0
132,9,4,9,2,10,0,0,1,1,2,1
133,9,4,9,0,7,0,1,0,1,2,0
