,age,workclass,education,marital-status,occupation,relationship,race,sex,hours-per-week,native-country,income
0,4,7,15,4,6,5,1,1,2,2,0
1,5,7,9,4,6,3,1,0,2,2,0
2,5,7,15,4,6,4,1,0,3,2,0
3,5,7,15,3,6,4,1,0,2,2,0
4,5,7,15,4,6,4,1,0,2,2,0
5,4,7,9,4,6,3,0,0,2,2,0
6,4,7,11,4,6,4,1,0,3,2,0
7,5,7,9,4,6,3,1,0,2,1,0
8,5,7,11,4,6,4,1,0,3,2,0
9,5,4,15,4,6,4,1,0,2,2,0
10,4,7,9,4,6,4,1,0,3,2,1
11,5,7,9,4,6,3,1,1,2,2,0
12,10,7,11,4,6,1,1,1,2,2,0
13,3,7,9,4,6,3,1,1,2,2,1
14,7,4,15,4,6,3,1,0,3,2,0
15,12,7,11,4,6,4,1,0,3,2,0
16,5,4,11,3,6,4,1,1,3,2,0
17,5,7,7,4,6,0,1,0,2,2,0
18,5,4,9,2,6,4,1,0,2,2,0
19,5,2,15,4,6,0,1,0,2,2,1
20,5,7,15,4,6,4,1,0,2,2,0
21,5,4,15,4,6,4,1,1,2,2,0
22,6,4,15,4,3,0,1,0,2,2,0
23,5,7,9,4,6,3,1,1,2,2,0
24,5,4,11,4,6,4,1,0,3,2,0
25,6,7,11,4,3,4,1,0,2,2,0
26,5,4,11,3,6,4,1,0,2,2,0
27,5,7,15,4,6,4,1,1,2,2,0
28,3,7,15,4,6,4,1,0,2,2,0
29,5,4,9,4,6,4,1,0,2,2,0
30,3,7,15,4,4,1,1,0,2,2,0
31,4,7,9,4,6,0,1,0,2,2,1
32,4,5,15,4,6,4,1,0,2,2,0
33,5,0,9,4,6,0,1,0,2,2,1
34,12,7,11,4,6,1,1,0,0,2,0
35,5,7,15,4,3,4,1,0,2,2,0
36,12,7,15,4,6,4,1,0,2,2,0
37,6,7,11,4,6,0,1,0,2,2,0
38,5,7,11,4,3,1,1,1,2,2,0
39,5,4,15,4,13,1,1,1,3,2,0
40,4,7,9,4,4,3,1,0,3,2,0
41,3,7,15,4,3,1,1,0,2,2,0
42,3,7,11,4,6,1,1,0,3,2,0
43,5,6,9,4,3,4,1,0,2,2,0
44,5,7,15,4,6,4,1,0,2,2,0
45,5,2,15,4,6,3,1,0,2,2,0
46,4,7,9,4,6,4,1,0,2,2,0
47,5,7,9,4,6,3,1,0,2,2,0
48,5,7,9,4,3,1,1,1,2,2,0
49,5,4,9,4,6,4,1,0,2,2,0
50,5,7,11,4,6,0,1,0,2,2,0
51,5,7,8,4,4,0,1,0,2,2,0
52,4,7,9,4,6,4,1,0,2,2,0
53,5,5,11,4,4,1,1,0,3,1,0
54,4,7,15,4,6,0,1,1,2,2,0
55,5,7,9,4,6,4,1,0,2,2,0
56,3,7,9,4,6,0,1,1,1,2,0
57,5,7,11,4,3,1,1,0,2,2,0
58,4,7,11,4,6,4,1,0,2,2,0
59,5,7,15,3,6,4,1,1,2,2,0
60,4,7,9,4,6,4,1,0,2,2,0
61,5,7,15,4,6,0,1,0,2,2,0
62,3,7,9,4,3,4,1,0,2,2,0
63,5,7,11,4,4,0,1,0,2,2,0
64,5,0,11,4,6,4,1,1,2,2,0
65,5,7,11,4,6,1,1,0,2,2,1
66,5,7,15,4,3,0,1,0,3,2,0
67,5,7,9,4,6,4,1,1,2,2,0
68,4,4,15,4,6,3,1,0,2,2,0
69,5,4,9,4,6,4,1,0,2,2,0
70,4,7,11,4,4,4,1,1,2,2,0
71,5,7,11,4,6,4,1,0,2,2,0
72,5,4,11,4,3,4,1,0,2,2,0
73,4,0,15,4,4,4,1,0,1,2,0
74,5,7,15,4,6,4,1,0,2,2,0
75,5,7,9,4,6,0,1,1,2,2,0
76,5,5,9,4,6,4,1,0,2,2,0
77,5,7,15,4,6,4,1,0,2,2,0
78,4,7,15,4,6,4,1,0,2,2,0
79,5,7,15,4,6,1,1,0,2,2,0
80,5,7,9,4,3,4,1,0,3,2,0
81,5,7,15,4,6,0,1,1,2,2,0
82,5,7,15,4,6,0,1,0,2,2,0
83,5,7,11,4,6,4,1,1,3,2,0
84,5,7,11,3,6,4,1,0,2,2,0
85,5,4,15,4,3,3,1,0,2,2,0
86,6,7,9,4,6,4,1,0,2,2,0
87,5,2,11,4,6,0,1,0,2,2,0
88,5,4,15,4,3,4,1,1,2,2,0
89,5,4,11,4,3,4,1,0,2,2,0
90,5,7,11,4,3,0,1,0,0,2,0
91,5,3,15,4,6,4,1,0,2,2,0
92,5,7,11,4,6,4,1,0,2,2,0
93,5,7,15,4,6,0,1,0,2,2,0
94,5,7,9,4,6,0,1,0,2,2,0
95,5,7,15,4,6,0,1,0,2,2,0
96,3,7,15,4,6,4,1,0,1,2,0
97,4,7,15,4,3,0,1,1,2,2,0
98,5,7,11,4,6,4,1,1,2,2,0
99,5,2,9,4,6,0,1,0,2,2,0
100,5,7,15,4,6,4,1,1,2,2,0
101,5,7,11,4,7,4,1,0,1,2,0
102,4,5,9,4,13,4,1,0,2,2,0
103,4,7,9,4,7,3,1,0,2,2,0
104,12,7,11,4,6,4,1,0,2,2,0
105,5,7,15,3,6,4,1,0,2,2,0
106,4,4,11,4,6,4,1,0,2,2,0
107,5,7,9,2,6,4,1,1,3,2,0
108,5,7,11,4,6,4,1,0,2,2,0
109,4,3,11,4,6,0,1,0,2,2,0
110,5,6,9,4,6,1,1,0,2,2,0
111,5,7,11,4,6,4,1,1,3,2,0
112,5,7,15,4,6,0,1,0,2,2,0
113,5,7,11,4,3,4,1,0,2,2,0
114,4,7,15,4,6,4,1,0,3,2,0
115,5,7,9,4,13,4,0,0,2,2,0
116,5,4,11,4,6,3,1,0,0,2,0
117,5,7,15,4,6,4,1,1,2,2,0
118,5,4,9,4,6,4,1,0,3,2,0
119,5,7,9,4,6,0,1,1,2,2,0
120,5,4,9,4,3,3,1,0,2,2,0
121,5,7,9,4,3,0,1,0,2,2,0
122,5,7,9,4,6,0,1,0,2,2,0
123,5,7,9,4,3,0,1,0,2,2,0
124,5,3,9,4,3,3,1,1,2,2,0
125,3,4,15,4,6,4,1,0,2,2,0
126,5,7,15,4,6,4,1,1,3,2,0
127,5,2,15,4,4,3,1,1,2,2,0
128,4,7,15,4,6,4,1,0,3,2,0
129,4,7,9,4,4,0,1,0,2,2,0
130,5,7,15,3,6,4,1,0,2,1,0
131,5,4,11,4,13,4,1,0,2,2,0
132,4,5,9,4,6,1,1,1,2,2,0
133,5,7,15,4,6,4,1,0,2,2,0
134,5,2,11,4,6,0,1,0,2,2,0
135,4,7,11,4,4,1,1,1,3,2,0
136,5,7,11,4,6,0,1,0,2,2,0
137,5,2,15,4,6,4,1,0,2,2,0
138,4,7,9,4,6,0,1,1,2,2,0
139,4,4,15,4,3,3,1,0,2,2,0
140,4,7,11,4,6,4,1,0,2,2,0
141,5,0,15,4,6,4,1,0,2,2,0
142,5,7,9,4,6,4,1,0,3,2,0
143,5,7,9,4,6,0,1,0,2,2,0
144,6,7,11,4,6,0,1,0,2,2,0
145,6,2,15,4,6,4,1,0,3,2,0
146,5,7,9,4,6,4,1,0,2,2,0
147,5,7,11,4,6,4,0,0,2,2,0
148,5,7,9,4,6,4,1,0,2,2,0
149,4,7,15,3,3,4,1,0,2,2,0
150,6,0,9,4,6,0,1,0,2,2,0
151,5,7,11,4,6,4,1,1,2,2,0
152,5,4,15,6,6,4,1,0,2,2,0
153,5,5,9,4,6,3,1,0,3,2,0
154,6,7,9,4,3,4,1,1,2,2,0
155,5,2,15,4,3,1,1,0,2,2,0
156,5,2,9,3,6,0,1,0,2,2,0
157,5,4,15,4,6,4,1,0,2,2,0
158,5,7,14,4,6,4,1,1,2,2,0
159,4,7,11,4,6,4,1,1,2,2,0
160,5,6,15,4,6,4,1,0,1,2,0
161,5,5,11,4,6,4,1,1,2,2,0
162,4,1,11,4,4,4,1,0,2,2,0
163,7,7,9,4,4,3,1,0,3,2,0
164,4,4,9,4,6,0,1,1,2,2,0
165,5,7,9,4,6,4,1,0,3,2,0
166,5,7,9,4,6,3,1,0,3,2,0
167,5,7,15,4,6,4,1,1,2,2,0
168,5,7,9,4,6,1,1,0,2,2,0
169,5,2,9,2,3,4,1,0,2,2,0
170,5,7,15,4,14,3,1,0,2,2,0
171,5,7,15,4,6,1,1,1,2,2,0
172,5,7,11,4,3,4,1,1,2,2,0
173,6,7,9,2,4,4,1,0,3,2,0
174,3,7,9,4,6,4,1,1,2,2,0
175,5,6,9,4,4,4,1,0,2,2,0
176,3,4,15,4,6,4,1,0,2,2,0
177,5,7,9,4,6,0,1,0,2,2,0
178,5,4,15,4,4,4,1,0,2,2,0
179,3,7,9,4,3,4,1,1,3,2,0
180,5,2,9,4,6,4,1,0,2,2,0
181,5,7,11,4,3,4,1,0,2,2,0
182,5,7,15,4,6,3,1,0,2,2,0
183,5,7,9,4,6,4,1,0,2,2,0
184,4,4,15,4,6,4,1,1,2,2,0
185,5,7,11,4,6,4,1,0,0,2,0
186,6,7,11,4,6,4,1,0,2,2,0
187,5,7,15,4,6,0,1,0,2,2,0
188,4,7,11,4,6,4,1,0,2,2,0
189,5,7,9,4,4,1,1,1,2,2,0
190,5,4,15,4,3,3,1,0,2,2,0
191,4,7,11,4,6,4,1,0,2,2,0
192,5,7,11,4,6,0,1,0,2,2,0
193,5,4,9,4,4,4,1,0,2,2,0
194,4,7,9,4,6,4,1,1,2,2,0
195,5,7,15,4,3,4,1,0,2,2,0
196,5,7,15,4,13,1,1,1,2,2,0
197,5,7,9,4,3,4,0,1,2,2,0
198,5,4,15,4,6,4,1,0,2,2,0
199,5,7,15,4,6,0,1,1,2,2,0
200,5,0,9,4,3,1,1,0,2,2,0
201,4,7,15,4,6,3,1,1,3,2,0
202,9,7,11,4,6,0,1,0,3,2,0
203,4,7,9,4,6,0,1,0,0,2,0
204,4,4,15,2,3,0,1,0,2,2,0
205,5,7,15,4,4,4,1,1,2,2,0
206,5,2,15,4,3,4,1,1,2,2,0
207,5,0,9,4,7,4,1,0,2,2,0
208,5,7,11,4,6,0,1,0,2,2,0
209,4,4,11,4,6,4,1,0,2,2,0
210,4,7,15,4,13,4,1,0,2,2,0
211,3,7,11,4,6,4,1,0,2,2,0
212,5,7,15,4,4,4,1,1,2,2,0
213,5,7,15,4,6,4,1,0,2,2,0
214,5,7,15,4,6,4,1,0,3,2,0
215,4,7,11,4,6,3,1,1,3,2,0
216,5,4,15,4,4,3,1,0,2,2,0
217,4,4,9,4,6,4,1,1,2,2,0
218,5,4,9,4,6,0,1,0,2,2,0
219,4,0,11,4,6,5,1,1,2,2,0
220,5,7,11,4,6,4,1,0,2,2,0
221,5,7,9,4,13,4,1,0,2,2,0
222,4,7,9,4,6,4,1,0,3,2,0
223,4,7,15,4,7,4,1,1,2,2,0
224,4,7,15,4,3,4,1,0,2,2,0
225,5,4,9,4,6,3,1,1,2,2,0
226,5,7,15,4,6,4,1,0,2,2,0
227,4,7,15,4,4,4,1,0,2,2,0
228,5,7,15,4,6,0,1,0,2,2,0
229,5,4,11,4,3,1,1,1,3,2,0
230,3,7,11,4,6,5,1,1,2,2,0
231,6,7,11,2,6,1,1,1,2,2,0
232,3,7,9,4,3,3,1,0,2,2,0
233,3,7,11,4,6,5,0,0,2,2,1
234,5,5,11,4,3,0,1,1,3,2,0
235,5,7,9,4,6,4,1,0,1,2,0
236,5,7,15,4,4,3,1,0,3,2,1
237,5,2,15,4,6,4,1,0,3,2,0
238,5,4,12,4,6,0,1,0,2,2,0
239,4,7,15,4,3,1,1,1,2,2,0
240,5,7,9,3,6,3,1,0,2,2,0
241,5,4,15,2,3,0,1,0,3,2,0
242,4,4,11,4,6,4,1,0,3,2,1
243,4,6,15,4,6,4,1,1,2,2,0
244,5,5,15,4,6,4,1,0,2,2,0
245,5,7,9,4,6,4,1,0,2,2,0
246,5,4,11,4,6,4,1,1,1,2,0
247,5,6,11,4,6,4,1,0,2,2,0
248,6,4,11,4,3,1,1,1,3,2,0
249,4,7,11,4,6,4,1,0,2,2,0
