,age,workclass,education,marital-status,occupation,relationship,race,sex,hours-per-week,native-country,income
0,10,6,15,5,3,4,1,1,2,2,1
1,10,2,2,2,3,1,1,1,2,2,1
2,10,6,15,0,3,4,1,1,2,2,1
3,10,6,15,2,3,0,1,1,2,2,1
4,10,2,2,0,3,4,1,1,2,2,1
5,10,6,11,5,3,4,1,1,2,2,1
6,13,2,11,0,3,0,1,1,2,2,1
7,10,6,8,2,3,0,1,1,2,2,1
8,10,6,11,2,4,0,1,1,2,2,1
9,8,2,7,3,3,0,1,1,2,2,1
10,10,6,15,3,3,0,1,1,2,2,1
11,10,4,15,4,4,4,1,1,2,2,1
12,10,6,10,2,3,4,1,1,2,2,1
13,10,6,11,3,4,4,1,1,2,2,1
14,10,2,11,2,3,0,1,1,2,2,1
15,10,6,15,2,3,5,1,1,2,2,1
16,10,2,15,2,3,0,1,1,2,2,1
17,10,2,12,2,3,3,1,1,0,2,1
18,10,6,11,2,3,0,1,1,2,2,1
19,10,6,8,2,4,0,1,1,2,2,1
20,10,6,15,0,12,0,1,1,2,2,1
21,10,2,11,2,3,4,1,1,2,2,1
22,10,6,11,0,3,4,1,1,2,2,1
23,10,2,15,5,3,0,0,1,2,2,1
24,10,6,8,5,4,0,1,1,2,2,1
25,10,2,15,5,3,0,1,1,2,2,1
26,10,2,15,5,4,5,1,1,2,2,1
27,10,2,11,2,3,0,1,1,2,2,1
28,10,2,15,0,4,4,1,1,0,2,1
29,10,2,11,2,3,1,1,1,2,2,1
30,10,6,7,2,3,0,1,1,2,2,1
31,13,2,15,2,3,1,1,1,2,2,1
32,11,6,7,2,3,0,1,1,2,2,1
33,10,6,2,0,3,4,1,1,2,2,0
34,10,2,11,3,3,0,1,1,2,2,1
35,10,2,2,2,3,1,1,1,2,2,1
36,10,2,11,0,3,4,1,1,2,2,1
37,10,2,15,3,3,0,1,1,2,2,1
38,10,2,2,5,3,0,1,1,2,2,1
39,10,2,7,5,3,0,1,1,2,2,1
40,10,6,8,2,3,1,1,1,2,2,1
41,11,2,15,2,4,0,1,1,2,2,1
42,10,2,2,5,3,0,1,1,2,2,1
43,13,2,7,5,12,4,1,1,2,2,1
44,11,6,15,3,3,0,1,1,2,2,1
45,10,2,15,3,3,0,1,1,2,2,1
46,10,6,11,3,3,4,1,1,2,2,1
47,10,1,12,2,3,0,1,1,2,2,1
48,10,4,15,3,3,4,1,1,2,2,1
49,10,2,15,5,3,0,1,1,0,2,1
50,10,2,7,2,3,0,1,1,2,2,1
51,10,6,15,2,3,0,1,1,2,2,1
52,10,4,11,2,3,4,1,1,2,2,1
53,10,6,7,2,4,4,1,1,2,2,1
54,10,2,7,2,3,0,1,1,2,2,1
55,10,6,15,2,4,0,1,1,2,2,1
56,10,2,15,0,4,4,1,1,2,2,1
57,10,2,11,5,4,0,1,1,2,2,1
58,10,6,15,3,4,0,1,1,2,2,1
59,10,2,11,4,4,0,1,1,2,2,1
60,10,2,2,0,3,0,1,1,2,2,1
61,10,6,15,4,3,4,1,1,2,2,1
62,10,0,11,3,4,0,1,1,2,2,1
63,10,6,15,3,12,0,1,1,2,2,1
64,10,2,11,0,3,0,1,1,2,2,1
65,10,6,15,0,4,4,1,1,2,2,1
66,10,2,15,2,3,4,1,1,2,2,1
67,10,6,8,5,3,4,1,0,2,2,1
68,10,6,7,2,4,0,1,1,2,2,1
69,10,2,15,0,3,4,1,1,2,2,1
70,10,2,11,5,3,4,1,1,2,2,1
71,10,6,15,2,3,0,1,1,2,2,1
72,10,2,15,2,3,0,1,1,2,2,1
73,10,6,11,2,3,0,1,1,0,2,1
74,10,2,15,2,3,4,1,1,2,2,1
75,10,2,7,2,3,0,1,1,2,2,1
76,10,6,15,4,3,3,1,1,2,2,1
77,10,6,11,2,3,0,1,1,0,2,1
78,10,2,15,2,3,1,1,1,2,2,1
79,10,6,15,5,4,0,1,1,2,2,1
80,10,4,8,5,3,4,1,1,2,2,1
81,10,2,15,2,3,0,1,1,2,2,1
82,10,2,15,0,3,0,1,1,2,2,1
83,10,4,7,0,3,4,1,1,2,2,1
84,13,2,12,3,3,0,1,1,2,2,1
85,10,6,15,5,3,0,1,1,2,2,1
86,10,2,11,2,3,0,1,1,2,2,1
87,10,2,11,2,3,1,1,1,2,2,1
88,10,2,7,2,3,3,1,1,2,2,1
89,10,4,7,0,3,4,1,1,2,2,1
90,10,6,11,3,3,4,1,1,2,2,1
91,10,4,11,2,3,0,1,1,2,2,1
92,10,2,11,4,3,0,1,1,2,2,1
93,10,6,15,2,3,2,1,1,2,2,1
94,10,2,15,2,3,0,1,1,2,2,1
95,10,6,2,2,3,4,1,1,2,2,1
96,10,2,11,3,4,0,1,1,2,2,1
97,3,2,2,0,3,3,1,1,2,2,1
98,10,4,2,5,3,0,1,1,2,2,1
99,10,2,15,3,3,0,1,1,2,2,1
100,11,6,2,2,3,0,1,1,2,2,1
101,3,2,11,2,3,0,1,1,2,2,1
102,10,2,7,3,3,0,1,1,2,2,1
103,10,2,15,2,3,0,1,1,2,2,1
104,10,6,15,5,3,4,1,1,2,2,1
105,10,2,15,4,3,4,1,1,2,2,1
106,10,4,11,3,3,0,1,1,2,2,1
107,11,4,11,4,3,0,1,1,2,2,1
108,10,2,11,2,3,0,1,1,2,2,1
