,age,workclass,education,marital-status,occupation,relationship,race,sex,hours-per-week,native-country,income
39933,4,4,15,4,12,2,1,0,2,2,0
39629,5,7,15,4,1,1,1,0,2,2,0
15760,10,7,12,2,4,0,1,1,3,2,1
44854,11,4,11,4,1,3,1,0,1,2,0
40822,10,4,5,0,7,1,0,1,2,2,0
35531,8,4,5,2,1,0,1,1,2,2,0
23927,5,4,4,4,5,4,1,1,2,2,0
41768,9,4,15,0,7,1,1,1,2,2,0
12157,6,4,9,2,10,5,1,0,2,2,1
34476,8,6,9,2,1,5,1,0,2,2,1
30845,9,4,15,0,1,4,1,0,2,2,0
11780,8,7,12,2,4,0,1,1,2,2,1
32638,13,5,11,2,12,0,1,1,1,2,0
1681,5,4,11,2,7,0,1,1,3,2,0
47623,4,2,11,4,8,3,0,1,2,2,0
37130,5,4,11,0,4,1,1,0,2,2,0
43555,7,6,9,2,4,5,1,0,1,2,1
36651,6,5,9,2,12,0,1,1,3,2,1
22280,11,7,10,2,10,0,1,1,2,2,1
2717,8,4,9,0,12,4,1,1,2,4,0
16541,6,6,11,2,4,0,1,1,3,2,0
14475,3,4,1,4,12,3,0,0,1,2,0
26854,6,6,11,0,12,3,1,1,3,2,0
27455,5,4,1,4,3,1,1,1,2,2,0
2278,3,4,0,4,12,2,1,0,0,2,0
24266,11,4,5,2,3,0,1,1,1,2,0
4881,5,4,9,4,3,1,1,1,2,2,0
31455,8,2,9,2,10,0,1,1,1,2,0
2745,6,4,11,2,7,0,0,1,2,2,0
47178,3,2,0,4,10,3,1,0,0,2,0
33913,9,6,1,2,3,0,1,1,2,2,0
37678,5,4,1,4,14,4,1,1,2,2,0
28532,10,4,1,2,7,0,1,1,2,2,0
15495,7,4,9,2,10,0,1,1,2,2,1
47358,6,4,9,4,10,1,1,1,2,2,1
35287,6,4,11,4,6,3,0,0,1,2,0
47628,10,7,15,0,4,1,1,0,2,2,0
30428,9,5,9,2,4,0,1,1,3,2,0
10309,7,4,8,2,3,0,1,1,2,2,1
45202,3,4,1,4,8,3,1,1,0,0,0
30452,7,4,11,0,14,3,1,1,3,2,0
6843,9,4,9,2,12,5,1,0,2,2,1
3184,10,7,9,4,10,4,0,0,2,2,1
5811,6,4,8,2,4,5,0,0,2,2,0
45593,9,4,15,0,7,1,1,1,2,2,0
420,4,4,15,2,12,0,1,1,1,2,0
2693,4,4,9,4,4,1,1,1,2,2,0
29064,5,4,9,4,1,1,1,0,2,2,0
27036,3,4,0,4,9,3,1,1,1,2,0
12489,4,4,15,4,1,1,1,0,1,2,0
35952,11,4,15,2,6,0,1,1,2,2,1
9896,5,4,11,2,1,0,1,1,2,2,0
46024,6,4,11,4,4,1,1,1,2,3,0
6347,4,4,9,4,12,1,1,0,2,2,0
9294,9,4,11,0,1,1,1,0,2,2,0
15038,3,4,15,4,1,3,1,0,0,2,0
28247,9,4,11,3,3,1,0,0,2,2,0
47511,9,4,15,2,12,0,1,1,2,2,1
15716,9,4,15,0,12,4,1,0,2,2,0
37767,6,4,11,5,11,1,1,1,2,2,1
27077,11,4,6,0,3,4,1,0,1,2,1
29501,7,4,11,2,4,0,1,1,2,2,1
6740,12,4,15,2,4,0,1,1,2,2,0
31595,5,4,15,4,3,1,1,1,2,2,0
36411,6,4,2,0,7,3,1,0,2,2,0
9914,7,4,11,2,7,0,1,1,2,2,0
30687,12,0,0,2,0,0,1,1,2,2,0
22198,8,4,15,2,14,0,1,1,2,2,0
33251,4,4,9,2,5,0,1,1,1,2,1
4465,9,4,12,2,4,0,1,1,2,2,1
4520,7,4,11,2,8,0,1,1,3,2,0
42069,10,6,5,2,14,0,1,1,2,2,0
