Seed,Epsilon,Fair-Method,DP-Method,DI,ACC,ACC_PRIV,ACC_UNPRIV,PREC,REC,MAD,EOD,TPR,FPR,TNR,FNR,SPD,EODD
42,,,,0.284742567405884,0.8368503937007874,0.7992831541218638,0.9144144144144144,0.7021589793915604,0.6017661900756939,0.11513126029255061,-0.15108087974212053,0.6017661900756939,0.084930740170701,0.915069259829299,0.3982338099243061,-0.19963005481939566,0.15108087974212053
42,,lfr,dpctgan,0.284742567405884,0.8368503937007874,0.7992831541218638,0.9144144144144144,0.7021589793915604,0.6017661900756939,0.11513126029255061,-0.15108087974212053,0.6017661900756939,0.084930740170701,0.915069259829299,0.3982338099243061,-0.19963005481939566,0.15108087974212053
42,,lfr,dpctgan,1.714872044417499,0.6542782152230971,0.6199158485273493,0.7252252252252253,0.15575620767494355,0.0870479394449117,0.10530937669787599,0.06985999039218006,0.0870479394449117,0.15698894641108158,0.8430110535889185,0.9129520605550883,0.08087846411829581,0.07019536431560325
42,0.25,,,inf,0.7503412073490814,0.684743649680536,0.8857786357786358,0.0,0.0,0.20103498609809978,0.0,0.0,0.0,1.0,1.0,0.0,0.0
42,0.25,lfr,dpctgan,inf,0.7503412073490814,0.684743649680536,0.8857786357786358,0.0,0.0,0.20103498609809978,0.0,0.0,0.0,1.0,1.0,0.0,0.0
42,0.25,lfr,dpctgan,inf,0.7503412073490814,0.684743649680536,0.8857786357786358,0.0,0.0,0.20103498609809978,0.0,0.0,0.0,1.0,1.0,0.0,0.0
42,0.5,,,1.0616624332136289,0.3626246719160105,0.40408290478416703,0.27702702702702703,0.25077608314212446,0.7813288477712363,-0.12705587775714,0.11466167245688674,0.7813288477712363,0.7766895200783546,0.22331047992164543,0.21867115222876365,0.04701796567154215,0.11466167245688674
42,0.5,lfr,dpctgan,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
42,0.5,lfr,dpctgan,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
42,0.75,,,0.09423813261987536,0.7488713910761154,0.6836527972572853,0.8835263835263836,0.4722222222222222,0.05004205214465938,0.19987358626909824,-0.052201095848447086,0.05004205214465938,0.01860920666013712,0.9813907933398629,0.9499579478553406,-0.03401723703266481,0.052201095848447086
42,0.75,lfr,dpctgan,0.09423813261987536,0.7488713910761154,0.6836527972572853,0.8835263835263836,0.4722222222222222,0.05004205214465938,0.19987358626909824,-0.052201095848447086,0.05004205214465938,0.01860920666013712,0.9813907933398629,0.9499579478553406,-0.03401723703266481,0.052201095848447086
42,0.75,lfr,dpctgan,inf,0.7503412073490814,0.684743649680536,0.8857786357786358,0.0,0.0,0.20103498609809978,0.0,0.0,0.0,1.0,1.0,0.0,0.0
42,1,,,0.3845957301839655,0.7397375328083989,0.671965092722456,0.8796653796653797,0.08264462809917356,0.004205214465937763,0.20770028694292375,-0.004943153732081068,0.004205214465937763,0.015530992024625717,0.9844690079753743,0.9957947855340622,-0.009782022054111814,0.014036080306980047
42,1,lfr,dpctgan,0.3845957301839655,0.7397375328083989,0.671965092722456,0.8796653796653797,0.08264462809917356,0.004205214465937763,0.20770028694292375,-0.004943153732081068,0.004205214465937763,0.015530992024625717,0.9844690079753743,0.9957947855340622,-0.009782022054111814,0.014036080306980047
42,1,lfr,dpctgan,inf,0.7503412073490814,0.684743649680536,0.8857786357786358,0.0,0.0,0.20103498609809978,0.0,0.0,0.0,1.0,1.0,0.0,0.0
42,,,,0.284742567405884,0.8368503937007874,0.7992831541218638,0.9144144144144144,0.7021589793915604,0.6017661900756939,0.11513126029255061,-0.15108087974212053,0.6017661900756939,0.084930740170701,0.915069259829299,0.3982338099243061,-0.19963005481939566,0.15108087974212053
42,,reweigh,dpctgan,0.284742567405884,0.8368503937007874,0.7992831541218638,0.9144144144144144,0.7021589793915604,0.6017661900756939,0.11513126029255061,-0.15108087974212053,0.6017661900756939,0.084930740170701,0.915069259829299,0.3982338099243061,-0.19963005481939566,0.15108087974212053
42,,reweigh,dpctgan,0.5428787428787428,0.8337007874015748,0.7963222689730404,0.9108751608751608,0.7198228128460686,0.5466778805719091,0.11455289190212048,0.10903622426601134,0.5466778805719091,0.07079893661676227,0.9292010633832377,0.4533221194280908,-0.10186744548595882,0.10903622426601134
42,,dir,dpctgan,0.284742567405884,0.8368503937007874,0.7992831541218638,0.9144144144144144,0.7021589793915604,0.6017661900756939,0.11513126029255061,-0.15108087974212053,0.6017661900756939,0.084930740170701,0.915069259829299,0.3982338099243061,-0.19963005481939566,0.15108087974212053
42,,dir,dpctgan,0.2827192655317655,0.8359055118110236,0.7985039738195419,0.9131274131274131,0.703648175912044,0.592094196804037,0.11462343930787122,-0.15626771006662815,0.592094196804037,0.08297187631173919,0.9170281236882608,0.407905803195963,-0.19672963887550143,0.15626771006662815
42,,lfr,dpctgan,0.284742567405884,0.8368503937007874,0.7992831541218638,0.9144144144144144,0.7021589793915604,0.6017661900756939,0.11513126029255061,-0.15108087974212053,0.6017661900756939,0.084930740170701,0.915069259829299,0.3982338099243061,-0.19963005481939566,0.15108087974212053
42,,lfr,dpctgan,1.714872044417499,0.6542782152230971,0.6199158485273493,0.7252252252252253,0.15575620767494355,0.0870479394449117,0.10530937669787599,0.06985999039218006,0.0870479394449117,0.15698894641108158,0.8430110535889185,0.9129520605550883,0.08087846411829581,0.07019536431560325
42,0.25,,,inf,0.7503412073490814,0.684743649680536,0.8857786357786358,0.0,0.0,0.20103498609809978,0.0,0.0,0.0,1.0,1.0,0.0,0.0
42,0.25,reweigh,dpctgan,inf,0.7503412073490814,0.684743649680536,0.8857786357786358,0.0,0.0,0.20103498609809978,0.0,0.0,0.0,1.0,1.0,0.0,0.0
42,0.25,reweigh,dpctgan,inf,0.7503412073490814,0.684743649680536,0.8857786357786358,0.0,0.0,0.20103498609809978,0.0,0.0,0.0,1.0,1.0,0.0,0.0
42,0.25,dir,dpctgan,inf,0.7503412073490814,0.684743649680536,0.8857786357786358,0.0,0.0,0.20103498609809978,0.0,0.0,0.0,1.0,1.0,0.0,0.0
42,0.25,dir,dpctgan,inf,0.7503412073490814,0.684743649680536,0.8857786357786358,0.0,0.0,0.20103498609809978,0.0,0.0,0.0,1.0,1.0,0.0,0.0
42,0.25,lfr,dpctgan,inf,0.7503412073490814,0.684743649680536,0.8857786357786358,0.0,0.0,0.20103498609809978,0.0,0.0,0.0,1.0,1.0,0.0,0.0
42,0.25,lfr,dpctgan,inf,0.7503412073490814,0.684743649680536,0.8857786357786358,0.0,0.0,0.20103498609809978,0.0,0.0,0.0,1.0,1.0,0.0,0.0
42,0.5,,,1.0616624332136289,0.3626246719160105,0.40408290478416703,0.27702702702702703,0.25077608314212446,0.7813288477712363,-0.12705587775714,0.11466167245688674,0.7813288477712363,0.7766895200783546,0.22331047992164543,0.21867115222876365,0.04701796567154215,0.11466167245688674
42,0.5,reweigh,dpctgan,1.0616624332136289,0.3626246719160105,0.40408290478416703,0.27702702702702703,0.25077608314212446,0.7813288477712363,-0.12705587775714,0.11466167245688674,0.7813288477712363,0.7766895200783546,0.22331047992164543,0.21867115222876365,0.04701796567154215,0.11466167245688674
42,0.5,reweigh,dpctgan,0.9868748855235341,0.3450918635170604,0.3822658563191523,0.26833976833976836,0.2531969309462916,0.832632464255677,-0.11392608797938392,0.031176679453885914,0.832632464255677,0.8171260668812089,0.1828739331187911,0.16736753574432295,-0.010822032210531574,0.031176679453885914
42,0.5,dir,dpctgan,1.0616624332136289,0.3626246719160105,0.40408290478416703,0.27702702702702703,0.25077608314212446,0.7813288477712363,-0.12705587775714,0.11466167245688674,0.7813288477712363,0.7766895200783546,0.22331047992164543,0.21867115222876365,0.04701796567154215,0.11466167245688674
42,0.5,dir,dpctgan,1.0597467872284048,0.35968503937007873,0.39831697054698456,0.2799227799227799,0.24888648940477798,0.7754415475189235,-0.11839419062420464,0.13151573802677663,0.7754415475189235,0.7786483839373164,0.22135161606268364,0.22455845248107653,0.04558520652489795,0.13151573802677663
42,0.5,lfr,dpctgan,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
42,0.5,lfr,dpctgan,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
42,0.75,,,0.09423813261987536,0.7488713910761154,0.6836527972572853,0.8835263835263836,0.4722222222222222,0.05004205214465938,0.19987358626909824,-0.052201095848447086,0.05004205214465938,0.01860920666013712,0.9813907933398629,0.9499579478553406,-0.03401723703266481,0.052201095848447086
