,age,workclass,education,marital-status,occupation,relationship,race,sex,hours-per-week,native-country,income
0,3,4,11,4,7,3,1,0,2,2,0
1,12,4,12,2,10,0,1,0,2,2,1
2,7,6,11,4,10,3,1,0,1,2,0
3,7,4,11,2,6,0,1,1,2,2,0
4,5,4,11,4,2,3,1,0,0,2,0
5,10,4,0,2,6,0,1,1,2,2,0
6,5,2,11,2,4,5,0,0,1,2,1
7,6,4,8,4,0,1,0,0,2,2,0
8,10,4,9,2,4,0,1,1,1,2,1
9,5,2,11,4,7,2,1,0,3,2,0
10,5,2,15,4,3,3,1,0,2,2,0
11,9,3,11,2,10,5,1,1,3,2,1
12,12,8,3,2,12,5,1,0,0,2,0
13,5,2,13,2,5,0,1,1,2,2,0
14,7,6,2,3,0,4,1,0,1,2,0
15,12,1,13,0,4,3,1,1,1,2,0
16,6,4,12,2,4,0,1,1,3,3,0
17,3,4,11,4,3,3,1,1,2,2,0
18,9,4,15,4,8,3,0,0,2,2,0
19,5,4,8,2,1,0,1,1,2,2,0
20,7,6,8,3,10,0,1,1,2,2,0
21,4,3,8,2,12,0,1,1,2,2,0
22,12,4,15,2,1,0,1,1,0,2,0
23,12,4,3,2,0,0,1,1,2,2,1
24,8,4,8,0,2,4,1,0,2,1,0
25,8,4,12,2,4,0,1,1,3,4,0
26,9,4,15,2,3,0,1,1,2,2,0
27,4,4,11,4,10,1,1,0,2,2,1
28,5,2,15,4,9,1,1,1,1,2,0
29,6,4,11,4,12,3,1,1,2,2,0
30,17,2,15,2,12,0,1,1,2,2,1
31,4,4,11,3,4,1,1,0,2,2,0
32,4,1,15,4,10,2,0,0,2,2,0
33,9,8,6,4,12,1,1,1,1,3,0
34,3,4,7,4,10,3,1,1,1,2,0
35,10,4,11,2,12,0,1,1,2,2,0
36,5,6,12,4,0,3,1,1,1,2,0
37,5,2,15,4,8,3,1,0,2,0,0
38,6,4,9,4,3,2,0,0,0,2,0
39,11,4,11,2,1,0,1,1,2,2,1
40,9,4,15,4,4,4,1,0,4,2,0
41,11,4,9,2,4,0,1,1,2,2,0
42,3,4,11,4,10,1,1,1,2,2,1
43,10,4,11,5,9,4,1,0,2,2,0
44,5,4,15,2,1,0,0,1,2,2,0
45,5,2,11,4,7,1,1,1,1,2,0
46,9,4,11,2,3,0,0,1,2,2,1
47,6,4,15,4,4,1,0,0,2,2,0
48,8,4,11,2,14,0,1,1,2,2,0
49,8,4,12,4,10,1,0,1,1,2,0
50,6,5,11,4,3,1,1,0,1,2,0
51,5,2,11,4,0,3,1,1,1,2,0
52,3,4,11,4,11,1,1,0,2,2,1
53,4,4,11,0,3,1,1,1,2,2,0
54,9,8,9,2,14,0,1,1,2,2,0
55,7,6,9,2,4,0,1,1,2,2,0
56,7,4,15,3,1,1,1,0,1,2,0
57,3,4,6,4,6,3,1,0,2,3,0
58,5,4,11,2,12,0,1,1,2,2,0
59,4,4,8,4,8,4,1,0,2,2,0
60,9,8,12,2,1,0,1,1,2,3,0
61,3,4,10,2,12,0,1,1,2,2,1
62,3,4,2,2,10,5,1,1,1,2,0
63,9,8,9,2,12,0,1,1,2,2,0
64,10,4,11,0,3,1,1,0,2,2,0
65,3,4,9,2,12,0,0,1,2,2,1
66,4,1,8,3,11,2,1,0,2,2,1
67,7,6,3,2,10,5,1,1,2,2,0
68,3,4,11,2,10,5,1,0,2,2,1
69,9,4,15,4,3,1,1,0,2,2,0
70,12,2,11,2,10,0,1,1,3,2,1
71,5,2,11,4,12,1,1,1,1,2,1
72,4,4,12,4,1,1,1,0,1,2,0
73,12,7,15,2,6,0,1,1,2,2,0
74,7,4,9,2,7,0,1,1,2,2,0
75,4,4,15,2,4,0,1,1,2,2,1
76,10,4,9,2,10,0,1,1,2,2,0
77,7,4,7,2,14,0,1,1,2,2,0
78,9,4,11,2,10,0,1,1,2,2,1
79,10,4,3,2,7,0,1,1,2,2,1
