,age,workclass,education,marital-status,occupation,relationship,race,sex,hours-per-week,native-country,income
0,4,4,15,4,4,3,1,1,2,2,0
1,7,7,9,2,10,0,1,1,2,2,1
2,7,4,11,2,12,0,1,1,1,2,1
3,9,6,11,4,7,1,1,1,3,2,0
4,12,4,11,0,3,1,1,1,1,2,0
5,13,4,11,2,3,0,1,1,2,2,0
6,6,4,11,2,12,0,1,1,2,2,1
7,8,4,7,4,3,1,1,1,2,2,0
8,8,4,0,2,6,0,0,1,2,2,0
9,3,4,9,4,13,1,1,0,1,2,0
10,7,4,15,5,4,1,1,1,2,2,0
11,7,6,12,2,10,0,1,1,2,2,1
12,4,4,11,0,7,1,0,1,2,2,0
13,4,5,11,4,5,1,1,1,1,2,0
14,4,7,13,4,11,1,1,1,2,2,0
15,3,2,7,4,7,1,1,1,1,2,1
16,7,4,1,2,6,0,1,1,2,2,0
17,9,0,13,2,0,0,1,1,2,2,0
18,5,1,9,0,10,1,1,0,2,2,1
19,8,2,12,4,10,1,0,1,2,2,0
20,8,4,7,2,12,0,1,1,2,2,0
21,7,4,15,0,3,1,1,0,2,2,0
22,6,6,15,4,3,1,0,0,1,2,1
23,6,4,12,5,10,4,1,0,2,2,0
24,4,4,0,4,8,1,1,0,2,2,0
25,5,4,8,4,1,4,0,1,0,2,1
26,5,4,9,4,10,1,1,1,2,2,0
27,7,7,11,2,8,0,1,1,2,2,1
28,6,4,11,2,1,0,1,1,3,2,1
29,8,6,15,5,5,1,0,0,2,2,0
30,7,4,14,4,10,3,1,1,2,2,0
31,5,7,9,2,10,0,1,1,2,2,1
32,8,2,15,2,3,0,1,1,2,2,0
33,9,4,4,2,14,0,1,1,2,2,0
34,9,4,0,2,6,0,1,1,2,2,0
35,8,2,11,2,11,0,1,1,2,2,1
36,12,4,7,2,3,0,1,1,2,2,1
37,12,4,11,2,1,0,1,1,2,2,1
38,8,4,1,2,7,0,1,1,2,2,0
39,5,4,7,0,10,1,1,1,2,2,0
40,4,4,11,2,8,5,1,0,2,2,0
41,3,4,15,4,12,4,1,1,1,2,0
42,4,4,15,2,14,0,1,1,2,2,0
43,11,4,9,4,13,3,1,0,2,2,0
44,14,2,11,2,11,0,1,1,2,2,0
45,11,6,11,2,3,0,1,1,2,2,1
46,6,4,15,4,7,3,0,1,2,2,0
47,7,4,15,4,8,3,1,0,1,2,0
48,8,4,15,2,14,0,1,1,2,1,1
49,4,4,11,4,8,1,1,0,2,2,0
50,3,4,11,4,3,1,1,1,1,2,0
51,10,4,11,2,6,0,0,1,2,2,0
52,10,4,2,0,8,1,1,0,1,2,0
53,6,4,15,2,12,0,1,1,2,2,0
54,6,4,14,2,14,0,1,1,2,2,1
55,7,4,5,2,14,0,1,1,2,2,1
56,7,4,12,0,1,1,1,0,2,2,0
57,3,4,15,4,11,1,1,0,2,2,0
58,4,5,9,4,10,2,1,1,1,2,0
59,8,5,15,4,12,1,1,1,2,2,0
60,11,4,15,2,4,0,1,1,4,2,0
61,6,4,11,4,4,3,1,0,0,2,0
62,12,6,15,2,10,0,1,1,2,2,0
63,7,4,10,2,10,0,1,1,2,2,1
64,11,4,11,6,3,0,1,1,2,2,1
65,7,4,12,2,4,0,0,1,2,0,1
66,14,4,9,2,3,0,1,1,0,2,1
67,14,4,7,6,8,4,1,0,2,2,0
68,7,4,9,2,7,0,0,1,2,2,0
69,6,0,11,5,0,4,1,0,0,2,0
70,5,4,1,2,3,0,1,1,2,2,0
71,4,4,5,4,14,1,1,1,1,2,0
72,8,4,9,2,13,0,1,1,3,2,0
73,10,2,9,0,1,4,1,0,3,2,0
74,5,4,11,2,3,0,1,1,2,2,0
75,5,1,11,4,1,4,0,0,2,0,0
76,7,4,12,4,10,3,1,1,1,2,0
77,5,4,11,5,4,3,1,0,2,2,0
78,5,4,8,2,4,0,1,1,4,2,0
79,12,4,9,2,3,0,1,1,0,2,0
80,12,4,15,6,8,1,1,1,2,2,0
81,11,4,5,0,14,1,1,1,2,2,0
82,7,4,8,4,9,3,1,0,2,2,0
83,12,7,9,2,4,0,0,1,1,0,0
84,4,4,11,4,3,3,1,1,2,2,0
85,7,4,12,0,10,4,1,0,2,2,0
86,13,4,9,2,7,0,1,1,2,2,1
87,7,4,15,2,8,0,0,1,2,2,0
88,11,4,9,5,12,4,1,0,3,2,0
89,4,4,11,3,1,1,1,0,2,2,0
90,8,4,15,2,11,0,1,1,3,2,1
91,9,7,11,0,8,1,1,0,3,2,0
92,4,4,8,4,13,3,0,0,1,2,0
93,10,6,11,2,5,0,1,1,2,2,0
94,12,2,15,2,11,0,1,1,2,2,1
95,3,4,2,4,9,1,1,0,1,2,0
96,10,4,11,0,1,4,1,0,2,2,0
97,11,1,12,3,4,2,1,0,2,2,0
98,9,4,9,2,8,0,1,1,2,2,0
99,4,4,11,2,3,0,1,1,1,2,1
100,7,4,7,0,8,1,1,1,1,2,0
101,7,4,11,2,5,0,1,1,2,2,1
102,3,4,11,4,7,1,1,1,2,2,0
103,6,0,15,2,0,5,0,0,2,2,1
104,9,4,15,2,8,5,0,0,2,2,0
105,6,2,9,4,11,1,1,0,2,2,0
106,6,4,11,2,3,0,1,1,2,2,1
107,5,4,9,4,12,3,1,0,2,2,0
108,4,4,1,4,7,3,1,1,2,2,0
109,6,4,10,2,12,0,0,1,2,0,1
110,7,2,11,2,11,0,1,1,2,2,1
111,8,4,11,0,3,1,1,1,1,2,0
112,8,4,0,0,13,4,0,0,1,2,0
113,8,4,9,2,12,0,1,1,2,2,1
114,6,1,9,0,1,4,1,0,1,2,0
115,8,4,15,4,8,1,0,0,2,2,0
116,8,4,15,2,12,0,1,1,2,2,0
117,4,4,0,4,12,3,1,0,2,2,0
118,9,4,11,0,4,1,1,1,2,1,0
119,10,5,9,2,4,0,0,1,1,2,1
120,15,4,11,6,14,1,1,0,1,2,1
121,4,2,9,4,10,4,1,1,1,2,0
122,7,5,9,2,5,0,1,1,1,2,0
123,6,4,7,2,8,0,1,1,2,2,1
124,4,4,5,4,7,1,1,0,2,2,0
125,6,4,15,2,12,0,1,1,2,2,0
126,11,4,15,0,12,4,1,0,2,2,0
127,7,4,9,2,4,0,1,1,2,2,1
128,8,6,15,2,8,5,1,0,2,2,0
129,9,6,5,2,5,0,1,1,2,2,1
130,9,4,11,0,12,4,1,0,3,2,0
131,6,4,4,0,8,4,0,1,2,2,0
132,10,2,8,2,4,0,1,1,2,2,0
133,7,4,9,2,12,0,1,1,2,2,0
134,11,5,11,0,10,1,1,1,2,2,0
135,10,4,7,2,10,0,1,1,2,2,1
136,7,4,2,0,9,1,1,0,2,2,0
137,9,4,9,0,4,4,1,0,2,2,0
138,3,6,11,4,12,3,0,1,2,2,0
139,10,7,11,4,8,1,1,1,2,2,0
140,5,4,9,4,12,3,1,0,2,2,0
141,10,4,15,2,4,0,1,1,2,2,0
142,4,1,15,4,10,1,1,1,2,2,0
143,5,4,9,2,8,0,1,1,2,2,0
144,6,4,9,2,12,0,1,1,2,2,1
145,6,4,11,0,8,1,1,1,2,2,0
146,6,4,15,2,12,0,1,1,2,2,1
147,7,4,11,2,3,0,1,1,2,2,0
148,5,4,15,2,12,5,1,0,2,2,1
149,3,4,11,4,8,1,1,0,2,2,0
150,6,4,8,2,10,0,1,1,2,2,1
151,11,4,11,2,7,0,1,1,2,2,1
152,6,0,2,2,0,0,1,1,0,2,0
153,5,2,11,0,1,4,1,0,2,2,0
154,10,4,9,4,6,4,1,1,1,2,0
155,7,4,9,0,13,1,1,0,2,2,0
156,11,2,8,4,1,3,1,1,2,2,0
157,6,4,15,4,7,3,1,1,2,2,0
158,8,4,11,2,7,5,1,0,2,2,1
159,6,6,11,4,3,1,1,1,3,2,0
160,8,4,9,0,12,1,0,0,2,2,1
161,6,4,15,2,8,0,1,1,2,2,0
162,9,4,11,2,6,0,1,1,2,2,0
163,6,4,11,4,4,1,0,1,2,2,0
164,11,4,12,2,10,0,1,1,1,2,1
165,4,4,9,4,12,1,1,1,2,2,0
166,7,4,12,2,10,0,1,1,2,2,1
167,5,4,11,2,8,0,1,1,1,2,1
168,5,4,11,2,5,0,1,1,2,2,0
169,6,2,15,2,10,0,0,1,2,2,1
170,5,4,8,4,3,1,1,1,2,1,0
171,9,6,9,2,13,0,1,1,2,2,1
172,4,4,5,5,9,4,1,0,1,2,0
173,12,4,6,2,6,0,0,1,2,2,1
174,10,4,15,2,12,0,1,1,2,2,0
175,8,4,11,5,1,4,1,0,2,2,0
176,10,4,12,0,4,1,1,0,2,2,0
177,4,4,11,2,14,0,1,1,2,2,1
178,9,4,11,2,11,0,1,1,2,2,1
179,6,6,11,2,12,0,1,1,2,2,1
180,7,4,15,2,3,0,1,1,2,2,0
181,9,2,11,2,4,0,1,1,2,2,0
182,9,4,11,2,3,0,1,1,2,2,0
183,10,4,0,2,7,0,1,1,2,2,0
184,8,4,15,4,1,1,0,1,2,2,1
185,7,4,12,2,4,0,1,1,2,2,0
186,4,4,11,4,10,2,1,1,2,2,0
187,4,0,12,4,10,1,1,0,1,2,0
188,13,4,12,2,4,0,0,1,2,2,1
189,9,4,14,4,4,1,1,1,2,2,1
190,5,4,11,2,14,0,1,1,2,2,0
191,5,4,9,2,10,0,1,1,2,2,0
192,7,4,9,0,1,3,0,0,4,2,0
193,9,4,11,4,8,1,1,0,2,2,1
194,5,4,11,4,3,1,1,0,1,2,0
195,9,5,11,2,12,0,1,1,2,2,0
196,6,4,9,4,10,3,0,1,2,0,0
197,4,4,11,4,8,3,1,1,2,2,0
198,14,4,0,6,8,4,0,1,2,2,0
199,8,4,5,2,8,5,1,0,2,2,1
200,14,4,15,2,5,0,1,1,0,2,0
201,8,4,11,2,3,0,1,1,2,2,0
202,4,4,15,4,10,3,1,0,1,2,0
203,7,4,9,2,12,0,1,1,0,2,0
204,8,4,8,2,13,0,0,1,3,2,1
205,5,4,11,4,7,4,0,0,2,2,0
206,9,4,9,0,1,1,1,0,2,2,0
207,5,4,15,4,3,1,1,1,2,2,0
208,5,2,12,2,10,5,0,0,2,2,1
209,5,2,10,2,10,5,1,0,2,2,0
210,14,4,15,6,4,1,1,1,0,2,0
211,7,4,9,2,10,0,1,1,2,2,0
212,5,0,11,0,0,4,0,0,3,0,0
213,4,4,11,4,3,1,1,1,2,2,0
214,12,4,8,2,8,0,1,1,1,4,0
215,5,4,11,2,6,0,1,1,2,2,1
216,5,4,15,4,8,3,1,1,2,2,0
217,12,0,15,2,0,5,1,0,2,2,1
218,11,4,11,0,12,4,1,0,2,2,0
219,8,4,15,0,12,1,0,1,2,2,0
220,9,7,12,2,10,0,1,1,2,2,0
221,4,6,9,4,1,1,1,0,1,2,0
222,8,4,6,4,6,1,0,1,2,2,0
223,11,4,4,2,14,0,1,1,2,2,1
224,5,4,11,3,1,3,1,1,2,2,0
225,7,4,1,2,8,0,1,1,2,2,0
226,8,4,11,2,6,0,1,1,3,2,0
227,9,4,5,2,7,0,1,1,3,2,1
228,10,4,11,4,3,3,1,1,2,2,0
229,3,4,1,4,8,1,1,1,1,2,0
230,8,4,0,0,7,3,1,0,2,0,0
231,9,4,11,2,3,0,1,1,2,2,0
232,4,4,15,0,12,1,1,0,1,4,1
233,4,4,15,4,4,3,1,0,1,2,0
234,6,7,11,2,8,5,1,0,2,2,1
235,12,2,12,2,10,0,1,1,1,2,0
236,8,4,11,2,6,0,1,1,2,2,1
237,8,1,9,2,4,0,1,1,2,2,1
238,7,4,11,2,13,0,1,1,2,2,1
239,6,5,15,2,12,0,1,1,2,2,0
240,6,4,0,4,3,3,1,1,1,2,0
241,12,2,15,2,6,0,1,1,0,2,0
242,9,4,14,4,10,1,0,0,2,0,0
243,9,7,11,0,4,4,1,0,2,2,0
244,4,4,11,4,3,3,1,1,1,2,0
245,8,2,1,0,8,4,1,0,2,2,0
246,10,4,9,2,4,0,1,1,2,2,1
247,14,4,11,4,6,3,1,1,1,2,0
248,8,4,15,2,8,0,1,1,2,2,1
249,4,0,9,4,7,1,1,1,0,2,1
250,7,4,11,2,14,0,1,1,2,2,1
251,4,7,11,4,1,1,1,0,2,2,1
252,4,6,15,2,3,0,0,1,2,2,1
253,10,4,15,2,3,0,1,1,2,2,1
254,11,4,9,0,12,1,0,1,2,2,0
255,8,4,11,2,3,0,1,1,2,2,1
256,9,4,15,2,12,0,1,1,2,2,1
257,6,4,15,0,1,4,1,0,2,2,0
258,4,0,9,4,0,1,1,0,2,2,0
259,9,4,11,2,3,0,1,1,2,2,0
260,4,0,12,2,0,0,1,1,2,2,0
261,7,6,11,0,4,1,1,0,2,2,0
262,8,4,11,0,1,4,1,0,1,2,0
263,5,4,8,0,3,4,1,1,2,2,0
264,5,7,7,4,1,2,0,1,2,2,0
265,11,4,9,2,10,0,1,1,2,2,1
266,4,2,15,4,11,3,1,1,2,2,0
267,8,4,11,2,14,0,1,1,2,2,1
268,7,4,5,4,6,3,1,1,1,2,0
269,9,0,7,2,0,0,0,1,2,2,0
270,6,4,1,2,3,0,1,1,2,2,0
