,age,workclass,education,marital-status,occupation,relationship,race,sex,hours-per-week,native-country,income
8638,6,4,11,2,3,0,1,1,2,2,0
12975,18,4,0,2,4,0,1,1,2,2,0
2756,8,2,12,2,4,0,1,1,3,2,1
15207,3,4,11,4,8,2,0,1,2,2,0
46153,4,4,8,4,13,3,1,0,1,2,0
27979,10,6,9,2,4,5,1,0,1,2,1
15204,5,4,10,4,10,1,1,0,3,1,1
14206,9,4,9,0,11,1,1,1,2,2,0
6690,12,4,0,2,7,0,1,1,2,2,0
2295,4,4,8,4,7,3,1,1,2,2,0
46708,9,4,15,2,3,0,1,1,2,2,0
44286,4,4,15,4,12,1,1,0,1,2,0
11612,9,4,11,2,12,0,1,1,2,2,1
20639,7,6,11,2,6,0,1,1,2,2,1
21475,11,6,1,6,8,4,1,0,3,1,1
45264,14,6,9,2,12,0,1,1,1,2,0
33043,10,4,11,6,1,1,0,0,2,2,0
16508,10,7,11,2,1,5,1,0,2,2,0
22613,7,4,12,4,4,1,1,1,2,2,1
31572,7,4,8,0,1,4,1,0,2,2,0
3522,9,6,0,2,3,0,1,1,3,2,0
16328,8,4,9,2,8,5,0,0,2,4,0
6412,3,4,2,4,6,3,1,1,0,2,0
19733,11,1,9,5,10,1,1,1,2,2,1
30552,7,4,11,2,14,0,1,1,2,2,0
22534,4,4,8,4,8,3,1,0,1,2,0
18369,6,2,9,0,1,4,0,0,2,2,0
46625,4,1,11,4,10,4,0,0,2,2,0
45362,8,4,11,0,4,4,1,0,2,2,1
1643,13,7,12,2,10,0,1,1,1,2,1
25400,9,2,7,0,1,1,1,0,1,2,0
28576,8,4,15,6,1,4,1,0,1,2,0
36409,6,5,11,2,5,0,1,1,2,2,0
41003,10,6,15,2,3,0,1,1,2,2,0
45314,13,4,6,2,11,0,1,1,2,2,0
9498,14,6,11,6,8,2,1,0,1,2,0
35270,8,4,11,2,8,0,1,1,2,2,0
3410,8,1,12,2,4,0,1,1,2,2,1
13898,8,1,11,0,1,1,1,0,2,2,0
47196,7,2,9,0,10,3,0,0,2,2,0
5502,5,4,15,4,1,1,1,0,2,2,0
24296,10,4,4,3,8,4,0,0,1,2,0
45375,7,8,11,2,4,0,1,1,2,2,0
31816,8,4,12,2,10,0,1,1,2,2,1
430,16,0,11,6,0,1,1,1,1,2,0
45537,6,6,11,2,5,0,1,1,3,2,0
4084,5,4,15,0,3,4,1,0,2,2,0
7876,8,0,11,2,0,0,0,1,2,2,0
4243,4,4,1,4,3,1,1,1,2,2,0
36483,3,4,2,4,8,3,0,0,0,2,0
10601,7,4,11,2,14,0,1,1,2,2,0
21781,5,4,9,4,12,4,0,1,2,0,0
39474,8,4,11,2,4,0,1,1,2,2,0
46873,3,4,11,4,12,2,0,0,1,2,0
5116,6,4,6,2,3,0,1,1,2,2,0
5581,8,4,11,2,3,0,1,1,2,2,1
