,age,workclass,education,marital-status,occupation,relationship,race,sex,hours-per-week,native-country,income
0,6,4,9,1,1,4,1,0,2,2,0
1,6,2,12,3,10,5,0,0,1,2,0
2,7,5,15,2,6,5,1,0,2,2,0
3,8,4,9,2,10,0,1,1,4,2,0
4,10,4,11,0,12,4,1,1,2,2,0
5,11,4,11,2,12,0,1,1,2,2,0
6,5,4,5,4,3,1,1,1,2,1,0
7,4,4,15,0,12,1,0,0,2,2,0
8,10,2,5,2,3,0,1,1,3,1,0
9,10,4,15,0,13,2,0,0,2,2,0
10,11,1,11,2,13,0,1,1,2,2,1
11,9,4,15,0,12,1,1,1,2,2,0
12,5,4,15,4,12,3,1,0,2,4,0
13,13,4,5,2,3,0,0,1,2,1,0
14,8,6,11,2,14,0,1,1,2,2,0
15,5,4,11,2,1,5,0,0,2,2,0
16,3,4,10,4,1,3,0,1,1,2,0
17,4,6,11,4,4,1,1,1,3,2,0
18,8,4,11,4,14,3,1,1,1,2,0
19,6,4,0,2,3,0,1,1,2,2,1
20,9,4,15,0,1,4,1,0,1,2,0
21,10,4,9,6,12,4,1,0,1,2,0
22,12,4,11,2,12,0,1,1,1,2,1
23,10,4,11,2,1,0,1,1,2,2,1
24,8,4,12,2,1,0,1,1,2,2,1
25,8,4,11,2,11,0,1,1,2,2,0
26,6,8,15,2,6,0,1,1,3,2,1
27,8,4,9,2,12,0,0,1,2,2,0
28,17,4,12,2,11,0,1,1,2,2,1
29,4,2,11,4,3,1,1,1,2,2,0
30,8,4,6,4,7,2,0,1,2,2,0
31,8,4,6,2,3,0,1,1,2,2,0
32,8,4,11,2,14,0,1,1,2,1,1
33,3,4,11,4,7,2,0,1,2,2,0
34,4,6,15,4,3,3,1,0,2,1,0
35,11,4,15,6,8,4,1,0,2,2,1
36,14,4,15,2,12,0,1,1,0,2,0
37,8,4,9,0,4,1,1,0,2,2,0
38,9,4,8,2,6,0,1,1,2,2,1
39,3,4,11,4,12,1,1,0,2,2,0
40,12,4,1,2,12,0,1,1,1,2,1
41,3,5,15,4,4,1,1,0,2,4,0
42,17,4,8,2,8,3,1,1,2,2,0
43,10,4,15,2,12,0,1,1,1,2,1
44,18,7,9,2,4,0,1,1,2,2,0
45,8,4,15,2,8,0,1,1,1,2,0
46,8,2,9,2,10,0,1,1,2,2,0
47,4,4,1,4,8,3,1,0,2,2,0
48,5,2,11,4,6,1,1,1,1,2,0
49,9,4,11,4,12,1,1,1,1,2,0
50,7,1,7,0,1,4,1,0,2,2,0
51,5,4,8,2,3,0,1,1,3,2,1
52,9,4,1,0,8,4,0,0,2,2,0
53,4,0,12,4,2,1,1,0,0,2,0
54,8,4,14,2,4,0,1,1,2,2,0
55,7,2,9,0,10,1,1,0,2,2,0
56,13,0,1,4,0,3,0,0,2,2,0
57,5,4,11,4,8,3,0,1,1,2,0
58,6,1,4,2,7,0,1,1,0,2,0
59,8,4,9,2,10,5,1,0,2,2,0
60,3,7,11,4,0,3,1,0,1,2,0
61,10,5,5,0,4,1,1,0,2,1,0
62,8,4,12,4,1,3,1,0,2,2,0
63,6,4,3,2,4,0,1,1,2,2,0
64,6,6,6,4,0,3,1,1,2,2,0
65,5,8,1,4,0,3,1,1,1,2,0
66,11,3,9,2,10,0,1,1,2,2,0
67,11,4,9,2,10,0,1,1,0,2,0
68,6,4,11,2,4,4,1,0,2,2,0
69,8,4,11,2,4,5,1,0,2,2,0
70,7,4,12,2,10,0,1,1,2,2,1
71,4,4,8,4,10,4,0,0,2,2,0
72,3,4,11,4,6,3,1,1,1,2,0
73,18,7,15,4,0,3,1,1,2,2,0
74,7,7,8,2,8,0,1,1,1,2,0
75,6,4,3,2,4,0,1,1,2,2,0
76,5,4,12,4,10,1,1,1,2,2,0
77,9,4,8,2,3,0,1,1,3,2,1
78,5,4,3,4,3,3,0,0,2,2,0
79,8,4,11,4,14,3,1,1,2,2,0
80,5,3,11,2,10,0,0,1,2,2,1
81,7,4,11,2,12,0,1,1,2,2,0
82,6,4,9,1,10,2,1,1,1,2,1
83,5,4,4,4,1,1,0,0,2,2,0
84,7,4,15,2,8,0,1,1,1,2,0
85,5,2,9,4,8,1,1,1,3,2,0
86,12,4,15,6,8,1,1,1,2,2,1
87,8,4,15,2,4,0,1,1,2,2,0
88,12,4,7,4,1,1,1,1,2,2,0
89,9,4,8,3,6,1,1,1,3,2,1
90,8,4,9,0,4,4,0,1,2,4,1
91,6,4,15,2,12,0,1,1,3,1,0
92,10,0,11,6,9,4,0,0,2,2,0
93,7,4,1,3,12,5,0,0,2,2,0
94,6,4,11,1,7,2,0,1,2,2,1
95,9,4,11,4,3,3,1,0,3,2,0
96,12,4,5,3,3,1,0,1,2,2,0
97,8,2,11,4,1,4,0,0,1,2,0
98,9,4,11,2,3,0,1,1,3,2,1
99,7,4,6,0,8,4,1,0,1,2,0
100,6,4,1,2,12,0,1,1,2,2,0
101,9,4,11,2,14,0,1,1,2,2,0
102,9,5,13,0,12,1,0,0,2,2,0
103,11,4,5,2,3,0,0,1,3,2,0
104,4,7,1,4,0,2,0,1,2,2,0
105,9,4,9,2,4,0,1,1,2,4,1
106,6,4,11,2,2,0,1,1,4,2,0
107,8,2,9,2,10,5,0,0,2,2,1
108,8,4,11,4,10,1,1,0,2,2,0
109,5,4,15,4,6,1,1,1,2,2,0
110,5,4,11,4,1,3,1,0,2,2,0
111,4,2,11,4,3,1,0,0,2,2,0
112,5,4,9,2,10,0,1,1,2,2,1
113,16,4,5,2,14,0,1,1,2,2,1
114,4,4,11,4,7,3,1,0,2,2,0
115,4,4,12,4,2,1,1,1,2,2,0
116,7,4,11,2,7,0,1,1,2,2,0
117,3,4,15,4,8,1,1,1,1,2,0
118,7,4,9,4,10,4,1,0,1,2,0
119,8,4,15,2,7,0,1,1,2,2,0
120,5,4,8,4,6,1,1,1,2,2,0
121,7,2,15,2,6,0,1,1,2,2,0
122,7,5,9,2,4,0,1,1,2,2,1
123,7,6,11,4,6,3,0,0,3,2,0
124,8,4,15,2,12,0,1,1,1,2,0
125,8,4,15,0,8,1,1,1,2,2,0
126,8,4,15,4,7,3,1,1,2,2,0
127,11,2,9,1,10,5,1,0,2,2,0
128,8,8,1,4,0,1,1,0,2,2,0
129,15,4,15,2,3,0,1,1,2,2,1
130,11,4,15,2,3,0,1,1,2,2,0
131,11,4,15,2,4,0,1,1,3,2,0
132,10,4,11,6,1,1,1,0,2,2,1
133,4,4,9,0,10,1,0,1,2,2,1
134,8,4,11,2,3,0,1,1,3,2,0
135,10,4,15,2,3,0,1,1,2,2,1
136,10,4,15,4,8,1,1,1,2,2,0
137,6,6,11,2,14,0,1,1,2,2,1
138,8,4,15,2,1,0,1,1,1,2,0
139,9,6,11,2,13,5,1,0,2,2,0
140,10,4,7,2,10,0,1,1,1,2,0
141,10,7,11,6,8,1,1,0,2,2,0
142,12,4,12,4,10,4,0,0,2,2,0
143,8,6,11,2,6,0,1,1,2,2,1
144,8,4,11,2,3,0,1,1,2,2,0
145,8,7,6,0,8,4,1,1,1,2,0
146,13,4,4,2,3,0,1,1,2,2,1
147,8,4,11,2,9,0,1,1,2,2,1
148,5,3,11,0,13,1,1,0,2,2,1
149,7,4,9,2,4,0,1,1,2,2,1
150,7,1,11,2,14,0,1,1,2,2,0
151,6,4,11,4,4,1,1,1,2,2,0
152,4,4,11,0,3,1,1,1,3,2,0
153,11,2,9,6,1,4,0,0,1,2,0
154,11,6,11,5,3,4,0,1,2,2,1
155,4,4,1,4,3,3,1,0,2,2,0
156,11,6,12,2,10,0,1,1,0,2,1
157,9,4,15,2,12,0,1,1,2,2,1
158,6,0,15,2,11,0,1,1,2,2,1
159,8,4,0,4,1,1,1,0,1,2,0
160,12,0,10,4,0,3,1,0,2,2,0
161,3,4,11,4,8,1,0,1,2,2,0
162,6,7,15,4,0,3,1,0,2,1,0
163,5,7,11,4,0,3,1,0,2,2,0
164,7,4,6,0,12,1,0,0,1,2,0
165,14,4,9,2,4,0,1,1,3,3,1
166,5,4,11,0,7,1,0,0,2,2,0
167,4,5,1,4,4,1,0,0,2,2,0
168,5,0,1,4,3,3,1,1,2,2,0
169,11,4,7,2,3,0,1,1,3,2,0
170,10,4,9,4,10,1,1,0,2,2,0
171,5,0,15,4,0,3,1,1,1,2,0
172,8,4,5,2,4,0,1,1,2,2,1
173,9,4,9,0,4,1,1,1,1,2,0
174,6,4,15,2,3,0,1,1,2,2,1
175,7,5,9,0,12,4,0,0,2,2,0
176,5,2,9,2,10,0,1,1,2,2,1
177,8,4,9,2,4,0,0,1,2,2,0
178,6,4,15,2,4,0,1,1,2,2,0
179,9,4,11,0,4,4,0,0,2,2,0
180,6,4,11,2,1,0,1,1,2,2,0
181,11,4,9,6,12,1,1,1,2,2,0
182,12,4,14,2,10,0,1,1,0,2,0
183,5,7,4,2,4,5,0,0,2,2,0
184,4,2,15,4,8,3,1,1,1,2,0
185,8,5,15,4,6,1,1,1,3,2,0
186,10,4,12,4,10,2,1,0,2,2,0
187,7,4,12,0,10,1,1,1,2,2,0
188,6,4,8,3,6,4,1,0,2,2,1
189,5,4,15,0,8,1,1,1,1,2,0
190,7,2,15,4,3,3,0,0,2,2,1
191,11,4,11,2,12,5,1,0,2,2,0
192,9,1,8,2,13,0,1,1,2,2,1
193,14,4,9,4,10,2,1,0,2,2,0
194,4,4,12,4,12,1,1,0,2,2,0
195,7,6,11,2,6,0,1,1,3,2,0
196,5,4,12,2,4,0,1,1,2,2,0
197,7,4,13,0,1,4,1,1,2,2,0
198,4,4,14,4,6,3,1,1,1,2,0
199,8,4,12,0,1,4,1,1,2,2,0
200,7,4,11,2,12,0,1,1,1,2,0
201,12,7,1,2,0,5,0,0,1,2,0
202,4,4,9,4,4,1,1,1,2,2,0
203,18,0,9,2,9,0,1,1,1,2,0
204,6,6,11,2,14,0,1,1,1,2,0
205,6,4,15,2,12,0,1,1,1,2,1
206,12,4,11,4,1,1,1,0,2,2,0
207,11,7,11,2,5,0,1,1,1,2,0
208,3,4,10,4,3,3,0,1,2,2,0
209,10,4,9,2,4,0,1,1,2,2,1
210,12,4,15,2,8,3,1,0,1,2,1
211,5,4,9,4,10,1,1,0,1,2,0
212,4,4,11,4,2,0,1,1,2,2,0
213,6,7,15,4,0,3,1,1,1,2,0
214,8,4,11,2,7,0,1,1,3,2,1
215,8,4,1,2,3,0,1,1,2,2,0
216,5,4,11,4,7,3,0,0,4,2,0
217,7,4,11,2,14,0,1,1,2,2,0
218,8,4,11,2,12,0,1,1,1,2,1
219,8,4,9,2,4,0,0,1,3,2,0
220,6,4,15,2,12,0,1,1,2,2,0
221,3,4,15,4,1,3,1,1,2,2,0
222,11,4,9,2,1,0,1,1,4,2,0
223,4,1,15,4,4,1,0,0,2,2,0
224,5,0,15,4,0,1,1,0,2,2,0
225,6,4,11,2,14,0,1,1,2,2,0
226,6,4,9,3,10,4,1,0,2,2,1
227,8,4,5,4,3,3,1,0,3,3,0
228,11,2,15,2,3,0,0,1,2,2,1
229,12,4,15,2,12,0,1,1,2,2,0
230,7,6,9,4,10,4,0,0,0,2,0
231,11,4,9,2,14,0,1,1,2,2,1
232,7,4,11,0,3,1,1,1,2,2,0
233,12,4,11,2,12,0,1,1,4,2,0
234,4,4,11,4,12,1,0,1,2,2,0
