,age,workclass,education,marital-status,occupation,relationship,race,sex,hours-per-week,native-country,income
0,8,4,6,2,8,0,1,1,2,2,0
1,7,4,9,0,3,1,0,1,2,2,0
2,5,2,12,1,10,4,1,0,1,2,0
3,13,2,11,4,4,1,0,0,2,2,0
4,11,4,5,2,6,0,1,1,1,2,1
5,9,4,15,2,14,0,1,1,2,2,1
6,18,4,8,6,3,1,1,1,2,2,0
7,8,4,6,4,10,3,1,0,0,2,0
8,4,4,11,4,8,3,1,1,0,2,0
9,11,0,8,2,0,0,1,1,2,2,0
10,9,4,11,0,8,4,0,0,2,2,0
11,8,4,12,2,4,0,1,1,2,2,0
12,6,4,9,2,13,5,1,0,1,2,1
13,6,4,9,2,10,0,1,1,2,2,1
14,7,4,11,2,4,0,1,1,3,2,1
15,8,6,15,4,1,1,1,1,2,2,0
16,11,5,13,2,12,0,1,1,0,2,1
17,3,4,9,4,12,3,1,0,1,2,0
18,5,4,15,4,8,3,1,1,2,2,1
19,8,4,7,2,10,0,1,1,2,2,0
20,8,4,1,2,12,0,1,1,3,2,1
21,12,5,15,6,12,3,1,1,2,2,0
22,4,4,9,4,8,1,0,1,1,2,0
23,5,4,11,4,1,1,0,0,2,2,0
24,6,2,9,4,10,1,1,0,2,2,0
25,6,5,9,4,12,3,0,0,2,2,0
26,9,4,15,2,7,5,0,0,2,2,0
27,6,4,15,2,12,0,1,1,2,2,0
28,7,6,9,2,4,0,1,1,2,2,1
29,7,6,12,0,11,4,1,1,2,2,0
30,11,6,0,0,1,4,1,0,2,2,1
31,6,4,11,2,7,0,0,1,2,2,1
32,10,6,11,2,3,0,1,1,2,2,0
33,6,4,15,4,6,2,1,1,2,2,0
34,4,4,11,4,1,2,1,0,2,2,0
35,8,4,11,2,3,0,1,1,2,2,1
36,12,6,9,2,4,0,1,1,2,2,1
37,9,6,11,2,5,0,1,1,3,2,0
38,6,4,0,2,4,0,1,1,2,2,0
39,17,1,15,2,1,0,1,1,2,2,1
40,7,1,11,2,1,5,1,0,2,2,0
41,8,2,11,2,13,0,0,1,1,2,1
42,12,4,11,2,8,5,1,0,2,2,1
43,7,4,11,0,1,4,1,0,2,2,0
44,6,4,8,2,1,4,0,0,1,2,1
45,8,0,15,4,0,3,1,1,2,2,0
46,14,4,8,2,13,3,0,1,2,0,1
47,5,4,11,5,1,1,1,0,1,2,0
48,3,4,0,4,3,3,1,1,2,2,0
49,9,0,8,6,0,1,1,1,0,2,0
50,4,4,11,4,1,4,1,1,2,2,0
51,5,4,15,4,2,4,0,0,0,2,0
52,4,4,5,2,14,0,0,1,3,2,0
53,5,4,9,2,1,0,1,1,2,2,0
54,4,5,11,4,12,3,1,1,2,2,0
55,17,4,8,2,1,0,1,1,2,2,1
56,6,4,15,2,12,0,1,1,2,2,0
57,9,6,15,4,12,1,1,1,2,2,0
58,7,4,11,2,6,0,1,1,2,2,0
59,11,4,9,6,8,4,1,1,2,2,0
60,13,2,15,0,4,1,1,1,3,2,0
61,6,4,15,4,10,1,1,0,3,2,0
62,9,7,9,6,11,1,1,1,2,2,0
63,5,6,9,4,4,1,1,1,2,2,0
64,6,4,11,4,8,3,1,0,1,2,0
65,11,4,11,2,1,0,1,1,2,2,0
66,3,4,9,2,12,0,1,1,0,2,1
67,9,4,11,2,12,0,1,1,0,2,1
68,4,4,11,2,3,0,1,1,2,2,0
69,11,4,15,2,4,0,1,1,2,2,0
70,9,4,15,2,12,0,1,1,2,2,0
71,5,7,9,5,10,1,1,0,2,2,0
72,4,7,8,4,1,3,1,0,2,2,1
73,8,4,9,2,10,0,1,1,2,2,0
74,10,4,11,2,12,0,0,1,3,2,0
75,10,4,9,2,12,0,1,1,2,2,0
76,3,4,7,4,7,3,1,0,2,2,0
77,9,4,11,5,8,4,1,0,4,2,0
78,4,4,11,4,3,3,1,0,2,2,0
79,8,4,9,0,14,1,1,0,2,2,0
80,11,1,9,4,1,1,1,0,2,2,0
81,3,4,10,4,4,4,1,0,2,2,0
82,8,5,7,4,4,1,1,1,2,2,1
83,5,6,11,4,4,3,1,0,2,3,0
84,7,4,11,2,3,0,0,1,2,2,0
85,5,4,15,4,6,3,1,1,2,2,0
86,9,4,15,2,3,0,1,1,2,2,0
87,4,4,9,4,12,3,0,0,0,2,0
88,12,4,9,1,10,4,1,0,2,1,0
89,4,5,11,4,5,3,1,1,1,2,1
90,8,0,15,5,0,4,1,0,2,2,0
91,6,2,12,2,4,0,1,1,2,2,0
92,8,4,11,2,6,0,1,1,2,2,0
93,8,4,11,2,8,0,1,1,0,2,0
94,7,4,11,4,6,3,1,0,1,2,0
95,4,4,15,4,4,1,1,0,3,2,0
96,5,4,11,4,14,1,0,0,2,2,0
97,4,2,12,4,11,3,0,0,2,2,0
98,5,4,11,4,12,1,1,1,0,2,0
99,11,4,7,2,4,0,0,1,2,2,0
100,4,4,15,4,7,1,1,0,2,2,0
101,6,4,11,2,7,0,1,1,2,2,0
102,4,2,8,4,1,1,1,0,1,2,0
103,5,0,15,4,0,3,1,1,3,2,0
104,9,4,11,2,7,0,0,1,2,2,1
105,8,2,12,2,10,0,1,1,0,2,1
106,4,4,11,4,1,3,0,1,2,2,0
107,13,4,5,4,8,3,1,1,2,2,0
108,6,4,8,2,1,0,1,1,2,2,0
109,4,4,5,4,6,1,0,0,3,2,0
110,5,0,15,0,9,4,1,0,0,2,0
111,7,4,11,2,14,0,1,1,3,2,1
112,8,7,9,2,10,0,1,1,3,2,0
113,4,4,7,4,6,3,1,0,1,2,0
114,4,4,11,4,3,3,1,1,2,2,0
115,7,1,15,4,12,1,1,0,2,2,0
116,11,4,12,2,12,0,1,1,0,2,0
117,3,4,9,4,12,1,1,1,0,2,0
118,4,7,14,4,10,4,1,1,2,2,0
119,9,4,7,2,3,0,1,1,1,2,1
120,4,1,8,4,1,3,0,1,2,2,0
121,9,4,15,2,3,0,1,1,2,2,1
122,7,4,1,2,3,0,1,1,2,2,0
123,6,6,15,2,10,0,0,1,2,2,1
124,10,4,11,2,8,0,1,1,1,2,0
125,10,4,11,2,14,0,1,1,2,2,1
126,5,4,0,4,3,3,1,1,2,2,0
127,5,1,11,4,1,4,1,0,1,2,0
128,13,4,11,0,14,1,1,0,2,2,1
129,8,0,11,4,0,1,1,1,2,2,0
130,5,4,9,2,3,0,1,1,3,2,0
131,5,4,9,2,10,0,1,1,2,2,0
132,9,4,11,0,6,2,1,0,3,2,0
133,13,4,12,4,8,4,1,0,1,2,1
134,5,5,11,2,5,0,1,1,3,2,0
135,10,4,11,2,4,0,1,1,2,2,1
136,6,5,1,2,4,0,1,1,2,2,1
137,9,4,9,2,1,5,1,0,2,2,0
138,7,6,11,2,12,0,1,1,2,2,1
139,6,2,11,2,11,0,1,1,2,0,0
140,4,4,9,4,8,3,1,1,2,2,0
141,5,2,11,3,8,4,0,0,1,2,1
142,6,4,9,4,8,3,1,1,0,2,0
143,9,4,11,4,12,3,1,1,2,2,0
144,10,4,15,2,14,0,1,1,2,2,0
145,7,4,12,2,10,0,0,1,2,2,0
146,11,4,2,2,3,0,1,1,2,2,0
147,6,1,9,4,10,3,1,1,2,2,0
148,7,4,6,4,6,3,1,0,0,2,0
149,10,4,9,2,10,0,1,1,1,2,0
150,8,2,15,4,11,1,1,0,2,2,0
151,7,4,15,4,8,3,1,0,2,2,0
152,8,4,9,2,12,0,1,1,2,2,1
153,5,4,15,4,8,3,1,1,1,2,1
154,12,4,9,2,10,0,1,1,0,2,0
155,5,4,11,2,4,0,1,1,2,2,0
156,7,7,9,2,10,0,1,1,2,2,1
157,9,7,15,2,10,0,1,1,2,2,0
158,5,2,9,2,10,0,1,1,2,0,0
159,5,7,11,2,6,0,1,1,2,2,1
160,9,4,9,2,4,0,1,1,2,2,0
161,13,4,9,2,14,0,0,1,2,2,1
162,9,4,15,2,7,5,1,0,2,2,0
163,5,4,9,0,10,1,1,0,0,2,0
164,3,4,11,2,3,0,1,1,2,2,1
165,5,4,15,4,1,3,1,1,2,2,0
166,6,2,11,0,5,4,1,0,2,2,0
167,10,4,11,6,12,3,1,0,1,2,0
168,13,4,9,2,3,3,1,1,2,2,0
169,8,4,11,4,6,3,1,1,1,2,0
170,4,7,14,4,10,1,1,1,0,2,0
171,6,4,11,2,1,5,1,0,2,2,0
172,16,4,15,2,14,0,0,1,2,2,0
173,9,4,9,3,1,4,1,0,2,2,0
174,9,4,11,2,7,0,1,1,2,2,1
175,5,4,11,4,1,3,1,0,2,2,0
176,10,4,12,2,12,0,1,1,2,2,1
177,9,4,11,0,8,1,1,1,0,2,0
178,12,4,15,2,3,0,1,1,2,2,0
179,6,4,11,3,4,1,1,1,3,2,0
