,age,workclass,education,marital-status,occupation,relationship,race,sex,hours-per-week,native-country,income
0,12,6,6,2,5,0,1,1,2,2,0
1,9,2,11,0,11,1,1,1,2,2,0
2,5,4,9,4,4,3,1,0,2,2,0
3,9,4,0,2,8,5,0,0,2,2,1
4,9,7,12,2,10,0,1,1,1,2,0
5,10,7,11,0,8,4,1,0,2,2,0
6,4,4,11,4,3,3,1,1,2,2,0
7,6,4,11,2,6,0,1,1,2,2,0
8,4,4,15,4,1,3,1,0,2,2,0
9,4,6,9,4,12,3,1,0,1,4,0
10,9,7,14,0,10,3,1,1,2,2,0
11,8,4,0,4,5,3,1,1,2,2,0
12,5,2,7,4,1,3,1,1,2,2,0
13,7,4,1,2,14,0,1,1,2,2,1
14,5,4,11,4,7,3,1,1,2,2,0
15,5,4,11,2,1,0,1,1,1,2,0
16,3,2,11,4,10,1,1,0,1,2,0
17,3,4,15,4,3,4,1,1,1,1,0
18,16,2,15,0,4,1,1,1,1,2,0
19,11,4,10,2,10,0,1,1,3,2,1
20,7,4,11,2,4,0,1,1,2,2,1
21,7,4,15,4,3,3,1,1,2,2,0
22,5,1,15,4,1,3,0,0,2,2,0
23,3,4,1,2,3,0,1,1,2,4,0
24,9,4,15,2,12,0,1,1,1,2,1
25,7,4,11,2,1,0,1,1,2,2,1
26,11,4,15,4,14,1,1,1,3,2,0
27,8,4,11,3,7,4,1,1,2,2,0
28,9,4,10,0,10,3,1,1,2,2,0
29,5,4,11,4,3,3,1,1,3,2,0
30,7,4,11,0,9,4,0,0,2,0,1
31,4,4,9,4,4,1,1,0,1,2,0
32,3,5,11,4,4,3,1,1,0,2,0
33,11,4,15,2,7,0,1,1,2,2,0
34,5,4,14,4,10,3,1,0,2,2,0
35,9,4,9,5,4,2,1,1,1,2,0
36,7,4,11,4,6,2,1,1,2,2,0
37,9,4,15,2,4,0,1,1,2,2,1
38,6,5,15,2,4,0,1,1,2,2,1
39,4,4,9,0,12,4,1,1,0,2,0
40,7,6,7,0,8,4,1,0,3,2,0
41,4,6,15,4,4,4,1,0,1,2,0
42,5,6,9,4,12,1,1,0,1,2,0
43,10,4,11,2,3,3,1,1,2,2,0
44,6,4,11,4,6,1,0,1,2,2,0
45,4,4,7,2,8,5,1,0,1,2,0
