,age,workclass,education,marital-status,occupation,relationship,race,sex,hours-per-week,native-country,income
0,11,4,10,2,4,0,1,1,2,2,0
1,7,5,9,2,10,0,0,1,2,2,0
2,9,7,0,2,14,0,1,1,2,2,1
3,7,4,12,4,10,1,1,0,2,2,0
4,10,6,12,0,12,1,0,1,2,2,0
5,8,4,9,2,12,0,1,1,1,2,0
6,9,2,9,2,11,0,1,1,2,2,0
7,3,4,11,4,8,3,0,0,1,2,0
8,6,4,11,2,8,5,1,0,3,2,1
9,3,4,11,4,4,3,0,1,1,0,0
10,6,4,11,0,8,4,1,0,2,2,0
11,7,4,11,2,14,0,1,1,2,4,0
12,6,4,1,0,8,1,1,0,1,2,0
13,5,1,11,4,8,3,1,0,1,2,0
14,5,4,11,4,9,3,0,0,2,2,0
15,5,5,1,4,8,3,1,1,2,1,0
16,9,4,5,2,3,0,1,1,2,2,1
17,12,4,11,2,6,0,1,1,1,1,0
18,7,4,15,4,12,3,1,1,2,2,0
19,6,4,2,2,3,0,1,1,0,2,0
20,4,6,9,4,10,3,1,0,1,2,0
21,4,4,15,4,12,1,0,1,2,2,0
22,7,2,3,2,3,0,1,1,2,2,0
23,6,4,15,2,3,0,1,1,2,2,0
24,5,4,1,2,7,0,1,1,2,2,1
25,7,4,11,4,12,3,1,0,2,2,0
26,6,7,7,0,1,4,1,0,2,2,0
27,12,4,12,2,10,0,1,1,3,2,0
28,7,4,11,2,1,0,1,1,2,2,0
29,5,6,0,2,5,0,1,1,2,2,0
30,15,2,9,0,4,1,1,1,2,2,0
31,4,4,15,4,7,1,1,0,2,2,0
32,8,4,9,2,13,0,1,1,1,2,0
33,10,7,12,2,10,0,1,1,2,2,1
34,10,7,11,0,4,1,1,1,1,2,0
35,10,4,15,2,1,5,1,0,2,2,0
36,12,4,9,2,4,0,1,1,2,2,0
37,4,6,14,2,10,0,1,1,2,2,1
38,10,4,1,2,14,0,1,1,3,2,0
39,6,2,11,2,3,3,1,1,2,2,0
40,6,4,1,0,12,1,1,1,2,2,1
41,5,0,11,4,0,4,1,0,2,2,0
42,8,4,15,2,7,0,1,1,2,2,1
43,5,4,15,4,8,3,1,0,2,2,0
44,5,4,0,0,7,4,1,0,2,2,0
45,10,4,11,2,8,0,1,1,2,2,0
46,6,4,0,2,8,0,1,1,2,2,0
47,6,4,15,2,6,0,1,1,2,2,1
48,6,4,12,2,3,0,1,1,2,2,0
49,12,6,12,2,12,0,0,1,0,2,1
50,11,1,11,2,4,0,1,1,2,1,0
51,13,4,11,6,3,1,1,1,1,2,0
52,3,5,15,4,4,4,1,0,1,2,0
53,9,4,11,4,8,1,1,0,1,2,0
54,4,1,12,4,2,3,1,0,2,2,0
55,8,4,12,4,4,3,0,1,2,2,0
56,4,4,15,2,8,0,1,1,1,2,0
57,8,4,15,2,7,0,1,1,2,2,1
58,8,4,11,2,6,0,1,1,2,2,0
59,5,4,9,5,12,4,0,1,2,2,0
60,5,4,15,4,4,1,1,1,2,2,0
61,7,4,2,2,12,0,1,1,2,2,0
62,4,7,2,4,8,3,1,0,0,2,0
63,5,4,9,0,4,1,1,0,2,2,0
64,6,1,9,0,13,1,1,1,2,2,0
65,9,7,11,3,1,2,1,0,2,2,0
66,9,6,15,2,3,0,1,1,1,2,0
67,11,7,9,4,1,1,1,0,1,2,0
68,8,4,11,2,10,0,1,1,2,2,0
69,3,6,0,4,3,3,1,1,1,2,0
70,9,4,11,2,7,0,1,1,2,2,0
71,5,2,15,4,11,1,1,1,1,2,0
72,8,2,11,0,10,1,1,0,2,2,0
73,7,4,15,4,1,4,1,0,2,2,0
74,7,4,15,0,8,4,1,0,2,2,0
75,6,4,7,4,3,1,1,1,3,2,0
76,12,4,11,2,14,0,1,1,3,2,1
77,5,4,11,4,5,2,1,1,0,2,0
78,5,4,11,2,5,0,1,1,2,2,0
79,6,4,10,2,10,0,1,1,2,2,0
80,11,7,12,2,10,0,1,1,1,2,0
81,7,4,11,2,4,0,1,1,2,2,0
82,4,4,1,4,8,3,1,0,2,2,0
83,8,4,9,0,4,1,1,0,2,2,0
84,5,4,11,4,3,1,1,1,2,2,0
85,6,2,10,4,10,4,1,0,4,2,0
86,9,4,14,4,10,3,1,0,2,2,0
87,6,4,15,4,3,3,1,1,1,2,0
88,9,4,15,0,14,3,1,0,2,2,0
89,10,2,15,2,8,0,1,1,1,2,0
90,6,4,9,4,3,3,0,0,2,2,0
91,6,0,7,4,0,3,1,0,2,2,0
92,7,4,5,0,14,1,1,1,2,1,0
93,6,4,11,4,8,1,1,0,2,2,0
94,5,4,15,4,8,1,0,0,2,0,0
95,6,4,15,4,4,2,1,0,3,2,0
96,4,6,11,4,4,1,1,1,1,2,0
97,6,4,1,2,6,0,1,1,2,2,0
98,3,4,11,4,3,1,1,1,1,2,0
99,9,4,9,3,12,1,1,1,2,2,0
100,4,4,12,4,10,1,1,1,1,2,0
101,9,4,15,2,6,0,1,1,2,2,1
102,9,4,11,0,7,2,0,0,2,2,0
103,8,4,9,2,4,0,1,1,1,2,0
104,8,4,11,2,12,0,1,1,2,2,1
105,8,2,11,2,1,0,1,1,2,2,1
106,9,4,9,2,4,0,1,1,4,2,0
107,5,1,9,4,1,3,1,0,2,1,0
108,10,1,6,2,13,0,1,1,2,2,1
109,5,4,1,4,3,3,0,1,2,0,0
110,5,1,15,2,4,0,1,1,2,2,0
111,4,4,11,4,8,3,1,1,1,2,0
112,12,4,11,6,3,1,1,1,2,2,0
113,8,4,11,0,4,1,1,1,2,2,0
114,4,4,11,2,13,0,1,1,2,2,1
115,7,4,11,2,6,0,0,1,2,2,1
116,8,4,11,2,8,0,1,1,3,2,0
117,7,4,9,2,13,0,1,1,2,2,0
118,6,4,9,4,10,1,1,1,2,2,0
119,9,4,11,5,1,1,1,1,2,2,0
120,4,4,11,4,8,1,1,1,2,2,0
121,7,1,11,2,3,0,0,1,2,2,1
122,8,6,11,2,10,0,1,1,1,2,1
123,4,5,7,4,10,1,1,1,1,2,0
124,7,4,3,4,5,3,1,1,2,2,0
125,9,6,11,2,12,0,1,1,2,2,0
126,10,2,11,2,8,0,1,1,2,2,0
127,7,4,9,0,4,1,1,1,2,2,0
128,10,4,0,2,5,0,1,1,3,2,0
129,3,2,7,4,1,1,0,0,1,2,0
130,5,4,15,2,7,5,1,0,2,2,0
131,3,7,15,4,10,3,1,0,1,2,0
132,7,4,6,2,7,0,1,1,2,2,1
133,4,4,11,4,8,1,1,0,2,2,0
134,11,4,9,2,10,0,1,1,2,2,0
135,8,0,12,2,0,5,1,0,3,2,0
136,8,2,12,2,10,0,1,1,2,2,1
137,7,4,3,2,3,0,1,1,2,2,0
138,9,4,11,0,3,1,0,1,1,2,0
139,8,4,9,2,12,0,1,1,2,2,1
140,13,7,7,2,10,0,1,1,1,2,0
141,10,4,15,0,1,4,0,0,3,2,0
142,7,6,15,4,1,2,1,0,3,2,0
143,8,4,0,2,6,3,1,1,2,2,0
144,6,4,9,2,11,0,1,1,2,2,1
145,13,5,15,2,10,0,1,1,2,2,0
146,10,4,1,2,7,0,0,1,2,2,1
147,5,6,11,2,12,0,1,1,2,2,1
148,5,4,11,4,8,1,1,0,1,2,0
149,10,4,11,2,3,0,1,1,2,2,0
150,8,4,14,2,10,0,0,1,2,2,0
151,5,5,15,4,12,2,0,0,2,2,0
152,5,6,0,4,8,3,1,1,2,1,0
153,11,4,9,2,4,0,1,1,2,2,1
154,4,2,11,4,6,3,1,0,2,2,0
155,7,4,11,4,8,1,1,0,2,2,1
156,8,4,11,4,8,2,1,0,2,2,0
157,6,1,9,0,10,4,1,0,2,2,0
158,9,4,9,2,8,5,1,0,3,4,0
159,10,4,9,4,1,1,0,0,2,2,0
160,6,4,11,4,8,4,1,0,2,2,0
161,8,4,7,0,12,1,1,1,3,2,0
162,7,4,15,4,5,3,1,1,2,2,0
163,8,2,5,0,10,1,0,1,4,2,0
164,4,4,11,4,7,1,1,0,2,2,0
165,9,4,9,2,4,0,1,1,2,2,1
166,10,4,11,2,14,0,1,1,2,2,0
167,8,4,9,2,10,0,1,1,1,2,0
168,10,2,1,2,8,5,1,0,2,2,0
169,7,7,12,0,10,1,0,0,2,2,0
170,6,4,9,4,12,3,1,1,2,2,0
171,4,4,15,4,8,1,1,0,2,2,0
172,9,6,9,2,10,0,1,1,2,2,0
173,5,4,11,4,1,3,1,0,2,2,0
174,6,4,11,4,8,1,1,0,3,2,0
175,6,7,8,2,10,0,1,1,2,2,0
176,6,6,11,4,14,1,1,1,1,2,0
177,7,4,11,0,7,1,0,1,1,2,0
178,10,1,9,2,4,0,1,1,2,2,0
179,6,4,15,4,10,3,1,0,2,2,0
180,8,4,11,2,1,0,1,1,2,2,0
181,7,4,11,2,10,0,1,1,2,2,1
182,11,7,8,2,11,0,1,1,1,2,0
183,10,4,9,2,10,0,1,1,2,2,1
184,10,4,3,4,8,1,1,0,2,2,0
185,5,4,15,4,13,1,1,0,1,2,0
186,8,6,8,2,3,0,0,1,2,2,0
187,4,7,11,4,4,1,1,0,2,2,1
188,10,4,11,2,3,0,1,1,2,2,0
189,8,4,10,0,10,4,1,1,0,2,0
190,8,4,11,2,3,0,1,1,1,2,1
191,5,4,11,4,3,1,1,1,2,2,0
192,6,4,9,4,13,3,1,1,2,2,0
193,3,4,15,4,12,3,1,1,0,2,0
194,6,4,5,0,14,1,1,0,2,2,1
195,7,4,9,4,3,3,0,0,2,2,0
196,5,4,9,4,12,3,1,1,2,2,0
197,10,4,15,0,1,1,1,0,2,1,0
198,6,4,11,2,7,0,1,1,2,2,1
199,5,4,11,5,1,1,1,0,2,2,0
200,10,6,15,2,4,5,1,0,3,2,1
201,4,4,11,2,14,0,1,1,2,2,1
202,9,4,11,2,3,0,1,1,1,2,0
203,6,4,7,2,3,0,1,1,2,2,1
204,18,4,15,4,12,3,1,1,2,2,0
205,4,4,1,4,3,3,1,1,1,2,0
206,4,0,9,4,0,1,0,0,2,0,0
207,11,0,15,2,0,5,1,0,2,2,1
208,3,4,11,4,3,3,1,1,0,2,0
209,4,2,15,4,1,1,1,0,1,2,1
210,10,4,11,2,7,0,1,1,2,2,1
211,9,4,15,2,12,0,0,1,1,2,1
212,7,4,11,2,8,0,1,1,2,2,0
213,10,4,11,2,7,0,1,1,2,2,0
214,11,6,15,2,3,0,1,1,2,2,1
215,6,2,11,4,1,1,1,1,2,2,0
216,7,4,12,2,10,0,1,1,2,2,1
217,10,4,11,2,12,0,1,1,1,2,0
218,7,4,11,0,8,4,0,0,2,2,0
219,14,4,11,4,13,3,0,1,1,2,0
220,6,4,15,4,1,3,1,0,2,2,0
221,5,4,14,4,10,1,1,0,1,2,0
222,9,2,11,2,6,0,1,1,2,2,0
223,7,4,11,4,14,2,1,0,3,2,0
224,3,4,11,4,1,3,1,0,1,2,0
225,11,5,9,0,4,1,1,0,2,2,0
226,3,4,11,4,8,1,1,0,2,2,0
227,9,4,11,2,12,0,1,1,3,2,0
228,7,2,9,2,10,0,1,1,2,2,0
229,4,4,15,4,1,3,1,0,2,2,0
230,4,1,1,4,6,3,1,1,2,2,0
231,11,4,11,4,6,3,1,1,2,2,0
232,7,2,2,2,14,0,1,1,2,2,0
233,8,4,9,2,10,0,1,1,2,2,1
234,9,4,9,2,10,5,1,0,2,2,1
235,3,4,15,4,1,1,1,1,2,2,0
236,8,2,9,2,8,5,1,0,1,4,1
237,8,2,11,2,1,0,1,1,2,2,0
238,5,4,11,4,1,3,1,1,3,2,0
239,10,4,12,4,1,1,1,0,2,2,0
240,8,6,9,2,5,0,1,1,3,2,0
241,5,4,11,4,3,3,1,1,1,2,0
242,7,2,11,2,3,0,1,1,2,2,0
243,5,6,9,4,4,1,1,0,2,2,0
244,3,4,15,4,12,2,1,0,2,2,0
245,6,6,8,4,8,4,1,0,2,2,0
246,11,4,9,2,12,0,1,1,1,2,1
247,9,4,11,4,7,4,1,0,2,2,0
248,13,4,5,2,3,0,1,1,2,2,0
249,9,4,11,0,7,1,1,1,1,2,0
250,8,0,11,2,0,0,1,1,2,2,0
251,6,4,11,2,14,3,1,1,2,2,0
252,9,4,5,2,3,2,1,1,1,2,0
253,4,4,11,4,1,3,1,0,2,2,1
254,8,4,11,2,3,0,0,1,2,2,1
255,10,4,11,2,1,0,1,1,2,2,1
