,age,workclass,education,marital-status,occupation,relationship,race,sex,hours-per-week,native-country,income
22634,8,4,9,2,10,0,1,1,2,2,1
21862,9,7,14,0,10,4,0,1,1,2,1
21856,7,4,15,0,8,4,0,0,2,2,0
39544,10,4,11,2,4,5,1,0,2,2,0
42286,4,6,11,4,5,3,1,1,1,2,0
19063,8,6,15,0,10,1,1,0,0,2,0
18529,6,6,7,0,3,1,1,1,2,2,0
7362,6,4,15,2,4,5,1,0,2,2,1
20978,7,4,12,4,10,1,1,1,3,2,1
40291,8,4,12,2,4,0,1,1,2,2,1
13236,11,4,11,2,13,0,0,1,2,2,1
12312,10,4,5,4,7,1,0,0,2,2,0
943,3,4,11,4,8,1,1,0,2,2,0
29484,5,7,12,2,4,0,0,1,2,2,0
41426,8,1,11,2,14,0,0,1,3,2,0
14792,6,4,11,4,8,4,1,0,0,2,0
28833,8,4,15,2,14,0,1,1,3,2,1
11070,5,4,15,2,1,5,1,0,2,2,1
7954,4,4,8,4,1,3,1,0,1,2,0
19692,5,2,9,4,10,3,0,1,1,1,0
20429,8,6,15,2,5,0,1,1,4,2,0
12172,5,4,9,4,7,1,0,1,2,4,0
9143,11,6,5,2,5,0,1,1,2,2,0
19440,4,7,15,4,4,3,1,1,0,2,0
9228,9,4,9,2,12,0,1,1,2,2,1
3910,9,4,11,0,12,4,1,0,1,2,0
43149,9,4,11,5,8,1,0,0,1,2,0
21498,6,4,2,4,3,3,0,1,2,2,0
6883,11,4,1,2,8,0,1,1,2,2,0
40092,6,6,11,2,3,0,1,1,1,2,0
14404,6,4,1,4,7,3,0,1,2,2,0
13520,4,4,11,4,8,3,0,1,2,2,0
4079,7,4,11,2,12,0,1,1,1,2,0
35466,12,6,10,6,4,1,1,0,2,2,1
22206,8,5,9,2,3,0,1,1,0,2,0
40357,7,1,15,2,1,0,1,1,2,2,1
12781,13,4,15,2,1,0,1,1,2,2,0
42715,8,7,15,2,11,0,0,1,2,2,0
4494,5,4,15,2,3,0,1,1,3,2,0
44770,13,7,11,2,4,0,1,1,2,2,1
5446,3,0,0,4,0,3,1,1,2,2,0
39459,9,4,15,0,3,1,1,1,2,2,0
944,4,4,11,2,7,0,1,1,2,2,0
5657,6,4,15,2,3,0,1,1,2,2,1
3491,6,4,15,4,1,4,1,0,2,2,0
17789,8,6,14,2,10,0,1,1,2,2,1
40681,8,2,15,2,1,0,1,1,2,2,0
25910,13,5,9,2,4,0,1,1,3,2,0
31545,6,1,9,4,10,1,1,0,2,2,0
34416,11,1,0,4,10,1,1,1,1,2,0
2368,5,4,11,4,3,3,1,1,2,2,0
45355,4,7,11,2,11,0,1,1,1,2,0
29988,5,2,9,4,10,1,1,1,2,2,0
20268,10,4,9,2,3,0,1,1,2,2,1
36637,4,4,15,4,1,3,0,0,1,2,0
24544,5,4,9,4,10,1,1,1,2,2,0
35298,3,4,15,4,1,1,1,1,1,1,0
23494,5,4,0,4,8,3,0,0,1,2,0
43660,9,4,4,2,6,0,1,1,1,2,0
13783,9,4,15,0,1,2,1,0,2,2,0
6378,9,5,14,2,10,0,1,1,3,2,1
45606,5,4,11,4,1,3,1,0,2,2,0
9236,4,4,15,4,3,1,1,1,2,2,0
35215,15,6,5,2,14,0,1,1,1,2,0
14247,10,2,9,4,10,1,1,1,2,2,0
24296,10,4,4,3,8,4,0,0,1,2,0
32991,12,5,11,2,14,0,1,1,2,2,0
31039,3,4,0,4,8,3,1,0,0,2,0
20611,5,6,9,4,10,3,1,0,2,2,0
11827,6,4,15,2,12,0,1,1,2,2,0
31325,5,2,7,4,1,3,0,0,1,2,0
13567,4,4,8,4,10,4,0,0,1,2,0
17684,7,4,15,0,4,1,1,1,2,2,0
41362,8,4,9,2,4,0,1,1,3,2,1
32781,6,4,9,2,1,0,0,1,2,0,0
11019,6,4,15,4,3,4,1,1,2,2,0
31156,4,4,6,4,6,3,1,1,1,2,0
36921,7,4,9,2,10,0,1,1,3,2,1
11631,4,4,15,4,13,1,1,0,0,2,0
3363,7,4,15,2,4,0,1,1,2,2,0
29543,4,4,11,4,8,3,1,1,2,2,0
41012,5,4,9,2,3,0,1,1,2,2,0
22912,4,2,15,4,11,3,1,1,2,2,1
19423,5,4,9,4,8,3,1,1,2,2,0
12413,5,4,9,4,8,1,0,1,2,0,0
28898,5,4,15,2,4,0,1,1,4,2,0
30972,4,4,15,4,1,1,1,0,1,2,0
22075,3,0,11,4,0,2,1,0,1,2,0
8592,7,4,11,2,8,5,1,0,1,2,0
41293,8,4,11,4,8,1,1,0,2,2,0
9829,10,5,15,0,11,1,1,1,2,2,0
20900,5,6,11,2,10,0,1,1,3,2,1
27522,4,0,15,4,0,3,1,1,1,2,0
41599,16,4,14,2,12,0,1,1,2,2,1
4810,8,4,9,0,12,1,1,1,3,2,1
43124,9,4,15,3,12,1,1,1,2,2,0
