,R,Q,A,Y
0,0.2,0,0,0
1,0.2,2,1,0
2,0.2,3,1,1
3,0.2,1,1,0
4,0.2,1,1,0
5,0.2,3,1,1
6,0.2,1,0,0
7,1.0,1,0,1
8,0.2,2,0,0
9,0.2,2,0,0
10,0.2,3,0,0
11,0.2,2,1,1
12,0.2,1,0,0
13,0.2,1,1,1
14,0.2,3,0,0
15,1.0,2,1,1
16,0.2,1,1,1
17,1.0,0,0,1
18,0.2,0,1,0
19,0.2,2,0,0
20,1.0,2,1,1
21,0.2,1,0,1
22,0.2,2,1,0
23,0.2,2,1,1
24,0.2,2,0,0
25,0.2,1,1,0
26,0.2,3,1,0
27,1.0,1,1,1
28,0.2,2,0,0
29,0.2,2,0,0
30,0.2,1,1,1
31,0.2,2,0,0
32,0.2,2,0,1
33,0.2,0,0,0
34,0.2,1,0,0
35,0.2,1,1,1
36,0.2,1,0,0
37,0.2,1,0,0
38,0.2,1,0,0
39,0.2,1,1,1
40,0.2,2,1,1
41,1.0,0,1,1
42,0.2,2,0,0
43,0.2,2,0,1
44,0.2,3,0,0
45,0.2,2,1,0
46,1.0,0,1,1
47,1.0,3,0,1
48,0.2,2,0,0
49,0.2,1,1,1
50,0.2,1,1,1
51,1.0,1,1,1
52,0.2,2,0,0
53,0.2,1,1,1
54,0.2,1,0,0
55,0.2,1,1,1
56,0.2,2,0,1
57,1.0,2,1,1
58,0.2,1,1,1
59,0.2,1,1,1
60,0.2,1,0,0
61,0.2,1,0,0
62,1.0,1,0,0
63,0.2,1,0,0
64,0.2,2,1,1
65,0.2,1,1,0
66,0.2,3,0,0
67,1.0,2,1,1
68,1.0,1,0,0
69,0.2,2,1,1
70,0.2,1,1,0
71,1.0,1,0,0
72,1.0,1,0,0
73,0.2,2,0,0
74,0.2,3,1,1
75,0.2,3,0,0
76,1.0,0,1,1
77,1.0,2,1,1
78,1.0,2,0,1
79,0.2,2,1,1
80,0.2,2,1,0
81,0.2,2,1,1
82,0.2,0,1,0
83,2.2,1,0,1
84,1.0,3,1,0
85,0.2,1,1,1
86,0.2,1,1,0
87,0.2,3,0,0
88,2.2,2,0,1
89,0.2,2,0,0
90,0.2,3,1,0
91,0.2,2,0,0
92,0.2,1,1,1
93,0.2,0,0,0
94,0.2,2,1,0
95,0.2,2,0,0
96,0.2,1,1,1
97,1.0,1,1,1
98,0.2,0,0,0
99,0.2,1,1,1
100,0.2,0,1,1
101,1.0,3,1,1
102,0.2,1,1,0
103,0.2,1,1,1
104,1.0,2,1,1
105,1.0,2,0,0
106,0.2,2,0,0
107,0.2,0,0,1
108,0.2,1,1,1
109,0.2,1,1,1
110,0.2,2,0,0
111,0.2,1,0,0
112,0.2,1,1,0
113,0.2,1,0,0
114,0.2,1,1,1
115,1.0,1,1,0
116,0.2,1,1,1
117,1.0,2,1,1
