,R,Q,A,Y
0,1.1,2,1,1
1,0.1,1,0,0
2,0.1,2,1,1
3,0.1,2,1,1
4,1.1,3,1,1
5,0.1,2,0,0
6,0.1,1,0,0
7,0.1,0,1,1
8,0.1,1,0,0
9,0.1,0,1,1
10,0.1,2,0,0
11,0.1,2,0,0
12,0.1,0,1,1
13,1.1,1,0,0
14,0.1,1,0,0
15,1.1,1,1,1
16,0.1,1,1,1
17,1.7000000000000002,1,1,1
18,1.1,1,0,0
19,0.1,2,0,0
20,0.1,2,0,0
21,0.1,2,0,0
22,0.1,1,0,0
23,0.1,0,1,1
24,0.1,1,1,1
25,0.1,1,1,0
26,1.9,1,1,1
27,0.1,2,1,1
28,0.1,1,1,1
29,0.1,0,1,1
30,0.30000000000000004,0,1,1
31,1.1,3,1,1
32,0.1,1,0,0
33,0.1,2,1,1
34,0.1,1,1,1
35,0.1,2,0,0
36,0.1,2,0,0
37,0.1,0,1,1
38,1.1,1,1,1
39,0.1,1,1,1
40,0.1,1,0,0
41,0.1,2,0,0
42,1.1,2,0,0
43,0.1,1,0,0
44,1.1,1,0,0
45,0.1,1,0,0
46,0.1,0,0,0
47,0.1,2,0,0
48,0.1,1,1,1
49,0.1,1,1,1
50,0.1,1,1,1
51,0.1,2,0,0
52,0.1,1,1,1
53,0.1,1,0,1
54,0.5,1,1,1
55,1.2999999999999998,1,1,1
56,0.1,1,1,1
57,0.1,1,1,1
58,1.1,2,0,0
59,0.1,1,1,1
60,0.1,2,1,1
61,0.1,2,1,1
62,0.1,2,1,0
63,0.1,2,1,1
64,0.1,2,1,1
65,1.1,2,1,1
66,0.1,2,1,1
67,1.1,2,0,0
68,0.1,2,0,0
69,1.1,2,0,0
70,0.1,1,1,1
71,0.1,2,1,1
72,0.1,1,1,1
73,0.1,1,0,1
74,0.1,3,1,0
75,0.1,1,0,0
76,0.1,2,0,0
77,0.1,2,0,0
78,0.1,1,1,1
79,0.1,1,1,1
80,0.1,1,0,0
81,0.1,1,0,0
82,0.1,2,1,0
83,1.1,2,0,0
84,0.1,1,0,0
85,0.1,0,1,1
86,1.1,2,1,1
87,0.1,1,0,0
88,0.1,2,1,1
89,0.1,1,0,0
90,0.1,2,0,0
91,0.1,0,0,0
92,1.1,1,0,0
93,1.1,2,1,0
94,0.1,2,0,0
95,0.1,0,0,1
96,0.1,1,0,0
97,0.7,0,0,0
98,0.1,1,0,1
99,1.1,2,0,1
100,1.1,2,0,0
101,0.1,2,0,0
102,0.1,2,0,0
103,1.1,3,1,1
104,0.1,1,0,0
105,0.1,2,1,1
106,1.1,2,1,1
107,0.1,1,1,1
108,0.1,0,1,1
109,0.1,2,1,1
110,0.1,2,0,0
111,0.1,0,0,0
112,0.1,1,0,0
113,0.1,2,1,1
114,0.1,2,0,0
115,1.1,2,1,1
116,0.1,2,0,0
117,0.1,1,1,0
118,0.1,0,0,0
119,1.1,2,1,1
120,0.1,1,1,1
121,1.1,2,1,1
122,1.1,2,1,0
123,0.1,2,1,1
124,0.1,1,0,0
125,0.1,1,1,0
126,1.1,3,1,1
127,0.1,2,0,1
128,0.1,0,1,1
129,0.1,0,1,0
130,0.1,2,0,0
131,0.1,1,1,1
132,0.1,0,0,1
133,0.1,1,1,1
134,1.7000000000000002,0,1,1
135,1.1,2,1,1
136,0.1,2,0,1
137,0.1,1,1,1
138,0.1,2,1,1
