,R,Q,A,Y
0,1.0,1,0,1
1,0.2,0,1,1
2,0.2,1,1,0
3,0.2,2,1,0
4,0.2,3,1,0
5,1.0,1,1,1
6,0.2,2,1,1
7,0.2,2,1,0
8,0.2,1,0,1
9,0.2,2,0,0
10,1.0,2,1,1
11,0.2,1,1,1
12,0.2,2,1,0
13,1.0,1,1,1
14,0.2,2,1,0
15,0.2,1,1,1
16,0.2,2,1,1
17,0.2,2,0,0
18,0.2,1,1,0
19,0.2,2,1,1
20,1.0,2,0,1
21,0.2,2,1,0
22,0.2,1,1,1
23,0.2,2,1,0
24,0.2,1,1,0
25,1.0,0,1,0
26,0.2,2,1,1
27,0.2,1,1,1
28,0.2,1,1,0
29,0.2,1,1,1
30,0.2,2,1,1
31,0.2,1,1,1
32,0.2,1,0,0
33,1.0,1,1,1
34,0.2,1,1,0
35,0.2,2,1,1
36,0.2,0,1,1
37,0.2,0,1,1
38,0.2,2,1,1
39,0.2,1,1,1
40,0.2,1,0,1
41,0.2,1,1,0
42,0.2,2,1,0
43,0.2,1,0,1
44,0.2,0,1,1
45,1.0,0,1,1
46,0.2,2,1,0
47,0.2,0,1,1
48,0.2,2,1,0
49,1.0,2,1,1
50,0.2,0,0,1
51,0.2,3,1,1
52,0.2,2,1,0
53,0.2,2,1,1
54,0.2,2,1,1
55,0.2,1,1,1
56,0.2,2,1,0
57,0.2,1,1,0
58,0.2,1,1,0
59,0.2,1,1,0
60,1.0,2,1,1
61,0.2,1,1,0
62,1.0,1,1,1
63,0.2,0,1,1
64,0.2,0,1,0
65,1.0,1,1,1
66,0.2,3,1,0
67,0.2,3,1,0
68,0.2,2,1,0
69,0.2,1,0,0
70,0.2,1,0,1
71,0.2,2,1,0
72,0.2,0,1,1
73,0.2,3,1,0
74,0.2,3,1,0
75,0.2,3,0,0
76,0.2,3,1,0
77,0.2,1,0,0
78,1.0,1,1,1
79,0.2,2,1,0
80,0.2,2,1,0
81,1.0,1,0,0
82,0.2,3,1,0
83,2.2,2,1,0
84,0.2,1,1,1
85,0.2,3,1,0
86,1.0,1,1,1
87,0.2,2,1,0
88,0.2,1,0,1
89,0.2,2,1,0
90,0.2,1,1,0
91,0.2,3,0,1
92,0.2,3,0,1
93,0.2,1,1,1
94,0.2,2,1,0
95,1.0,1,1,1
96,1.0,1,1,1
97,0.2,2,1,1
98,0.2,2,1,0
99,0.2,2,1,0
100,3.8,0,1,1
101,1.0,1,1,1
102,0.2,1,1,0
103,0.2,2,1,0
104,0.2,2,1,1
105,0.2,1,0,0
106,0.2,2,1,0
107,0.2,1,1,1
