,R,Q,A,Y
16132,2,2,1,1
17553,1,2,1,1
12783,0,2,1,0
13336,0,2,1,0
1394,3,1,1,1
241,0,3,1,0
2693,0,1,1,1
10375,1,2,1,1
10563,0,2,1,0
4530,0,1,1,0
10088,1,1,1,1
15795,0,1,1,0
12960,0,2,1,0
221,0,2,1,0
16559,1,2,1,1
8618,0,1,1,0
13015,0,2,1,0
16588,1,1,1,1
9459,0,3,1,0
4598,0,2,0,1
1557,0,0,0,1
6440,0,1,1,0
5831,0,2,1,1
17651,2,2,1,1
7030,0,1,1,0
4886,0,2,0,0
16444,0,2,1,0
7219,0,2,1,1
10196,2,1,1,1
11265,1,1,1,1
3755,0,1,0,1
425,0,1,1,0
5719,0,3,0,0
1504,1,1,0,1
14613,0,0,1,1
769,1,0,0,1
5408,0,2,0,0
2122,1,2,1,1
10550,1,2,1,1
1239,0,2,0,0
10990,0,1,1,0
4381,1,1,0,1
1402,0,1,1,0
4994,1,1,0,1
10067,2,1,1,1
2892,0,2,1,0
6208,0,2,1,1
2934,0,2,1,1
11023,0,2,1,0
17642,0,1,1,0
6787,0,3,1,0
15530,0,3,1,0
3346,0,1,1,0
11263,0,2,1,0
8987,0,2,1,0
6416,0,2,1,1
8861,0,2,1,0
16271,0,1,1,0
15143,0,1,1,0
2434,0,1,0,0
10641,0,1,1,1
325,0,1,1,0
7235,0,1,1,0
1024,0,3,1,1
2046,1,2,0,1
12457,0,2,1,0
11021,0,0,1,1
5913,2,3,1,1
16004,0,3,1,0
8306,0,1,1,1
2781,1,3,0,0
14628,0,2,1,1
1064,0,0,1,0
13582,0,1,1,0
7764,0,0,1,1
242,1,1,1,1
3463,0,2,1,0
3606,1,2,0,0
419,0,2,0,0
17415,0,1,1,1
6216,0,0,1,1
691,0,2,0,1
982,0,2,0,1
4148,1,0,0,1
10215,1,0,1,1
12926,1,1,1,0
3577,0,2,0,0
1461,1,3,1,0
11571,0,3,1,0
11353,0,1,1,1
6557,2,1,1,1
1672,1,1,1,1
8031,0,2,1,1
3699,0,2,1,0
12498,0,2,1,1
3097,0,0,0,1
12495,0,2,1,0
15704,0,0,1,0
9983,0,3,1,1
12677,1,2,1,1
4169,0,1,1,0
1007,0,2,1,1
6610,1,0,1,1
4014,0,1,1,0
10688,0,1,1,0
4973,0,1,1,1
99,1,1,0,1
15176,0,1,1,0
16288,0,1,1,0
10905,1,2,1,1
11897,2,1,1,1
2662,0,2,1,0
9007,0,0,1,0
4047,0,0,1,1
5376,0,1,0,1
9142,1,2,1,1
8574,0,0,1,1
8694,0,0,1,0
11466,0,2,1,0
1756,0,1,0,0
7435,0,1,1,1
9402,0,2,1,1
4978,0,2,0,0
9528,0,2,1,0
7787,0,2,1,0
15879,0,3,1,0
13215,1,3,1,1
7737,0,2,1,1
17737,0,2,1,0
13084,0,2,1,0
15225,0,3,1,0
12763,0,3,1,0
10037,0,1,1,1
10138,0,1,1,1
11904,0,2,1,1
5153,1,2,0,1
8770,0,2,1,0
6065,0,2,1,1
4101,0,1,0,1
6875,1,3,1,0
4669,0,0,1,0
7346,0,1,1,0
6110,2,1,1,1
6254,0,1,1,0
8387,0,2,1,0
3262,0,2,1,0
5649,0,0,0,0
606,1,2,1,1
10192,0,0,1,1
6017,1,2,1,1
4633,0,2,0,0
16212,1,2,1,1
3704,0,3,1,1
17453,0,2,1,0
3576,0,3,0,0
13946,0,0,1,0
