,R,Q,A,Y
0,1.2000000000000002,2,1,1
1,0.4,1,0,1
2,0.4,2,0,0
3,1.2000000000000002,2,1,1
4,0.4,2,0,0
5,1.2000000000000002,1,1,1
6,1.2000000000000002,1,1,1
7,0.4,1,0,1
8,1.2000000000000002,3,1,0
9,1.2000000000000002,3,1,1
10,1.2000000000000002,1,1,1
11,1.2000000000000002,2,1,0
12,0.4,2,0,0
13,0.4,1,0,1
14,0.4,2,0,1
15,1.2000000000000002,1,1,1
16,0.4,2,0,0
17,0.4,2,0,1
18,1.2000000000000002,2,1,0
19,1.2000000000000002,1,1,1
20,0.4,1,0,0
21,2.0,2,1,1
22,1.2000000000000002,2,1,0
23,1.2000000000000002,2,1,0
24,2.0,1,1,1
25,1.2000000000000002,2,1,1
26,1.2000000000000002,1,1,1
27,0.4,2,0,0
28,1.2000000000000002,0,1,1
29,0.4,1,0,1
30,0.4,1,0,0
31,1.2000000000000002,1,1,1
32,1.2000000000000002,0,1,1
33,0.4,1,0,0
34,2.0,2,1,0
35,0.4,1,0,1
36,1.2000000000000002,2,0,0
37,0.4,3,0,0
38,1.2000000000000002,1,0,1
39,1.2000000000000002,2,0,1
40,1.2000000000000002,0,1,1
41,1.2000000000000002,3,1,1
42,2.0,3,1,1
43,0.4,0,0,0
44,1.2000000000000002,2,1,1
45,1.2000000000000002,0,1,0
46,0.4,1,0,0
47,1.2000000000000002,1,1,1
48,0.4,3,0,0
49,1.2000000000000002,0,1,1
50,0.4,1,0,0
51,1.2000000000000002,2,1,0
52,0.4,3,0,0
53,0.4,2,0,0
54,0.4,1,0,0
55,1.2000000000000002,1,1,0
56,0.4,0,0,0
57,0.4,1,0,0
58,1.2000000000000002,1,1,0
59,1.2000000000000002,1,1,1
60,1.2000000000000002,1,1,1
61,2.0,2,1,1
62,1.2000000000000002,0,1,1
63,2.0,1,1,1
64,0.4,1,0,0
65,2.0,3,1,1
66,0.4,1,0,0
67,0.4,0,0,1
68,0.4,1,0,0
69,1.2000000000000002,2,1,1
70,0.4,2,0,0
71,1.2000000000000002,1,0,1
72,1.2000000000000002,1,1,1
73,0.4,2,0,0
74,0.4,1,0,0
75,1.2000000000000002,3,1,0
76,0.4,1,0,0
77,1.2000000000000002,2,0,1
78,0.4,1,0,0
79,0.4,2,0,0
80,1.2000000000000002,2,1,1
81,1.2000000000000002,1,1,1
82,0.4,2,0,0
83,0.4,3,0,0
84,0.4,0,0,0
85,0.4,1,0,0
86,0.4,2,0,0
87,1.2000000000000002,2,1,0
88,1.2000000000000002,2,1,1
89,0.4,2,0,0
90,1.2000000000000002,3,0,1
91,1.2000000000000002,2,1,0
92,1.2000000000000002,1,1,1
93,0.4,0,0,0
94,0.4,1,0,0
95,0.4,1,0,0
96,0.4,1,0,0
97,1.2000000000000002,2,1,1
98,0.4,1,0,0
99,0.4,0,0,1
100,1.2000000000000002,3,1,1
101,0.4,1,0,0
102,1.2000000000000002,1,1,1
103,0.4,1,0,0
104,1.2000000000000002,1,1,0
105,0.4,1,0,0
106,0.4,1,0,0
107,1.2000000000000002,2,1,0
108,1.2000000000000002,1,1,1
109,0.4,3,0,0
110,0.4,2,0,0
111,0.4,0,0,1
112,0.4,0,0,1
113,0.4,2,0,0
114,1.2000000000000002,1,1,1
115,0.4,2,0,0
116,1.2000000000000002,1,1,1
117,1.2000000000000002,2,1,1
118,0.4,1,0,0
119,1.2000000000000002,3,0,0
120,1.2000000000000002,2,0,0
121,0.4,2,0,0
122,1.2000000000000002,1,0,0
123,0.4,2,0,0
124,0.4,0,0,1
125,1.2000000000000002,3,1,0
126,1.2000000000000002,2,0,1
127,1.2000000000000002,2,1,0
128,0.4,1,0,0
129,2.0,1,1,1
130,1.2000000000000002,0,1,0
131,1.2000000000000002,1,1,1
132,1.2000000000000002,2,1,0
133,0.4,3,0,0
134,0.4,3,0,0
135,1.2000000000000002,0,1,1
136,2.0,0,1,1
137,2.0,2,1,1
138,1.2000000000000002,2,0,0
139,1.2000000000000002,1,1,1
140,1.2000000000000002,3,1,1
141,0.4,1,0,0
142,0.4,3,0,0
143,1.2000000000000002,2,1,1
144,0.4,2,0,0
145,2.0,1,1,1
146,0.4,1,0,0
147,1.2000000000000002,2,1,0
148,1.2000000000000002,2,1,0
149,0.4,2,0,0
150,0.4,0,0,0
151,0.4,0,0,0
152,0.4,3,0,0
153,1.2000000000000002,2,1,1
154,0.4,0,0,0
155,0.4,2,0,0
156,0.4,1,0,0
157,1.2000000000000002,1,1,1
158,0.4,1,0,0
159,1.2000000000000002,3,1,0
160,1.2000000000000002,2,1,1
161,0.4,3,0,0
162,0.4,1,0,0
163,1.2000000000000002,1,0,1
164,1.2000000000000002,1,1,1
165,0.4,2,0,0
166,1.2000000000000002,1,1,1
167,1.2000000000000002,1,0,0
168,0.4,1,0,0
169,1.2000000000000002,1,1,1
170,1.2000000000000002,1,1,0
171,0.4,3,0,0
172,0.4,0,0,0
173,1.2000000000000002,2,1,1
174,1.2000000000000002,2,1,0
175,1.2000000000000002,1,1,1
176,0.4,1,0,1
177,1.2000000000000002,1,1,1
178,0.4,0,0,0
179,0.4,3,0,1
180,1.2000000000000002,1,1,1
181,1.2000000000000002,2,1,0
182,1.2000000000000002,2,1,1
183,0.4,1,0,0
184,0.4,0,0,1
185,1.2000000000000002,3,1,1
186,0.4,0,0,1
187,0.4,2,0,0
188,1.2000000000000002,0,1,1
189,0.4,1,0,0
190,0.4,2,0,0
191,0.4,1,0,0
192,0.4,1,0,0
193,0.4,0,0,1
194,0.4,2,0,0
195,0.4,2,0,0
196,1.2000000000000002,2,0,1
197,1.2000000000000002,2,1,0
198,1.2000000000000002,1,1,1
199,2.0,0,1,1
200,1.2000000000000002,1,1,0
201,0.4,1,0,1
202,1.2000000000000002,1,1,1
203,1.2000000000000002,2,1,1
204,1.2000000000000002,3,1,1
205,0.4,3,0,0
206,1.2000000000000002,1,1,1
207,1.2000000000000002,1,1,1
208,2.0,1,1,1
209,0.4,1,0,0
210,1.2000000000000002,0,0,1
211,0.4,2,0,1
212,0.4,1,0,0
213,0.4,0,0,1
214,1.2000000000000002,2,1,1
215,1.2000000000000002,0,1,1
216,1.2000000000000002,3,1,0
217,0.4,0,0,0
218,1.2000000000000002,1,0,1
219,0.4,1,0,0
220,2.0,1,1,1
221,0.4,1,0,0
222,0.4,1,0,0
223,2.0,3,1,1
224,1.2000000000000002,1,1,1
225,1.2000000000000002,3,1,0
226,1.2000000000000002,2,1,1
227,1.2000000000000002,0,1,1
228,1.2000000000000002,2,0,0
229,1.2000000000000002,0,1,1
230,1.2000000000000002,0,1,1
231,1.2000000000000002,0,1,1
232,0.4,2,0,0
233,1.2000000000000002,0,1,0
234,2.0,3,1,1
235,0.4,0,0,0
236,0.4,2,0,0
237,0.4,2,0,0
238,0.4,1,0,1
239,1.2000000000000002,1,1,0
240,1.2000000000000002,2,1,1
241,2.0,3,1,1
242,0.4,1,0,0
243,1.2000000000000002,1,1,0
244,2.8,2,1,1
245,0.4,0,0,0
246,1.2000000000000002,2,1,1
247,2.0,3,1,1
248,1.2000000000000002,3,1,1
249,0.4,1,0,0
250,1.2000000000000002,1,1,0
251,0.4,0,0,0
252,0.4,2,0,0
253,0.4,0,0,0
254,1.2000000000000002,1,1,1
255,1.2000000000000002,0,1,1
256,1.2000000000000002,2,0,1
257,1.2000000000000002,0,1,0
258,0.4,2,0,0
259,1.2000000000000002,1,1,0
260,0.4,3,0,0
261,0.4,1,0,0
262,1.2000000000000002,3,1,1
263,2.0,2,1,1
264,1.2000000000000002,0,1,1
265,1.2000000000000002,1,1,0
266,0.4,2,0,0
267,1.2000000000000002,1,0,1
268,0.4,1,0,0
269,0.4,1,0,0
270,1.2000000000000002,1,1,1
271,2.8,1,1,1
272,1.2000000000000002,1,1,1
273,1.2000000000000002,2,1,0
274,1.2000000000000002,2,1,0
275,2.0,1,1,1
276,0.4,3,0,0
277,0.4,1,0,0
278,1.2000000000000002,1,1,1
279,0.4,2,0,0
280,0.4,0,0,0
281,1.2000000000000002,2,1,1
282,1.2000000000000002,2,1,1
283,0.4,1,0,0
284,0.4,1,0,1
285,1.2000000000000002,2,1,1
286,1.2000000000000002,1,1,0
287,0.4,2,0,0
288,0.4,1,0,0
289,0.4,1,0,0
290,0.4,3,0,0
291,0.4,3,0,0
292,1.2000000000000002,3,1,1
293,1.2000000000000002,1,1,1
294,0.4,2,0,0
295,0.4,2,0,0
296,2.0,2,1,1
297,1.2000000000000002,2,1,1
298,0.4,1,0,0
299,1.2000000000000002,2,1,0
300,0.4,1,0,0
301,0.4,0,0,0
302,0.4,0,0,0
303,1.2000000000000002,2,1,1
304,1.2000000000000002,1,1,1
305,0.4,1,0,0
306,1.2000000000000002,1,1,1
307,0.4,3,0,0
308,0.4,1,0,0
309,1.2000000000000002,1,1,1
310,1.2000000000000002,1,1,1
311,1.2000000000000002,2,1,0
312,1.2000000000000002,2,1,1
313,1.2000000000000002,3,1,0
314,0.4,1,0,0
315,4.4,2,1,1
316,0.4,1,0,0
317,0.4,1,0,0
318,0.4,1,0,1
319,2.0,2,1,1
320,1.2000000000000002,1,0,1
321,1.2000000000000002,2,1,1
322,0.4,0,0,1
323,0.4,2,0,0
324,0.4,2,0,0
325,0.4,1,0,0
326,1.2000000000000002,0,1,1
327,1.2000000000000002,2,1,1
328,0.4,2,0,0
329,0.4,3,0,0
330,2.0,1,1,1
331,0.4,0,0,0
332,0.4,1,0,0
333,0.4,1,0,0
334,1.2000000000000002,1,1,1
335,0.4,1,0,0
336,2.0,0,1,1
337,0.4,1,0,0
338,0.4,2,0,1
339,0.4,2,0,0
340,1.2000000000000002,2,0,0
341,2.0,1,1,1
342,0.4,2,0,0
343,0.4,1,0,0
344,1.2000000000000002,2,0,1
345,1.2000000000000002,3,1,0
346,1.2000000000000002,1,1,0
347,1.2000000000000002,2,1,1
348,0.4,2,0,0
349,1.2000000000000002,1,1,1
350,2.0,1,1,1
351,1.2000000000000002,2,0,1
352,0.4,3,0,1
353,0.4,2,0,0
354,1.2000000000000002,1,1,0
355,0.4,1,0,0
356,1.2000000000000002,1,1,1
357,0.4,3,0,0
358,0.4,1,0,0
359,0.4,2,0,1
360,0.4,1,0,0
361,1.2000000000000002,1,1,1
362,1.2000000000000002,1,1,0
363,1.2000000000000002,2,0,1
364,2.0,1,1,1
365,1.2000000000000002,2,1,1
366,1.2000000000000002,2,0,0
367,1.2000000000000002,2,0,1
368,1.2000000000000002,1,1,1
369,1.2000000000000002,3,1,0
370,2.0,2,1,0
371,0.4,1,0,0
372,0.4,1,0,0
373,0.4,2,0,0
374,1.2000000000000002,1,0,1
375,0.4,1,0,0
376,0.4,2,0,0
377,0.4,1,0,1
378,0.4,2,0,0
379,1.2000000000000002,2,1,1
380,0.4,0,0,0
381,0.4,0,0,0
382,0.4,3,0,0
383,1.2000000000000002,3,1,0
384,0.4,1,0,0
385,1.2000000000000002,2,0,1
386,0.4,1,0,0
387,1.2000000000000002,1,0,1
388,0.4,1,0,0
389,1.2000000000000002,0,1,1
390,1.2000000000000002,1,1,1
391,0.4,1,0,0
392,0.4,1,0,0
393,1.2000000000000002,2,1,1
394,1.2000000000000002,1,1,1
395,0.4,1,0,0
396,2.0,2,1,1
397,2.0,1,1,0
398,0.4,1,0,0
399,2.0,2,1,1
400,0.4,1,0,0
401,1.2000000000000002,2,1,1
402,1.2000000000000002,2,0,1
403,1.2000000000000002,1,1,1
404,1.2000000000000002,0,1,0
405,0.4,1,0,0
406,1.2000000000000002,2,1,1
407,1.2000000000000002,1,1,1
408,1.2000000000000002,3,1,1
409,0.4,2,0,0
410,1.2000000000000002,2,1,1
411,0.4,1,0,0
412,0.4,1,0,0
413,1.2000000000000002,2,0,1
414,0.4,2,0,0
415,1.2000000000000002,1,1,1
416,1.2000000000000002,2,1,1
417,0.4,2,0,0
418,1.2000000000000002,3,1,1
419,1.2000000000000002,2,1,0
420,1.2000000000000002,3,1,1
421,1.2000000000000002,2,1,1
422,0.4,1,0,0
423,1.2000000000000002,1,1,1
424,1.2000000000000002,0,1,1
425,1.2000000000000002,3,0,0
426,1.2000000000000002,2,1,0
427,1.2000000000000002,2,1,0
428,0.4,2,0,0
429,0.4,1,0,0
430,0.4,2,0,0
431,1.2000000000000002,0,1,1
432,0.4,2,0,1
433,1.2000000000000002,3,1,0
434,0.4,3,0,0
435,0.4,0,0,0
436,2.0,2,1,1
437,0.4,2,0,0
438,1.2000000000000002,0,1,1
439,1.2000000000000002,1,1,0
440,0.4,1,0,0
441,0.4,0,0,0
442,1.2000000000000002,2,1,1
