,R,Q,A,Y
7254,0,3,0,0
22047,2,0,1,1
17571,0,3,0,0
17941,2,0,1,1
11672,1,0,1,0
16058,1,0,0,1
25631,1,0,1,1
2572,0,3,0,0
24123,0,3,0,0
22561,2,0,1,1
20353,0,3,0,0
17665,1,0,0,1
3216,1,0,1,0
6797,1,0,1,1
8625,0,3,0,0
9565,0,3,0,0
1739,1,0,1,1
912,1,0,1,1
17538,0,3,0,0
18642,0,3,0,1
9760,0,3,0,0
23109,1,0,1,1
5145,0,3,0,0
4217,1,0,1,1
28103,2,0,1,1
19659,0,3,0,0
16119,0,3,0,0
11473,1,0,1,1
22403,0,3,0,0
28825,0,3,0,0
3797,1,0,1,1
16053,1,0,1,0
9525,1,0,1,1
24189,1,0,1,1
19726,2,0,1,1
10462,1,0,1,1
9338,0,3,0,0
14145,2,0,1,1
16195,1,0,1,1
25757,1,0,1,1
20032,0,3,0,1
20005,1,0,1,1
6478,0,3,0,0
5477,1,0,1,1
12631,2,0,1,1
8973,0,3,0,0
11710,0,3,0,0
15920,0,3,0,1
26557,0,3,0,0
13430,2,0,1,1
16228,0,3,0,0
23895,2,0,1,1
14192,0,3,0,0
10459,2,0,1,1
1803,0,3,0,0
6509,1,0,1,1
223,0,3,0,0
667,0,3,0,0
10309,0,3,0,0
19302,1,0,1,1
23021,1,0,1,1
24145,0,3,0,0
915,2,0,1,1
15001,1,0,1,1
25617,1,0,1,1
2987,1,0,1,0
24140,0,3,0,0
27854,0,3,0,0
14137,1,0,1,1
20401,1,0,1,1
2512,0,3,0,0
16163,1,0,1,1
16538,2,0,1,1
25443,0,3,0,0
13724,1,0,1,1
4074,0,3,0,0
640,1,0,0,0
12399,0,3,0,0
14746,1,0,0,1
27324,0,3,0,0
16526,0,3,0,0
19633,0,3,0,0
7285,1,0,1,1
15765,1,0,1,1
13953,0,3,0,0
5903,2,0,1,1
19806,1,0,1,0
9996,1,0,1,1
28188,3,0,1,1
2516,1,0,1,1
20550,1,0,0,1
29725,0,3,0,0
13811,1,0,1,0
16437,2,0,1,1
12915,1,0,1,1
16333,1,0,1,0
11976,0,3,0,0
6461,2,0,1,1
14986,0,3,0,0
17129,0,3,0,0
3893,1,0,1,0
15284,1,0,0,1
