,R,Q,A,Y
0,0.2,3,0,0
1,1.0,0,1,1
2,1.0,0,0,1
3,0.2,3,0,0
4,0.2,3,0,0
5,1.0,0,1,1
6,1.0,0,0,1
7,1.0,0,1,1
8,2.2,0,1,1
9,1.0,0,0,1
10,2.2,0,1,1
11,1.0,0,1,1
12,0.2,3,0,0
13,0.2,3,0,0
14,2.2,0,1,1
15,1.0,0,1,1
16,0.2,3,0,0
17,2.2,0,1,1
18,1.0,0,0,0
19,2.2,0,1,1
20,0.2,3,0,0
21,0.2,3,0,0
22,2.2,0,1,1
23,2.2,0,1,1
24,0.2,3,0,0
25,1.0,0,1,1
26,0.2,3,0,0
27,0.2,3,0,0
28,1.0,0,1,1
29,0.2,3,0,0
30,1.0,0,1,1
31,1.0,0,1,1
32,0.2,3,0,0
33,1.0,0,1,1
34,0.2,3,0,0
35,0.2,3,0,0
36,2.2,0,0,1
37,0.2,3,0,0
38,1.0,0,1,1
39,1.0,0,1,1
40,1.0,0,1,1
41,0.2,3,0,0
42,0.2,3,0,0
43,0.2,3,0,0
44,1.0,0,1,1
45,0.2,3,0,0
46,1.0,0,1,1
47,0.2,3,0,0
48,1.0,0,1,1
49,1.0,0,1,1
50,0.2,3,0,0
51,1.0,0,1,1
52,1.0,0,1,0
53,1.0,0,1,0
54,1.0,0,1,1
55,2.2,0,1,1
56,1.0,0,1,1
57,1.0,2,1,1
58,1.0,0,1,1
59,0.2,3,0,0
60,2.2,0,1,1
61,1.0,0,1,1
62,1.0,0,0,1
63,0.2,3,0,0
64,0.2,3,0,0
65,0.2,3,0,0
66,0.2,3,0,0
67,0.2,3,0,0
68,1.0,0,1,1
69,1.0,0,1,1
70,0.2,3,0,0
71,1.0,0,1,1
72,1.0,0,1,1
73,0.2,3,0,0
74,1.0,0,0,1
75,2.2,0,1,1
76,0.2,3,0,0
77,1.0,0,1,1
78,1.0,0,1,1
79,2.2,0,1,1
80,0.2,3,0,0
81,0.2,3,0,0
82,1.0,0,1,1
83,1.0,0,1,1
84,0.2,3,0,0
85,1.0,0,1,1
86,1.0,0,0,0
87,0.2,3,0,0
88,2.2,0,1,1
89,2.2,0,0,1
90,0.2,3,0,0
91,0.2,3,0,0
92,0.2,3,0,0
93,1.0,0,1,1
94,1.0,0,1,0
95,1.0,0,1,1
96,3.0,0,1,1
97,1.0,0,1,0
98,0.2,3,0,0
99,1.0,0,1,1
100,1.0,0,1,1
101,1.0,0,1,0
102,0.2,3,0,0
103,1.0,0,1,1
104,0.2,3,0,0
105,1.0,0,1,1
106,0.2,3,0,0
107,1.0,0,1,1
108,1.0,0,1,1
109,1.0,0,1,1
110,0.2,3,0,0
111,0.2,3,0,0
112,0.2,3,0,0
113,0.2,3,0,0
114,1.0,0,1,1
115,1.0,0,1,1
116,1.0,0,1,1
117,0.2,3,0,0
118,1.0,0,1,1
119,2.2,0,1,1
120,0.2,3,0,0
121,0.2,3,0,1
122,0.2,3,0,0
123,0.2,3,0,0
124,0.2,3,0,1
125,1.0,0,0,0
126,0.2,3,0,0
127,0.2,3,0,0
128,1.0,0,1,1
129,0.2,3,0,0
130,1.0,0,1,1
131,1.0,1,0,1
132,1.0,0,1,0
133,0.2,3,0,0
134,1.0,0,1,1
135,2.2,0,0,1
136,0.2,3,0,0
137,0.2,3,0,0
138,0.2,3,0,0
139,1.0,0,1,1
140,0.2,3,0,0
141,0.2,3,0,0
142,1.0,0,1,1
143,1.0,0,1,1
144,1.0,0,1,0
145,1.0,0,1,1
146,1.0,2,0,0
147,0.2,3,0,0
148,1.0,0,0,1
149,0.2,3,0,0
150,0.2,3,0,0
151,1.0,0,1,1
152,1.0,0,1,1
153,0.2,3,0,0
154,1.0,0,1,1
155,0.2,3,0,0
156,1.0,0,1,1
157,1.0,0,1,1
158,1.0,0,1,1
159,0.2,3,0,0
160,2.2,0,1,1
161,1.0,0,1,0
162,0.2,3,0,0
163,0.2,3,0,0
164,1.0,0,1,1
165,1.0,0,1,0
166,0.2,3,0,0
167,0.2,3,0,0
168,1.0,0,1,1
169,1.0,3,0,0
170,0.2,3,0,0
171,0.2,3,0,0
172,0.2,3,0,1
173,1.0,0,1,1
174,2.2,0,1,1
175,0.2,3,0,0
176,1.0,0,1,1
177,0.2,3,0,0
178,0.2,3,0,0
179,0.2,3,0,0
180,3.0,0,1,1
181,1.0,0,1,1
182,1.0,0,1,1
183,0.2,3,0,0
184,0.2,3,0,0
185,1.0,0,1,0
186,1.0,0,1,1
187,0.2,3,0,0
188,1.0,0,0,1
189,1.0,0,1,1
190,1.0,0,1,1
191,0.2,3,0,0
192,0.2,3,0,0
193,1.0,0,1,1
194,1.0,0,1,1
195,1.0,0,1,1
196,1.0,0,1,1
197,0.2,3,0,0
198,2.2,0,1,1
199,0.2,3,0,0
200,1.0,0,0,1
201,1.0,0,1,1
202,1.0,0,0,1
203,0.2,3,0,0
204,1.0,0,1,1
205,1.0,0,1,1
206,1.0,0,1,1
207,0.2,3,0,0
208,1.0,0,1,1
209,0.2,3,0,0
210,2.2,0,1,1
211,1.0,0,1,1
212,0.2,3,0,0
213,1.0,0,1,1
214,1.0,0,1,1
215,1.0,0,1,1
216,1.0,0,1,0
217,0.2,3,0,0
218,0.2,3,0,0
219,1.0,0,1,1
220,0.2,3,0,0
221,2.2,0,1,1
222,0.2,3,0,1
223,0.2,3,0,0
224,1.0,0,0,1
225,1.0,0,1,1
226,0.2,3,0,0
227,1.0,0,1,1
228,1.0,0,1,1
229,0.2,3,0,0
230,0.2,3,0,0
231,1.0,0,1,1
232,0.2,3,0,0
233,2.2,0,1,1
234,1.0,0,1,1
235,2.2,0,1,1
236,1.0,0,0,1
237,1.0,0,1,1
238,0.2,3,0,0
239,0.2,3,0,0
240,0.2,3,0,0
241,0.2,3,0,0
242,1.0,0,1,1
243,1.0,0,1,1
244,2.2,0,1,1
245,1.0,0,1,1
246,2.2,0,1,1
247,1.0,0,1,1
248,0.2,3,0,0
249,2.2,0,1,0
250,2.2,0,1,1
251,0.2,3,0,0
252,0.2,3,0,0
253,1.0,0,1,1
254,0.2,3,0,0
255,0.2,3,0,0
256,0.2,3,0,0
257,1.0,0,1,1
258,0.2,3,0,0
259,1.0,0,1,1
260,0.2,3,0,0
261,1.0,0,1,1
262,2.2,0,0,1
263,1.0,0,1,1
264,1.0,0,1,1
265,1.0,0,1,1
266,1.0,0,1,1
267,1.0,0,1,1
268,0.2,3,0,0
269,1.0,0,1,1
270,0.2,3,0,0
271,2.2,0,1,1
272,2.2,0,1,1
273,0.2,3,0,0
274,1.0,0,0,1
275,0.2,3,0,0
276,1.0,0,1,1
277,0.2,3,0,0
278,2.2,0,1,1
279,1.0,0,1,1
280,0.2,3,0,0
281,2.2,0,1,1
282,1.0,0,1,1
283,1.0,0,1,1
284,1.0,0,1,1
285,0.2,3,0,0
286,0.2,3,0,0
287,2.2,0,1,1
288,1.0,0,0,1
289,0.2,3,0,0
290,0.2,3,0,0
291,2.2,0,1,1
292,2.2,0,1,1
293,1.0,0,1,0
294,0.2,3,0,0
295,0.2,3,0,0
296,1.0,0,0,1
297,1.0,0,1,1
298,1.0,0,1,1
299,1.0,0,0,1
300,1.0,0,1,1
301,1.0,0,1,1
302,1.0,1,0,1
303,0.2,3,0,0
304,0.2,3,0,0
305,0.2,3,0,0
306,0.2,3,0,0
307,2.2,0,1,1
308,2.2,0,1,1
309,0.2,3,0,0
310,0.2,3,0,0
311,1.0,0,1,1
312,1.0,0,1,1
313,1.0,0,1,1
314,1.0,0,1,1
315,1.0,0,1,1
