,R,Q,A,Y
0,0.2,1,0,0
1,0.2,1,0,0
2,1.0,2,0,0
3,1.0,1,1,1
4,1.0,1,1,1
5,0.2,3,1,1
6,0.2,0,0,1
7,0.2,1,0,0
8,0.2,0,0,0
9,0.2,0,1,1
10,0.2,0,1,1
11,0.2,2,1,1
12,1.4,2,1,1
13,1.0,1,1,1
14,0.2,1,0,1
15,0.2,0,1,0
16,0.2,1,1,0
17,0.2,0,0,0
18,0.2,0,0,0
19,0.2,1,0,1
20,0.2,3,1,1
21,0.2,2,1,1
22,0.2,1,1,1
23,1.0,0,1,1
24,0.2,3,0,0
25,0.2,0,0,0
26,0.2,3,0,0
27,0.2,3,0,0
28,0.2,1,0,0
29,0.2,2,1,1
30,0.2,2,0,0
31,0.2,1,1,1
32,0.2,1,0,0
33,1.0,0,1,1
34,0.2,3,0,0
35,0.2,2,1,0
36,0.2,2,1,0
37,0.2,2,0,0
38,0.2,2,0,0
39,2.2,2,1,1
40,0.2,1,0,0
41,0.2,3,0,0
42,0.2,2,1,0
43,0.2,1,1,1
44,0.2,1,0,0
45,0.2,1,0,0
46,1.0,1,0,0
47,0.2,3,0,0
48,0.2,1,0,1
49,0.2,1,1,1
50,1.0,0,0,1
51,0.2,3,1,0
52,0.2,2,1,1
53,0.2,2,1,1
54,0.2,1,1,1
55,0.2,1,0,0
56,0.2,2,0,0
57,0.2,1,0,0
58,0.2,2,0,0
59,0.2,1,0,0
60,0.2,1,0,0
61,0.2,1,0,0
62,0.2,2,1,1
63,0.2,1,0,1
64,0.2,2,0,0
65,2.2,1,1,1
66,0.2,2,1,1
67,0.2,1,1,1
68,1.0,1,1,1
69,0.2,1,1,1
70,0.2,0,0,1
71,0.2,2,1,0
72,0.2,2,1,1
73,0.2,1,0,0
74,0.2,1,0,1
75,0.2,2,0,0
76,0.2,2,1,0
77,0.2,1,0,0
78,0.2,2,0,0
79,0.2,2,1,1
80,0.2,2,1,1
81,0.2,2,0,0
82,0.2,2,1,1
83,0.2,2,1,1
84,0.2,3,0,0
85,0.2,1,0,0
86,0.2,3,0,0
87,1.0,1,1,1
88,0.2,2,0,0
89,1.0,1,0,1
90,0.2,1,0,0
91,2.2,1,1,1
92,0.2,1,1,1
93,0.2,2,1,0
94,1.0,1,1,1
95,0.2,2,0,0
96,0.2,2,1,1
97,1.0,2,0,0
98,0.2,0,0,1
99,0.2,3,0,0
100,1.0,1,1,1
101,1.0,1,1,1
102,1.0,2,1,1
103,1.0,2,1,0
104,0.2,3,1,1
105,0.2,0,0,0
106,1.0,1,1,1
107,0.2,3,1,1
108,0.2,2,1,1
109,0.2,1,1,1
110,0.2,3,0,0
111,0.2,1,0,0
112,0.2,1,1,1
113,0.2,1,1,1
114,0.2,1,0,0
115,0.2,2,1,1
116,1.0,2,0,0
117,0.2,1,0,0
