,R,Q,A,Y
11590,0,1,0,0
16276,2,1,1,1
28236,1,1,1,1
6852,0,1,1,1
28999,0,2,1,1
28252,0,1,0,0
29607,0,2,1,1
27300,0,1,1,1
5766,0,2,1,1
16383,0,2,0,0
27227,0,1,1,0
19821,0,1,0,0
26811,0,2,0,0
26359,0,2,0,0
26985,0,2,1,1
1401,0,3,1,0
10165,0,0,1,1
25740,0,2,0,0
18404,0,1,0,0
1728,0,1,0,0
26441,0,1,0,0
25384,0,0,1,1
15994,2,0,1,1
6087,1,1,0,1
9229,1,2,1,1
12775,0,1,0,0
23202,1,3,0,0
3768,0,1,0,0
17380,1,2,0,0
20025,0,3,1,1
15099,0,2,0,0
19219,0,1,1,1
11024,0,1,1,1
8847,0,2,0,0
7399,0,2,1,1
25957,0,2,0,0
27060,0,3,0,0
5079,1,1,1,1
27659,0,2,1,1
22468,0,1,0,0
4153,0,0,1,0
27513,1,0,0,1
2498,1,1,0,0
29314,1,1,1,1
15534,0,2,0,0
5403,0,2,0,0
13139,1,2,0,0
7996,0,2,0,0
6788,0,0,0,0
28188,2,3,1,1
26519,0,3,0,0
5708,0,1,0,0
4071,0,0,0,0
13071,1,2,1,1
9542,0,2,1,1
7357,0,2,0,0
13489,0,2,0,0
11770,0,3,1,1
27439,1,1,1,1
29025,0,3,0,0
20323,0,1,1,0
17300,0,1,1,0
7419,0,1,0,0
19381,0,1,0,0
16162,1,2,1,1
4225,0,3,0,0
447,0,1,1,1
6730,0,2,1,0
18100,0,2,0,0
6771,1,2,0,0
26969,0,1,1,1
25699,0,2,0,0
3929,1,0,1,1
29417,1,2,1,1
23898,0,3,0,0
3859,0,1,1,1
29774,0,1,1,0
16666,0,1,1,0
19997,0,2,0,0
20479,0,2,0,0
24653,0,0,0,0
6363,0,3,1,0
17073,1,1,0,0
23623,0,2,0,0
611,1,1,0,1
4288,0,2,0,0
26664,1,2,1,1
14128,0,1,1,1
7886,1,1,0,1
24225,0,1,1,1
26934,1,3,0,0
7389,0,1,1,0
26676,0,2,0,0
25136,0,2,1,1
23792,0,0,1,1
11893,0,1,0,0
14475,1,2,0,0
20048,0,1,1,1
5309,0,0,0,0
16429,0,2,0,0
19865,0,3,0,0
11391,0,1,0,1
15615,0,2,0,0
5133,0,2,1,1
10326,0,3,1,0
11017,0,2,0,0
19725,0,2,0,0
26422,1,1,0,0
8478,0,1,0,0
28351,1,2,0,0
6264,0,0,1,1
20922,0,2,1,1
28357,0,2,1,0
17445,0,1,0,0
1807,2,1,1,1
3126,0,2,0,0
15322,0,0,1,1
7372,1,2,1,1
9354,0,2,0,0
25484,0,1,1,1
11338,0,1,0,0
27367,0,3,1,1
2688,0,2,1,1
10403,0,1,1,1
18630,1,3,1,1
24760,1,1,1,1
21399,0,2,0,0
5288,0,0,1,1
2059,1,3,0,0
264,0,2,0,0
9265,0,2,1,1
2820,1,1,1,1
21094,0,2,1,1
14603,0,2,0,0
28588,0,1,1,1
25527,0,3,1,0
11514,0,2,1,1
19209,1,0,1,1
2843,0,3,1,1
22503,0,1,0,1
26928,1,3,1,1
21437,0,0,0,0
9658,1,2,1,1
25907,0,0,0,0
6504,1,2,0,1
12921,0,1,1,1
14611,0,1,0,0
15750,0,1,1,1
26057,0,1,1,0
15060,0,1,0,0
15334,1,2,1,1
8245,0,1,1,1
13183,0,2,0,0
20208,0,2,0,0
27117,0,1,1,1
21178,0,1,1,1
29449,0,1,1,1
291,1,1,1,0
17922,1,2,1,1
12540,0,1,1,1
22208,0,2,1,1
3660,0,2,0,0
29566,1,1,0,0
5549,0,2,0,0
26101,0,1,0,0
11694,0,3,0,0
21554,0,2,0,0
10949,1,2,0,1
5939,0,1,1,1
9460,0,0,0,0
9376,0,3,0,0
8681,0,1,0,0
3749,0,1,1,1
2605,1,0,0,1
24386,1,1,0,1
10233,0,1,1,1
26436,0,1,1,1
4060,0,1,0,0
16459,1,1,1,1
28434,1,2,0,0
19334,2,1,0,0
29485,1,2,0,0
29077,0,0,0,0
16921,0,1,1,0
4470,1,2,0,0
500,1,2,0,0
2306,0,1,0,0
29487,0,0,1,1
5006,1,1,1,1
23060,0,2,1,1
2072,0,2,0,0
24771,0,3,1,1
7831,0,2,1,0
13002,1,3,1,1
25999,0,1,1,1
27857,0,2,1,1
6866,0,1,0,0
1902,0,2,1,1
7600,1,2,1,1
16661,0,3,1,1
5557,0,2,0,0
15607,0,3,1,1
21201,2,2,1,1
27592,0,1,1,1
19601,1,2,1,1
26616,0,2,0,0
12942,0,1,0,0
10457,0,3,1,1
5052,0,0,1,1
27335,0,0,0,0
3614,0,1,1,1
18727,0,3,0,0
20320,0,1,0,0
19336,0,1,0,0
7535,0,1,0,0
16531,1,0,1,1
22783,0,0,0,0
1825,1,2,1,1
3827,0,3,0,0
9868,0,2,0,0
8880,0,2,1,1
9762,0,1,1,0
4342,0,0,0,1
22564,0,1,0,0
21988,0,2,0,0
17173,0,2,0,0
24663,1,0,1,1
7007,0,1,0,0
7423,1,2,1,1
17854,2,3,0,0
24946,0,2,0,0
20739,1,1,0,1
9604,0,2,0,0
22821,0,2,1,1
5568,0,1,1,1
798,0,1,1,1
11478,0,1,0,1
29355,0,1,0,0
22815,0,2,1,1
19680,1,2,1,1
25759,0,1,1,1
27817,0,2,0,0
4479,1,1,1,1
26961,1,2,0,1
3568,1,2,0,0
5742,0,1,0,0
8317,0,2,1,1
12622,0,1,1,1
2003,0,3,0,0
22670,0,2,0,0
19,0,2,1,1
22756,0,0,1,1
13295,0,2,1,1
20049,1,1,1,1
17121,0,3,0,0
18782,2,1,0,0
5979,0,2,0,0
20539,0,1,0,0
29032,1,2,0,0
17412,0,2,0,1
24352,1,0,0,0
24462,0,1,0,0
27742,0,1,1,1
15570,0,1,1,1
25313,1,1,1,1
19037,1,2,1,1
9116,0,1,0,0
116,0,2,1,0
17348,1,0,1,1
9654,0,1,0,0
27547,1,1,1,1
8160,0,3,0,0
2687,0,3,1,0
18515,1,2,1,1
23854,1,1,1,1
22813,0,1,1,1
18444,0,2,0,0
24179,0,2,1,1
15911,0,1,1,1
29706,1,0,1,1
27102,0,1,0,0
14627,1,2,1,1
21283,0,2,0,0
16741,1,0,0,1
6493,0,1,1,1
7424,0,2,0,0
5700,1,1,1,1
8148,1,2,1,1
15933,2,1,0,1
1551,0,1,0,0
343,0,1,1,1
26515,0,2,1,1
25537,1,1,1,1
10242,0,3,1,1
29760,0,2,1,1
20841,1,3,0,1
17285,0,1,1,1
11971,1,1,1,1
1276,0,3,1,0
10281,0,1,1,1
11122,0,1,0,0
1618,0,2,0,0
14658,0,2,1,1
18117,1,2,1,1
13120,0,2,1,1
20988,0,3,1,1
15948,0,0,1,1
7786,0,2,1,1
20989,1,1,0,0
3722,1,1,1,1
13321,0,3,1,0
