,R,Q,A,Y
0,0.1,1,1,0
1,0.1,2,1,0
2,0.1,2,1,0
3,0.1,0,1,0
4,0.1,1,1,1
5,0.1,2,0,0
6,0.1,1,1,0
7,0.1,1,0,0
8,0.1,2,1,1
9,0.1,2,1,0
10,0.1,0,1,1
11,0.1,0,1,1
12,0.1,1,1,1
13,0.1,1,1,1
14,0.1,1,1,0
15,0.9,1,1,0
16,0.1,1,1,0
17,0.1,1,0,0
18,0.1,2,1,0
19,1.2999999999999998,2,1,0
20,0.1,2,0,0
21,0.1,2,1,0
22,0.1,1,1,1
23,0.1,1,1,0
24,0.1,2,1,0
25,0.1,2,1,1
26,0.1,1,1,1
27,0.1,2,1,1
28,0.1,1,1,1
29,1.1,2,1,1
30,0.1,1,1,1
31,0.1,2,0,0
32,0.1,2,0,0
33,1.9,1,1,1
34,0.1,1,1,0
35,0.1,2,1,1
36,0.1,2,1,1
37,0.1,2,1,1
38,0.1,1,1,0
39,1.2999999999999998,2,0,0
40,0.1,1,1,1
41,0.1,1,0,0
42,0.1,2,1,0
43,0.1,2,1,0
44,0.1,2,0,0
45,0.1,2,1,0
46,0.1,2,1,0
47,0.1,2,0,0
48,0.1,2,1,1
49,0.1,2,1,0
50,0.1,1,1,1
51,0.1,1,1,1
52,0.1,1,1,1
53,1.1,3,1,1
54,1.1,0,1,1
55,1.1,2,1,1
56,0.1,2,1,0
57,0.1,2,1,0
58,0.1,1,1,0
59,0.1,2,1,0
60,0.1,2,1,0
61,0.1,2,1,0
62,0.1,2,1,0
63,0.1,1,1,0
64,0.1,0,1,0
65,0.1,0,1,1
66,0.1,3,1,0
67,0.1,1,1,1
68,0.1,1,1,1
69,0.1,1,1,0
70,1.9,1,1,1
71,0.1,3,0,0
72,0.1,2,1,1
73,0.9,2,1,0
74,0.1,1,0,0
75,0.1,2,1,1
76,1.1,1,1,1
77,1.7000000000000002,2,1,0
78,1.1,1,1,1
79,1.1,1,1,1
80,0.1,2,1,0
81,1.1,1,1,1
82,1.7000000000000002,1,0,0
83,0.1,0,1,1
84,0.1,2,1,0
85,1.1,2,1,0
86,0.1,1,1,1
87,0.1,2,1,1
88,0.1,1,1,1
89,0.1,2,1,0
90,0.1,0,1,0
91,0.1,2,0,0
92,1.1,1,1,1
93,1.1,2,1,1
94,0.1,1,0,0
95,0.1,2,1,0
96,0.1,1,1,1
97,0.1,1,1,0
98,0.1,1,1,1
99,0.5,1,1,1
100,1.1,0,1,1
101,0.1,2,1,0
102,1.1,1,1,1
103,0.1,2,1,0
104,0.1,1,0,0
105,1.1,1,1,1
106,0.1,2,1,0
107,0.1,0,0,0
108,0.1,1,1,1
109,0.1,1,0,0
110,0.1,2,0,0
111,0.1,1,1,1
112,0.1,2,1,0
113,1.1,1,1,1
114,0.1,3,1,0
115,0.1,1,0,0
116,1.2999999999999998,1,0,0
117,0.1,1,1,0
118,0.1,2,1,1
119,0.1,1,1,0
120,1.1,0,1,1
121,0.1,2,1,0
122,0.1,2,1,0
123,0.1,1,1,0
124,0.1,2,1,1
125,1.1,1,1,1
126,1.7000000000000002,0,1,0
127,0.1,1,1,1
128,0.1,2,1,0
129,0.1,1,0,0
130,0.1,2,1,0
131,0.1,3,1,1
132,0.1,1,0,0
133,0.1,2,0,0
134,1.1,0,1,1
135,0.1,2,1,0
136,0.1,1,1,0
137,0.1,2,0,0
138,1.9,1,1,1
139,0.1,2,0,0
140,0.1,2,1,0
141,1.1,0,1,1
142,0.1,0,1,0
143,0.1,3,1,1
144,0.1,2,1,1
145,0.1,3,1,0
146,1.1,1,1,1
147,1.2999999999999998,1,1,0
148,1.1,1,1,1
149,0.1,1,1,0
150,0.1,1,1,1
151,0.1,1,0,0
152,0.1,2,1,0
153,0.1,1,1,1
154,0.1,2,1,1
155,0.1,1,1,1
156,1.1,3,1,1
157,0.1,2,1,0
158,0.1,3,1,1
159,0.1,1,1,1
160,0.1,2,1,1
161,0.1,0,1,1
162,0.1,1,1,1
163,0.1,2,0,0
164,0.1,2,1,0
165,1.7000000000000002,1,1,0
166,0.1,1,1,1
167,0.1,2,1,0
168,1.1,2,0,0
169,0.1,1,0,0
170,0.1,2,1,1
171,0.1,1,1,1
172,0.1,3,1,0
173,0.1,2,1,0
174,0.1,2,1,0
175,0.9,1,1,0
176,1.1,1,1,1
177,0.1,2,1,1
178,0.1,2,1,0
179,0.1,2,1,1
180,0.1,2,1,0
181,0.1,2,1,0
182,0.1,2,1,1
183,0.1,2,1,0
184,0.1,2,1,0
185,0.1,1,1,0
186,0.1,1,1,1
187,0.1,2,1,0
188,0.1,1,1,0
189,0.1,1,1,1
190,0.1,2,1,0
191,0.1,2,1,0
192,1.7000000000000002,2,1,0
193,0.1,2,1,1
194,1.1,2,1,1
195,0.1,2,0,0
196,1.1,2,1,1
197,0.5,0,1,1
198,0.1,1,1,0
199,0.1,2,1,0
200,0.1,2,1,1
201,0.1,2,1,0
202,0.1,2,1,0
203,1.7000000000000002,2,1,0
204,0.1,1,1,0
205,0.1,2,1,0
206,0.1,1,1,0
207,0.1,1,1,1
208,0.1,2,1,0
209,0.1,0,1,0
210,1.1,1,1,1
211,1.1,1,1,1
212,0.1,1,1,0
213,0.1,2,1,0
214,0.1,2,0,0
215,0.1,1,0,0
216,0.1,2,1,1
217,0.1,2,1,1
218,0.1,1,1,1
219,0.1,0,1,1
220,1.1,1,1,1
221,0.1,1,1,1
222,0.1,2,1,0
223,0.9,1,0,0
224,0.1,1,1,0
225,0.1,1,1,1
226,1.1,3,1,1
227,0.1,3,1,0
228,0.1,1,1,1
229,1.1,1,1,1
230,1.1,3,1,1
231,0.1,0,1,1
232,0.1,1,1,1
233,0.1,2,1,1
234,1.1,0,1,1
235,0.1,1,1,0
236,0.1,2,0,0
237,0.1,1,1,0
238,0.1,2,1,0
239,0.1,1,1,0
240,0.1,2,1,1
241,0.1,3,1,0
242,1.1,0,1,1
243,0.1,0,1,1
244,0.1,0,1,1
245,0.1,3,1,1
246,0.1,3,1,0
247,0.1,1,1,1
248,0.1,1,1,1
249,1.1,1,1,1
250,0.1,0,1,0
251,0.1,0,1,0
252,0.1,2,0,0
253,0.1,1,1,0
254,1.2999999999999998,0,1,0
255,0.1,2,1,0
256,0.1,1,1,1
257,0.1,1,1,0
258,0.1,1,1,0
259,0.1,1,0,0
260,0.1,0,1,1
261,0.1,1,1,0
262,0.1,0,1,0
263,0.1,0,1,1
264,0.1,2,1,0
265,1.1,0,1,1
266,0.1,2,1,1
267,0.1,1,1,0
268,0.1,0,1,0
269,0.1,1,1,1
270,0.1,1,1,1
271,0.1,2,1,1
272,0.1,1,1,0
273,0.1,1,1,1
274,1.1,0,0,0
275,0.1,3,1,0
276,0.1,0,1,0
277,1.7000000000000002,2,1,0
278,0.1,1,1,1
279,0.1,2,1,0
280,0.1,1,1,0
281,0.1,1,1,1
282,0.1,2,1,1
283,0.1,1,1,0
284,0.1,1,1,1
285,0.1,1,0,0
286,1.1,2,1,1
287,0.1,0,0,0
288,0.1,2,0,0
289,0.1,2,1,0
290,0.1,2,1,1
291,0.1,2,1,0
292,0.1,1,1,0
293,0.1,2,1,1
294,0.1,1,0,0
295,0.1,2,1,0
296,0.1,2,0,0
297,0.1,1,1,1
298,0.1,2,1,1
299,0.1,1,1,0
300,1.1,0,1,1
301,0.1,0,1,1
