,R,Q,A,Y
14231,1,2,1,1
6289,0,3,1,0
13932,2,1,1,1
7763,1,2,1,1
17453,0,2,1,0
7753,0,1,1,0
13491,0,0,1,0
1013,0,1,1,0
3009,0,3,0,1
11648,0,2,1,0
66,0,1,1,0
16853,1,2,1,1
10742,0,1,1,0
15411,0,0,1,1
3556,0,2,0,1
14689,0,0,1,1
7350,0,3,1,0
10697,0,1,1,0
14866,0,0,1,0
10859,0,2,1,1
8190,0,2,1,1
2858,0,1,0,0
10060,1,1,1,1
5914,0,1,1,0
9228,0,2,1,1
7801,0,2,1,1
8778,0,0,1,0
2338,0,1,1,1
2567,0,1,0,1
8166,1,2,1,0
15890,1,2,1,1
4273,2,2,1,1
9194,1,2,1,1
14991,0,3,1,0
7399,1,3,1,0
11675,0,2,1,0
10764,1,2,1,0
6630,0,1,1,0
5492,0,2,0,0
5476,0,1,1,1
8018,1,1,1,1
7515,0,0,1,1
17445,0,2,1,0
4973,0,1,1,1
9792,1,2,1,1
14194,0,0,1,1
14207,0,2,1,0
9133,1,1,1,1
4119,0,3,1,1
11637,0,1,1,1
14920,1,2,1,1
16392,0,2,1,0
5754,0,0,0,0
12114,0,0,1,1
10832,0,2,1,1
15006,0,2,1,0
9658,0,0,1,0
8838,0,1,1,0
1072,0,1,1,0
6262,0,2,1,0
9886,0,2,1,1
6276,1,1,1,1
13737,0,1,1,1
10075,0,2,1,0
1400,0,1,1,0
11854,0,0,1,1
14261,0,1,1,0
12919,1,1,1,1
15165,0,0,1,0
4502,0,2,0,0
13834,2,3,1,1
10670,0,2,1,0
5506,1,2,1,1
8876,0,1,1,0
4463,1,1,0,1
8903,0,3,1,0
10635,0,1,1,0
15532,0,1,1,1
8084,0,1,1,0
11454,0,0,1,1
10505,1,3,1,1
3214,0,2,0,0
7258,1,3,1,1
6858,0,2,1,1
14782,1,0,1,1
1867,1,3,1,0
9540,0,2,1,0
11081,0,2,1,0
15005,1,2,1,0
10180,0,0,1,0
11970,0,2,1,0
9156,0,2,1,0
15075,0,3,1,0
2001,1,1,1,1
7594,0,2,1,1
6931,0,1,1,0
7836,0,2,1,1
4935,0,2,0,0
13944,0,1,1,1
1686,0,2,1,0
5239,1,2,0,0
13625,0,1,1,1
4154,0,2,0,0
6452,0,2,1,0
17798,0,2,1,0
14151,0,2,1,0
2189,1,1,0,0
13817,0,1,1,1
540,0,3,1,0
6705,1,2,1,0
15758,1,1,1,1
8557,2,1,1,1
7817,0,1,1,0
9802,0,0,1,0
7549,2,1,1,1
10982,2,2,1,1
11954,0,3,1,1
11034,0,1,1,1
12747,0,0,1,1
869,0,1,1,0
4741,0,2,1,0
8438,1,0,1,1
6252,0,0,1,0
703,0,0,1,1
9845,0,0,1,1
214,0,3,0,1
17832,1,2,1,0
6542,0,0,1,1
4546,0,1,1,1
949,1,2,0,1
12550,1,0,1,1
6597,0,1,1,0
15286,2,1,1,1
7967,0,0,1,1
15982,0,1,1,1
10973,0,1,1,0
16403,0,0,1,0
10020,1,1,1,1
13471,0,1,1,1
6272,1,2,1,1
9786,0,3,1,1
17337,0,1,1,1
8437,0,1,1,1
8498,0,0,1,1
3044,0,2,1,0
14817,1,3,1,0
8971,0,2,1,1
15489,0,3,1,0
8957,0,1,1,0
6909,0,1,1,1
4702,1,1,0,1
1655,0,0,0,1
1561,0,2,1,0
12229,0,2,1,1
6094,0,0,1,0
17154,0,1,1,1
16862,0,1,1,1
2606,1,1,1,1
9893,0,2,1,0
14950,0,1,1,1
9985,1,1,1,1
15113,0,3,1,0
16538,0,0,1,1
17266,0,0,1,1
6973,0,2,1,0
7620,0,1,1,1
15250,0,0,1,0
9576,1,2,1,1
3231,0,2,0,0
8220,0,1,1,0
1595,0,2,1,0
13963,2,3,1,1
17144,0,2,1,1
13292,0,1,1,1
4904,0,2,0,0
8225,0,3,1,1
6197,1,1,1,0
2815,1,1,0,1
17591,0,2,1,0
5720,1,0,0,1
11361,0,3,1,0
3482,0,2,0,0
3394,2,2,0,1
499,0,1,0,0
8750,0,1,1,0
14086,0,2,1,0
15496,0,0,1,1
7674,0,2,1,0
1505,0,3,0,0
127,0,1,0,0
3484,1,1,0,1
16574,1,1,1,1
224,0,1,0,1
9828,0,1,1,1
14497,0,3,1,0
3780,0,2,0,1
9644,0,0,1,0
10304,0,1,1,1
12639,0,2,1,0
17069,1,1,1,1
12842,1,2,1,1
16468,0,0,1,1
9350,1,0,1,0
9405,0,1,1,0
2240,1,2,0,1
13657,1,2,1,1
16720,1,1,1,1
11052,1,0,1,1
6394,0,1,1,0
13326,0,1,1,0
15908,0,2,1,1
10821,0,0,1,1
14637,1,1,1,1
17053,0,0,1,0
17709,0,2,1,1
15065,0,3,1,1
12061,0,0,1,0
10698,0,0,1,0
12360,0,0,1,0
6701,0,0,1,0
12953,0,1,1,0
13565,0,1,1,1
15959,0,1,1,0
1285,0,3,1,0
8207,0,2,1,1
15549,0,1,1,0
2856,0,0,0,0
12424,1,2,1,1
8262,1,0,1,0
12962,0,1,1,0
3423,0,1,0,1
3927,1,1,0,1
2699,0,1,1,0
8000,0,2,1,0
43,0,2,0,0
6522,1,1,1,1
6654,0,2,1,1
9486,1,2,1,1
5080,0,0,1,1
7698,0,2,1,1
14092,0,1,1,0
15736,1,1,1,1
5134,0,1,0,1
14185,1,0,1,1
2956,0,3,0,0
17216,0,2,1,0
12670,0,1,1,0
912,0,1,1,1
8271,0,0,1,1
2526,0,3,0,0
2438,1,1,1,1
6845,1,0,1,1
6536,0,1,1,1
3156,1,3,0,1
10861,0,1,1,1
8176,0,1,1,1
129,1,2,0,1
3877,1,1,0,1
10978,0,2,1,0
12202,1,1,1,1
17421,0,1,1,1
7047,0,1,1,1
10384,2,1,1,1
696,0,3,0,0
15336,0,2,1,1
13371,0,1,1,0
1890,0,1,0,0
13797,1,2,1,1
13172,0,2,1,0
16063,0,3,1,0
158,1,1,1,1
13877,0,0,1,1
9654,0,2,1,0
14472,0,1,1,0
12316,0,0,1,1
13843,0,1,1,1
9071,0,2,1,1
11255,1,3,1,0
6044,1,2,1,0
6631,0,3,1,0
8615,0,2,1,0
12378,0,1,1,0
2723,0,1,1,0
2414,2,2,1,1
6332,0,2,1,0
