,R,Q,A,Y
0,0.2,3,0,0
1,0.2,3,0,0
2,0.2,3,0,0
3,0.2,3,0,0
4,1.0,2,1,1
5,1.0,0,1,1
6,1.0,3,0,0
7,0.2,1,1,1
8,0.2,3,1,0
9,0.2,3,0,0
10,0.2,3,0,0
11,0.2,3,0,0
12,1.0,1,1,1
13,0.2,3,1,0
14,0.2,3,1,0
15,0.2,3,0,1
16,0.2,3,1,0
17,1.0,1,1,1
18,1.0,1,1,1
19,0.2,1,1,1
20,1.0,1,1,1
21,0.2,1,1,1
22,0.2,3,0,0
23,0.2,3,0,1
24,0.2,3,0,0
25,0.2,1,1,1
26,1.0,3,0,1
27,0.2,2,1,0
28,0.2,1,1,1
29,0.2,3,0,0
30,0.2,3,0,0
31,0.2,3,0,0
32,0.2,3,0,0
33,0.2,3,0,0
34,0.2,3,0,0
35,0.2,2,1,0
36,0.2,3,0,0
37,0.2,3,0,0
38,0.2,2,1,0
39,0.2,1,1,1
40,0.2,3,0,0
41,0.2,1,1,1
42,0.2,0,1,1
43,0.2,3,1,0
44,0.2,3,0,0
45,0.2,1,1,1
46,1.0,3,0,1
47,0.2,3,0,0
48,1.0,3,0,0
49,0.2,3,0,0
50,0.2,1,1,1
51,0.2,3,0,0
52,0.2,3,0,0
53,0.2,1,1,1
54,0.2,3,1,0
55,1.0,3,1,0
56,0.2,2,1,1
57,0.2,2,1,0
58,0.2,1,1,1
59,0.2,3,1,0
60,0.2,2,1,0
61,0.2,3,0,0
62,0.2,3,0,0
63,0.2,2,1,1
64,1.0,3,0,0
65,1.0,3,0,1
66,0.2,3,0,0
67,0.2,3,0,0
68,0.2,1,1,1
69,0.2,3,0,0
70,0.2,3,0,0
71,1.0,3,0,0
72,1.0,3,1,1
73,0.2,3,0,0
74,0.2,3,0,0
75,0.2,1,1,1
76,0.2,3,0,0
77,1.0,3,0,1
78,1.0,3,0,1
79,0.2,3,0,0
80,0.2,1,1,1
81,1.0,2,1,1
82,1.0,1,1,1
83,0.2,1,1,1
84,1.0,3,0,0
85,0.2,1,1,1
86,0.2,2,1,1
87,1.0,2,1,1
88,0.2,3,1,0
89,0.2,3,0,0
90,0.2,3,0,0
91,0.2,1,1,1
92,0.2,2,1,1
93,0.2,3,0,0
94,1.0,1,1,1
95,0.2,1,1,1
96,1.0,3,0,0
97,0.2,1,1,1
98,0.2,2,1,1
99,0.2,3,0,0
100,1.0,1,1,1
101,0.2,3,0,0
102,1.0,3,0,1
103,1.0,3,0,0
104,0.2,3,0,0
105,1.0,3,0,0
106,0.2,1,1,1
107,0.2,3,0,0
108,0.2,2,1,0
109,0.2,3,1,0
110,0.2,2,1,0
111,1.0,0,1,1
112,0.2,2,1,1
113,1.0,2,1,0
114,0.2,3,0,0
115,0.2,1,1,1
116,0.2,3,1,0
117,0.2,1,1,1
118,0.2,3,0,0
119,0.2,2,1,0
120,0.2,1,1,1
121,1.0,3,0,1
122,0.2,1,1,1
123,0.2,3,0,0
124,0.2,3,0,0
125,1.0,3,0,1
126,1.0,2,1,1
127,0.2,3,0,0
128,1.0,2,1,0
129,0.2,2,1,0
130,0.2,1,1,0
131,0.2,2,1,0
132,0.2,3,0,0
133,1.0,3,0,1
134,0.2,1,1,1
135,0.2,2,1,1
136,0.2,3,0,0
137,0.2,1,1,1
138,1.0,1,1,1
139,0.2,3,0,0
140,1.0,3,0,0
141,0.2,3,0,0
142,0.2,1,1,1
143,0.2,3,0,0
144,0.2,3,0,0
145,0.2,3,0,0
146,0.2,3,0,0
147,0.2,2,1,0
148,0.2,3,0,0
149,0.2,1,1,1
150,0.2,3,0,0
151,0.2,3,0,0
152,0.2,2,1,0
153,0.2,3,0,0
154,0.2,0,1,1
155,0.2,1,1,0
156,0.2,2,1,1
157,1.0,1,1,1
158,0.2,3,0,0
159,0.2,3,0,0
160,0.2,3,0,0
161,0.2,2,1,1
162,0.2,3,0,0
163,0.2,3,0,0
164,0.2,2,1,1
165,1.0,2,1,1
166,0.2,2,1,1
167,0.2,2,1,1
168,0.2,3,0,0
169,0.2,2,1,1
170,1.0,3,0,0
171,2.2,2,1,1
172,1.0,3,0,0
173,0.2,2,1,1
174,0.2,2,1,1
175,0.2,2,1,0
176,0.2,2,1,1
177,0.2,2,1,0
178,1.0,3,0,0
179,0.2,3,0,0
180,0.2,1,1,1
181,0.2,0,1,1
182,0.2,2,1,1
183,1.0,2,1,1
184,0.2,3,0,1
185,0.2,3,0,0
186,0.2,1,1,1
187,1.4,3,0,0
188,0.2,1,1,1
189,0.2,1,1,1
190,0.2,2,1,1
191,1.0,0,1,1
192,2.2,2,1,1
193,0.2,3,0,0
194,0.2,3,0,0
195,1.0,3,0,1
196,0.2,3,0,0
197,0.2,1,1,1
198,1.0,3,0,1
199,0.2,3,0,0
200,1.0,2,1,1
201,0.2,2,1,0
202,0.2,3,0,0
203,1.0,3,0,0
204,0.2,1,1,1
205,1.0,0,1,1
206,0.2,3,1,0
207,0.2,3,0,0
208,0.2,2,1,1
209,0.2,1,1,1
210,1.0,3,0,1
211,0.2,3,0,0
212,0.2,3,0,0
213,0.2,3,0,0
214,2.2,2,1,1
215,0.2,3,0,0
216,1.0,3,1,0
217,0.2,2,1,0
218,1.0,3,0,0
219,1.0,1,1,1
220,0.2,3,0,0
221,0.2,3,0,0
222,0.2,3,0,0
223,1.0,3,0,0
224,1.0,3,1,0
225,0.2,0,1,1
226,0.2,1,1,1
227,0.2,1,1,1
228,0.2,3,0,0
229,0.2,3,0,0
230,2.2,3,0,1
231,1.0,3,0,1
232,0.2,3,0,0
233,1.0,2,1,1
234,2.2,3,0,0
235,0.2,3,0,0
236,0.2,3,0,0
237,1.0,3,0,1
238,0.2,3,0,0
239,0.2,1,1,1
240,0.2,3,0,0
241,0.2,2,1,1
242,1.0,1,1,1
243,0.2,3,0,0
244,1.0,2,1,1
245,0.2,0,1,1
246,0.2,1,1,1
247,1.0,3,0,0
248,0.2,3,0,0
249,0.2,3,0,0
250,0.2,2,1,1
251,1.0,3,1,0
252,0.2,3,0,0
253,0.2,3,0,0
254,1.0,3,0,0
255,1.0,1,1,1
256,0.2,0,1,1
257,0.2,2,1,0
258,1.0,3,0,0
259,1.0,1,1,1
260,0.2,2,1,1
261,0.2,2,1,0
262,0.2,3,0,0
263,0.2,3,0,0
264,0.2,2,1,1
265,0.2,3,0,0
266,0.2,3,0,0
267,1.0,3,0,0
268,0.2,3,0,0
269,1.0,3,0,1
270,0.2,2,1,0
271,1.0,3,0,0
272,0.2,1,1,1
273,0.2,3,0,0
274,0.2,0,1,1
275,0.2,1,1,1
276,0.2,3,1,0
277,0.2,1,1,1
278,0.2,3,0,0
279,0.2,3,0,0
280,0.2,3,0,0
281,0.2,1,1,1
282,0.2,1,1,1
283,0.2,3,0,0
284,0.2,0,1,1
285,0.2,3,0,1
286,1.0,3,0,1
287,0.2,3,0,0
288,0.2,3,0,0
289,0.2,3,0,0
290,0.2,2,1,0
291,1.0,3,1,0
292,1.0,3,0,1
293,2.2,3,0,0
294,0.2,2,1,1
295,1.0,3,0,0
296,0.2,1,1,1
297,0.2,0,1,1
298,0.2,3,0,0
299,0.2,3,0,0
300,0.2,1,1,1
301,0.2,3,1,0
302,0.2,3,0,0
303,0.2,1,1,1
304,0.2,3,0,0
305,0.2,1,1,1
306,0.2,3,0,0
307,1.0,2,1,1
308,0.2,3,0,0
309,0.2,3,0,0
310,0.2,0,1,1
311,1.0,2,1,1
312,1.0,1,1,1
313,0.2,1,1,1
314,0.2,3,1,0
315,0.2,2,1,1
316,0.2,1,1,1
317,0.2,3,0,0
318,0.2,2,1,0
319,1.0,3,0,1
320,0.2,0,1,1
321,0.2,1,1,1
322,0.2,3,0,0
323,0.2,3,0,0
324,0.2,1,1,1
325,0.2,1,1,1
326,1.0,3,0,1
327,1.0,3,0,0
328,1.0,1,1,1
329,1.0,3,0,1
330,0.2,3,0,0
331,0.2,3,0,0
332,0.2,3,0,0
333,0.2,3,0,0
334,1.0,2,1,1
335,0.2,2,1,1
336,0.2,1,1,1
337,0.2,2,1,1
338,0.2,3,0,0
339,1.0,3,0,1
340,1.0,3,0,0
341,0.2,3,0,0
342,1.0,2,1,1
343,0.2,3,0,0
344,0.2,3,1,0
345,1.0,3,0,1
346,0.2,3,0,0
347,1.0,3,0,0
348,0.2,2,1,0
349,0.2,2,1,0
350,0.2,3,0,0
351,0.2,3,0,0
352,0.2,1,1,1
353,0.2,3,0,0
354,0.2,1,1,1
355,0.2,2,1,1
356,1.0,1,1,1
357,0.2,1,1,1
358,0.2,3,0,0
359,0.2,3,0,0
360,0.2,3,0,0
361,0.2,1,1,1
362,1.0,3,0,0
363,0.2,2,1,0
364,0.2,3,0,0
365,0.2,3,0,0
366,0.2,1,1,1
367,0.2,3,0,0
368,0.2,1,1,1
369,0.2,2,1,0
370,0.2,1,1,1
371,0.2,1,1,1
372,1.0,3,0,0
373,0.2,3,0,0
374,0.2,3,0,0
375,0.2,0,1,1
376,0.2,2,1,0
377,0.2,3,0,0
378,1.0,2,1,0
379,2.2,1,1,1
380,1.0,3,0,1
381,0.2,1,1,1
382,0.2,3,0,0
383,0.2,3,0,0
384,1.0,0,1,1
385,0.2,3,0,0
386,0.2,2,1,0
387,0.2,2,1,1
388,0.2,1,1,1
389,0.2,3,0,0
390,0.2,1,1,1
391,0.2,3,0,0
392,0.2,1,1,1
393,0.2,2,1,1
394,0.2,1,1,1
395,0.2,3,1,0
396,0.2,3,0,0
397,0.2,3,1,0
398,0.2,3,1,0
399,1.0,3,0,0
400,0.2,1,1,1
401,0.2,1,1,1
402,1.0,2,1,1
403,1.0,2,1,1
404,0.2,3,0,0
405,1.0,3,0,0
406,0.2,2,1,0
407,0.2,3,0,0
408,1.0,3,0,0
409,0.2,1,1,1
410,0.2,3,0,0
411,0.2,0,1,1
412,1.0,3,0,1
413,0.2,2,1,0
414,0.2,3,0,0
415,0.2,3,0,0
416,0.2,1,1,1
417,0.2,1,1,1
418,1.0,2,1,1
419,0.2,1,1,1
420,0.2,1,1,1
421,0.2,3,0,0
422,0.2,3,0,0
423,0.2,2,1,0
424,1.0,2,1,1
425,0.2,0,1,1
426,2.2,3,0,1
427,0.2,1,1,1
428,1.0,3,0,1
429,0.2,2,1,1
430,0.2,2,1,1
431,1.0,3,0,1
432,2.2,3,0,1
433,0.2,1,1,0
434,0.2,3,0,0
435,0.2,3,0,0
436,1.0,3,0,1
437,0.2,3,0,0
438,0.2,3,0,0
439,0.2,3,0,0
440,0.2,2,1,0
441,0.2,3,0,0
442,1.0,2,1,1
443,0.2,3,0,0
444,0.2,2,1,1
445,0.2,1,1,1
446,0.2,2,1,0
447,0.2,1,1,1
448,0.2,3,0,0
449,1.0,3,0,0
450,0.2,3,0,0
451,0.2,1,1,1
452,0.2,1,1,1
453,0.2,1,1,1
454,0.2,0,1,1
455,0.2,3,0,0
456,1.0,2,1,1
457,0.2,2,1,1
458,1.0,3,0,0
459,0.2,3,0,0
460,0.2,1,1,1
461,0.2,3,0,0
462,0.2,1,1,1
463,0.2,3,0,0
464,0.2,3,0,0
465,0.2,3,0,0
466,0.2,1,1,1
467,0.2,3,0,0
468,1.0,3,0,0
469,0.2,2,1,0
470,1.0,1,1,1
471,1.0,1,1,1
472,0.2,3,0,0
473,0.2,0,1,1
474,0.2,2,1,0
475,1.0,3,0,0
476,0.2,2,1,0
477,0.2,3,0,0
478,0.2,1,1,1
479,0.2,0,1,1
480,0.6000000000000001,0,1,0
481,0.2,0,1,1
482,0.2,1,1,1
483,0.2,0,1,1
484,0.2,2,1,1
485,0.2,0,1,1
486,0.2,1,1,1
487,0.2,3,0,0
488,1.0,2,1,1
489,1.0,1,1,1
490,0.2,3,0,0
491,1.0,0,1,1
492,1.0,3,0,0
493,0.2,3,0,0
494,0.2,3,0,0
495,0.2,1,1,1
496,0.2,3,0,0
497,1.0,3,0,0
498,0.2,1,1,1
499,0.2,3,0,0
500,1.0,2,1,1
501,0.2,3,0,1
502,0.2,3,0,0
503,0.2,1,1,1
504,0.2,2,1,1
505,0.2,1,1,1
506,0.2,2,1,1
507,0.2,3,1,0
508,0.2,3,0,0
509,0.2,3,0,0
510,0.2,2,1,0
511,2.2,0,1,1
512,0.2,3,1,0
513,0.2,3,0,0
514,2.5999999999999996,3,0,0
515,0.2,2,1,1
516,0.2,3,0,0
517,0.2,1,1,1
518,0.2,1,1,1
519,0.2,3,0,0
520,0.2,3,0,0
521,0.2,1,1,1
522,0.2,2,1,0
523,0.2,3,0,1
524,0.2,2,1,0
525,0.2,3,1,0
526,0.2,3,0,0
527,0.2,3,0,0
528,0.2,1,1,1
529,0.2,0,1,1
530,1.0,3,1,1
531,0.2,1,1,1
532,0.2,1,1,1
533,0.2,3,1,0
534,1.0,2,1,1
535,1.0,1,1,1
536,0.2,1,1,1
537,0.2,3,0,0
538,1.0,1,1,1
539,1.0,3,1,1
540,0.2,3,0,0
541,0.2,3,0,0
542,0.2,3,1,1
543,1.0,3,0,0
544,0.2,3,1,0
545,1.0,3,0,0
546,0.2,3,0,0
547,0.2,2,1,1
548,0.2,3,0,0
549,0.2,1,1,1
550,0.2,3,0,0
551,0.2,3,0,0
552,0.2,1,1,1
553,1.0,3,0,1
554,0.2,1,1,1
555,0.2,3,1,0
556,0.2,2,1,1
557,0.2,1,1,1
558,0.2,3,0,0
559,0.2,0,1,1
560,1.0,3,0,0
561,0.2,1,1,1
562,1.0,3,0,1
563,0.2,3,0,0
564,0.2,3,0,0
565,0.2,0,1,1
566,0.2,1,1,1
567,1.0,2,1,1
568,0.2,3,0,1
569,1.0,3,0,0
570,0.2,3,0,0
571,0.2,2,1,1
572,0.2,3,0,0
573,0.2,3,1,0
574,1.0,2,1,1
575,1.0,3,0,1
576,0.2,3,0,0
577,1.0,2,1,1
578,0.2,3,0,0
579,1.0,3,0,1
580,0.2,3,0,0
581,0.2,3,0,0
582,0.2,0,1,1
583,0.2,1,1,1
584,0.2,3,1,0
585,1.0,1,1,1
586,0.2,3,0,0
587,0.2,3,0,0
588,0.2,2,1,1
589,0.2,3,0,0
590,0.2,1,1,1
591,0.2,0,1,1
592,0.2,3,1,0
593,0.2,2,1,1
594,0.2,3,1,0
595,1.0,3,0,1
596,1.0,3,0,0
597,0.2,1,1,1
598,1.0,2,1,1
599,0.2,3,0,0
600,1.0,1,1,1
601,0.2,3,0,0
602,0.2,3,0,0
603,0.2,3,0,1
604,0.2,3,0,0
605,0.2,3,0,1
606,1.0,1,1,1
607,0.2,2,1,0
608,0.2,3,0,0
609,0.2,2,1,1
610,0.2,2,1,1
611,1.0,3,0,0
612,0.2,2,1,0
613,0.2,2,1,0
614,0.2,3,0,0
615,0.2,2,1,0
616,0.2,2,1,0
617,0.2,3,0,0
618,0.2,3,0,0
619,0.2,3,0,0
620,0.2,1,1,1
621,0.2,3,0,0
622,0.2,3,0,0
623,0.2,1,1,1
624,1.0,3,0,1
625,1.0,3,0,0
626,0.2,1,1,1
627,0.2,0,1,0
628,0.2,3,0,0
629,0.2,3,1,0
630,0.2,2,1,1
631,0.2,3,0,0
632,0.2,2,1,0
633,1.0,2,1,1
634,0.2,3,0,0
635,1.0,1,1,1
636,0.2,1,1,1
637,1.0,2,1,1
638,0.2,1,1,1
639,0.2,1,1,1
640,0.2,3,0,0
641,0.2,2,1,0
642,0.2,3,1,0
643,1.0,1,1,1
644,0.2,2,1,1
645,0.2,0,1,1
646,0.2,3,0,0
647,0.2,3,0,0
648,0.2,3,1,0
649,0.2,2,1,1
650,0.2,1,1,1
651,0.2,2,1,1
652,1.0,1,1,1
653,0.2,0,1,1
654,0.2,3,0,0
655,1.0,3,0,0
656,0.2,2,1,1
657,0.2,3,0,0
658,2.2,2,1,1
659,0.2,3,0,0
660,0.2,0,1,1
661,1.0,3,0,1
662,1.0,3,1,0
663,1.0,3,1,0
664,0.2,3,0,0
