,R,Q,A,Y
0,0.2,3,0,1
1,1.0,0,1,1
2,1.0,0,0,1
3,0.2,3,0,0
4,2.2,0,1,1
5,0.2,3,0,0
6,0.2,3,0,0
7,1.0,0,0,1
8,0.2,3,0,0
9,2.2,0,1,1
10,0.2,3,0,0
11,0.2,3,0,0
12,1.0,0,1,1
13,1.0,0,1,1
14,1.0,0,1,1
15,1.0,0,1,1
16,0.2,3,0,0
17,2.2,0,1,1
18,2.2,0,1,1
19,0.2,3,0,0
20,1.0,0,1,1
21,0.2,3,0,0
22,1.0,0,1,1
23,1.0,0,1,1
24,0.2,3,0,0
25,1.0,0,1,0
26,1.0,0,1,1
27,1.0,3,0,0
28,1.0,0,1,1
29,1.0,0,1,1
30,0.2,3,0,0
31,1.0,0,1,1
32,1.0,0,1,1
33,0.2,3,0,0
34,1.0,0,0,1
35,0.2,3,0,0
36,0.2,3,0,0
37,1.0,0,0,1
38,0.2,3,0,0
39,0.2,3,0,0
40,0.2,3,0,0
41,1.0,0,0,1
42,1.0,0,0,1
43,0.2,3,0,0
44,0.2,3,0,0
45,1.0,0,0,1
46,1.0,0,1,1
47,0.2,3,0,0
48,1.0,0,1,1
49,2.2,0,1,1
50,1.0,0,1,1
51,1.0,1,0,1
52,0.2,3,0,0
53,0.2,3,0,0
54,0.2,3,0,0
55,1.0,0,1,1
56,0.2,3,0,0
57,1.0,0,0,1
58,2.2,0,1,1
59,0.2,3,0,0
60,2.2,0,1,1
61,2.2,0,1,1
62,0.2,3,0,0
63,1.0,0,1,0
64,1.0,0,1,1
65,2.2,0,1,1
66,1.0,0,1,0
67,1.0,1,0,1
68,0.2,3,0,0
69,0.2,3,0,0
70,1.0,0,1,1
71,0.2,3,0,0
72,1.0,0,1,1
73,1.0,0,1,1
74,1.0,0,1,1
75,1.0,0,0,1
76,0.2,3,0,0
77,1.0,0,0,1
78,0.2,3,0,0
79,0.2,3,0,0
80,1.0,0,1,1
81,0.2,3,0,0
82,0.2,3,0,0
83,2.2,0,1,1
84,1.0,0,1,1
85,1.0,0,1,1
86,2.2,0,1,1
87,1.0,0,0,1
88,0.2,3,0,0
89,1.0,0,1,1
90,2.2,0,0,1
91,1.0,0,1,0
92,0.2,3,0,0
93,0.2,3,0,0
94,2.2,0,0,1
95,1.0,0,1,1
96,1.0,0,1,1
97,0.2,3,0,0
98,1.0,0,1,1
99,3.0,0,1,1
100,0.2,3,0,0
101,0.2,3,0,0
102,1.0,0,1,1
103,1.0,0,1,1
104,1.0,0,1,1
105,1.0,0,0,1
106,1.0,0,1,1
107,0.2,3,0,0
108,1.0,0,1,1
109,1.0,0,1,1
110,1.0,0,1,1
111,2.2,0,1,1
112,1.0,0,1,1
113,0.2,3,0,0
114,1.0,0,1,1
115,0.2,3,0,0
116,1.0,0,1,1
117,1.0,0,1,1
118,1.0,0,1,1
119,0.2,3,0,0
120,0.2,3,0,0
121,1.0,0,1,0
122,1.0,0,1,1
123,1.0,0,1,0
124,0.2,3,0,0
125,2.2,0,1,1
126,0.2,3,0,0
127,1.0,0,1,1
128,1.0,0,1,1
129,0.2,3,0,0
130,0.2,3,0,0
131,1.0,0,1,1
132,1.0,0,1,1
133,1.0,0,1,1
134,0.2,3,0,0
135,1.0,0,1,1
136,1.0,0,1,1
137,0.2,3,0,0
138,1.0,0,0,1
139,2.2,0,1,1
140,1.0,0,1,1
141,2.2,0,1,1
142,0.2,3,0,0
143,2.2,0,1,1
144,0.2,3,0,0
145,0.2,3,0,0
146,1.0,0,1,1
147,0.2,3,0,0
148,2.2,0,1,1
149,1.0,0,0,1
150,2.2,0,1,1
151,1.0,0,1,1
152,0.2,3,0,0
153,0.2,3,0,0
154,1.0,0,1,1
155,0.2,3,0,0
156,1.0,0,1,1
157,0.2,3,0,0
158,1.0,0,1,0
159,1.0,0,1,1
160,1.0,0,0,1
161,0.2,3,0,0
162,1.0,0,1,0
163,1.0,0,1,1
164,0.2,3,0,0
165,0.2,3,0,0
166,1.0,0,1,1
167,1.0,0,1,1
168,1.0,0,1,1
169,0.2,3,0,0
170,0.2,3,0,0
171,1.0,0,1,0
172,1.0,0,1,1
173,1.0,0,1,1
174,1.0,0,1,1
175,0.2,3,0,0
176,1.0,0,1,1
177,0.2,3,0,0
178,0.2,3,0,0
179,0.2,3,0,0
180,0.2,3,0,0
181,2.2,0,1,1
182,1.0,0,1,1
183,2.2,0,1,1
184,1.0,0,1,0
185,1.0,0,1,1
186,0.2,3,0,0
187,0.6000000000000001,0,1,1
188,0.2,3,0,0
189,2.2,0,1,1
190,1.0,0,1,1
191,1.0,0,1,1
192,1.0,0,1,1
193,1.0,0,1,1
194,0.2,3,0,0
195,1.0,0,1,1
196,0.2,3,0,0
197,1.0,0,0,1
198,1.0,0,1,1
199,1.0,0,1,0
200,0.2,3,0,0
201,1.0,0,1,1
202,1.0,0,0,0
203,0.2,3,0,0
204,1.0,0,1,1
205,2.2,0,1,1
206,1.0,0,1,1
207,1.0,0,1,1
208,2.2,0,1,1
209,1.0,0,1,1
210,0.2,3,0,0
211,0.2,3,0,0
212,1.0,0,1,1
213,0.2,3,0,0
214,0.2,3,0,0
215,1.0,0,1,1
216,1.0,0,1,1
217,0.2,3,0,0
218,0.2,3,0,0
219,1.0,0,1,0
220,0.2,3,0,0
221,0.2,3,0,0
222,1.0,0,1,1
223,2.2,0,1,1
224,1.0,0,0,1
225,1.0,0,1,1
226,0.2,3,0,0
227,1.0,0,1,1
228,1.0,0,1,1
229,0.2,3,0,0
230,2.2,0,1,1
231,1.0,0,1,1
232,1.0,0,1,1
233,2.2,0,0,1
234,2.2,0,1,1
235,1.0,0,1,1
236,0.2,3,0,0
237,0.2,3,0,0
238,1.0,0,1,1
239,2.2,0,1,1
240,1.0,0,1,1
241,3.0,0,1,1
242,0.2,3,0,0
243,0.2,3,0,1
244,1.0,1,0,1
245,0.2,3,0,0
246,1.0,0,1,1
247,0.2,3,0,0
248,3.0,0,1,1
249,1.0,0,1,1
250,1.0,0,1,1
251,0.2,3,0,0
252,1.0,0,1,0
253,0.2,3,0,1
254,1.0,0,1,1
255,0.2,3,0,0
256,1.0,0,1,1
257,1.0,0,1,1
258,1.0,0,1,0
259,0.2,3,0,0
260,1.0,0,1,0
261,1.0,0,1,1
262,1.0,0,0,1
263,0.2,3,0,0
264,2.2,0,1,1
265,1.0,0,1,0
266,0.2,3,0,1
267,1.0,0,1,1
268,0.2,3,0,0
269,1.0,0,0,1
270,0.2,3,0,0
271,1.0,0,1,1
272,0.2,3,0,0
273,1.0,0,1,1
274,1.0,0,1,1
275,0.2,3,0,0
276,3.0,0,1,1
277,1.0,0,0,1
278,1.0,1,0,1
279,1.0,0,1,1
280,0.2,3,0,0
281,1.0,0,1,1
282,1.0,0,1,0
283,1.0,0,1,0
284,0.2,3,0,0
285,1.0,0,1,1
286,1.0,1,0,1
287,1.0,0,1,1
288,1.0,0,1,1
289,1.0,0,1,1
290,1.0,0,1,1
291,0.2,3,0,0
292,0.2,3,0,0
293,1.0,0,1,1
294,1.0,0,1,1
295,1.0,0,1,1
296,0.2,3,0,0
297,0.2,3,0,0
298,0.2,3,0,0
299,1.0,0,1,1
300,0.2,3,0,0
301,0.2,3,0,0
302,0.2,3,0,0
303,0.2,3,0,0
304,1.0,0,1,1
305,1.0,0,1,1
306,0.2,3,0,0
307,1.0,0,1,1
308,1.0,0,1,1
309,2.2,0,1,1
310,0.2,3,0,0
311,1.0,0,1,0
312,0.2,3,0,0
313,0.2,3,0,0
314,0.2,3,0,0
315,1.0,0,1,1
316,0.2,3,0,0
317,1.0,0,1,0
318,1.0,0,1,1
319,1.0,0,1,0
320,0.2,3,0,0
321,1.0,0,1,1
322,1.0,0,1,1
323,0.2,3,0,0
324,0.2,3,0,0
325,1.0,0,1,0
326,1.0,0,1,1
327,0.2,3,0,0
328,0.2,3,0,0
329,1.0,0,0,1
330,2.2,0,1,1
331,0.2,3,0,0
332,0.2,3,0,0
333,0.2,3,0,0
334,0.2,3,0,0
335,1.0,0,1,1
336,0.2,3,0,0
337,0.2,3,0,0
338,1.0,0,1,1
339,1.0,0,1,1
340,2.2,0,1,1
341,1.0,0,1,1
342,1.0,0,1,0
343,1.0,0,1,1
344,1.0,0,1,1
345,1.0,0,1,1
346,0.2,3,0,0
347,1.0,0,1,1
348,0.2,3,0,0
349,2.2,0,1,1
350,0.2,3,0,0
351,1.0,0,1,1
352,0.2,3,0,0
353,0.2,3,0,0
354,0.2,3,0,0
355,1.0,0,1,1
356,1.0,0,1,1
357,1.0,0,0,1
358,1.0,0,1,0
359,0.2,3,0,0
360,0.2,3,0,0
361,1.0,0,1,1
362,1.0,0,1,1
363,1.0,0,1,1
364,0.2,3,0,0
365,0.2,3,0,0
366,0.2,3,0,0
367,0.2,3,0,0
368,0.2,3,0,0
369,1.0,0,1,1
370,1.0,0,1,1
371,1.0,0,1,1
372,1.0,0,0,1
373,2.2,0,1,1
374,0.2,3,0,0
375,1.0,0,0,1
