,R,Q,A,Y
0,1.1,1,1,1
1,0.1,0,0,0
2,0.1,2,0,0
3,0.1,1,1,0
4,0.1,2,1,0
5,1.1,1,1,1
6,0.1,2,1,1
7,0.1,2,0,0
8,0.1,1,0,0
9,0.1,0,1,1
10,0.1,2,0,0
11,0.1,0,0,0
12,0.1,2,1,1
13,0.1,2,0,0
14,1.1,1,1,1
15,0.1,1,1,1
16,0.1,1,0,0
17,0.1,2,0,0
18,0.1,1,1,0
19,0.1,1,1,0
20,0.1,2,1,1
21,0.1,1,0,0
22,0.1,2,1,0
23,0.1,1,0,0
24,0.1,1,1,1
25,0.1,2,0,0
26,0.1,2,0,0
27,0.1,1,1,0
28,1.1,1,0,1
29,0.1,1,0,1
30,0.1,3,1,1
31,0.1,1,0,0
32,0.1,0,1,0
33,1.1,0,0,1
34,0.1,2,0,0
35,0.1,1,0,0
36,1.1,2,1,1
37,1.1,3,0,0
38,0.1,1,1,0
39,0.1,2,1,1
40,0.1,2,1,0
41,1.1,2,1,1
42,1.1,1,1,1
43,0.1,1,1,1
44,0.1,2,0,0
45,1.1,2,1,0
46,1.1,1,1,1
47,0.1,2,1,0
48,0.1,1,0,0
49,0.1,2,1,1
50,0.1,1,0,1
51,0.1,1,1,1
52,0.1,1,0,0
53,0.1,2,1,0
54,0.1,2,1,1
55,0.1,3,1,1
56,0.1,1,1,1
57,0.1,0,0,0
58,1.1,1,1,1
59,0.1,1,0,0
60,0.1,1,1,1
61,0.1,3,0,0
62,0.1,2,0,0
63,0.1,1,1,1
64,0.1,1,0,0
65,0.1,1,1,0
66,1.1,2,0,0
67,0.1,1,1,0
68,1.1,2,0,1
69,1.1,1,1,1
70,0.1,1,1,0
71,0.1,3,1,0
72,1.1,2,0,0
73,1.1,3,1,0
74,1.1,1,1,1
75,0.1,3,1,1
76,1.1,2,1,1
77,1.1,2,0,1
78,0.1,1,0,0
79,0.1,2,0,0
80,0.1,1,1,1
81,0.1,2,0,0
82,1.1,1,1,1
83,0.1,1,0,0
84,0.1,3,0,0
85,0.1,2,1,1
86,0.1,2,0,0
87,1.1,2,1,1
88,1.1,1,1,1
89,1.1,2,1,1
90,0.1,2,1,1
91,1.1,1,1,1
92,0.1,3,1,1
93,1.1,1,1,1
94,1.1,1,0,0
95,0.1,1,1,1
96,0.1,2,0,0
97,0.1,2,0,0
98,1.1,2,1,0
99,0.1,1,0,0
100,1.1,2,0,0
101,0.1,0,0,1
102,0.1,2,0,1
103,0.1,2,0,0
104,0.1,3,0,1
105,0.1,1,0,0
106,1.1,3,1,1
107,0.1,2,1,1
108,0.1,1,1,1
109,1.1,1,0,0
110,0.1,2,0,0
111,0.1,2,0,0
112,0.1,1,1,1
113,0.1,2,1,0
114,0.1,1,0,0
115,0.1,1,1,1
116,0.1,2,0,0
117,1.1,3,1,1
118,0.1,1,0,0
119,0.1,1,1,1
120,0.1,1,1,1
121,0.1,2,0,0
122,0.1,2,0,0
123,0.1,3,0,0
124,0.1,2,1,0
125,0.1,2,0,1
126,1.1,0,1,1
127,0.1,0,1,1
128,0.1,1,0,1
129,0.1,0,1,1
130,0.1,1,0,0
131,0.1,2,0,0
132,1.1,1,1,1
133,0.1,2,0,0
134,0.1,1,1,1
135,0.1,1,1,0
136,0.1,0,0,0
137,0.1,1,1,0
138,0.1,2,0,1
139,1.1,1,0,0
140,0.1,0,1,1
141,0.1,2,1,1
142,1.1,2,0,1
143,0.1,2,0,0
144,0.1,3,0,0
145,1.1,1,1,1
146,0.1,2,1,0
147,0.1,1,1,1
148,1.1,2,0,0
149,0.1,2,0,0
150,0.1,2,1,0
151,0.1,0,0,0
152,0.1,3,1,1
153,0.1,1,0,0
154,0.1,1,1,1
155,0.1,2,1,1
156,0.1,1,1,0
157,0.1,2,1,0
158,0.1,2,0,0
159,0.1,1,1,1
160,0.1,2,0,1
161,1.1,3,1,1
162,0.1,1,0,0
163,0.1,3,1,1
