,R,Q,A,Y
9740,0,1,0,0
1457,0,1,1,1
17837,0,2,0,0
25536,0,2,1,1
29164,0,2,0,0
2588,0,3,0,0
23800,0,3,0,0
2669,0,0,1,1
11564,1,1,0,1
16641,0,2,0,0
27757,0,2,1,0
23867,0,1,0,0
13624,0,2,1,0
14835,0,1,1,1
5814,0,2,1,1
1556,0,1,0,0
13555,1,2,1,1
23666,1,0,1,1
18200,1,0,0,1
7527,1,1,1,1
493,0,2,1,1
16226,0,1,1,1
19744,0,1,0,0
16409,1,2,0,0
12564,0,2,0,0
19550,0,1,1,1
19544,1,2,0,1
23271,0,1,1,1
4257,1,0,0,1
590,0,2,0,1
9232,0,1,1,1
15194,1,3,1,0
9135,0,2,0,0
4185,0,2,1,1
4938,0,0,0,1
13037,0,1,1,1
10022,0,2,0,0
9760,0,3,0,0
1360,0,3,0,0
7332,0,0,1,1
17805,0,3,0,0
19628,0,0,0,1
13615,1,0,1,1
9291,0,1,1,1
2082,0,2,0,0
543,0,1,1,1
8904,0,1,0,0
5585,0,2,0,0
25183,0,2,1,1
5039,0,2,1,1
12240,0,1,1,0
28360,0,1,0,0
27513,1,0,0,1
24406,0,1,1,0
21900,0,1,0,0
19602,0,1,0,0
17559,2,3,1,1
14953,0,1,1,1
16566,1,0,1,1
2642,3,3,0,1
15234,1,2,1,1
17166,0,1,0,0
4899,0,1,1,1
15172,0,2,0,0
29322,0,1,0,0
2078,0,1,0,0
7447,0,1,0,0
26326,0,1,0,1
27035,0,1,0,0
18373,1,1,0,0
22160,0,1,0,0
14931,1,3,0,0
3102,0,2,0,0
26350,0,1,1,0
26593,0,2,0,0
24141,0,1,1,0
2281,0,2,1,1
24027,1,2,0,1
27833,0,0,1,1
4463,1,1,0,0
17751,0,2,1,1
2199,1,3,0,1
27177,0,2,1,0
9718,0,1,0,0
24437,1,2,1,1
3821,1,1,0,0
12503,0,3,0,0
19403,0,2,0,0
29379,0,0,1,1
12872,0,1,0,0
19253,1,0,0,1
1813,1,2,1,1
3974,0,2,1,0
14966,0,1,1,1
5682,0,3,0,0
8174,0,0,1,1
11015,1,1,1,1
2981,0,2,0,0
15273,0,2,0,0
4292,0,0,0,0
23002,2,2,0,1
11435,1,3,1,1
1558,0,0,0,1
18202,0,2,1,1
13281,0,3,1,0
24405,1,2,0,0
3780,0,2,0,0
13822,0,2,1,1
19802,0,1,1,0
11166,0,3,0,0
2449,0,0,1,1
11096,0,0,0,1
3461,0,2,1,1
24659,1,2,0,1
27834,0,0,0,0
22484,0,2,1,1
14897,0,3,0,0
21525,0,3,0,0
4661,0,2,0,0
3388,0,1,0,0
12903,0,1,0,0
4871,0,1,1,1
13287,0,2,1,0
27147,0,2,1,1
15487,1,1,0,0
22275,0,2,0,1
20732,1,1,0,1
4446,1,2,1,1
2797,0,1,1,0
1743,0,3,1,0
29775,0,1,0,0
11634,0,1,1,1
20439,0,1,1,1
10985,0,1,0,0
15001,0,1,1,1
21688,0,1,1,0
1520,0,1,1,0
10447,0,1,1,1
18565,0,1,1,1
23145,0,1,0,0
7511,0,2,1,0
9053,0,1,1,1
4458,0,0,0,0
2682,0,2,0,0
27582,0,1,0,0
5836,0,2,1,0
29711,0,1,1,1
10247,0,1,0,0
25694,0,2,0,0
8117,1,1,0,0
20149,0,1,0,0
11402,0,1,1,1
29230,0,1,1,1
26235,0,2,0,0
7736,1,2,0,0
28321,0,2,1,0
27507,0,2,0,0
19855,0,2,1,1
8676,0,1,1,1
28442,0,1,0,0
11273,1,0,0,1
3331,0,2,0,0
1133,0,1,0,1
27959,0,1,0,0
4680,0,1,1,1
12958,0,1,1,1
19344,1,2,0,0
13991,0,0,0,0
29719,0,1,0,0
7155,0,1,1,1
28460,0,2,0,0
22229,0,0,1,1
29548,0,3,0,0
12648,0,2,0,0
5466,0,1,0,0
15687,0,1,0,0
25609,0,1,0,1
5842,0,2,0,0
28461,0,3,1,0
11064,0,2,1,1
8004,0,0,1,0
9160,1,2,0,0
17993,0,3,1,1
10186,0,1,0,0
12589,0,2,0,0
27119,1,1,0,1
21006,1,1,1,1
8562,0,2,0,0
6392,0,2,1,0
23010,1,3,0,0
12729,1,1,0,0
4004,2,3,0,1
14806,1,1,0,1
23110,1,0,0,1
5415,0,1,1,1
20376,1,2,1,1
11422,0,2,1,1
11150,1,3,1,0
23003,1,3,1,1
22557,0,2,0,0
12103,0,1,0,0
14386,0,3,0,0
1723,0,2,0,0
3000,0,1,0,1
18644,0,2,0,0
10272,1,0,1,1
7803,0,1,0,0
24999,0,3,0,0
5934,1,3,1,1
24866,1,1,0,0
4345,0,2,0,0
3313,0,3,1,1
3563,0,0,1,0
19489,1,1,1,1
26163,0,0,1,1
19285,0,1,1,1
22441,0,2,0,0
28359,0,3,0,0
11444,0,2,0,0
17808,0,2,0,0
22426,0,2,1,0
22257,1,3,1,1
26597,0,1,0,0
23753,0,2,0,0
20617,1,1,1,1
29602,0,2,0,0
6515,0,1,0,0
698,1,2,0,1
7293,0,1,1,0
4740,0,2,0,0
24527,0,0,0,0
16666,0,1,1,0
24620,0,2,0,0
16979,0,2,0,0
6904,0,1,1,1
13135,0,2,1,1
13457,0,1,0,0
5068,0,0,1,1
28799,0,2,0,0
2483,0,2,1,0
447,0,1,1,1
20622,0,2,0,0
10079,0,0,0,0
26512,0,1,0,0
7891,1,1,1,1
10604,0,0,1,1
20215,0,0,0,0
14850,0,2,0,0
29453,0,3,1,1
6116,0,0,0,0
10064,1,1,0,0
1374,1,2,1,0
15336,0,1,1,1
20391,1,2,0,1
27773,1,1,0,1
17930,1,3,1,0
28174,0,1,0,0
2304,0,2,1,1
28872,0,1,0,0
24770,0,1,0,0
27296,0,1,0,0
6247,0,3,0,0
4256,0,1,1,1
8700,0,2,0,0
7753,1,3,0,0
21704,0,1,1,1
22583,0,2,1,1
26887,0,1,0,0
8397,0,2,0,0
20204,0,1,1,0
16956,0,1,0,0
9311,0,2,1,1
15077,0,1,0,0
15632,0,3,1,1
21942,0,2,0,0
2986,1,1,0,1
17498,0,1,0,1
24575,0,2,0,0
18176,1,1,1,1
3985,0,2,1,0
7012,0,2,0,0
21735,0,2,0,0
22861,1,1,1,1
5948,0,0,1,1
20822,0,2,1,1
20897,0,1,0,0
8350,0,0,0,0
20147,0,0,1,1
21496,0,0,0,0
7969,0,2,1,1
28250,0,0,0,0
17701,0,2,1,1
6734,0,2,1,1
16710,2,1,1,1
8531,0,2,1,1
28624,1,1,1,1
12496,0,1,0,1
24221,1,2,1,1
13199,0,2,1,1
27338,0,1,1,1
16989,1,0,0,1
16065,0,3,1,1
14419,0,2,1,1
9512,0,2,1,1
15342,1,1,0,1
12752,0,3,0,0
19157,0,2,1,1
5116,0,2,0,0
8250,0,1,0,0
15914,0,1,0,0
9013,0,2,1,1
20932,0,1,0,0
2919,0,3,1,0
25567,0,2,1,1
3606,1,2,0,0
2649,0,1,1,1
6172,0,0,1,1
24967,1,1,1,1
26097,0,2,1,1
15573,0,1,1,1
15597,1,3,1,1
15392,0,1,0,1
23350,0,0,1,1
3187,0,3,0,0
4388,0,1,1,0
26309,0,1,1,0
2210,0,1,0,0
26682,0,3,0,0
597,1,2,1,1
46,0,3,1,1
2149,0,3,0,0
10240,0,0,0,0
25309,0,2,1,1
22122,0,2,1,1
9663,0,1,0,0
27495,1,2,1,1
15809,0,3,1,1
11752,0,2,0,0
27955,0,2,1,1
18784,0,0,0,1
27122,0,2,0,1
16700,0,1,0,0
24811,0,1,0,0
23580,0,2,0,0
25487,0,1,1,1
12655,0,1,1,1
3285,0,2,1,1
24413,0,1,0,0
13556,0,1,1,1
28828,0,1,0,0
16400,1,2,1,1
13569,0,3,0,0
13948,0,2,0,0
19782,0,3,0,0
11830,0,1,1,1
9814,0,1,0,1
8113,0,1,0,0
23083,0,3,0,0
8869,0,2,1,0
1802,0,1,1,1
17925,1,2,0,0
14086,2,1,0,1
2847,0,2,1,0
1933,0,1,1,1
28997,0,3,0,0
15314,0,1,1,1
8195,0,1,0,0
16431,0,1,0,0
11309,0,1,1,1
21797,0,2,1,1
7813,1,2,1,1
8136,0,0,0,1
28295,1,1,1,1
22925,0,2,0,0
26770,0,1,1,1
3205,0,1,0,0
7626,0,1,1,1
24850,0,1,1,0
24184,1,1,0,1
26543,0,2,1,0
2841,1,1,1,1
8393,0,1,1,0
18672,0,2,1,1
3408,0,1,1,0
20633,1,1,1,1
13443,0,0,0,0
179,0,1,0,1
12995,0,1,0,0
2731,1,2,1,1
16758,2,0,1,1
1757,0,0,0,0
15891,0,0,1,1
1461,1,3,1,1
27868,0,1,1,1
6944,0,2,0,0
25975,0,2,0,0
28396,0,2,0,0
21479,0,1,0,1
18569,0,2,1,0
23404,1,0,1,1
8142,1,1,0,1
7521,1,3,1,1
15733,0,2,0,0
29902,0,1,0,0
27282,0,2,1,1
29574,0,1,1,0
21936,0,2,1,0
6956,1,1,1,1
27372,0,2,1,1
2187,0,2,0,0
19477,0,2,0,0
22769,0,3,1,1
8333,2,2,0,1
18254,1,1,1,1
9006,1,2,0,0
26616,0,2,0,1
15618,0,1,1,1
14088,0,2,0,0
23155,1,3,0,0
187,0,1,1,1
23517,0,1,1,1
24561,0,1,0,0
13316,0,2,0,0
21274,0,2,0,0
9503,0,1,1,1
8807,0,2,0,0
10362,1,0,0,1
25046,0,2,0,0
21741,0,3,1,0
11675,0,2,0,0
16892,0,3,1,1
13498,1,1,1,1
1062,0,3,1,1
28420,1,0,0,1
21886,0,1,1,1
10392,0,1,1,0
22125,1,3,0,0
14878,0,1,1,0
18067,0,1,0,0
7,0,0,1,1
19514,1,1,0,1
9484,0,3,0,0
18812,0,2,1,1
3407,0,1,0,0
11983,0,1,0,0
19478,1,2,0,1
16830,0,2,0,0
23494,0,0,0,0
220,2,2,1,1
22529,0,3,1,1
6173,0,3,0,1
22853,0,2,1,1
15444,1,0,1,1
19307,1,3,0,0
14009,1,1,0,1
6498,0,1,1,1
20208,0,2,0,0
27295,0,3,1,0
27616,0,2,1,1
7925,0,2,1,0
23351,0,1,0,0
5121,0,3,0,0
21716,1,3,0,0
3907,1,1,1,1
24055,0,2,1,0
18325,0,1,0,0
8686,2,2,0,1
16237,0,1,1,0
25086,2,1,1,1
5277,0,1,0,0
27845,0,3,1,1
29879,0,0,0,0
26104,0,2,1,1
29185,0,1,0,0
4671,2,0,0,1
2394,0,1,0,0
16630,1,2,0,0
17006,0,2,0,0
14905,0,2,0,0
22478,0,1,1,0
11984,0,1,1,0
14487,0,1,1,1
13794,0,2,1,1
29904,0,2,0,0
25509,0,2,0,0
4941,1,3,0,1
17969,0,1,1,1
10997,0,1,0,0
12,1,0,1,1
2890,0,2,0,0
29579,0,3,0,0
17680,0,2,1,1
7439,0,1,1,1
20118,0,2,0,0
29194,1,1,0,0
1673,0,1,1,0
3894,0,3,1,1
6873,0,3,0,0
8084,0,2,0,0
22364,0,2,1,1
1262,0,1,0,0
6169,1,2,1,1
26581,0,2,1,1
25840,0,1,1,0
13512,0,0,0,0
20233,0,2,0,1
19635,0,3,0,0
28773,0,2,0,0
5070,0,1,1,0
22395,0,1,0,0
25555,2,2,0,1
10475,1,0,1,1
23162,1,2,0,1
2250,0,2,0,0
28541,0,2,1,1
9425,0,1,1,1
20989,1,1,0,1
22091,0,3,0,0
13589,0,2,1,1
28729,0,2,0,0
18091,0,1,0,0
29705,0,1,1,1
4241,0,3,0,0
27339,0,1,1,1
9499,0,2,1,0
16511,0,2,1,1
12999,0,1,1,1
13851,0,2,0,0
4306,0,2,1,1
16550,0,1,0,0
20114,0,1,0,0
24481,0,1,0,0
15486,1,2,1,1
25858,0,1,0,0
10298,0,0,0,0
29295,0,2,0,0
9471,0,1,1,1
12642,0,1,1,0
3660,0,2,0,0
6233,1,2,1,1
16882,1,2,1,1
26051,0,1,0,0
29575,0,3,1,1
27992,2,1,1,1
10513,0,2,1,1
18685,0,2,1,0
7365,1,2,0,0
20718,0,2,1,0
28445,0,2,0,0
19316,1,2,0,0
2466,1,0,1,1
18217,0,2,0,0
5831,0,2,1,1
20333,0,1,0,1
11535,1,3,0,1
10281,0,1,1,1
29668,0,0,1,1
2955,1,0,0,1
25147,0,1,0,0
3860,0,1,0,1
15167,0,3,1,0
24114,0,2,0,0
2906,0,1,1,1
13637,0,1,1,1
17838,0,1,0,0
17530,0,1,1,1
11819,0,2,1,1
1366,0,1,1,1
8888,0,3,0,0
19566,0,3,0,0
29634,0,1,0,0
19972,0,2,1,1
25952,0,2,0,0
3363,0,1,0,0
8865,0,2,0,1
4578,2,2,1,1
381,0,1,1,0
14104,0,2,1,0
16438,0,2,1,1
3117,1,3,1,1
25926,0,1,0,0
22494,0,2,1,1
5607,1,2,0,0
21197,0,3,1,0
13788,0,2,1,1
27247,0,3,1,1
21278,0,3,1,0
19023,0,0,1,1
15404,0,2,0,0
4270,1,2,1,0
5760,1,1,0,1
6426,1,1,0,0
16843,0,0,1,1
3906,0,2,1,0
6309,0,2,1,0
23005,0,1,1,1
26471,1,3,1,1
7233,2,1,1,1
22521,0,3,0,0
12221,0,1,0,0
3817,0,2,1,1
4820,1,3,0,0
17041,0,1,0,0
4127,1,2,0,0
19240,0,0,0,0
8984,1,2,0,1
20517,1,2,0,0
8802,0,1,1,1
25420,0,2,0,0
652,0,1,1,1
12119,0,0,1,1
5685,0,3,1,1
17606,1,1,0,0
9475,0,3,1,0
6099,0,0,0,0
18528,0,1,1,1
26308,0,1,0,0
7927,0,2,1,1
7406,0,2,0,0
22121,0,0,1,1
13299,0,1,0,0
14882,0,2,0,0
5646,0,1,1,1
14968,0,2,1,1
6877,0,2,0,0
27026,0,2,1,0
26499,1,0,1,1
3041,0,2,0,0
17219,0,2,1,1
19178,0,2,0,1
23832,1,1,1,1
17373,0,1,1,1
29948,0,3,0,0
3871,1,0,1,1
20065,0,3,0,0
21882,1,3,1,1
9779,0,2,0,0
19461,0,0,0,0
18290,0,1,0,0
7301,0,1,1,1
5437,0,1,0,0
22358,0,1,0,0
19706,1,2,1,1
25181,0,1,0,0
6993,0,1,0,1
6715,0,3,1,0
25764,2,3,0,1
3898,0,2,1,0
11492,0,3,0,0
25224,0,2,1,0
3455,0,2,1,0
2928,0,2,1,1
10935,0,2,1,1
14755,1,3,1,1
28674,0,1,0,0
25882,0,1,1,1
7384,0,1,1,1
29154,0,1,1,1
5725,0,2,0,0
17414,0,0,1,1
18604,0,2,0,0
21401,0,0,1,1
4231,0,2,1,1
19917,0,3,1,0
13059,0,1,1,1
23794,0,0,1,1
29754,0,1,1,0
8227,0,1,1,1
5590,0,0,0,1
25345,0,2,1,0
14125,0,1,1,1
2234,1,2,0,0
18402,0,1,0,0
28655,0,0,0,0
17455,0,1,0,0
1675,1,1,1,1
23410,0,0,0,0
1076,1,1,0,0
28017,0,3,1,1
5320,1,1,0,0
20927,0,2,0,0
15072,3,1,0,1
3612,1,3,0,1
26916,1,1,1,1
9585,0,1,1,1
15741,0,3,0,0
19041,0,1,0,0
15889,0,1,1,1
28643,0,0,1,1
4878,0,0,0,1
11421,0,0,1,1
2773,0,2,1,1
12109,0,1,0,0
12224,0,2,0,0
21316,0,2,1,1
28649,0,2,1,1
17245,0,1,0,0
7149,1,1,0,1
17420,1,3,0,0
22821,0,2,1,1
9012,1,3,1,1
12943,1,1,0,0
7575,0,2,0,0
638,2,2,0,1
4513,0,0,1,1
28991,0,1,0,0
22452,0,0,0,0
21031,0,3,0,0
2067,0,0,0,0
11242,0,1,1,0
3774,0,2,1,0
3333,1,2,0,1
2611,0,2,1,0
21769,1,1,0,1
13963,0,2,1,0
22249,0,2,1,0
12537,0,3,0,0
2707,0,3,1,0
14463,0,1,0,0
28831,0,2,0,0
22182,0,2,1,0
22346,0,2,0,0
792,1,3,1,1
20142,0,2,1,1
9788,0,2,0,0
13877,0,2,0,0
9924,1,1,0,1
26429,0,3,0,0
1649,1,2,0,1
6838,1,3,1,1
24944,0,3,1,0
16277,0,1,1,0
14369,0,0,1,1
5508,0,3,0,0
19826,1,2,0,0
7299,0,2,1,0
3050,0,3,1,1
6263,0,3,0,0
26062,0,3,1,0
29798,1,2,1,0
15969,1,1,0,1
24555,0,2,0,0
18605,0,1,0,0
1709,0,2,0,1
991,0,2,0,0
82,0,1,0,0
23054,0,1,0,0
20885,0,1,1,1
8511,0,1,0,0
18873,1,0,0,1
11880,1,1,0,0
3318,0,2,1,0
18775,0,2,0,0
28743,0,2,0,0
5684,0,1,0,0
26319,0,2,1,1
14841,0,2,1,0
29862,0,1,0,0
3912,0,2,0,0
20071,0,1,0,0
9084,0,1,1,1
17673,0,2,1,1
19445,0,1,0,0
2552,0,0,0,0
2015,0,2,1,1
25954,0,2,0,0
16585,0,2,1,0
24022,0,3,1,0
12933,0,2,0,0
21481,0,1,0,0
4085,0,0,1,1
18950,0,1,1,1
17936,0,2,0,0
28297,0,1,1,1
1661,0,2,1,1
2832,0,2,1,1
8538,0,2,1,1
15350,0,0,1,1
16717,0,2,0,0
8870,0,2,0,0
16167,0,1,1,1
19133,0,1,1,0
20292,0,2,1,0
23390,0,2,1,1
3274,0,1,1,1
24977,0,1,1,0
2768,1,1,0,1
2975,0,1,1,0
23929,0,2,0,0
17797,3,0,0,1
5766,0,2,1,0
9964,0,0,1,1
23123,1,1,1,1
4424,0,3,1,1
1197,0,2,0,0
2017,0,3,0,0
16920,1,0,1,1
12987,1,2,0,1
2292,0,1,0,0
21462,0,1,1,1
28155,0,0,0,0
4829,0,3,1,0
16524,0,0,0,1
465,1,2,0,1
23704,0,2,1,0
9192,0,1,0,0
2952,0,2,1,1
18937,0,1,1,1
26834,0,1,0,0
24562,0,0,0,0
29747,1,1,0,1
5679,0,0,0,0
15628,0,2,1,0
5431,0,2,1,1
26758,0,2,0,0
26206,0,2,0,0
7282,0,1,1,1
18438,0,0,1,0
22126,0,1,0,0
18807,0,0,0,1
16005,2,1,1,1
14843,0,0,1,1
11389,0,1,0,0
16128,0,2,0,0
22205,0,2,0,0
15157,0,1,1,1
27892,0,2,0,0
14617,1,2,0,0
2524,0,1,0,0
4048,0,0,1,0
3658,0,1,1,1
16009,0,1,1,1
8087,1,2,0,1
1719,1,3,1,1
7644,3,2,1,1
25288,0,0,1,1
1087,0,0,1,1
26622,0,3,0,0
12672,1,1,1,0
23644,1,2,0,0
28375,1,1,0,0
29298,0,2,0,0
14937,0,2,0,0
7518,0,2,1,1
735,0,1,1,1
427,0,0,1,1
11398,0,2,1,1
26653,0,1,1,1
1924,0,1,1,1
8980,0,1,0,0
22952,0,1,1,0
24083,0,2,1,0
177,0,0,1,1
5823,1,2,0,0
13907,0,1,0,0
2910,0,2,1,1
140,0,0,1,1
19499,0,0,0,0
4466,0,1,1,1
6399,1,3,1,1
28517,1,2,1,1
9894,1,2,0,0
17859,0,1,0,0
29135,0,1,1,1
15502,0,3,0,0
23744,0,0,0,1
8242,1,2,0,0
26693,0,1,0,0
2971,0,0,1,1
16901,0,2,0,0
23105,1,1,0,1
5136,0,3,1,1
15619,0,0,0,0
25120,0,1,1,1
13005,0,3,0,0
14055,0,1,1,0
2859,0,2,1,1
6657,0,0,1,1
13899,0,1,0,0
10783,0,0,1,1
28786,0,2,0,0
11744,0,1,1,1
10069,0,1,1,0
27826,0,0,1,1
25384,0,0,1,1
28133,0,2,0,0
7204,0,1,0,0
1053,0,2,0,0
17873,0,3,1,0
2621,0,0,0,0
9895,0,2,1,0
8332,0,2,1,1
17474,1,0,1,1
3523,1,2,1,1
3048,0,3,0,0
1677,0,3,1,0
9350,0,2,1,0
24863,0,0,1,1
24891,0,2,1,0
11231,1,0,1,1
17413,0,2,0,0
501,0,3,1,0
7570,1,3,0,1
3057,0,1,0,0
29709,0,0,0,0
18165,1,1,1,1
12924,0,3,1,0
6364,0,1,1,1
7668,0,1,1,1
1830,1,2,0,0
20364,0,0,0,1
14789,0,1,0,1
26061,0,2,1,1
21693,0,2,0,0
9083,1,1,1,1
14543,0,3,1,1
9819,0,1,1,0
319,0,3,0,0
15337,0,2,0,0
24996,0,3,1,0
2530,0,3,0,0
18130,2,2,1,1
18651,0,1,0,0
27236,0,1,0,1
12202,0,3,1,1
9657,0,2,1,1
7647,0,2,0,0
3422,0,1,1,0
26903,0,1,1,0
17089,0,1,1,1
24219,1,1,0,1
14520,1,1,0,0
12764,0,1,1,1
28271,0,0,0,0
7999,0,2,0,0
15797,1,2,0,1
11129,0,3,0,0
25769,0,2,1,1
13847,0,0,1,1
9368,0,0,0,0
23914,0,0,0,1
12074,0,1,0,0
6015,0,1,1,1
25993,0,1,0,0
11068,1,2,1,1
13944,0,2,1,0
10903,1,1,1,1
1375,2,2,1,1
25953,0,1,0,0
16428,0,2,1,1
25770,0,2,0,0
21062,0,3,1,1
2746,0,2,0,0
12637,0,0,1,1
