,R,Q,A,Y
11132,0,2,1,1
24172,0,3,0,0
16136,0,2,0,0
14448,0,2,1,1
24161,0,3,0,0
16795,0,2,1,0
21567,0,2,1,1
18073,1,2,1,1
7434,0,1,1,1
837,0,2,1,1
18488,0,3,0,0
5899,0,3,0,0
1865,0,1,0,0
15954,0,2,0,0
1753,0,1,1,1
6592,0,1,1,1
6918,0,2,1,1
8286,0,1,1,1
20344,0,2,0,0
11086,0,2,1,1
10998,0,2,0,0
13756,0,3,0,0
1563,0,1,1,1
4817,1,2,0,1
18981,0,1,1,1
6780,0,1,1,0
6917,0,1,1,1
21645,0,3,1,1
3177,0,1,1,1
17088,0,2,0,0
3124,1,3,1,1
19341,1,3,0,1
7111,1,3,0,0
18378,0,2,0,0
9479,0,2,0,0
7639,0,2,1,1
13349,0,2,0,0
23921,0,2,1,0
27101,0,0,1,1
17771,0,2,0,0
22596,1,0,0,1
6545,0,3,0,0
7897,1,1,1,1
20750,0,2,0,0
15303,0,2,1,0
19151,0,1,0,0
4101,0,1,0,0
25752,0,0,1,1
7953,0,1,0,0
24504,0,1,0,0
2852,0,1,0,0
27236,0,1,0,0
28581,0,1,0,0
7317,0,1,1,1
9570,0,1,1,1
16407,0,2,0,0
20988,0,3,1,1
8396,0,2,1,0
915,1,1,1,1
7729,1,1,0,1
17978,0,2,1,1
21019,0,2,1,1
6145,1,1,1,1
3331,0,2,0,0
372,0,3,1,1
6618,0,2,0,0
27839,0,1,1,1
2929,1,0,0,0
8245,0,1,1,1
1202,0,3,0,0
2140,0,1,1,0
20904,0,1,0,0
9716,0,2,1,1
17622,0,0,0,0
3523,1,2,1,1
5006,1,1,1,1
13111,1,1,1,1
8542,1,1,0,0
6307,0,3,0,0
26310,0,2,1,0
26593,0,2,0,0
20738,0,1,1,1
22489,0,1,1,1
27064,1,2,1,1
2897,0,2,1,1
16085,0,0,0,0
1348,1,3,1,1
24699,0,1,0,1
25039,0,1,0,0
24146,0,3,1,1
7505,2,2,0,1
26814,0,1,1,1
26903,0,1,1,1
15067,0,2,1,1
6976,0,2,1,1
8802,0,1,1,1
23723,0,1,1,1
27169,1,2,0,0
3009,0,3,0,0
28913,0,1,0,0
9249,0,1,0,0
28094,0,1,1,1
29758,0,2,1,1
4621,0,2,1,0
17612,0,2,1,1
21362,0,2,1,0
23559,0,2,0,0
11015,1,1,1,1
3739,0,1,1,1
2362,0,3,1,1
26779,0,0,1,1
5783,0,2,0,0
10977,0,2,0,0
409,0,0,0,0
4543,0,2,0,0
28431,1,1,0,1
25867,0,1,0,0
17731,0,1,0,0
14540,0,1,0,0
20578,0,3,0,0
26731,0,2,0,0
4394,1,2,1,1
3541,0,2,1,1
6271,0,2,0,0
427,0,0,1,1
24566,0,2,1,1
14866,0,0,1,1
5536,0,1,1,1
24265,0,3,0,0
11601,0,2,1,0
1616,0,1,1,1
