,R,Q,A,Y
11132,6.788218957560455,2,0,1
24172,5.342770421734966,3,1,0
16136,1.8027180841835864,2,1,0
14448,5.611050451882246,2,0,1
24161,5.583731088450673,3,1,0
16795,2.755859349854901,2,0,0
21567,0.6022454036005418,2,0,1
18073,8.862300369994156,2,0,1
7434,2.798152898360115,1,0,1
837,3.606431562613336,2,0,1
18488,4.081460887005761,3,1,0
5899,4.517658475183742,3,1,0
1865,6.716971235221086,1,1,0
15954,2.9628468957761798,2,1,0
1753,3.55580095403655,1,0,1
6592,7.267986104610888,1,0,1
6918,1.1226691956710402,2,0,1
8286,6.960655031279727,1,0,1
20344,5.882495068103853,2,1,0
11086,1.3026476419646096,2,0,1
10998,1.8631950974596136,2,1,0
13756,3.3165037861400646,3,1,0
1563,2.9203336129525237,1,0,1
4817,9.269552363566104,2,1,1
18981,5.75561558885041,1,0,1
6780,3.175007873755074,1,0,0
6917,4.44343036111209,1,0,1
21645,6.831580635668164,3,0,1
3177,3.655750763380495,1,0,1
17088,1.8462383263045077,2,1,0
3124,12.964595323875734,3,0,1
19341,14.416618897799124,3,1,1
7111,10.682515421631678,3,1,0
18378,3.623936837555546,2,1,0
9479,1.6265556782825823,2,1,0
7639,7.765352439472192,2,0,1
13349,6.615492683909377,2,1,0
23921,5.586059226743475,2,0,0
27101,4.6809717623016,0,0,1
17771,4.827375566358423,2,1,0
22596,11.573882800192106,0,1,1
6545,6.880512495372519,3,1,0
7897,10.842398229533462,1,0,1
20750,5.5007222342993,2,1,0
15303,1.6063980660243051,2,0,0
19151,2.06077835393833,1,1,0
4101,1.130059608895157,1,1,0
25752,4.768285432029839,0,0,1
7953,6.725372589790874,1,1,0
24504,7.133108010659517,1,1,0
2852,4.320178578009886,1,1,0
27236,2.4598923657996656,1,1,0
28581,7.365028130459875,1,1,0
7317,2.100227871182632,1,0,1
9570,4.024520741117882,1,0,1
16407,5.565141727717065,2,1,0
20988,5.904485210766315,3,0,1
8396,3.6278962282529807,2,0,0
915,10.457945218738674,1,0,1
7729,15.872365168077714,1,1,1
17978,6.016934986881907,2,0,1
21019,3.864427484848184,2,0,1
6145,8.730368500646314,1,0,1
3331,0.8892270571058898,2,1,0
372,4.792651043156996,3,0,1
6618,7.200945674324676,2,1,0
27839,4.161239857738955,1,0,1
2929,10.47102616741288,0,1,0
8245,4.178499870777834,1,0,1
1202,7.188473354504941,3,1,0
2140,1.3171586275572376,1,0,0
20904,5.218092796914869,1,1,0
9716,2.5093302931054806,2,0,1
17622,0.9445370988623644,0,1,0
3523,10.575164190350758,2,0,1
5006,11.34594672226333,1,0,1
13111,11.358059793799502,1,0,1
8542,10.306617670122574,1,1,0
6307,5.274177259485494,3,1,0
26310,1.2837147478596858,2,0,0
26593,1.4625168662821897,2,1,0
20738,4.682375179161575,1,0,1
22489,7.676185882087742,1,0,1
27064,10.475559963207663,2,0,1
2897,4.948648179379204,2,0,1
16085,7.422165410252363,0,1,0
1348,10.251989306899723,3,0,1
24699,8.103823532305295,1,1,1
25039,5.3418757955380185,1,1,0
24146,3.8107862230711462,3,0,1
7505,17.155037823567564,2,1,1
26814,5.560155876271201,1,0,1
26903,4.916301998115728,1,0,1
15067,2.106519102673872,2,0,1
6976,2.0701018221028886,2,0,1
8802,2.169340466562815,1,0,1
23723,4.1295759759501705,1,0,1
27169,8.839002239100767,2,1,0
3009,6.444165359162999,3,1,0
28913,1.851394618649826,1,1,0
