,R,Q,A,Y
0,0.2,0,1,0
1,0.2,0,1,1
2,0.2,2,0,0
3,1.0,2,0,1
4,0.2,1,1,0
5,0.2,3,1,0
6,0.2,0,1,1
7,0.2,2,1,0
8,0.2,3,1,1
9,0.2,1,1,1
10,0.2,1,1,0
11,0.2,1,1,0
12,0.2,1,1,1
13,0.2,1,1,0
14,0.2,3,1,0
15,0.2,1,1,0
16,0.2,2,1,0
17,0.2,3,1,0
18,0.2,1,1,1
19,0.2,0,0,1
20,0.2,2,1,1
21,1.0,1,1,1
22,0.2,1,1,0
23,1.0,1,1,1
24,0.2,1,1,0
25,1.0,2,1,1
26,0.2,0,1,1
27,0.2,1,1,1
28,0.2,2,1,1
29,0.2,2,1,1
30,0.2,2,1,1
31,0.2,2,0,0
32,0.2,0,1,0
33,0.2,1,1,0
34,0.2,1,1,0
35,0.2,1,0,0
36,0.2,1,1,0
37,0.2,2,1,0
38,1.0,0,1,1
39,0.2,1,1,0
40,1.0,1,1,1
41,0.2,1,1,0
42,1.0,0,1,1
43,0.2,3,1,0
44,0.2,2,1,1
45,0.2,1,1,1
46,0.2,2,1,0
47,1.0,1,1,0
48,2.2,3,1,1
49,1.0,0,0,1
50,0.2,2,1,0
51,0.2,2,1,0
52,0.2,1,1,1
53,0.2,2,1,0
54,1.0,0,1,1
55,0.2,0,1,0
56,0.2,2,1,0
57,1.0,2,0,1
58,0.2,2,1,0
59,0.2,1,1,0
60,0.2,1,1,0
61,0.2,2,0,1
62,0.2,2,1,1
63,0.2,1,1,1
64,0.2,1,1,1
65,0.2,1,1,1
66,0.2,1,1,1
67,1.0,0,1,1
68,1.0,2,0,0
69,0.2,2,1,1
70,1.0,2,1,1
71,0.2,2,1,0
72,0.2,3,0,1
73,0.2,1,1,0
74,1.0,2,1,1
75,0.2,2,1,0
76,0.2,2,1,0
77,0.2,1,1,0
78,0.2,3,1,0
79,0.2,1,0,1
80,1.0,1,1,1
81,1.0,1,1,1
82,0.2,1,1,0
83,0.2,1,1,0
84,0.2,2,1,0
85,0.2,2,1,0
86,0.2,1,1,1
87,0.2,2,1,0
88,0.2,2,0,0
89,0.2,3,1,0
90,0.2,2,1,0
91,0.2,0,1,0
92,1.0,2,1,1
93,1.0,2,1,1
94,0.2,2,1,0
95,0.2,2,1,1
96,0.2,2,0,0
97,0.2,1,1,0
98,1.0,0,0,1
99,0.2,0,1,1
100,0.2,1,1,0
101,0.2,3,1,0
102,0.2,2,1,1
103,0.2,3,0,0
104,0.2,3,1,1
105,0.2,1,1,1
106,0.2,0,1,0
107,1.0,1,1,1
108,0.2,3,1,0
109,0.2,2,1,0
110,1.0,2,1,0
111,1.0,3,0,0
112,0.2,2,1,0
113,0.2,1,1,0
114,0.2,1,1,0
115,0.2,1,1,1
116,0.2,1,1,0
117,0.2,2,1,1
118,0.2,1,1,0
119,0.2,1,1,1
120,0.2,1,1,0
121,0.2,2,1,1
122,2.2,1,1,1
123,0.2,1,0,0
124,0.2,2,1,0
125,0.2,2,1,0
126,0.2,2,1,0
127,1.0,0,1,1
128,0.2,2,0,0
129,1.0,2,1,1
130,0.2,2,1,1
131,0.2,2,1,0
132,0.2,1,1,1
133,0.2,2,0,0
134,0.2,1,1,0
135,0.2,2,0,1
136,1.0,2,1,1
137,1.0,3,1,1
138,0.2,0,1,1
139,0.2,1,1,1
140,2.2,1,1,1
141,0.2,0,1,1
142,0.2,2,1,0
143,0.2,1,1,0
144,0.2,3,1,0
145,0.2,1,1,0
146,0.2,3,0,0
147,0.2,2,1,1
148,0.2,1,1,0
149,0.2,1,1,0
150,0.2,3,0,0
151,0.2,2,1,0
152,0.2,0,1,1
153,0.2,2,0,0
154,0.2,2,1,1
155,0.2,3,1,0
156,0.2,0,1,1
157,0.2,1,0,0
158,1.0,0,1,0
159,0.2,3,1,0
160,0.2,2,1,0
161,0.2,0,1,1
162,0.2,1,1,0
163,0.2,2,1,0
164,1.0,0,1,1
165,1.0,2,1,1
166,1.0,2,1,1
167,0.2,1,1,0
168,0.2,1,1,0
169,0.2,0,1,0
170,0.2,1,1,0
171,0.2,1,0,0
172,0.2,3,1,1
173,0.2,1,1,1
174,0.2,1,0,0
175,0.2,3,0,0
176,0.2,2,0,0
177,0.2,2,0,1
178,1.0,0,0,1
179,1.0,1,1,1
