,R,Q,A,Y
0,1.0,0,0,0
1,2.2,2,1,1
2,0.2,2,0,0
3,1.0,0,1,1
4,1.0,1,1,1
5,2.2,1,1,1
6,1.0,2,1,0
7,0.2,1,0,1
8,0.2,2,0,0
9,1.0,3,1,0
10,1.0,1,1,1
11,1.0,1,1,1
12,0.2,2,0,0
13,0.2,1,0,0
14,0.2,2,0,1
15,1.0,3,1,0
16,0.2,3,0,0
17,1.0,2,1,0
18,1.0,3,1,1
19,1.0,2,1,1
20,0.2,1,0,0
21,1.0,1,1,1
22,0.2,2,0,0
23,1.0,1,1,1
24,0.2,0,0,0
25,1.0,3,1,0
26,1.0,0,1,1
27,0.2,1,0,0
28,1.0,1,1,1
29,1.0,2,1,0
30,3.0,1,1,1
31,1.0,1,1,1
32,1.0,2,1,1
33,0.2,2,0,0
34,1.0,1,1,0
35,1.0,3,1,1
36,1.0,1,1,1
37,1.0,1,0,1
38,2.2,2,1,0
39,1.0,2,0,0
40,1.0,0,0,1
41,0.2,1,0,0
42,0.2,3,0,0
43,0.2,2,0,0
44,0.2,2,0,0
45,1.0,2,1,0
46,1.0,1,1,1
47,3.0,2,1,1
48,0.2,1,0,0
49,0.2,1,0,0
50,1.0,1,1,1
51,1.0,3,0,0
52,0.2,1,0,0
53,0.2,1,0,0
54,1.0,2,1,1
55,1.0,2,1,1
56,0.2,0,0,0
57,1.0,3,1,1
58,1.0,2,1,1
59,0.2,2,0,0
60,1.0,2,1,0
61,0.2,1,0,0
62,2.2,0,1,1
63,1.0,2,1,1
64,3.0,1,1,1
65,0.2,2,0,0
66,0.2,1,0,0
67,2.2,3,1,1
68,0.2,1,0,0
69,1.0,1,1,1
70,1.0,1,1,1
71,1.0,3,1,1
72,1.0,1,1,0
73,1.0,0,0,1
74,2.2,1,1,1
75,1.0,3,1,0
76,0.2,1,0,0
77,1.0,3,1,0
78,0.2,1,0,0
79,1.0,1,1,0
80,0.2,1,0,0
81,0.2,0,0,0
82,1.0,1,1,0
83,0.2,2,0,0
84,1.0,3,1,0
85,0.2,3,0,0
86,2.2,1,1,1
87,1.0,1,1,1
88,0.2,1,0,0
89,1.0,1,1,1
90,0.2,1,0,1
91,0.2,2,0,0
92,1.0,1,1,0
93,0.2,1,0,0
94,0.2,2,0,0
95,1.0,1,1,0
96,1.0,2,1,1
97,0.2,2,0,0
98,1.0,2,1,1
99,1.0,2,1,0
100,1.0,3,1,0
101,0.2,1,0,0
102,1.0,0,1,1
103,0.2,1,0,0
104,2.2,1,1,1
105,1.0,2,1,1
106,0.2,1,0,0
107,1.0,0,1,1
108,0.2,2,0,0
109,1.0,2,1,0
110,0.2,0,0,1
111,0.2,1,0,0
112,0.2,1,0,0
113,0.2,1,0,0
114,2.2,1,1,1
115,1.0,2,1,0
116,0.2,2,0,0
117,1.0,1,0,0
118,1.0,1,1,1
119,0.2,1,0,0
120,0.2,2,0,0
121,0.2,2,0,0
122,0.2,1,0,0
123,1.0,0,1,1
124,0.2,1,0,0
125,1.0,2,1,0
126,1.0,2,1,1
127,1.0,0,1,0
128,0.2,2,0,0
129,0.2,2,0,0
130,1.0,3,1,1
131,1.0,2,0,1
132,1.0,1,1,0
133,1.0,1,1,0
134,1.0,2,0,1
135,1.0,1,1,1
136,0.2,1,0,1
137,0.2,1,0,0
138,0.2,1,0,0
139,0.2,1,0,0
140,0.2,3,0,0
141,0.2,2,0,0
142,1.0,1,1,1
143,0.2,3,0,0
144,0.2,1,0,0
145,1.0,1,1,1
146,0.2,2,0,0
147,1.0,1,0,1
148,0.2,2,0,0
149,0.2,1,0,0
150,2.2,1,1,1
151,1.0,2,1,0
152,1.0,2,1,1
153,1.0,1,1,1
154,0.2,2,0,0
155,1.0,1,1,1
156,1.0,2,1,0
157,1.0,1,1,1
158,1.0,2,1,0
159,1.0,2,1,1
160,1.0,1,0,1
161,0.2,3,0,0
162,0.2,1,0,0
163,0.2,2,0,0
164,1.0,1,1,1
165,1.0,1,1,1
166,0.2,1,0,0
167,2.2,0,1,1
168,1.0,0,0,1
169,1.0,2,1,1
170,1.0,1,0,1
171,0.2,1,0,0
172,1.0,1,1,1
173,1.0,0,1,0
174,1.0,1,1,1
175,1.0,1,0,1
176,0.2,2,0,0
177,0.2,1,0,0
178,1.0,3,1,1
179,0.2,2,0,0
180,1.0,2,1,0
181,0.2,0,0,1
182,0.2,2,0,0
183,1.0,2,1,1
184,2.2,2,1,1
185,1.0,2,0,1
186,0.2,1,0,0
187,1.0,2,1,1
188,1.0,2,0,1
189,0.2,2,0,0
190,0.2,2,0,0
191,1.0,1,1,1
192,0.2,3,0,0
193,1.0,2,1,0
194,3.0,0,1,1
195,0.2,3,0,0
196,0.2,1,0,0
197,0.2,2,0,0
198,1.0,2,1,1
199,1.0,1,0,1
