,Y
11132,1
24172,0
16136,0
14448,1
24161,0
16795,0
21567,1
18073,1
7434,0
837,1
18488,0
5899,0
1865,0
15954,0
1753,1
6592,1
6918,1
8286,1
20344,0
11086,1
10998,0
13756,0
1563,1
4817,1
18981,1
6780,0
6917,1
21645,1
3177,1
17088,0
3124,1
19341,1
7111,0
18378,0
9479,0
7639,1
13349,0
23921,0
27101,1
17771,0
22596,1
6545,0
7897,1
20750,0
15303,0
19151,0
4101,0
25752,0
7953,0
24504,0
2852,0
27236,1
28581,0
7317,1
9570,1
16407,1
20988,1
8396,0
915,1
7729,1
17978,1
21019,1
6145,1
3331,0
372,1
6618,0
27839,1
2929,1
8245,1
1202,0
2140,0
20904,1
9716,0
17622,0
3523,1
5006,1
13111,1
8542,1
6307,0
26310,0
26593,0
20738,1
22489,1
27064,1
2897,1
16085,0
1348,1
24699,1
25039,0
24146,1
7505,1
26814,1
26903,0
15067,1
6976,1
8802,1
23723,1
27169,0
3009,0
28913,0
9249,0
28094,1
29758,1
4621,0
17612,0
21362,0
23559,0
11015,1
3739,1
2362,1
26779,1
5783,0
10977,0
409,0
4543,0
28431,1
25867,0
17731,0
14540,1
20578,0
26731,0
4394,1
3541,1
6271,0
427,1
24566,1
14866,1
5536,1
24265,0
11601,0
1616,1
14528,1
2539,1
5865,0
28359,0
14752,1
23342,0
17260,1
27715,0
2735,0
12523,1
22104,1
21843,1
26198,1
28640,1
17479,0
28863,0
25961,0
21397,1
22861,1
16383,0
23672,1
125,1
7833,1
19467,0
29370,1
13435,1
4878,1
29456,1
3710,0
23652,0
2446,1
17553,0
13096,1
5904,0
13667,1
5792,0
20584,0
19677,0
10261,0
15339,1
15965,0
18867,1
3016,0
6914,1
15069,0
14677,1
1584,1
3290,0
14547,1
5828,0
22000,1
16262,1
29074,1
25624,0
16095,0
18630,1
27769,0
2455,1
18265,1
18544,1
16016,1
22287,0
10995,0
21529,0
4802,1
16381,1
28307,0
18215,1
7357,0
8082,1
15398,0
18697,0
13769,0
14205,0
22563,1
3455,0
9718,0
6336,1
16312,0
8943,0
10624,1
29292,1
11363,0
1928,0
13291,0
4479,1
11089,0
23975,1
20144,1
24056,1
20017,1
15880,1
6056,1
27834,0
18685,0
738,0
8181,0
3806,1
17954,0
8440,1
13306,0
14450,1
24485,0
16185,0
2388,0
19570,1
26460,0
12285,1
21600,0
9199,0
25844,1
6554,1
8892,1
10714,1
8328,0
15164,0
17614,0
10555,1
2688,1
12645,0
15753,1
13771,1
9807,1
12619,1
6054,1
28611,1
7619,0
24335,1
1018,1
3347,0
8445,0
20960,0
7231,0
13466,1
29151,0
11830,1
9145,1
9902,0
5252,1
16199,1
29013,0
11951,0
3632,0
10309,0
13688,1
10065,0
10604,1
21444,1
5346,0
28596,1
9931,1
3873,0
8443,0
3741,0
27311,0
5717,0
11301,1
14473,1
14781,0
5752,0
20669,0
20592,0
14244,0
12676,0
3125,1
29124,1
1871,1
9794,1
20386,1
3241,1
26291,0
9569,0
4872,0
2215,1
8032,0
8903,1
1661,1
2642,1
27513,1
25316,0
19968,0
17238,1
23318,0
5795,1
5431,1
23757,0
6865,1
244,1
23096,1
13605,0
16218,1
7363,1
22515,1
23739,1
3548,1
16743,0
17712,0
6451,1
17372,1
10316,1
20029,1
12826,0
14682,0
25150,0
4890,0
29112,1
14340,0
24145,0
22457,0
1223,0
17968,0
23449,1
5863,0
12378,0
21398,1
10214,0
26767,1
19985,0
11376,1
8248,1
16455,1
15757,0
19470,1
8093,1
3995,1
22027,0
18704,0
20082,0
29515,1
22158,0
17482,1
15476,1
25916,0
21331,0
29367,0
19756,0
10092,0
19163,0
8349,1
3984,0
9094,1
15274,0
29724,1
16363,0
26533,0
19226,1
28465,0
9402,0
28665,0
14478,0
11210,0
26630,1
24023,0
27066,0
23324,0
9668,0
3756,1
24367,0
13557,0
11568,0
3574,1
5546,0
463,1
21426,1
21939,0
9774,0
6586,0
9382,1
5208,0
7981,1
16379,1
96,1
14954,1
13465,0
983,1
2767,0
20048,1
25399,1
14863,0
29830,1
18793,1
6106,1
8814,1
26496,0
17727,1
2347,1
23409,1
28683,1
19730,0
22690,1
8370,0
8945,1
28281,1
13391,0
20098,1
28390,0
4562,1
16010,0
26008,1
5078,0
18088,0
1527,0
14621,0
20496,0
20726,0
15953,0
4586,1
9939,1
22625,0
5130,1
818,1
17411,0
2824,0
15500,1
27552,0
7723,0
25958,1
16792,1
15221,0
22974,0
7073,0
951,1
6084,0
29025,0
18865,0
12301,1
27730,1
13559,0
27353,0
13879,0
17957,0
18564,1
16071,1
17946,0
16498,1
8403,0
11981,0
502,1
21333,0
27237,0
27287,1
12874,0
26680,1
22381,0
28037,0
3090,1
17150,0
5037,1
13234,0
10942,1
17431,0
13601,1
2546,1
7757,1
20771,1
27883,1
1486,0
29183,0
6385,0
14019,0
1974,0
20741,0
5773,0
3544,1
27803,1
29753,0
27150,0
7394,0
14267,1
19215,1
29641,1
26259,0
12832,0
22710,0
29092,0
17087,0
2033,0
16210,0
23066,1
18171,0
191,1
23979,0
19432,0
6989,1
19634,0
23167,1
14491,0
17358,0
28963,0
20376,1
19032,1
15190,0
5031,0
12715,1
19465,0
21947,0
7846,1
12835,1
13971,1
29810,1
21524,0
11354,0
4885,1
12975,0
25457,0
21278,0
13289,0
25083,0
24199,1
11369,0
20341,1
1762,1
6275,0
8173,1
9053,1
2964,0
17808,0
8076,1
9428,1
2403,1
15114,0
13825,1
23057,1
5088,0
3015,1
25189,0
13651,1
18914,1
10634,0
13021,1
17332,1
3233,1
25426,1
5958,0
6984,0
26612,1
6806,0
23784,1
2702,1
12726,1
7452,1
12346,0
20428,1
23976,1
6667,0
13302,0
24877,0
18510,1
3114,0
26652,0
19882,1
3018,0
18003,0
12121,1
10670,0
19953,1
4645,0
11761,1
8263,0
7116,0
25630,1
700,1
22196,0
27570,0
19642,0
7316,0
7029,0
23610,0
1175,0
11678,0
18967,1
3031,0
144,0
12337,1
2,0
13857,1
532,0
10280,0
2752,1
6848,0
4298,0
15216,1
11661,0
27687,1
15236,0
18918,1
8336,1
28751,1
13512,0
20847,0
15719,0
11083,0
5009,0
7630,0
11708,1
2081,0
5525,0
1455,1
8229,0
6326,1
16345,0
21688,0
2244,1
11915,0
3979,0
20656,0
22231,0
16809,1
7952,0
4629,0
23210,1
670,0
2568,1
22273,1
18669,0
26153,0
23687,0
24948,1
27778,0
6948,1
9343,0
14075,1
7090,0
29933,0
20358,0
9229,1
10045,0
15352,0
3197,1
16739,0
7257,0
10463,0
1497,0
22638,1
3048,0
5400,1
12190,0
11252,0
16317,1
16414,1
2893,1
13939,1
21614,1
11096,1
27330,1
27455,0
3203,1
2845,0
6749,1
5506,1
4924,0
5420,1
27588,1
1015,1
23308,1
11910,0
8168,0
13643,1
27059,1
5708,0
9156,1
25960,1
928,0
21145,1
10461,1
25520,0
857,1
17729,1
14079,0
6765,0
19472,1
13087,0
26068,1
28524,1
13324,0
27825,1
13299,0
14436,1
12133,1
3135,1
16416,0
16215,0
28078,0
19442,0
13892,1
18593,1
3794,1
3880,1
6831,1
8859,0
23901,0
15629,1
1542,1
6756,1
9511,0
17454,1
25848,0
2677,0
2829,0
7824,0
28582,1
6414,1
29032,0
6255,0
13161,1
19220,0
22097,1
7876,1
6444,0
27845,1
27812,0
13376,1
490,0
4612,0
14018,1
20865,0
18663,1
11462,1
9359,0
17167,1
10176,0
23507,1
24960,1
20177,0
21861,1
10256,0
21620,1
27546,1
3121,1
8594,0
22207,0
29472,1
23751,0
13542,0
7590,1
17026,1
19964,0
5236,1
3929,1
20457,1
12479,1
19034,1
661,0
17813,1
11586,0
199,1
2606,1
19951,1
1266,0
26895,0
22937,1
23692,0
25764,1
24590,1
17360,0
10672,1
3834,1
23805,1
1538,0
25954,0
5952,1
20129,1
20759,0
16859,1
275,0
26089,0
27403,1
3085,1
27510,0
29036,1
23311,1
18920,1
19265,0
26741,1
15222,0
20113,0
20949,1
1590,1
18227,1
29884,1
22826,1
21594,1
24452,0
11973,1
6304,0
21338,1
20921,0
7199,1
29355,0
26698,0
12449,0
9043,0
6363,0
26564,1
22977,1
10510,1
12288,0
13827,1
2908,1
17609,0
19170,0
19218,0
10374,1
7370,0
547,1
10085,1
16931,1
9852,0
14469,1
12685,0
2560,0
2268,0
6312,0
7080,1
1278,0
13333,1
26127,1
7647,0
9449,0
1236,1
25299,0
21272,0
8242,0
24445,1
2837,1
3652,0
14678,0
2766,0
8530,0
9500,1
11990,1
1764,1
21817,0
21067,0
2813,0
10962,1
6558,1
14556,1
1837,0
261,0
17818,1
18821,0
5318,0
17989,0
23291,0
15364,1
2605,1
4057,0
22654,1
24710,0
15113,0
13922,0
14524,0
20615,1
16489,0
13513,1
18347,0
241,0
9818,1
1413,0
10554,0
8834,1
16890,1
25134,0
7246,0
8690,1
29923,0
6579,0
23795,1
18359,1
18219,1
7522,0
29047,0
29564,0
3475,0
17492,1
29018,0
570,0
21214,0
18675,1
1289,1
24873,1
20317,0
1139,1
770,0
7064,1
19128,1
5076,1
22176,1
10498,1
13678,1
26075,0
11899,0
27470,1
968,1
8067,1
17663,0
9646,1
8746,0
7110,1
25184,1
16553,1
642,1
29857,0
13086,1
26063,1
18066,0
8501,1
10693,0
19225,1
7834,0
6684,1
13252,0
4446,1
29101,0
10550,1
20133,1
10339,0
13288,1
29937,0
5342,0
14891,0
10901,0
27325,1
8503,1
17857,0
27110,0
6477,1
57,1
22909,1
11402,1
22913,1
21572,0
19702,0
10122,1
5341,0
13703,1
24242,0
12315,0
22606,0
14732,1
13043,1
21447,1
20212,0
24073,1
18255,0
8350,0
22009,1
20034,1
12055,0
16390,0
6201,1
26492,0
25871,1
217,1
26274,1
7569,0
16017,0
27992,1
26975,1
4403,1
29338,0
14104,0
499,0
13581,0
8745,0
10854,1
4683,1
1205,0
5900,1
1263,1
5656,0
26113,0
25281,1
12193,1
6426,0
2520,0
621,1
20085,1
17178,1
19235,1
27293,0
18511,1
8642,0
9760,0
18302,0
15070,1
11105,0
7763,1
20728,0
6790,0
1243,0
18953,1
20507,1
1525,0
29843,1
9704,0
1824,0
28650,1
12426,1
28839,1
16674,1
14999,1
4914,1
8565,0
11116,1
29848,1
22769,1
7776,1
996,0
15777,0
18824,0
6585,1
8412,0
28907,0
14064,1
3833,1
21957,1
8078,1
5606,0
10912,1
27593,1
18634,1
13404,1
27254,0
7958,0
4578,1
14238,0
13896,1
15663,0
25336,0
20241,1
7378,0
7324,1
7454,0
1831,1
8844,0
12079,0
24577,1
20058,0
15486,1
8735,1
5461,1
27879,0
22437,1
16069,0
15682,0
26947,1
23748,0
24809,0
19826,0
25095,1
13062,1
2885,1
28662,0
6375,0
7140,1
13388,1
194,0
22341,0
14280,0
6907,0
15915,1
5075,0
10227,1
3482,0
29185,0
18515,1
14955,1
8648,1
23516,1
27638,1
7318,1
20312,0
19357,1
24440,1
525,1
3725,0
28497,1
9593,0
27289,1
16724,1
29769,1
